"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,102.6,2.63,0.5252,0.4003,950.3,1930.9,60.6,103.3,0.0566,0.1755,0.0535,-1.24,0.8,264.31,46,0,0,38,15.36,84,0.6,0.6715,1720.5,1.16,3.01,44.8,20.39,2.92,NA,0.05,2,1823.8,0.6081,0.3,38.97,NA,-0.12,0.2936,NA,0.7326,0.0937,1481.4,1189.4,0.5334,0.3478,4.5,0.0076,41.4,0.0703,0,1.25,NA,0.0652,2.02,13.36,0.8695,588.6,0.0104,0.0047,226.7,11.69,634.4,548203,570.9,6.9,172.38,570.9,1.75,1.15
"2",2010-12-31,102.4,2.8,0.6609,0.40525380428746,1070.9,2137.7,59.9,150.3,0.10045448469456,0.26280818324882,0.070309210834074,5.4285,0.6430624905432,NA,45.5,0,0,26.1,26.1,71.6,0,NA,1345.9,0.81554868811731,2.2521753681392,51.567049808429,18.79748603352,2.3533834586466,NA,NA,6.2715,1496.2,0.68171399167329,0.15,49.8,NA,-0.0606,0.40572556762093,NA,0.9441,0.091921223745147,1650.3,766.5,0.95198956294847,0.4877021788531,-38.2,-0.066794894212275,120.8,0.21122573876552,NA,0.71575310486507,NA,0.045637349186921,1.3402692778458,19.8285,0.75971270062352,571.9,0.015815306307944,-0.035670930992623,190.6,7.47,729.7,763436,597.6,-7.6,NA,597.6,1.7,0.8309452404754
"3",2009-12-31,76.8,2.94,0.7801,0.48223439985858,878.7,2072.7,72.1,72.2,0.036186848436247,0.15798687089715,0.034833791672697,24.9094,0.5608255351878,NA,40.8,0,0,24.8,24.8,65.6,0,NA,1923,1.183457443535,3.6051743532058,77.540322580645,29.314024390244,4.2078774617068,-0.366,NA,-31.4094,1995.2,0.67728084141458,NA,NA,-0.145,-0.4497,0.39122649955237,NA,0.8347,0.082115115549766,1624.9,1176.8,0.69544527532291,0.41018444266239,-19.3,-0.042231947483589,149,0.32603938730853,NA,1.339251166496,NA,0.054266958424508,2.5750547045952,56.2094,2.2665084350956,457,0.015262477690935,-0.021964265392056,167.7,12.99,818.4,974483,533.4,-15.8,NA,533.4,1.75,1.1756525838195
"4",2008-12-31,51,2.65,0.7132,0.53880605810596,782.6,2069.1,111.6,65.8,0.038300349243306,0.11948429271836,0.031801266251027,-18.8803,0.38137969713965,96.831325301205,39,0,0,55.8,22.32,94.8,0.6,NA,1652.2,1.0129360554227,3.7262065854759,29.609318996416,17.428270042194,3.000181587071,-0.42,NA,-31.3997,1718,0.70760233918129,NA,NA,-0.02,-0.2068,0.66197183098592,NA,0.6416,0.084239524430912,1631.1,803.7,1.1376135373896,0.53218859138533,8.3,0.015071726893045,96.9,0.17595787179953,0,1.0269614106823,NA,0.1013255856183,1.4594152896314,53.7197,2.4067975069852,550.7,0.013684016921096,0.010605673396371,192.3,10.14,914.3,830632,443.4,-47.5,NA,443.4,1.7,1.0124344392716
"5",2007-12-31,42.5,2.57,0.5448,0.50067674924969,848.5,1988.4,103.9,94.4,0.083554611435652,0.16320885200553,0.047475357071012,-13.8531,0.39647577092511,5.7172131147541,38.9,0.015232974910394,4.25,91.7,62.8833,130.6,0.31425,NA,1035.4,0.64514923048165,1.621359223301,11.291166848419,7.9280245022971,1.7901106500692,NA,NA,11.7364,1129.8,0.64071615369141,0.79,9.6962025316456,-0.01,0.1665,0.87816607887143,NA,0.5754,0.07805270569302,1604.9,279,3.0494623655914,0.753053637812,48.8,0.084370677731674,133.1,0.23011756569848,0.087090163934426,0.32881555686506,NA,0.158540802213,0.48236514522822,51.1469,0.8133628941074,578.4,0.039182051841236,0.057513258691809,169,7.66,850.8,572346,638.6,47.1,5.9235668789809,638.6,1.35,0.66486200200082
"6",2006-12-31,42.2,1.04,0.3159,0.47022910785794,807,1751.7,111.8,79.3,0.025139487699721,0.16091720779221,0.045270308842838,-13.2584,0.60778727445394,68.678873239437,35.7,0.0017308559944219,4.22,78.1,63.3422,113.8,0.18896,NA,3075.1,2.1295706371191,5.2014546684709,39.373879641485,27.021968365554,6.2400568181818,0.1843,NA,0.5007,3154.4,0.67557230119313,1.24,45.096774193548,-0.055,0.0623,0.21087490157936,NA,0.594,0.080949934349489,1444,2438.1,0.29379434805791,0.22707963479584,35.5,0.072037337662338,66.4,0.13474025974026,0.11887323943662,3.0211895910781,3.7264716896059,0.15848214285714,4.9474431818182,62.8416,0.9920958639147,492.8,0.043865806094183,0.043990086741016,146.2,55.92,716.3,777800,591.2,48,50.79375,591.2,1.2,2.0707674128537
"7",2005-12-31,39.4,1.97,0.3029,0.47753898673287,673.4,1415.6,123.3,38.4,0.014668245540319,0.088663126298776,0.027126306866346,-2.2833,0.63387256520304,49.199017199017,34.1,0.0019676388333999,3.94,59.6,50.9544,93.7,0.14506,NA,2579.5,2.062774890044,5.4801359677077,43.280201342282,27.529348986126,5.9558993304087,0.2222,NA,-35.9623,2617.9,0.7141141565414,1.15,41.147826086956,-0.1,0.0538,0.2226536555459,NA,0.6775,0.044433455778469,1250.5,2002.4,0.30738114262885,0.23511211276214,40.7,0.09397367813438,26.3,0.060725005772339,0.096805896805897,2.973566973567,2.2141771916749,0.13761256060956,4.6234126067883,86.9167,1.7057741597267,433.1,0.040747240303879,0.06043956043956,134.1,47.32,615.5,277900,470.7,36.9,54.265582655827,470.7,1.2,2.0311118007603
"8",2004-12-31,34.3,1,0.3596,0.53486387300504,NA,1265.6,65.1,85.6,0.046506573943279,0.19543378995434,0.06763590391909,0.8131,0.55617352614016,43.04609929078,28.3,0.0031746031746032,3.43,38.9796,34.3948,67.2796,0.11762,NA,1755,1.6158733081668,4.0068493150685,45.023562330953,26.085176797302,4.911838790932,0.2162,NA,-3.2183,1840.6,0.724399494311,1.13,27.87610619469,NA,0.1312,0.26037735849057,NA,0,0.023309102402023,1086.1,1213.9,0.51626987395996,0.34048679778333,28.2,0.078925272879933,3.6,0.01007556675063,0.12163120567376,2.2273394495413,1.9910314195551,0.10909485026588,3.3974251329415,37.6131,1.0935689877098,357.3,0.031668180300341,0.051743119266055,114.5,31.5,626.7,69300,438,44.8,27.095982142857,438,1.15,1.5708799180678
"9",2003-12-31,34.3,1.17,0.3806,0.52804642166344,NA,1173.7,54.5,81.3,0.063520587545902,0.15595626318818,NA,-0.1951,0.61481870730426,33.971153846154,25.3,0.0058997050147493,4.116,55.5352,51.6916,80.8352,0.06921,NA,1198.6,1.1933492632417,2.2992518703242,21.582700131556,14.827695155651,3.7942386831276,0.1667,NA,22.6867,1279.9,0.70060492459743,0.75,27.12,NA,0.0171,0.22769640479361,NA,0.9522,0.025134191019852,1004.4,706.6,0.81135012737051,0.447925619189,20.8,0.065843621399177,-0.3,-0.00094966761633423,0.19788461538461,1.3790007806401,2.0378616584375,0.1758,2.2367837923394,29.0049,0.56111482104838,315.9,0.051465180629032,0.040593286494926,101.8,20.34,573.3,15100,521.3,33.9,20.843657817109,521.3,1.15,1.1788707746155
"10",2002-12-31,30.8,1.17,0.4683,0.53095787968767,NA,998.5,56.9,37.9,0.038543679446761,0.13569638381669,NA,-24.7,0.5478,19.782608695652,19.5,0.0061538461538462,3.08,37.5,32.5462,57,0.1321,NA,945.4,NA,NA,25.210666666667,16.585964912281,3.3848907984246,0.15,NA,-4.8537,983.3,0.75853780671006,NA,NA,NA,0.1072,0.35114503816794,NA,0.932,0.029544316474712,871.4,500.5,0.96463536463537,0.49099969490491,25.3,0.090583601861797,-4.1,-0.014679556032939,0.12173913043478,1.1735052754982,1.3188405797101,0.13426423200859,1.7919799498747,37.4,1.1491339247993,279.3,0.037349380307551,0.059320046893318,86.1,16.24,482.8,53070,314.9,19.2,26.067708333333,314.9,1.1,1.084920817076
"11",2001-12-31,NA,NA,NA,0.4851,NA,836.3,37.6,57.9,0.077138289368505,0.22957969865186,NA,-0.4597,NA,12.732441471572,16.4,0,0,59.9817,52.5368,76.3817,0.12412,NA,692.7,NA,NA,11.548522299301,9.0689261956725,2.7466296590008,0.1625,NA,31.7965,750.6,0.7207939734545,NA,NA,NA,-0.0539,0.27400182871076,0,0.4418,0.035274423053928,704.633,380.7,0.97163120567376,0.49280575539568,29.9,0.11855670103093,-5.75,-0.022799365582871,0,0.9696892511462,0.78353485978904,0.20831392306106,1.5095162569389,20.7403,0.39477682866479,NA,0.07455905612709,0.076158940397351,72.2,12.15,369.9,107900,252.2,24.1,15.796680497925,272.4,1.1,1.0652353778492
"12",2000-12-31,NA,NA,NA,0.29965083059994,NA,725.9,35.9,15.9,0.019385515727871,0.059439252336449,NA,0,NA,13.425,15.1,0,0,75.1675,65.3559,90.2675,0.13053,NA,804.3,NA,NA,10.70010310307,8.9101836209045,3.0067289719626,0.17,NA,44.5559,820.2,0.75602700096432,NA,18.247422680412,NA,NA,0.38011695906433,NA,0.3859,NA,646,537,0.52737430167598,0.34528163862473,40,0.14953271028037,7.9,0.029532710280374,0,1.4180089780829,78.970588235294,0.24432107,2.007476635514,20.8,0.31825748530732,NA,0.10117010251548,0.10562450488513,68.9615,17.7,283.2,NA,267.5,38.7,13.875968992248,269.8,NA,1.2391599939568
