"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,273.4,1.47,0.2651,0.4768,3504.3,20505.4,185.5,1805,0.1111,0.1301,0.088,-56.15,0.8,13.7,271,0.0251,328.08,1672,1125.77,1943,0.3265,0.385,14441.2,2.95,1.02,8.64,7.43,1.04,0.125,0.07,1267.43,16246.2,0.0333,3.9,12.81,0.055,0.085,0.1169,0.018,0.918,0.4352,4892.4,13053.1,0.2446,0.1965,952.6,0.0687,-3044.3,-0.2194,0.3422,3.72,1.1,0.1205,0.94,-141.65,-0.1258,13873,0.2301,0.2718,0,49.96,3193.1,1838599,14128.9,958.6,13.62,14128.9,1,2.43
"2",2010-12-31,285.5,1.32,0.335,0.47008154868501,3580.5,19566.1,153.7,2300,0.15176909981128,0.18337651983257,0.11755025273304,-261.0361,0.74626865671642,14.47191011236,253,0.023,275.5032,1460.2,962.5784,1713.2,0.34079,0.38707049763033,12854.6,2.8843314560101,0.94474658984007,8.8033146144364,7.5032687368667,1.0248833964521,0.095,0.085,1322.9146,15154.6,0.033389382656738,3.51,12.700854700855,0.075,0.156,0.18469717984281,0.018,0.9148,0.41333224301215,4456.7,11978.4,0.26516062245375,0.20958652818286,827.7,0.065991628463225,-3077.4,-0.24535778353598,0.33285393258427,3.3454545454546,1.5233589591957,0.11642017141718,0.95502491528802,-360.3361,-0.37434470811048,12542.5,0.21598457199273,0.23116883116883,0,44.58,3176.2,2326576,13606.4,924.2,12.960830988963,13606.4,1,2.242899640357
"3",2009-12-31,308.4,1.23,0.3352,0.34989538938396,4194.8,17920.7,130.6,1594.8,0.097795492871378,0.13606695845811,0.088992059461963,-121.8956,0.74582338902148,17.717276166457,242.8,0.0172,241.6566,1374.9,907.0353,1617.7,0.34029,0.37764872076597,14712.7,3.0287378800667,1.2038177994878,10.700923703542,9.0948259875131,1.2552748555974,0.075,0.06,1141.1309,16307.5,0.037794282589408,3.05,15.016393442623,0.095,-0.1258,0.17670189235684,0.042,0.8521,0.4387105414409,4857.7,14049.8,0.16069267889934,0.13844550053656,793,0.067658075029648,-2851.7,-0.24330458078442,0.30473715006305,3.3493372747211,2.3623034888609,0.11730528040134,1.1987168001911,-234.0956,-0.25808874295505,11720.7,0.18672113942812,0.18904357776295,0,45.8,2257.7,2345468,12221.7,828.3,16.962211759024,12221.7,1,2.5273149941883
"4",2008-12-31,307.3,1.06,0.2896,0.46591873862947,3522.8,17318.4,212.2,1112.4,0.07253473829722,0.083264096288146,0.064232261640798,262.0455,0.52486187845304,12.25922223333,235.9,0.0152,186.3961,1689.4,1121.7278,1925.3,0.33602,NA,14223.7,2.5938616966956,1.2027176716302,8.4193796614183,7.3877837220173,1.0646561725761,0.08,0.055,883.3823,15336.1,0.04155118255728,2.68,14.608208955224,0.12,0.1062,0.33122503328895,0.048,0.8855,0.42967017738359,5483.6,12262.9,0.25060956217534,0.20038992964313,1000.3,0.074873314920022,-2282.8,-0.17086954243669,0.18634017794662,3.4810094243216,1.5324027791663,0.12645304231319,0.91788860695065,238.3455,0.21248071745315,13359.9,0.20456047341163,0.2839502668332,2110.3,39.15,3073.2,2468731,11826.3,865.3,14.171847914018,11826.3,0.95,2.3250606428138
"5",2007-12-31,323,1.01,0.2044,0.42861332216171,4091.7,19271.7,223,1841,0.16801430996404,0.1450291476288,0.095528676764375,184.467,0.70450097847358,8.0845546786922,208.6,0.024568654048503,193.8,1659.1,1097.1296,1867.7,0.33872,NA,9116.4,1.7136090225564,0.66970798898072,5.4947863299379,4.8810836858168,0.71816606270679,0.1,0.075,898.2627,10957.4,0.036670350825303,3.15,8.5460317460317,0.125,0.1628,0.38985868661679,0.049,0.9004,0.38990851870878,5320,7888.1,0.38910510769387,0.28011207038166,975.7,0.07686308492201,-2549.4,-0.20083504017646,0.198626627037,1.9278295085172,0.80845546786922,0.13069954309122,0.62140381282496,198.867,0.1812611524669,12694,0.20622737744361,0.23845834249823,2026.7,26.92,3069.3,1789378,13612.5,1043.2,7.5614455521472,13612.5,0.9,1.530149420472
"6",2006-12-31,336.6,0.68,0.1446,0.44198281826568,3871.3,18164.4,177.6,1928.8,0.10263122888233,0.16953651697738,0.10618572592544,205.2857,0.8,18.202777777778,190,0.012841446665649,201.96,1483.5,985.8748,1673.5,0.33544,NA,16864.7,3.3670140552627,1.3725756700225,11.368183350185,10.077502240813,1.4823633854565,0.105,0.09,792.989,18793.5,0.035222743388166,3.2,14.21875,0.13,0.1545,0.095092327441493,0.0409,0.8396,0.38509942524939,5008.8,15727.2,0.19496795360903,0.16315747465879,864,0.075943358911479,-2566.5,-0.22558869287767,0.23375,4.0625113011133,1.7335978835979,0.13039580201988,1.3823800859637,192.8857,0.19564930389199,11376.9,0.19682853378055,0.22318084364425,1805.6,45.5,3066.3,1705700,12286.9,939.1,16.747098285593,12286.9,1,2.7089339252767
"7",2005-12-31,179,1.05,0.1663,0.37547456340167,3948,15919.9,162.7,1209.9,0.059915912703719,0.11543635687094,0.075999221100635,113.77,0.8,22.536613127608,175.2,0.010045062487023,179,1339.8,884.3752,1515,0.33992,NA,18983.4,3.7137155936381,1.7102162162162,14.168831168831,12.530297029703,1.8112030225835,0.1,0.1,783.1052,20193.3,0.038235164793749,5.36,19.503731343284,0.14,0.1238,0.14777338888588,0.036,0.8467,0.41548627818014,5111.7,17819.7,0.13320089563797,0.11754393784077,790.7,0.075440554903588,-1926.7,-0.18382612512045,0.22638168711268,4.5136018237082,2.2536613127608,0.1278300941695,1.7001745999943,101.27,0.11451021090281,10481.1,0.17300999354422,0.20027862208713,1728.4,104.54,2373.6,834100,11100,839.5,21.226563430613,11100,1.1,3.194333712984
"8",2004-12-31,187.1,1.34,0.2402,0.38793181067859,NA,16002.4,159.7,1739.6,0.096577912993271,0.16839129971832,0.10870869369595,-129.4066,1.1157368859284,21.323151347616,172.1,0.011749500646223,187.1,1214.9266,806.4804,1387.0266,0.33619,NA,16272.8,3.3046586247512,1.5751885157831,13.39406062536,11.732147364215,1.6694845699278,0.09,0.08,948.287,18012.4,0.039769034644803,4.79,17.768267223382,0.165,0.1508,0.094062070202715,0.034,0.8489,0.40752637104434,4924.2,15427.3,0.16756658650574,0.14351779884968,723.5,0.0742264445174,-2161.7,-0.22177651017728,0.25860400829302,3.7824061588251,2.369239038624,0.12464364740643,1.5827417104399,-141.8066,-0.17583389965179,9747.2,0.16377896913074,0.17738495108736,1685,85.11,2585.1,344900,10330.7,723.5,21.323151347616,10330.7,1.15,2.7030222995888
"9",2003-12-31,190.4,1.37,0.3838,0.42780024762691,NA,14499.5,141.1,1548.9,0.085896340990007,0.16365884068384,NA,-192.6492,0.71391349661282,22.844799526557,160.9,0.010633270321361,171.36,1325.9713,875.751,1486.8713,0.33954,NA,16483.3,3.6559685933549,1.7416474715243,12.431113517599,11.085895449244,1.9119052590067,0.115,0.105,1088.2002,18032.2,0.041160040001379,4.25,19.915294117647,0.2,0.1318,0.14421900161031,0.037,0.7994,0.4143315286734,4508.6,15440.8,0.16782809180871,0.14370958618471,675.9,0.078397940009743,-1970.7,-0.22858236481314,0.25352862849534,4.4548051123741,1.9865043066571,0.1538,1.7909852228176,-212.4492,-0.24259088793062,8621.4,0.19424012287788,0.19500302934134,1617.7,84.64,2591.4,340900,9464.2,0,NA,9464.2,1.25,2.9768386297978
"10",2002-12-31,188.4,1.4,0.4207,0.44148276986629,NA,11819.8,117.2,695.9,0.037639817399018,0.092339742313868,NA,596.3,0.7315,25.575446775447,150.3,0.0091579676505973,150.72,1104.1,717.8306,1254.4,0.34985,NA,17792.5,NA,NA,16.114935241373,14.184072066327,2.3609065456524,0.13,0.095,750.9306,18488.4,0.047183539484594,3.97,21.833753148615,NA,0.1068,0.30138221153846,0.04,0.8213,0.41867036667287,3903.6,16457.8,0.12338222605695,0.10983102918587,643.5,0.085386728235341,-1812.6,-0.24051590302934,0.23421911421911,6.4065553349683,1.9673420596497,0.14650425275002,2.1838037233125,-33.1,-0.046111156738557,7536.3,0.18388938800082,0.25049632138269,1479.3,86.68,2030.6,1091613,8234.1,646.9,25.441026433761,8234.1,1.2,4.5579721282918
