"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,31.9,1.76,0.4165,0.3547,1230.8,2869.7,56.5,292.1,0.2122,0.1929,0.1018,85.12,0.8,18.43,72.7,0,0,27,26.8,100,0,0,1084.6,0.67,0.62,40.47,10.9,0.72,0.24,0.085,-42.12,1376.7,0.1681,2,11.1,-0.12,0.005,0.348,0.03,0.9206,0.3407,1615.2,700.2,0.9662,0.4914,38,0.0251,582,0.3843,0,0.57,0.77,0.0177,0.46,68.92,2.5716,1514.5,0.0166,0.0309,247.7,22.2,676.5,372402,1736,91.3,7.67,1736,1.55,0.72
"2",2010-12-31,30.5,1.86,0.5015,0.067832378655412,1236.8,1772.7,26.4,400.6,0.49609907120743,0.334781881999,0.22598296384047,45.8446,0.77268195413759,8.6864406779661,54.1,0,0,122.6,88.7195,176.7,0.27635,0.23019571295433,406.9,0.43932196069963,0.2972242512783,3.3189233278956,2.3027730616865,0.34004679926458,0.15,0.065,70.5749,807.5,0.14446888926496,3.87,5.7855297157623,0.14,0.3614,0.35074987905177,0.028,NA,0.25966040503187,926.2,717.5,0.12543554006969,0.11145510835913,82.6,0.069028915259903,318.2,0.26592010696975,0,0.58012613195343,0.57909604519774,0.10245696139061,0.5996155774695,18.1446,0.20451680280832,1196.6,0.095788695746059,0.066785252263907,162,22.39,90,268366,1369,119.2,6.0192953020134,1369,1.55,0.60860717515828
"3",2009-12-31,30.3,1.72,0.5548,0,1131.3,1444.1,25.7,355.4,0.29961220704772,0.40770907422278,0.24610484038502,93.5844,0.72098053352559,NA,53.8,0,0,112,112,165.8,0,NA,830.8,1.0707565407913,0.72565289544938,7.4178571428571,5.0108564535585,0.95308018813812,0.04,0.02,46.5156,1186.2,0.15726057752233,2.77,13.902527075812,NA,-0.4996,0.29003069962837,0.03,0.9827,0.21702098192646,775.9,1186.2,0,0,-19.4,-0.02225536308363,298.6,0.34254904210164,NA,1.0485282418457,NA,0.12848457037972,1.3607892623609,65.4844,0.58468212769793,871.7,0.14434849851785,-0.017148413329798,133.3,38.51,0,237033,1144.9,75.3,15.752988047809,1144.9,1.6,1.0485282418457
"4",2008-12-31,30.2,1.7,0.5386,0.022648686030429,1130.6,1434.4,30.7,244.8,0.24860363562506,0.14094887148779,0.17066369213609,-182.4234,0.505012996658,7.1052631578947,56.1,0,0,186.4,169.007,242.5,0.09331,NA,739.9,0.81129385964912,0.79825223864495,3.9694206008584,3.0511340206186,0.42601335789958,-0.035,0.01,376.8304,984.7,0.17094255437814,1.47,21.353741496599,NA,0.6935,0.44255063164227,0.03,0.9715,0.24644450641383,912,958.5,0.027334376630151,0.026607088453336,134.9,0.077671579917089,391.2,0.22524182404422,0,0.84777993985494,NA,0.10732381391064,0.55187701520037,-207.8234,-1.2296729343675,1736.8,0.18531471052632,0.11931717672033,166.1,31.39,26.2,418995,926.9,-32.5,NA,926.9,1.7,0.8512275242047
"5",2007-12-31,30.1,1.6,0.4947,0.0012625036418374,1028.4,1469.2,19.4,100.2,0.18432671081678,0.098091042584435,0.068200381159815,-249.1863,0.58217101273499,3.2986618004866,33.2,0,0,196.3,156.0173,229.5,0.20521,NA,443.4,0.47703066164605,0.25342935528121,2.2587875700458,1.9320261437908,0.43406754772394,0.15,0.09,419.0035,543.6,0.19656956166621,4.06,5.1995073891626,0.06,0.531,0.68797953964194,0.02,0.9897,0.21930302205282,929.5,542.3,0.0023971971233634,0.0023914643119941,164.4,0.16093979441997,349.6,0.34224180127264,0,0.52732399844418,0.21991078669911,0.19216837983358,0.53088595203133,-262.9863,-1.6856226474624,1021.5,0.16785075524476,0.15985997666278,117,21.11,1.3,464166,1749.6,197.3,2.7486061834769,1749.6,1.8,0.52792075361756
"6",2006-12-31,29.7,2.45,0.45,0.0017868538608807,782.1,1618.2,14.5,282.3,0.15963582899796,0.42766247538252,0.17445309603263,-60.5997,0.67555555555556,74.872881355932,31.8,0,0,75.3,37.65,107.1,0.50529,NA,1486.1,2.9650837988827,1.6807283420041,19.73572377158,13.875816993464,2.2513255567338,0.14,-0.03,115.5497,1768.4,0.13039179335064,5.35,11.241121495327,-0.065,-0.4794,0.27523761880941,0.01,NA,0.084970955382524,501.2,1767,0.00079230333899264,0.00079167609138204,23.6,0.035752158763824,178.5,0.27041357370095,0,2.259301879555,5.3480629539952,0.1140736252083,2.6768671413422,-77.8997,-2.0690486551496,660.1,0.075119712689545,0.030175169415676,109.4,60.14,1.4,881050,884.2,100.5,17.582089552239,884.2,1.9,2.2570516911296
"7",2005-12-31,29.3,2.42,0.4637,0.44021285475793,536.5,1220.3,25.2,114.6,0.064050972501677,0.091709346991037,0.093911333278702,-7.1986,0.46581841708001,50.084249084249,49.1,0,0,67.6,44.1036,116.7,0.34758,NA,1674.6,1.98459350557,1.3113547376664,24.772189349112,14.349614395887,1.3401088348271,0.265,0.015,75.2022,1789.2,0.30246660657215,4,11.32,-0.145,-0.0987,0.55456106572306,0.01,NA,0.1467671883963,843.8,1367.3,0.30856432384992,0.23580371115582,27.3,0.021846991037132,328.3,0.26272407170294,0,2.5485554520037,1.8899716635566,0.054097311139565,1.0941901408451,-31.0986,-0.7051271371425,1249.6,0.05226782649917,0.050885368126747,90,45.28,421.9,606700,1277,149,9.1765100671141,1277,1.35,1.8668614357262
"8",2004-12-31,28.5,0.42,0.717,0.46920980926431,NA,1334.7,18.4,26.8,0.02765452481684,0.020092967461389,0.020079418595939,-3.6673,0.11715481171548,4.2813990461049,51,0,0,201.3493,157.8337,252.3493,0.21612,NA,942.3,1.0579319636241,0.70647773279352,4.6799271057772,3.7341099711436,0.69939879759519,0.34,-0.09,194.101,969.1,0.29205064808571,1.52,12.361842105263,NA,0.4771,0.45963684095384,0.01,0.929,0.13628530755975,890.7,538.6,0.79929446713702,0.44422660200186,125.8,0.093371929043272,366,0.27165441995101,0,1.105954825462,0.12592350135603,0.14944651525273,0.39976248793884,-36.2673,-0.22978197262623,1347.3,0.177201842871,0.25831622176591,129.1,18.79,430.5,283100,1333.8,125.8,4.2813990461049,1333.8,1.15,1.0562397820164
"9",2003-12-31,28.4,0.69,0.7098,0.7176760394136,NA,2339.1,94,77.2,0.036245833137706,0.041979336595976,NA,-486.5084,0.19442096365173,NA,58.9,0,0,192.4485,76.9794,251.3485,0.6,NA,2052.7,1.2932837701613,1.1162044589451,10.666231294734,8.1667492081114,0.41811626675357,0.045,-0.1,528.3878,2129.9,0.27968021888761,NA,NA,0.03,0.7656,0.23884514435696,0.068,0.8726,0.084647941515968,1587.2,935.4,1.2769937994441,0.5608244518522,-23.9,-0.0048682120014666,777.9,0.15845113455819,NA,1.9906363055969,NA,0.0392,0.19053244795698,-451.4084,-5.8640157036766,4909.4,0.048500120967742,-0.050861885507555,245.8,32.07,1194.5,115400,1839,-69.2,NA,1839,1,1.2796803652968
"10",2002-12-31,28.4,0.4,0.6998,0.7176760394136,NA,2339.1,94,77.2,0.039906952700956,0.015724935837373,NA,-469.7,0.1261,NA,58.9,0,0,133.7,-391.626,192.6,3.92914,NA,1857.3,NA,NA,13.891548242334,9.6433021806854,0.37831506905121,0.025,-0.135,-426.726,1934.5,0.27968021888761,1.1,23.690909090909,NA,0.7656,0.62363919129082,0.068,0.8695,0.084647941515968,1587.2,740,1.6141891891892,0.61747221504265,-23.9,-0.0048682120014666,777.9,0.15845113455819,NA,1.5748031496063,NA,0.027233470485192,0.15073125025461,35.1,NA,4909.4,-0.24674018271169,-0.050861885507555,245.8,26.06,1194.5,484093,1839,-69.2,NA,1839,0.85,1.170173891129
