"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,19.8,1.07,0.3799,0.0062,434.1,749.9,68.5,91.4,0.0715,0.1153,0.1219,5.95,0.7,28.04,20.2,0,0,67,49.46,88,0.2651,0.2661,1186.9,3.44,1.46,17.64,13.56,1.5,0.195,0.105,-4.79,1278.3,0.149,NA,NA,NA,0.05,0.2601,0.088,0.8842,0.1599,345.4,1275.6,0.0021,0.0021,45.5,0.0574,231.3,0.2917,0,2.94,1.44,0.0849,1.61,54.25,1.0969,793,0.1432,0.1048,201.3,64.04,2.7,171452,813.4,47.1,27.08,813.4,0.85,2.93
"2",2011-06-30,19.5,0.5,0.3801,0.0077359463641052,384.8,584.9,13.4,55.6,0.058594161660871,0.084743179393385,0.095058984441785,9.4386,0.55906340436727,28.320359281437,18.5,0,0,51.2,36.609,69.7,0.28498,0.2847965738758,893.3,2.6890427453341,1.2967048918566,17.447265625,12.816355810617,1.3615302545344,0.2,0.07,32.2705,948.9,0.094033168062917,NA,NA,NA,0.0358,0.23352701199159,0.086,0.8423,0.17780817233715,332.2,945.9,0.0031715826197272,0.0031615554852988,33.4,0.050906873952141,188.8,0.28776101204085,0,2.4581600831601,1.4160179640719,0.078036884621247,1.4417009602195,4.3386,0.11851070367076,656.1,0.11020175797712,0.086798336798337,188.1,48.78,3,119556,688.9,34.8,27.181034482759,688.9,0.85,2.4468798349665
"3",2010-06-30,18.3,0.85,0.4884,0.10320182961692,313.7,513.1,18.1,52,0.072625698324022,0.087380272223156,0.10134476710193,0,0.38390663390663,28.809322033898,18.6,0,0,39.6,26.6563,58.2,0.32686,0.32571428571429,664,2.229684351914,1.1157788606957,16.767676767677,11.408934707904,1.1157788606957,0.235,0.055,27.1563,716,0.10037029818749,NA,NA,0.085,-0.0423,0.29394190871369,0.103,0.8877,0.1869031377899,297.8,679.9,0.053096043535814,0.050418994413408,23.6,0.039657200470509,165.2,0.27760040329356,0,2.1673573477845,1.2259285971872,0.066543438077634,1.1424970593178,-0.5,-0.018757260935708,595.1,0.089510893216924,0.075231112527893,178.4,36.36,36.1,143334,595.1,24.5,27.751020408163,595.1,0.75,2.0468839336764
"4",2009-06-30,17.4,0.89,0.4383,0.15956151035323,276,474.8,10.9,25.2,0.058131487889273,0.042682926829268,0.0530749789385,-4.2683,0.27378507871321,34.333333333333,17.8,0,0,26.7,18.0254,44.5,0.32489,NA,408.3,1.346635883905,0.70885416666667,15.292134831461,9.1752808988764,0.69156504065041,0.775,0.055,29.1937,433.5,0.088879528222409,NA,NA,-0.345,-0.0346,0.44253164556962,0.099,0.8368,0.1952401010952,303.2,381.1,0.13749672002099,0.12087658592849,11.1,0.01880081300813,175,0.29640921409214,0,1.3807971014493,0.44301075268817,0.045223577235772,0.6454945799458,-11.1683,-0.61958512755762,590.4,0.059450649736148,0.040217391304348,174.8,27.28,52.4,173142,576,13.6,28.022058823529,576,0.75,1.3200365408039
"5",2008-06-30,17.7,1.56,0.426,0.211123723042,278,507.6,12.1,18.2,0.059206245933637,0.029208794735997,0.03585500394011,-5.576,0.33802816901409,16.762589928058,19.3,0,0,23.7,22.7501,43,0.04008,NA,289.2,0.86535008976661,0.45166328283617,12.20253164557,6.7255813953488,0.46413095811266,NA,0.075,35.5261,307.4,0.092986603624902,0.74,18.716216216216,NA,0.1275,0.45967527282406,0.099,0.8763,0.18695823483057,334.2,233,0.31931330472103,0.24202992843201,13.9,0.02230781575991,202,0.32418552399294,0,0.83812949640288,NA,0.038035628310063,0.37393676777403,-12.776,-0.56157945531495,623.1,0.068073321364452,0.05,195.4,13.85,74.4,105415,640.3,16,14.5625,640.3,0.9,0.87230419977299
"6",2007-06-30,17.1,1.68,0.3309,0.16316858496953,247.2,451.5,15.3,16,0.032173738186206,0.030058237835807,0.035437430786268,-4.8134,0.50770625566636,NA,17.8,0,0,-15.4,-15.4,2.4,0,NA,481.3,1.7226198997852,0.87860533041256,NA,200.54166666667,0.90418936689837,0.2333,NA,-8.0866,497.3,0.10653377630122,0.7,35.957142857143,NA,0.1422,0.20550161812298,NA,0.8813,0.17452934662237,279.4,449.1,0.10732576263638,0.096923386285944,-18.8,-0.035318429457073,165.3,0.31053916964118,NA,1.8167475728155,NA,-0.028931053916964,0.8436971632538,-7.3134,NA,532.3,-0.05511811023622,-0.076051779935275,193.6,25.17,48.2,86885,547.8,-14.9,NA,547.8,1.05,1.6834800270819
"7",2006-06-30,16.6,2.35,0.3811,0.066041275797373,248.9,403.5,16,13.9,0.037618403247632,0.030704660923349,0.034448574969021,-4.8157,0.4198373130412,NA,14.2,0,0,2.4,1.2,16.6,0.6,NA,355.6,1.4077593032462,0.76259918507399,148.16666666667,21.421686746988,0.78550916721891,0.2,NA,4.2157,369.5,0.10532837670384,0.36,58.138888888889,-0.075,0.147,0.16875312969454,NA,0.7832,0.18116480793061,252.6,351.9,0.050014208581984,0.047631935047361,-2,-0.0044179368235034,160.3,0.3540976364038,NA,1.4138208115709,NA,0.0053015241882041,0.77733598409543,-3.0157,-2.5131065459097,452.7,0.004750593824228,-0.0080353555644837,174.3,20.93,17.6,105201,466.3,-4.3,NA,466.3,1,1.3864915572233
"8",2005-06-30,16.2,0.54,0.3678,0.086601307189542,NA,347.1,16.8,15.4,0.047370039987696,0.038567493112948,0.044367617401325,4.6503,0.29363784665579,NA,10.6,0,0,-5.133,-5.133,5.467,0,NA,309.7,1.3500435919791,0.7756073127974,NA,56.648984817999,0.80441558441558,0.2167,NA,-15.9833,325.1,0.089311437626044,-0.18,NA,0.015,0.5603,0.25101763907734,NA,0.8047,0.21895707288966,229.4,303.9,0.069759789404409,0.065210704398647,-0.4,-0.001038961038961,125.2,0.3251948051948,NA,1.3591234347048,NA,-0.013332467532467,0.78935064935065,10.8503,-2.1138292839053,385,-0.022375762859634,-0.0017889087656529,146.8,18.39,21.2,45561,399.3,-6.3,NA,399.3,0.75,1.328022875817
"9",2004-06-30,16.2,0.75,0.4496,0.010869565217391,NA,331.8,5.4,39.9,0.10737351991389,0.1347972972973,NA,20.9967,0.33362989323843,34.495327102804,5.7,0,0,20.2622,14.9821,25.9622,0.26059,NA,331.7,1.7448711204629,1.1206081081081,16.370384262321,12.776267034381,1.3423715095103,NA,NA,-5.7146,371.6,0.05666063893912,NA,NA,0.02,0.2114,0.27423822714681,NA,0.686,0.20735382760699,190.1,369.1,0.0067732321863993,0.0067276641550054,10.7,0.043302306758397,106.1,0.4293808174828,0,1.6224175824176,NA,0.082,1.4937272359369,20.6967,1.3814324331297,247.1,0.078811537622304,0.047032967032967,68.8,21.54,2.5,93538,296,10.6,34.820754716981,296,0.7,1.615652173913
"10",2003-06-30,14.5,0.55,0.9136,0.023809523809524,NA,229.5,3.6,98.2,0.34565293910595,0.53778751369113,NA,-0.2,0.1312,17.48125,4.3,0,0,21.9,15.5286,26.2,0.29093,NA,185.9,NA,NA,8.4885844748858,7.0954198473282,1.0180722891566,0.2213,NA,16.2286,284.1,0.061437908496732,0.78,24.589743589744,NA,0.2968,0.18040621266428,NA,0.6212,0.10457516339869,86.6,279.7,0.015731140507687,0.015487504399859,16,0.087623220153341,46.4,0.25410733844469,0,1.55044345898,0.78993447808405,0.11993428258489,1.5317634173056,-0.7,-0.045078018135917,182.6,0.17931446882217,0.088691796008869,38,19.18,4.4,143231,184.1,14.1,19.836879432624,184.1,0.6,2.1466512702079
