"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,34.5,1,0.2414,0.4488,424.6,3840,0,58.2,0.0382,0.0152,NA,0.8,11.63,0,0.0164,19.32,242,162.01,242,0.3314,0.3314,1466.1,2.06,6.05,6.05,0.065,162.01,1524.3,0,2.17,15.42,0.17,NA,0.1226,NA,0.831,0.0032,712.1,1178.6,0.2933,0.2268,101.3,0,0.2611,2.78,1.79,0,0,NA,0.2275,0.2386,17.7,33.47,345.7,101429,NA,74,15.93,NA,0.8,1.98
"2",2010-12-31,34.1,1.24,0.3379,0.51906334434104,320.4,3273.7,0,48,0.034975225881667,0.014662308702691,NA,0.59189109203906,16.040625,0,0.0134,13.7564,133.1,93.9753,133.1,0.29395,0.29281767955801,1324.4,2.1423487544484,9.9504132231405,9.9504132231405,0.065,93.9753,1372.4,0,2.91,10.182130584192,0.11,NA,0.23394036421853,NA,0.8186,0.0024131716406512,618.2,1026.6,0.336840054549,0.25196735645584,64,0,0.214944375,3.2041198501873,2.4677884615385,0,0,NA,0.15201432384342,0.19975031210986,20,29.63,345.8,150248,NA,100.6,10.204771371769,NA,0.8,2.0600420294206
"3",2009-12-31,16.9,0.79,0.4661,0.60136336692353,269,2770.8,0,77.7,0.067040552200173,0.028042442615851,NA,0.45591074876636,17.475638051044,0,0.0144,10.8461,154.6,119.0636,154.6,0.22986,0.22898032200358,1081.3,1.8109194439792,6.9941785252264,6.9941785252264,0.05,119.0636,1159,0,3.44,12.601744186046,0.105,NA,0.22707182320442,NA,0.8782,0.0020210769452866,597.1,753.2,0.53876792352629,0.35012942191544,43.1,0,0.25164918793503,2.8,3.4951276102088,0,0,NA,0.1994031887456,0.16022304832714,30.5,43.35,405.8,80355,NA,53.2,14.157894736842,NA,0.85,1.7175459395376
"4",2008-12-31,16.9,0.7,0.4578,0.61954198473282,249.2,3233.3,0,40.7,0.045076974194263,0.012587758636687,NA,0.29707295762342,14.325648414986,0,0.0177,8.7987,108,83.9786,108,0.22242,NA,862.2,1.4035487546801,7.9833333333333,7.9833333333333,0.106,NA,902.9,0,2.1,13.938095238095,0.16,NA,0.2847965738758,NA,0.9423,0.0017629047722142,614.3,497.1,0.8163347415007,0.44944069110643,34.7,0,0.25356397694525,1.9947833065811,1.3514762655647,NA,NA,NA,0.13670623473873,0.1392455858748,64.2,29.27,405.8,164097,NA,36.8,13.508152173913,NA,0.85,1.3784732824427
"5",2007-12-31,16.8,0.07,0.3895,0.66920943134535,190.8,2710.9,0,47.2,0.056594724220623,0.017411191855104,NA,0.32862644415918,14.132492113565,0,0.0195,8.736,88.1,60.5494,88.1,0.31272,NA,786.8,1.4856495468278,8.9307604994325,8.9307604994325,0.11,NA,834,0,2.03,14.600985221675,0.245,NA,0.45425805176842,NA,0.7757,0.0021763989818879,529.6,448,0.86160714285714,0.46282973621103,31.7,0,0.27558359621451,2.3480083857442,1.2847720103241,NA,NA,NA,0.1143303776435,0.16614255765199,83.1,29.64,386,159768,NA,32.2,13.913043478261,NA,0.8,1.4459084604716
"6",2006-12-31,16.7,0.28,0.1417,0.41954787234043,174.6,2529.4,0,42.5,0.073049157786181,0.01680240373211,NA,0.8,14.372239747634,0,0,0,85.6,60.1391,85.6,0.29744,NA,539.3,2.0878823073945,6.3002336448598,6.3002336448598,NA,NA,581.8,0,1.93,12.699481865285,0.29,NA,0.13714957193218,NA,0.6795,0.0024116391239029,258.3,455.6,0.27699736611062,0.21691302853214,31.7,0,0,2.6093928980527,NA,NA,NA,NA,0.2328266976384,0.1815578465063,65.3,24.51,126.2,161301,NA,31.4,14.509554140127,NA,0.85,1.9341755319149
"7",2005-12-31,16.7,0.49,0.206,0.41457680250784,149.4,2134.9,0,40.4,0.060551558752998,0.018923602979062,NA,0.62135922330097,17.822222222222,0,0.011898824367652,6.68,77.3,53.5581,77.3,0.30714,NA,626.8,2.9180633147114,8.1086675291074,8.1086675291074,NA,NA,667.2,0,1.87,17.679144385027,0.315,NA,0.1272565847884,NA,0.6526,0.0029977984917326,214.8,561.4,0.18845742785892,0.15857314148681,31.5,0,0.21206349206349,3.7576974564926,NA,NA,NA,NA,0.249339283054,0.21084337349398,31.3,33.06,105.8,31212,NA,32.7,17.168195718654,NA,0.8,2.6144200626959
"8",2004-12-31,16.5,0.75,0.2787,0.4647266313933,NA,1726.8,0,41.1,0.056634973129392,0.023801250868659,0,0.53821313240043,23.949806949807,0,0.010840108401084,6.6,NA,NA,NA,0.31731,NA,684.6,3.686591276252,NA,NA,NA,NA,725.7,0,1.87,19.732620320856,NA,0,0.13220239836209,NA,0.6188,0.0038800092656938,185.7,620.3,0.16991778171852,0.14523907950944,25.9,0,0.25482625482625,5.1095551894563,NA,0,NA,NA,NA,0.21334431630972,16.8,36.9,105.4,27550,NA,37.2,16.674731182796,0,0.75,3.1997354497355
"9",2003-12-31,16.2,0.37,0.3134,0.53907346747777,NA,1386.5,0,28.4,0.041844703108885,NA,0,0.23611997447352,27.89603960396,0,0.0092753623188406,5.184,NA,NA,NA,0.33334,NA,650.3,3.5094441446303,NA,NA,NA,NA,678.7,0,1.55,22.258064516129,NA,0,0.27573719606829,NA,0.4841,0.0046159394157952,185.3,563.5,0.20443655723159,0.16973626049801,20.2,0,0.25663366336634,5.7208121827411,NA,0,NA,NA,NA,0.20507614213198,13.1,34.5,115.2,22579,NA,24.5,23,0,0.7,3.1759475900795
"10",2002-12-31,15.5,0.67,0.3406,0.5981256890849,NA,1035.9,0,24.8,0.052464565263381,NA,0,0.4321,25.291666666667,0,0.022130697419001,8.06,43.8,27.4928,43.8,0.37231,NA,447.9,NA,10.22602739726,10.22602739726,0.12,27.4928,472.7,0,1.23,18.528455284553,NA,0,0.36070060207991,NA,0.4269,0.0026064291920069,156.6,364.2,0.29791323448655,0.22953247302729,14.4,0,0.55972222222222,4.9958847736626,2.1076388888889,0,0,0,0.1755608045977,0.19753086419753,14.4,22.79,108.5,20350,0,18.8,19.372340425532,0,0.7,2.860153256705
"11",2001-12-31,NA,0.55,0.4019,0.6355,NA,871.4,0,31.1,0.098761511590981,NA,0,0.2373,24.022222222222,0,0.0142,3.07,NA,NA,NA,0.31296,NA,283.8,NA,NA,NA,0.15,NA,314.9,0,NA,NA,NA,NA,0.39235900545785,0,0.3701,0.0032132201055772,124.196,216.2,0.45652173913043,0.3134328358209,9,0,0.34111555555556,3.8197879858657,1.6014814814815,0,NA,NA,NA,0.15901060070671,25.3,28.7,98.7,32900,0,11.4,18.964912280702,0,0.7,2.5355083899642
