"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,35.6,1.91,0.3686,0.3934,546.2,5528.2,0,92.3,0.0739,NA,0.0167,NA,0.8,17.64,0,0.0398,35.6,219,127.07,219,0.4206,0.4206,1156.2,1.43,NA,5.27,5.27,NA,0.1,127.07,1248.5,0,1.53,16.19,NA,NA,0.1567,NA,0.7118,0.0102,808.2,894.2,0.3962,0.2838,50.7,NA,0,NA,0.6994,1.64,1.76,NA,NA,0,0,NA,0.1572,0.0928,20.6,24.77,354.3,191413,NA,50.9,17.57,NA,1.25,1.39
"2",2010-12-31,35.4,1.95,0.4729,0.42548596112311,478.8,5529,0,82.2,0.079198381346951,NA,0.014867064568638,NA,0.63438359061112,NA,0,0.0374,25.5554,225.3,225.3,225.3,0,NA,955.7,1.2722310969116,NA,4.2418996893031,4.2418996893031,NA,0.11,225.3,1037.9,0,1.42,13.345070422535,NA,NA,0.28394381713027,NA,0.7633,0.013221197323205,751.2,683.3,0.51895214400703,0.341651411504,-62,NA,0,NA,NA,1.4271094402673,NA,NA,NA,0,0,NA,0.29992012779553,-0.12949039264829,26.2,18.95,354.6,214957,NA,29.1,23.481099656357,NA,1.2,1.2453803695704
"3",2009-12-31,35,1.14,0.5335,0.57028997795489,506.8,5324.1,0,93.9,0.064776490066225,NA,0.017636783681749,NA,0.53889409559513,NA,0,0.0018,1.3986,198.7,198.7,198.7,0,NA,1355.7,1.2489175495164,NA,6.8228485153498,6.8228485153498,NA,0.0965,198.7,1449.6,0,NA,NA,NA,NA,0.20269619643717,NA,0.7526,0.0062545782385755,1085.5,777,0.86563706563707,0.46399006622517,-9.4,NA,0,NA,NA,1.5331491712707,NA,NA,NA,0,0,NA,0.1830492860433,-0.01854775059195,31.9,21.38,672.6,218143,NA,-62.1,NA,NA,1.15,1.2290995421401
"4",2008-12-31,27.2,0.97,0.5021,0.60688500575494,375.7,4495.5,0,100.9,0.07958040854957,NA,0.022444666889111,NA,0.36646086436965,NA,0,0.002,1.3758,198.9,79.56,198.9,0.6,NA,1167,1.3652316331306,NA,5.867269984917,5.867269984917,NA,0.023,NA,1267.9,0,NA,NA,NA,NA,0.48641975308642,NA,0.6792,0.0088755422088755,854.8,687.9,0.84314580607647,0.4574493256566,-233.1,NA,0,NA,NA,1.8309821666223,NA,NA,NA,NA,NA,NA,0.093074403369209,-0.62044184189513,41.2,20.15,580,334228,NA,8,85.9875,NA,1.15,1.3266715496495
"5",2007-12-31,28,0.42,0.4009,0.29810715827116,1138.4,5179,0,99.4,0.085446574400413,NA,0.019192894381155,NA,0.43901222249938,7.5282392026578,0,0.052721388643719,35.84,256,151.36,256,0.40875,NA,1063.9,0.69878489326765,NA,4.155859375,4.155859375,NA,0.05,NA,1163.3,0,1.23,21.869918699187,0.17,NA,0.5844824416253,NA,0.6483,0.15558988221664,1522.5,679.8,0.71123859958811,0.41562795495573,90.3,NA,0,NA,0.3968992248062,0.59715390021082,1.5056478405316,NA,NA,NA,NA,NA,0.099415435139573,0.079321855235418,56.5,26.9,483.5,217334,NA,-225,NA,NA,1.1,0.71724520623959
"6",2005-12-31,37.2,0.78,0.734,0.78743961352657,13.2,79.3,12.2,26.7,0.5255905511811,0.29372937293729,0.33669609079445,0.0275,0.21798365122616,NA,13.5,0,0,-16.4997,-16.4997,-2.9997,0,NA,24.1,0.68079096045198,0.2636761487965,NA,NA,0.26512651265127,NA,-15.2272,50.8,0.49810844892812,NA,NA,NA,-0.2747,NA,NA,0.1736,0.0025220680958386,35.4,1.9,25.736842105263,0.96259842519685,-5.7,-0.062706270627063,-5,-0.055005500550055,NA,0.14393939393939,NA,-0.18151485148515,0.020902090209021,-1.2725,NA,90.9,-0.46609322033898,-0.43181818181818,54.2,0.05,48.9,173565,91.4,-9,NA,91.4,1,0.81803542673108
"7",2004-12-31,36.8,2.24,1.0337,0.79415204678363,NA,107.1,7.1,42.8,0.42250740375123,0.39813953488372,0.39962651727358,0.4125,0.43339460191545,NA,32.6,0,0,-6.498,-6.498,26.102,0,NA,58.5,1.3700234192037,0.54418604651163,NA,2.2412075703011,0.47177419354839,NA,18.5895,101.3,0.40522875816993,NA,NA,NA,-0.0841,0.43609022556391,NA,0.0665,0.00093370681605976,42.7,33.4,2.0329341317365,0.67028627838105,-20.1,-0.16209677419355,-3.1,-0.025,NA,1.8977272727273,NA,-0.052403225806452,0.26935483870968,-25.0875,3.8608033240997,124,-0.15217798594848,-1.1420454545454,58.1,0.97,67.9,105668,107.5,14.2,2.3521126760563,107.5,1.4,1.1847953216374
"8",2003-12-31,36.6,1.77,1.081,0.38251001335113,NA,173.7,5,34.7,0.3249063670412,0.2965811965812,NA,0.6146,0.32747456059204,NA,44,0,0,39.1282,39.1282,83.1282,0,NA,72.1,0.62641181581234,0.61623931623932,1.8426598501031,0.86733482324053,0.53566121842496,NA,77.5137,106.8,0.69775474956822,NA,NA,NA,-0.1828,0.61679790026247,NA,0.0809,0,115.1,49.5,1.1575757575758,0.53651685393258,-11.6,-0.086181277860327,-4.7,-0.034918276374443,NA,0.53513513513513,NA,0.2907,0.36775631500743,-38.3854,-0.98101672746191,134.6,0.33994978279757,-0.12540540540541,59.2,1.2,57.3,21483,117,-25.6,NA,117,1.25,0.71295060080107
"9",2002-12-31,36.4,2.14,1.2183,0.54701298701299,NA,243,20.2,57.3,0.31868743047831,0.3491773308958,NA,18.8,0.3859,NA,41.5,0,0,10.1,10.1,51.6,0,NA,122.5,NA,NA,12.128712871287,2.3740310077519,0.74649603900061,NA,31.4,179.8,0.65679012345679,NA,NA,NA,0.0853,0.88888888888889,NA,0.0674,0,135.2,74.5,1.4134228187919,0.58565072302558,-9.2,-0.05606337599025,-17.5,-0.1066422912858,NA,0.85435779816514,NA,0.061547836684948,0.4539914686167,-21.3,-2.1089108910891,164.1,0.074704142011834,-0.10550458715596,59,2.07,105.3,434096,154.8,-3.8,NA,154.8,1.25,0.9060650887574
"10",2001-12-31,NA,2.09,1.0575,0.6767,NA,314.7,35.2,82.5,0.41270635317659,0.55,NA,-0.2989,0.3455,NA,34.7,0,0,26.5486,26.5486,61.2486,0,NA,117.4,NA,NA,4.4220787536819,1.9167785059577,0.78266666666667,NA,26.3475,199.9,0.63870352716873,NA,NA,NA,0.0725,0.60747663551402,0,0.0438,0,180.644,21.8,8.1697247706422,0.89094547273637,-34.8,-0.232,-22.325,-0.14883333333333,NA,0.25616921269095,NA,0.17699066666667,0.14533333333333,0.2011,0.0075747873710855,NA,0.14696640906977,-0.40893066980024,66.1,0.62,178.1,28100,150,-36.7,NA,152,1.25,1.1065963995483
