"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-02-02,52.8,1.87,0.4681,0.3692,504.3,1633.8,74.7,58.2,0.0721,0.0282,0.0356,0.08,0.8,17.61,79.5,0.0062,3.17,66,45.95,145,0.2996,0.3005,749.3,1.01,0.36,11.42,5.16,0.36,0.09,0.025,50.66,807.5,0.4262,0.74,13.28,NA,-0.015,0.3008,0.062,0.9322,0,741.2,512.4,0.5759,0.3654,29.1,0.0141,109.5,0.0531,NA,1.02,1.96,0.0318,0.25,-4.72,-0.1026,2063.6,0.062,0.0577,444,9.83,295.1,804988,2065.2,-2.8,NA,2065.2,1.3,1.01
"2",2011-02-02,52.6,1.7,0.6493,0.38234155156835,478.5,1556.7,70.3,90.2,0.10190938876963,0.045358543699085,0.05794308473052,2.7072,0.53904204527953,15.83064516129,74.2,0.0107,6.3012,80.1,50.9444,154.3,0.36399,0.36301369863014,794.9,1.1612856099343,0.39047993319251,9.9238451935081,5.151652624757,0.39972845217741,0.36,0.035,52.1372,885.1,0.45031155649772,0.93,11.827956989247,-0.07,-0.0066,0.32228666114333,0.079,0.9277,0,684.5,588.9,0.50297164204449,0.33465145181335,37.2,0.018706627778336,114.3,0.057477622447953,0.16938790322581,1.2307210031348,0.43974014336918,0.040279593683999,0.29613798652318,-1.1928,-0.023413838602232,1988.6,0.074425713659606,0.077742946708464,442.2,11,296.2,710905,2035.7,41.9,14.054892601432,2035.7,1.4,1.1425067768168
"3",2010-02-02,50.2,1.71,0.69,0.40940580868638,443.3,1499.1,43.2,39.3,0.038177579172333,0.020566225338846,0.026215729437663,4.6664,0.48913043478261,34.385714285714,70.5,0.0087,6.2823,55.9,33.9933,126.4,0.39189,0.39130434782609,990.1,1.3919583860537,0.50407290499949,17.71198568873,7.8330696202532,0.51813281699723,NA,0.025,56.6269,1029.4,0.4712827696618,0.71,18.915492957747,NA,0.0321,0.28772088808337,0.069,0.789,0,711.3,722.1,0.4255643262706,0.29852341169613,21,0.010989586058925,167.3,0.087550368936103,0.29915571428571,1.6289194676291,NA,0.029253231461615,0.37788476634047,-22.6336,-0.66582334490508,1910.9,0.047790452692254,0.047371982855854,430.3,13.43,307.3,436962,1964.2,30.7,23.521172638437,1964.2,1.35,1.3714361843858
"4",2009-02-02,52.3,1.72,0.6933,0.45541114399691,423.2,1552.4,34.8,21.3,0.026341825377195,0.011048863990041,0.013720690543674,-0.3555,0.3230924563681,NA,73.2,0.0138,6.2749,-19.6,-19.6,53.6,0,NA,787.3,1.0416776925113,0.40930595269041,NA,14.688432835821,0.40839298682436,NA,0.015,19.1555,808.6,0.47687451687709,0.36,23.5,NA,-0.1072,0.61040892193309,0.109,0.8157,0,755.8,454.7,0.77831537277326,0.43767004699481,-25.2,-0.013071895424837,159.4,0.082684925822181,NA,1.0744328922495,NA,-0.010167029774873,0.23586471625687,-38.7555,NA,1927.8,-0.025932786451442,-0.059546313799622,485,8.46,353.9,603528,1923.5,-2.5,NA,1923.5,1.4,1.0405353236392
"5",2008-02-02,51.8,1.39,0.4209,0.46070119156737,470.7,1583.9,43.1,20.9,0.034973226238286,0.0097750339086104,0.013195277479639,11.2579,0.57020669992872,NA,81,0.071539641943734,13.986,18.1,18.1,99.1,0,NA,576.7,0.67695738936495,0.28809071835348,31.861878453039,5.8193743693239,0.26972545718161,NA,0.015,44.7421,597.6,0.49296041416756,0.19,21.736842105263,NA,-0.0193,0.6472131147541,0.239,0.8692,0,851.9,195.5,2.0567774936061,0.67285809906292,-2.4,-0.0011224919320892,176.6,0.0825966980029,NA,0.41533885702146,NA,0.0084654599878397,0.091436321968103,-26.6421,-1.4719375724975,2138.1,0.02124662519075,-0.0050987890376036,503.2,4.13,402.1,549076,2001.8,-14.1,NA,2001.8,1.5,0.68469294225481
"6",2007-02-02,53.9,2.21,0.3528,0.4867576606707,567.8,1767.2,50.2,51.5,0.044289645682834,0.022665258339935,0.029142145767316,2.3382,0.63492063492063,NA,88.5,0.023310908217203,14.553,16.1,16.1,104.6,0,NA,1111.3,1.053564656807,0.49914660438376,69.024844720497,10.624282982792,0.48908546782854,NA,0.03,52.0618,1162.8,0.51278859212313,0.4,25.075,NA,0.0217,0.36800486618005,0.239,0.9936,0,1054.8,624.3,0.86256607400288,0.46310629514964,-6.6,-0.0029046738843412,116,0.051051844027814,NA,1.0995068686157,NA,0.0070856438693777,0.27475574333245,-35.9618,-2.2336537604675,2272.2,0.015263557072431,-0.011623811201127,551,10.03,538.5,1882600,2226.4,10.6,58.896226415094,2226.4,1.4,1.0510711380277
"7",2006-02-02,54.2,2.02,0.3314,0.44069231492804,594.6,1821.8,85.9,48.3,0.036780383795309,0.021608804581245,0.026512240641124,0.1346,0.65178032589016,NA,79.9,0.017324493903161,14.634,-2.7,-2.7,77.2,0,NA,1264.9,1.2464525029563,0.56628016295832,NA,16.384715025907,0.56590014316392,0.18,0.005,-8.8346,1313.2,0.52003513009112,0.28,53.071428571429,-0.06,-0.0012,0.2789799072643,0.165,NA,0,1014.8,844.7,0.55463478157926,0.35676210782821,-27.2,-0.012168933428776,200.6,0.089745884037223,NA,1.4206189034645,NA,-0.0012079455977094,0.37790801717967,6.1346,NA,2235.2,-0.0026606227828143,-0.045745038681467,514,14.86,468.5,385100,2233.7,-19.8,NA,2233.7,1.35,1.2352553851942
"8",2005-02-02,55.1,1.39,0.4511,0.43958494125718,NA,1867,88.1,82.8,0.061107011070111,0.036720031930462,0.044349223352973,-1.0992,0.61627133673243,23.206611570248,76.6,0.018181818181818,14.877,92.0492,57.6495,168.6492,0.37371,NA,1272.2,1.1743745961414,0.56419353408133,13.82087271174,7.5434698229781,0.55972546086497,0.035,0.035,47.2487,1355,0.50615961435458,0.05,297,0.02,0.021,0.23076923076923,0.116,0.973,0,1083.3,842.4,0.60849952516619,0.37830258302583,36.3,0.015970786220247,138.8,0.061067358880725,0.4098347107438,1.2890589135425,6.6304604486423,0.040498561309341,0.37062783228475,10.4008,0.18041424432902,2272.9,0.053216542917197,0.055547054322877,530.4,14.85,512.6,322400,2254.9,36.3,23.206611570248,2254.9,1.35,1.161992968013
"9",2004-02-02,52.8,1.24,0.4845,0.4603313754712,NA,1841,43.3,61,0.040593598189925,0.027393569247351,NA,5.7338,0.51186790505676,21.533039647577,69.6,0.016627078384798,14.784,176.2932,111.5936,245.8932,0.367,NA,1441.7,1.3352783180513,0.64743129153943,8.1778546396406,5.8631150323079,0.67549079323432,0.12,0.005,132.1597,1502.7,0.53568712656165,1.08,15.592592592593,-0.045,-0.0388,0.42586750788644,0.116,0.7791,0,1079.7,977.6,0.5371317512275,0.34943767884475,45.4,0.021271611301129,132.3,0.061987536897343,0.32563876651982,1.5880441845354,1.7944199706314,0.0826,0.45804244951506,-20.5662,-0.18429512069752,2134.3,0.10335610163934,0.073749187784275,480.1,16.84,525.1,145300,2226.8,0,NA,2226.8,1.25,1.3173489962304
"10",2003-02-02,51.6,1.04,0.7362,0.49119373776908,NA,1799.9,43.9,42.8,0.023813498024815,0.01970080552359,NA,-55.1,0.312,23.873469387755,79.6,0.01190972815866,13.932,121.5,76.545,201.1,0.37,NA,1754.5,NA,NA,14.440329218107,8.7245151665838,0.80759493670886,0.16,0.01,112.245,1797.3,0.60447802655703,0.88,25.147727272727,NA,-0.0093,0.57657021877205,NA,0.7554,0,1234.7,1169.8,0.53641648144982,0.34913481333111,49,0.022554660529344,189.7,0.087318757192175,0.28432653061224,1.7996923076923,1.4920918367347,0.055926352128884,0.5384579976985,-35.7,-0.46639231824417,2172.5,0.061994816554629,0.075384615384615,512.6,22.13,627.5,552831,2105.7,NA,NA,2105.7,1.2,1.420992953754
