"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,412.3,0.28,0.1424,0.5292,12353,49750,4038,513,0.0165,0.0343,0.0103,1.56,0.49,15.13,2215,0.0438,750.39,2267,1581.16,4482,0.3025,0.3025,30501.6,1.19,2.03,13.45,6.81,2.04,0.035,0.025,-243.39,31014.6,0.6765,2.6,15.45,0.035,0.025,0.0883,NA,0.7312,0,25726,17128.6,0.8107,0.4477,1132,0.0757,338,0.0226,0.6419,1.39,4.32,0.1516,1.15,1824.56,1.1539,14956,0.0615,0.0916,0,40.18,13886,2413593,15025,1169,14.65,15025,0.5,1.18
"2",2010-12-31,395.2,0.19,0.1327,0.53732600585663,11534,46025,3802,291,0.0097331576236379,0.021024492449967,0.0063226507332971,8.7835,0.8,14.827313566936,2151,0.0444,732.7243,2308,1547.4678,4459,0.32952,0.32951807228916,29606.8,1.2016722136537,2.005608996071,12.827902946274,6.6397847050908,2.1390650964526,0.06,0.03,-112.3156,29897.8,0.68330255296035,3.24,12.722222222222,0.07,-0.0314,0.13154172560113,NA,0.7037,0,24638,16502.8,0.81168044210679,0.44802627618086,1113,0.080413264937505,132,0.0095368831731811,0.65833272237197,1.430795907751,2.4712189278227,0.16675095730077,1.1923126941695,1659.7835,1.0725802672594,13841,0.062808175988311,0.096497312294087,0,41.22,13395,2800036,14762,1095,15.071050228311,14762,0.55,1.1993180632998
"3",2009-12-31,370.6,0.27,0.1533,0.55272270799065,10333,42945,3958,527,0.016696712300123,0.039331293380103,0.012271510071021,-3.2779,0.8,16.090839041096,1947,0.0395,742.367,2299,1585.1375,4246,0.31051,0.31050767414404,31036.1,1.3747995570321,2.2556944545389,13.499826011309,7.3094912859162,2.31629972386,0.06,0.02,-422.5846,31563.1,0.67276749330539,3.45,13.866666666667,0.38,-0.1076,0.16367552045944,NA,0.6714,0,22575,18794.1,0.67941534843382,0.4045546856931,1168,0.087170684379431,-122,-0.0091051571012762,0.63558814212329,1.8188425433078,2.6818065068493,0.17157996865438,1.4026494514516,2007.7221,1.2665917819606,13399,0.070216500996678,0.11303590438401,0,47.84,12769,2709619,13759,1132,16.602561837456,13759,0.55,1.3662496753528
"4",2008-12-31,361.1,0.31,0.1572,0.55702003023432,9377,40860,3628,219,0.0077146087918359,0.014971287940935,0.005359765051395,14.2279,0.55979643765903,13.85367278798,1863,0.0395,655.5696,2261,1668.9345,4124,0.26186,NA,28168.7,1.3446322020144,2.0861067910835,12.458513931889,6.8304316197866,1.9256699480449,0.065,0.02,-110.2933,28387.7,0.64270680372002,3.38,13.210059171598,0.265,0.0826,0.14072229140722,NA,0.682,0,20949,16596.7,0.710442437352,0.41535594641341,1198,0.081897730380093,-185,-0.012646978397594,0.54722007512521,1.7699370800896,2.1313342750738,0.15456658463221,1.134584358764,1779.2279,1.0660860615284,14628,0.079666549238627,0.12775941132558,0,44.65,11791,2539608,13503,1244,13.341398713826,13503,0.55,1.3410667044596
"5",2007-12-31,378.4,0.52,0.1588,0.49671334667048,8553,36648,2769,345,0.01533190235578,0.026063307395936,0.0094138834315652,91.1985,0.65491183879093,13.72972166998,1770,0.042738178843188,590.304,2018,1313.9803,3788,0.34887,NA,22157.1,1.3112261806131,1.5386875,10.979732408325,5.8492872228089,1.6738762559492,0.05,0.055,223.7819,22502.1,0.64549225060031,3.13,12.367412140575,NA,0.0401,0.26275051831375,NA,0.6666,0,16898,13812.1,0.62915849146763,0.38618617817893,1006,0.075999093450177,-1038,-0.078416559643424,0.58678330019881,1.6148836665497,2.745944333996,0.15245146181159,1.0434464002418,1090.1985,0.82969160624222,13237,0.077759518286188,0.11761954869636,NA,38.71,8690,1502906,14400,1024,13.48837890625,14400,0.65,1.3049991300818
"6",2006-12-31,372.8,0.76,0.13,0.4896835443038,7811,34803,2402,456,0.019793298926561,0.036366536406412,0.013102318765624,70.158,0.8,15.440060544904,1709,0.035084536405879,536.832,2028,1300.7998,3737,0.35858,NA,22582.1,1.4962960508879,1.7333512434756,11.135157790927,6.0428418517527,1.8009490389983,0.045,0.045,537.6418,23038.1,0.62595178576559,2.9,14.948275862069,NA,0.0584,0.10121372031662,NA,0.6628,0,15092,15301.1,0.50564992059394,0.33583498639211,991,0.079033415742882,-1799,-0.1434723662174,0.54170736629667,1.9589169120471,3.4311245655343,0.16173538559694,1.2202807241407,763.158,0.5866836776479,12539,0.086191343758282,0.12687235949302,NA,43.35,7737,3348774,13028,1070,14.300093457944,13028,0.85,1.4817404167739
"7",2005-12-31,368.3,0.49,0.1189,0.50069175428888,7470,34074,1804,713,0.0299870883084,0.060924549260873,0.020925045489229,163.2817,0.8,18.295243362832,1735,0.029394699768425,486.156,1900,1186.189,3635,0.37569,NA,23063.9,1.6480100035727,1.7653195560658,12.138894736842,6.3449518569464,1.9707681790994,0.055,0.05,953.9073,23776.9,0.58563714268944,2.73,17.336996336996,NA,0.2006,0.14119876806444,NA,0.6397,0,13995,16538.9,0.43763490921403,0.30441310683899,904,0.07724515081603,-1403,-0.11988379048107,0.53778318584071,2.2140428380187,3.3264078841513,0.16235153379475,1.4132188327779,232.2817,0.19582184848723,11703,0.084758056448732,0.12101740294511,NA,47.33,7238,762100,13065,924.4,17.891497187365,13065,1.15,1.6165964101169
"8",2004-12-31,418.6,0.63,0.2421,0.48445086705202,NA,34540,1559,972,0.043806278899976,0.088710413434334,0.028141285466126,4.7069,0.52044609665427,15.324750277469,1497,0.032301480484522,502.32,2185.992,1421.0478,3682.992,0.34993,NA,21216.6,1.2770314192849,1.9363511910194,9.7057079806331,5.7606967378696,1.9148555956679,0.265,0.01,1354.341,22188.6,0.54976838448176,2.36,15.741525423729,-0.205,0.0565,0.11497289031002,NA,0.6237,0,16614,13807.6,0.60698455922825,0.37771648504187,901,0.081317689530686,-424,-0.03826714801444,0.55751387347392,1.5993976601413,0.57829246330074,0.1972916967509,1.2461732851986,66.7069,0.046942022846257,11080,0.085533153932828,0.1010202937549,0,37.15,8381,983600,10957,901,15.324750277469,10957,1.1,1.2825780346821
"9",2003-12-31,416.5,1.14,0.3424,0.46512180629828,NA,30175,1698,3658,0.2116579681298,0.34405568096313,NA,17.9726,0.66588785046729,16.900884955752,1222,0,0,3536.4215,2239.6511,4758.4215,0.36669,NA,13624.6,2.7016855046599,1.2814710308503,3.8526516140681,2.8632604320571,1.3056636320077,0.175,-0.055,1745.6785,17282.6,0.60006628003314,1.84,18.010869565217,-0.135,-0.2348,0.16399256882283,NA,0.6215,0,5043,13368.6,0.29277560851548,0.22647055419902,791,0.075802587446095,952,0.091231432678486,0,3.1716725978648,0.96576485461441,0.3389,1.2811308097748,493.9726,0.22055783251296,10435,0.44411086658041,0.17573872472784,0,33.14,3914,601000,10632,3950,3.3844556962025,10632,1,2.0537849079025
"10",2002-12-31,381.7,0.5,0.5263,0.56237887596899,NA,33696,3032,3895,0.24253557084592,0.31172468987595,NA,4430,0.2107,NA,1309,0,0,-798,-798,511,0,NA,12164.5,NA,NA,NA,23.805283757339,0.97354941976791,NA,NA,-2521,16059.5,0.50237416904084,NA,NA,NA,-0.4819,0.40644833714141,NA,0.6236,0,4841,11416.5,0.40669206849735,0.28911236339861,-874,-0.069947979191677,-3386,-0.27098839535814,NA,3.1598394685857,NA,-0.063865546218487,0.91368547418968,1723,NA,12495,-0.16484197479859,-0.241904234708,0,27.65,4643,1724610,11604,-1806,NA,11604,0.95,2.512807271225
