"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,139.7,0.57,0.2589,NA,-204.3,269.5,0,210.8,0.1498,0.5995,0.7822,-0.46,0.55,5.17,0,0.084,83.82,333,216.15,333,0.3515,0.3514,1196.8,NA,3.31,3.59,3.59,3.4,0.12,0.05,216.61,1407.6,0,1.56,4.51,0.02,0.1684,0.01,0.8914,0,-5.1,997.6,0.411,0.2913,192.9,0.5486,-16.9,-0.0481,0.4166,NA,0.43,0.948,2.84,-0.46,-0.0021,351.6,NA,NA,18.3,7.04,410,3924381,361.2,201.2,4.96,361.2,0.75,NA
"2",2010-12-31,139.6,0.49,0.4176,NA,-324.2,316.7,0,246.2,0.1795900503319,0.71673944687045,0.77739185348911,-1.0644,0.44899425287356,4.9348703170029,0,0.0979,83.822,302.1,201.1926,302.1,0.33402,0.33397312859885,1124.7,NA,3.1807126696833,3.7229394240318,3.7229394240318,3.2742358078603,0.125,0.055,202.257,1370.9,0.00031575623618566,1.2,5.1666666666667,-0.076,0.17957746478873,0.01,0.8258,0,-55.7,856.2,0.60114459238496,0.37544678678241,173.5,0.50509461426492,-36.2,-0.10538573508006,0.48312380403458,NA,0.39478962536023,0.87947598253275,2.492576419214,-1.0644,-0.0052904338753354,343.5,NA,NA,41.4,6.2,514.7,2497501,353.6,196.8,4.3506097560976,353.6,0.75,NA
"3",2009-12-31,119.5,0.36,0.4944,NA,-416,338.4,0,303.2,0.18736868125077,0.95285983658077,0.89598108747045,-0.0857,0.37924757281553,4.6926726410121,1,0.1567,139.4943,297.1,201.0387,298.1,0.32333,0.3232251159472,1315,149.43181818182,4.0214067278287,4.4261191518007,4.4112713854411,4.1326209930861,0.22,0.025,202.1244,1618.2,0.00059101654846336,1.21,5.1487603305785,0.0791,0.18989405052975,0.01,0.7743,0,8.8,890.2,0.81779375421254,0.44988258558893,189.7,0.59616593337524,-3.1,-0.0097423004399749,0.7353418028466,NA,0.21330330186419,0.93368950345695,2.7976115650534,-1.0857,-0.0054006142901749,318.2,22.845301931818,NA,20.1,6.23,728,2514326,327,144.9,6.1435472739821,327,0.75,5.1865384615385
"4",2008-12-31,119.3,0.56,0.5221,NA,-352.6,191.1,3.3,147.5,0.11136277840695,0.50118926265715,0.77184720041863,0.1958,NA,5.435069215557,22.5,0.0725,59.7762,242.7,151.2167,265.2,0.37694,NA,1177,NA,3.5862279098111,4.8496085702513,4.4381598793364,3.9993204213388,0.925,-0.03,170.2208,1324.5,0.0057561486132915,1.31,5.2366412213741,-0.3738,0.28374655647383,0.01,NA,0,-0.10000000000002,824.5,0.60642813826562,0.37750094375236,151.7,0.51546041454298,1.7,0.0057764186204553,0.39404251812788,NA,0.058757505033049,0.82466870540265,2.8015630309208,-19.0042,-0.12567516804971,294.3,NA,NA,29,6.86,500,2571855,328.2,194.2,4.245623069001,328.2,NA,NA
"5",2007-12-31,117.6,0.9,0.4591,0.51337359792925,507.6,1192.2,94.7,412.5,0.32811008590519,0.89073634204275,0.34599899345747,44.1619,NA,NA,70,0,0,-12.8,-12.8,57.2,0,NA,844.7,1.3395179194418,2.3895332390382,NA,14.767482517483,1.8240120924206,NA,NA,-81.6619,1257.2,0.27738634457306,-0.03,NA,0.1635,0.52243861134632,0.031,0.9944,0.076161717832578,630.6,721.7,0.74199806013579,0.42594654788419,-15.5,-0.033470092852516,186.6,0.4029367307277,NA,1.4217888100867,NA,-0.02763981861369,1.5584107104297,68.8619,NA,463.1,-0.020298128766254,-0.03053585500394,394.6,6.18,535.5,2297266,353.5,31,23.28064516129,353.5,NA,1.2052535710862
"6",2006-12-31,115,2.05,0.4006,0.51709534139035,467.5,1141.9,36.5,333.1,0.1312605902983,0.85563832519908,0.29170680444873,10.2009,0.53919121318023,NA,75.7,0,0,-78.5808,-78.5808,-2.8808,0,NA,2204.6,3.471811023622,4.8209053137984,NA,NA,5.6629848445929,NA,0.235,-49.5817,2537.7,0.25965496102986,-0.12,NA,0.3561,0.2726859222197,0.031,NA,0.31149837989316,635,2037.1,0.24574149526287,0.19726524017811,-74.7,-0.19188286668379,-58.4,-0.15001284356537,NA,4.3574331550802,NA,-0.20185157975854,5.2327254045723,-28.9991,NA,389.3,-0.12374932283465,-0.15978609625668,381.5,16.24,500.6,1845013,457.3,-25.3,NA,457.3,1.35,2.6213201115587
"7",2005-12-31,112.1,1.89,0.4222,0.49124842858524,526.1,1166,41.3,285,0.10044406851343,1.0189488737934,0.24442538593482,-9.0619,0.51160587399337,NA,50.6,0,0,-35.1,-35.1,15.5,0,NA,2552.4,3.4072887464958,6.5462939215183,NA,164.67096774193,9.1254915981409,NA,0.345,-16.7381,2837.4,0.22821612349914,-0.46,NA,1.4905,0.34030992151338,0.032,0.8606,0.39022298456261,749.1,2329.4,0.21808190950459,0.17903714668358,-36.4,-0.13013943510904,23,0.082230961744726,NA,4.4276753468922,NA,-0.12549159814086,8.3282087951377,-18.3619,NA,279.7,-0.046856227472968,-0.069188367230564,239.4,20.14,508,536498,389.9,-45.6,NA,389.9,1.35,2.743835219031
"8",2004-12-31,95.9,1.71,0.5032,0.38515427038307,NA,713.7,95.7,390.4,0.1107486312445,2.4522613065327,0.54700854700855,-21.5275,0.67965023847377,NA,11.4,0,0,-58.3728,-58.3728,-46.9728,0,NA,3134.7,11.175401069519,19.690326633166,NA,NA,32.653125,NA,0.43,-121.1453,3525.1,0.33347344822755,-0.15,NA,0.4109,0.38133692238672,0.081,0.92,0.043855961888749,280.5,3266.7,0.079101233660881,0.073302885024538,-53.2,-0.55416666666667,-32.7,-0.340625,NA,7.9192727272727,NA,-0.60805,34.028125,62.7725,-1.0753724337363,96,-0.20810267379679,-0.1289696969697,31.8,28.42,258.4,755216,159.2,-53.2,NA,159.2,1.7,5.2542852884185
"9",2003-12-31,93.9,1.41,0.6124,0.36564313004104,NA,742,91.1,491.6,0.21947408366445,6.4429882044561,NA,-3.2816,0.46048334421946,NA,8.4,0,0,-34.0437,-34.0437,-25.6437,0,NA,1748.3,8.1278475127848,22.913499344692,NA,NA,26.211394302849,NA,0.26,-113.4621,2239.9,0.20956873315364,-0.64,NA,0.3659,0.30710900473934,0.081,0.8368,0.043530997304582,215.1,1981.5,0.13040625788544,0.11536229295951,-35.9,-0.53823088455772,-22.8,-0.34182908545727,NA,4.4200312290877,NA,-0.5104,29.707646176911,79.4184,-2.3328394809142,66.7,-0.15826908414691,-0.08008030336828,27.3,20.09,258.4,559160,76.3,-52.5,NA,76.3,1.45,3.169520305646
"10",2002-12-31,89.2,1.73,0.7422,0.2258064516129,NA,717.8,34.8,606.4,0.33344330803915,13.068965517241,NA,151.1,0.5119,NA,5.4,0,0,-30.6741,-30.6741,-25.2741,0,NA,1212.2,NA,NA,NA,NA,26.125,NA,0.075,-60.0741,1818.6,0.098634717191418,-0.52,NA,-0.4216,0.50036469730124,0.076,0.7665,0,97.3,1659.7,0.095740194010966,0.087374903772132,-14.6,-0.31465517241379,-6.7,-0.14439655172414,NA,3.0464390602056,NA,-0.66107931034483,35.769396551724,29.4,NA,46.4,-0.31525262076054,-0.026798825256975,19.1,18.11,158.9,1417521,0,NA,NA,0,1.4,12.458376156218
"11",2001-12-31,NA,0.52,1.5458,0.0164,NA,729.9,8.7,650.3,0.73306278886259,8.1798742138365,NA,0,0.0586,337.61538461538,4.8,0,0,16.4176,16.4176,21.2176,0,NA,236.8,NA,NA,14.423545463405,11.160545961843,2.9786163522013,NA,NA,12.5176,887.1,0.057679134127963,-0.22,-42.181818181818,0.2413,0.60440165061898,0.065,0.6357,0,-82.548,877.8,0.010594668489405,0.010483598241461,2.6,0.032704402515723,-7.987,-0.10046540880503,0,1.5719914040115,NA,0.2065106918239,11.041509433962,3.9,0.23754994639899,NA,NA,0.0046561604584527,15.7,9.28,9.3,839800,79.5,0,NA,0,1.4,NA
"12",2000-12-31,NA,1.4,1.5352,0.017524841915086,NA,705,3.4,661.2,0.22507403751234,10.478605388273,NA,-238.767,0.27357998957791,4880,3.6,0,0,12.19092,12.1909,15.7909,0,NA,2276.5,NA,NA,186.73734221864,144.16512780763,36.07765451664,NA,NA,17.5365,2937.7,0.053475177304964,NA,631.2,0.5593,0.50897443645374,0.062,0.7393,NA,-117.4,2928,0.0033128415300546,0.0033019028491677,0.6,0.0095087163232964,-9.2,-0.14580031695721,0,5.4821194532859,NA,0.1932,46.402535657686,-5.3456,-0.43848700508247,NA,NA,0.0011233851338701,12.1152,31.56,9.7,NA,63.1,7.8,375.38461538462,82.1,NA,NA
"13",1999-12-31,NA,1,1.5098,0.057780320366133,NA,182.6,18.8,24,0.0098550486593028,0.44776119402985,NA,NA,0.099350907404954,NA,3.5,0,0,-6.6,-6.6,-3.1,0,NA,2411.3,NA,NA,NA,NA,44.986940298507,0.2,NA,-21.4028,2435.3,0.20810514786418,NA,NA,0.1183,0.73416929186377,NA,0.8176,NA,150.8,2425.2,0.0041646049810325,0.0041473329774566,NA,-0.097014925373134,NA,-0.01865671641791,NA,14.724954462659,NA,-0.12313432835821,45.246268656716,NA,NA,NA,-0.043766578249337,-0.03157255616272,9.8,NA,NA,NA,NA,-5.2,NA,53.6,NA,13.931922196796
