"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.8,1.3,0.3189,0.1795,123,1600.3,0,7.1,0.0469,0.0044,NA,0.8,10.2,0,0.0141,1.76,44,37.86,44,0.1297,0.1286,144.2,1.01,3.31,3.31,37.86,151.3,0,NA,NA,-0.09,NA,0.2312,NA,0.4104,0,142.8,124.4,0.2162,0.1778,12.2,0,0.1615,1.01,0,0,NA,0.2651,0.0992,6.1,14.08,26.9,12212,NA,10.9,11.41,NA,0.9,1.01
"2",2010-12-31,8.8,1.31,0.4009,0.2052667116813,117.7,1505.4,0,6.5,0.052674230145867,0.0043177892918826,NA,0.56123721626341,12.077922077922,0,0.019,1.767,43.5,30.5996,43.5,0.29656,0.29357798165138,116.9,0.82556497175141,2.6873563218391,2.6873563218391,30.5996,123.4,0,0.84,12.797619047619,-0.075,NA,0.19327731092437,NA,0.3491,0,141.6,93,0.32688172043011,0.24635332252836,7.7,0,0.22948051948052,0.79014443500425,0,0,NA,0.21609915254237,0.065420560747664,9.8,10.75,30.4,13500,NA,7.3,12.739726027397,NA,0.9,0.83322079675895
"3",2009-12-31,8.7,0.86,0.4506,0.28672427336999,90.8,1512.4,0,7.9,0.053198653198653,0.0052234858503041,NA,0.52707501109632,15.774647887324,0,0.0157,1.7584,41.6,29.12,41.6,0.3,0.30392156862745,140.6,1.177554438861,3.3798076923077,3.3798076923077,29.12,148.5,0,NA,NA,-0.03,NA,0.22378138847858,NA,0.3594,0,119.4,112,0.32589285714286,0.24579124579125,7.1,0,0.24766197183099,1.2334801762115,0,0,NA,0.24388609715243,0.078193832599119,16.3,13.05,36.5,11896,NA,6.8,16.470588235294,NA,0.95,1.1665357423409
"4",2008-12-31,8.7,NA,NA,0.32119741100324,83.9,1385.4,0,25.7,0.17724137931035,0.018550599104952,NA,NA,7.3125,0,0.0166,1.748,42.3,28.4099,42.3,0.32837,NA,119.3,1.2185903983657,2.8203309692671,2.8203309692671,NA,145,0,NA,NA,0.015,NA,0.42332613390929,NA,0.3207,0,97.9,105.3,0.37701804368471,0.27379310344828,14.4,0,0.1213875,1.2550655542312,NA,NA,NA,0.2901935546476,0.17163289630512,23.9,12.68,39.7,15359,NA,9.5,11.084210526316,NA,0.9,1.1731391585761
"5",2007-12-31,8.3,NA,NA,0.21376281112738,107.4,1347,0,25.4,0.094213649851632,0.018856718634001,NA,NA,20.201680672269,0,0.022096505823627,5.312,33.6,23.3419,33.6,0.3053,NA,244.2,2.1960431654676,7.2678571428571,7.2678571428571,NA,269.6,0,NA,NA,0.04,NA,0.28772704124936,NA,0.333,0,111.2,240.4,0.12146422628952,0.10830860534125,11.9,0,0.44638655462185,2.2383612662942,NA,NA,NA,0.20990935251799,0.11080074487896,35.2,25.95,29.2,6619,NA,14.3,16.811188811189,NA,0.85,1.9736456808199
"6",2006-12-31,8.3,NA,NA,0.18779342723005,103.8,1288.4,0,23.2,0.10060711188205,0.018006830176964,NA,NA,20.254901960784,0,0.025711519845111,5.312,32.8,24.4275,32.8,0.25526,NA,207.4,1.9827915869981,6.3231707317073,6.3231707317073,NA,230.6,0,NA,NA,0.075,NA,0.2768383798663,NA,0.2603,0,104.6,206.6,0.1161665053243,0.1040763226366,10.2,0,0.52078431372549,1.990366088632,NA,NA,NA,0.23353223709369,0.098265895953757,29.1,24.5,24,3700,NA,11,18.781818181818,NA,0.95,1.8043818466354
"7",2005-12-31,8.3,NA,NA,0.24216959511077,99.2,1255.3,0,19.6,0.075239923224568,0.015613797498606,NA,NA,17.465648854962,0,0.021765734265734,4.98,35.1,24.3805,35.1,0.3054,NA,240.9,2.1644204851752,6.8632478632479,6.8632478632479,NA,260.5,0,NA,NA,0.105,NA,0.11278762731045,NA,0.2353,0,111.3,228.8,0.13854895104895,0.12168905950096,13.1,0,0.38015267175572,2.3064516129032,NA,NA,NA,0.21905175202156,0.1320564516129,17.1,28.1,31.7,900,NA,10.3,22.21359223301,NA,0.85,1.9900687547746
"8",2004-12-31,8.2,0,0,0.26073380171741,NA,1067.4,0,15.6,0.058734939759036,0.014614952220349,0,NA,17.725190839695,0,0.020071684587814,4.592,NA,NA,NA,0.31699,NA,250,2.2222222222222,NA,NA,NA,265.6,0,NA,NA,NA,0,0.12596401028278,NA,0.2545,0,112.5,232.2,0.14384151593454,0.12575301204819,13.1,0,0.35053435114504,2.4519535374868,0,NA,NA,NA,0.13833157338965,8.5,27.9,33.4,8400,NA,13.2,17.590909090909,0,0.75,2.0733801717408
"9",2003-12-31,8.2,0,0,0.26064291920069,NA,968.1,0,17.2,0.057333333333333,NA,0,NA,21.951219512195,0,0.013990461049285,3.608,NA,NA,NA,0.31995,NA,282.8,2.8886618998979,NA,NA,NA,300,0,NA,NA,NA,0,0.13120233096238,NA,0.2402,0,97.9,270,0.11111111111111,0.1,12.3,0,0.29333333333333,3.1727379553466,0,NA,NA,NA,0.14453584018801,9.4,31.45,30,2300,NA,12.9,20.93023255814,0,0.75,2.6064291920069
"10",2002-12-31,7.4,0,0,0.060827250608273,NA,859.8,0,17.9,0.074181516784086,NA,0,0,19.857142857143,0,0.012526449428692,2.96,28.1,18.9051,28.1,0.32722,NA,223.4,NA,7.9501779359431,7.9501779359431,18.9051,241.3,0,NA,NA,NA,0,0.20000704002253,NA,0.2378,0,64.3,236.3,0.021159542953872,0.020721094073767,11.9,0,0.24873949579832,3.0608808290155,0,0,0,0.29401427682737,0.15414507772021,11.8,31.95,5,5490,0,12.2,19.368852459016,0,0.7,3.4743390357698
