"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,2748,0.25,0.1181,0.3174,64035,132244,3964,4436,0.0206,0.053,0.0335,-11.96,0.53,16.38,3204,0.0333,6183,15677,11876.11,18881,0.2425,0.2522,211187.6,2.36,2.55,13.47,11.19,2.52,0.095,0.05,11128.07,215623.6,0.1541,NA,NA,0.065,0.05,0.0917,0.01,0.5696,0.6409,89377,185845.6,0.1602,0.1381,11344,0.1356,1265,0.0151,0.5381,2.9,1.72,0.1873,2.22,748.04,0.063,83680,0.1329,0.1772,26333,67.89,29778,9033760,82889,11490.6,16.17,82889,0.6,2.3
"2",2011-06-30,2765.7,0.52,0.1637,0.32009198620207,68001,138354,3306,2768,0.012927095013681,0.033527537881999,0.020006649608974,41.0924,0.8,15.436967025515,2838,0.0317,5772.8838,15818,12285.5243,18656,0.22332,0.22331950753835,211355.9,2.1733924953983,2.505582426441,13.361733468201,11.329111277873,2.5600588669921,0.1,0.07,11776.4318,214123.9,0.15390230857077,NA,NA,0.08,0.0734,0.081098339719029,0.003,0.5692,0.65182069184845,97247,182109.9,0.17579494579921,0.14951156783526,11797,0.14289175014232,1890,0.022892719146307,0.48935185470882,2.6780473816562,1.5436967025515,0.19159631293984,2.2058152351651,509.0924,0.04143839700467,82559,0.12633319526566,0.17348274290084,25973,66.71,32014,10132416,84354,11740,15.511916524702,84354,0.6,2.1409178623206
"3",2010-06-30,2838.5,0.51,0.1883,0.33148876591773,60162,128172,3067,2879,0.013603314313578,0.036471661303808,0.022462004181881,0.3711,0.79660116834838,16.609501187649,3108,0.0305,5545.1318,16021,11654.4764,19129,0.27255,0.27254602246295,208760.6,2.3963794983642,2.6341034408792,13.030435053992,10.913304406921,2.6446147609516,0.08,0.05,11695.1053,211639.6,0.15014199669195,NA,NA,0.095,0.0265,0.24830548926014,0.006,0.558,0.66822706987486,87115,181807.6,0.164085549779,0.1409566073646,10946,0.13866578834022,93,0.0011781398059236,0.50658978622328,3.0219673548087,2.0761876484561,0.20295675086777,2.303169576123,-40.6289,-0.0034861185000836,78938,0.13378266027665,0.18194208969117,24998,64.33,29832,10249726,79253,11000,16.527963636364,79253,0.6,2.3517078916372
"4",2009-06-30,2917,0.58,0.1939,0.37441137452277,61775,134833,3238,4781,0.022123658339638,0.060496779663162,0.03545867851342,-57.1161,0.49510056730273,15.862171256531,3082,0.0287,5141.0741,16123,11881.0387,19205,0.2631,NA,211322.5,2.2489251431369,2.735424702928,13.10689697947,11.003514709711,2.6739867643523,0.07,0.04,11782.1547,216103.5,0.14434151876766,NA,NA,0.11,-0.016,0.18201284796574,0.004,0.5801,0.66095095414327,93966,179131.5,0.20639586002462,0.17108468858672,11293,0.14289691126042,2543,0.032178061218034,0.45524431506243,2.8997409955484,2.2660244652187,0.20401371648382,2.2666552784421,98.8839,0.0083228363979649,79029,0.12643976225443,0.18280857952246,24008,60.63,36972,12926513,77254,11045,16.218334087823,77254,0.6,2.1884563581678
"5",2008-06-30,3032.7,0.47,0.1586,0.34537815917633,68128,143992,3046,3581,0.016504456571986,0.042884686777721,0.024869437190955,-66.9511,0.55485498108449,14.932231884058,3166,0.026911479163004,4852.32,17083,12829.8455,20249,0.24897,NA,213390.7,2.1083537525195,2.5007699519512,12.491406661593,10.538332757173,2.5554854316611,0.09,0.065,13016.7966,216971.7,0.14334129673871,2.82,21.921985815603,0.115,0.1276,0.15122478942895,0.004,0.5872,0.65281404522473,101212,180306.7,0.20334796211122,0.1689851717989,12075,0.14460558303294,3060,0.036645389985988,0.40184844720497,2.6465873062471,1.6591368760064,0.20457947618648,2.1592840975773,-186.9511,-0.014571580589191,83503,0.12676209826898,0.17723990136214,25725,61.82,36665,10589197,85330,12344,14.606829228775,85330,0.55,2.0704789442043
"6",2007-06-30,3131.9,0.61,0.129,0.34660481140016,65354,138014,2945,5556,0.020974767988336,0.072650243213557,0.040256785543496,3.7534,0.8,22.193007736944,3130,0.019107295456556,4384.66,15450,10860.114,18580,0.29708,NA,259333.7,2.7237501575432,3.3294864552574,16.785352750809,13.957680301399,3.3910468643757,0.115,0.08,11041.3606,264889.7,0.14157983972641,2.58,27.914728682171,0.11,0.1377,0.10884955752212,0.005,0.5963,0.65339748141493,95212,229475.7,0.15432570856086,0.1336933825664,10340,0.13520581620378,-203,-0.0026544275328208,0.42404835589942,3.5112724546317,1.9298267597342,0.20202416444375,3.0006237250902,-181.2466,-0.016689202292774,76476,0.11406245011133,0.15821525843866,24340,72.02,35414,9877675,77890,10660.8,21.52518572715,77890,0.65,2.6287085185773
"7",2006-06-30,3178.8,0.85,0.1287,0.38272014142084,62908,135695,2667,7826,0.032282109169299,0.11471372870921,0.057673458859943,79.3283,0.74592074592075,23.528477660064,2627,0.01929173316732,3941.712,13249,9268.8679,15876,0.30041,NA,234599.3,2.5175380421952,3.2484429305308,17.706943920296,14.776977828168,3.4387631555803,0.1,0.065,9149.5396,242425.3,0.13832491985703,2.21,29.081447963801,0.11,-0.0647,0.1002132196162,0.005,0.5878,0.65608165370868,93186,204321.3,0.1864905910446,0.1571783143096,8684,0.12729031690657,-1354,-0.019846970185571,0.45390511285122,3.2479382590449,2.3528477660064,0.19420421564891,2.9949473776787,119.3283,0.012874100806096,68222,0.099466313716653,0.1380428562345,21848,64.27,38104,4332000,72219,9355,21.840865847141,72219,0.6,2.3999653506514
"8",2005-06-30,2472.9,0.13,0.1219,0.58193995933501,NA,61527,2181,8133,0.049738221496232,0.14073369094999,0.13218586961822,-25.9195,0.21328958162428,20.105171168568,1884,0.019337016574586,2769.648,10445.8193,7262.1425,12329.8193,0.30478,NA,155383.1,4.4199431090883,2.6887541097076,14.875147227561,12.602220374795,2.7384624874429,0.095,0.075,6991.062,163516.1,0.23293838477416,NA,NA,0.105,0.1355,0.077034097059354,0.005,0.3934,0.39272189445284,35155,139188.1,0.17478505705588,0.14878045648104,6923,0.12201053911634,-1402,-0.024708764385541,0.40006471183013,8.7025196948856,2.1163338072177,0.18409649636066,2.4530427733033,271.0805,0.037327896883463,56741,0.20657495359824,0.3961206156663,18491,57.92,24328,4823200,57790,6923,20.105171168568,57790,0.6,3.9114005501734
"9",2004-06-30,2543.8,0.09,0.1178,0.54673522390409,NA,57048,2024,5892,0.036488462350682,0.11126217992296,NA,-79.4583,0.15280135823429,21.699537108471,1733,0.018047283883776,2543.8,11561.4343,8013.9238,13294.4343,0.30684,NA,155583.7,4.6094776760584,2.9379805876577,13.45712789286,11.702919920406,3.0265080631043,0.095,0.08,7802.3821,161475.7,0.24730051886131,NA,NA,0.1,0.2086,0.087247040855288,NA,0.5642,0.41894544944608,33753,140634.7,0.14819244468115,0.12906585944511,6481,0.12607232478067,-2637,-0.051296516038672,0.39250115722882,8.9280535804977,2.2841618008917,0.2249,2.7357110899294,211.5417,0.026396769167215,51407,0.23742848930134,0.37510128487093,16504,55.41,20841,1720700,52956,6721,20.924668948073,52956,0.6,4.2360948608306
"10",2003-06-30,1297.2,0.1,0.1583,0.46250091999706,NA,43706,1482,6212,0.044286966998653,0.14320953500703,NA,-3821,0.1348,22.282149712092,1703,0.018488038277512,2360.904,8398,5960.2286,10101,0.29028,NA,134055,NA,NA,15.962729221243,13.271458271458,3.0904626875994,0.08,0.055,6181.2286,140267,0.29982153480071,NA,NA,NA,0.081,0.10805963457011,NA,0.5637,0.30904223676383,22542,127699,0.09841893828456,0.089600547527216,5731,0.13212070913157,-2437,-0.056181847522881,0.41195323678241,8.7429138710119,2.7852687140115,0.19360490582567,2.9439334209374,-221,-0.037079114966021,43377,0.26440549019608,0.39237299739833,12838,98.34,12568,3130312,44776,5917,21.58171370627,44776,0.6,5.9468991216396
