"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,22.7,1.3,0.2705,0.1569,501.8,684.2,91.9,125.5,0.2293,2.1675,0.1834,-11.87,0.8,NA,1.6,0,0,28,28.34,30,0,421.7,0.9,4.27,14.88,14.09,7.28,-50.1,547.2,0.159,-0.225,0.1804,NA,0.882,0.2395,469.7,453.8,0.2058,0.1707,-54.5,-0.9413,-16.8,-0.2902,NA,0.9,0.4894,7.84,78.43,2.7679,57.9,0.0603,-0.1086,0,20.27,93.4,83753,98.8,-30.2,NA,98.8,1.05,0.92
"2",2010-12-31,22.7,1.18,0.356,0.07445421961551,568.1,692.5,6.9,114.8,0.22518634758729,16.169014084507,0.1657761732852,-113.1817,0.8,NA,1.7,0,0,-252.7082,-252.7082,-251.0082,0,395,0.79158316633267,7.0035460992908,NA,NA,55.633802816901,-144.7265,509.8,0.018194945848375,-0.5827,0.27669524551832,NA,0.8743,0.10628158844765,499,464.1,0.098470157293687,0.089642997253825,-0.9,-0.12676056338028,-16.3,-2.2957746478873,NA,0.81693363844394,-35.592704225352,65.366197183099,-107.9817,NA,7.1,-0.50642925851703,-0.0015842281288506,0,20.58,45.7,76574,56.4,-52,NA,56.4,1.15,0.83056370153144
"3",2009-12-31,22.6,1.25,0.4338,0.066196505850297,582.6,687.6,0.2,154.5,0.20401426119107,9.1964285714286,0.22469458987784,6.15,0.66274781005071,NA,1.7,0,0,-26.9101,-26.9101,-25.2101,0,602.8,1.2841925862804,20.503401360544,NA,NA,35.880952380952,-31.5601,757.3,0.001890634089587,1.6727,0.1846407679616,NA,0.8256,0.088278068644561,469.4,716,0.05768156424581,0.054535851049782,-5.7,-0.33928571428571,8.2,0.48809523809524,NA,1.2289735667696,-1.6017904761905,42.619047619048,4.65,NA,16.8,-0.057328674904133,-0.009783728115345,0,31.8,41.3,58650,29.4,-4.6,NA,29.4,1.15,1.2138163167174
"4",2008-12-31,18.8,1.32,0.443,0.081522784079985,477.7,592.6,14.6,96.3,0.12216161359888,18.169811320755,0.16250421869727,0.3321,0.4334085778781,32.430434782609,1.4,0,0,-1.2,-0.5596,0.2,0.53364,692,1.6328456819254,128.14814814815,NA,3460,130.56603773585,-14.0917,788.3,0.0025312183597705,-0.628,0.29983555636762,NA,0.7508,0.1110361120486,423.8,745.9,0.056844080976002,0.053786629455791,23,4.3396226415094,17.6,3.3207547169811,0,1.5614402344568,-0.22641509433962,140.7358490566,13.5321,NA,5.3,-0.0013205096743747,0.048147372828135,0,32.73,42.4,82669,5.4,-24.2,NA,5.4,1.2,1.5156700634493
"5",2007-12-31,15.9,1.47,0.3559,0.024789410348977,405.2,549,27.6,136.6,0.27612694562361,NA,0.2488160291439,NA,0.53947738128688,15.377777777778,0,0,0,41.5,25.6806,41.5,0.38119,358.1,1.2839727500896,NA,8.6289156626506,8.6289156626506,NA,NA,494.7,0.00091074681238616,NA,0.500466562986,NA,0.6647,0.18670309653916,278.9,484.4,0.021263418662263,0.020820699413786,31.5,NA,0,NA,0,1.1954590325765,NA,NA,NA,NA,NA,0.092078217999283,0.077739387956565,NA,26.58,10.3,107905,NA,28.5,16.99649122807,NA,1.2,1.1906137184115
"6",2006-12-31,15.9,0.6,0.2534,0.024789410348977,405.2,549,27.6,136.6,0.20690699787943,NA,0.2488160291439,NA,0.66298342541436,20.631746031746,0,0,0,41.5,25.6806,41.5,0.38119,523.6,1.8773754033704,NA,12.616867469879,12.616867469879,NA,NA,660.2,0.00091074681238616,NA,0.1949762224119,NA,0.6467,0.18670309653916,278.9,649.9,0.015848592091091,0.015601332929415,31.5,NA,0,NA,0,1.6038993089832,NA,NA,NA,NA,NA,0.092078217999283,0.077739387956565,NA,32.66,10.3,148704,NA,9.4,69.13829787234,NA,1.05,1.5889290012034
"7",2005-12-31,13.3,0.46,0.2189,0.039272030651341,300.9,441.8,2.9,37.8,0.066701958708311,NA,0.085559076505206,NA,0.69438099588853,34.222222222222,0,0,0,125,62.5,125,0.54663,528.9,1.9204793028322,NA,4.2312,4.2312,NA,NA,566.7,0.0036215482118606,NA,0.10577804952614,NA,0.5689,0.17406066093255,275.4,554.4,0.022186147186147,0.021704605611435,16.2,NA,0,NA,0,1.8424725822532,NA,NA,NA,NA,NA,0.22694262890341,0.053838484546361,NA,34.77,12.3,64964,NA,28.3,19.590106007067,NA,0.95,1.8093869731801
"8",2004-12-31,12.4,0.8,0.262,0.066900038895371,NA,354.6,1.5,17.4,0.0382501648714,NA,0.04906937394247,0,0.61068702290076,NA,0,0,0,NA,NA,NA,0,437.5,1.8251981643721,NA,NA,NA,NA,NA,454.9,0.0067681895093063,0,0.27899553096404,NA,0.3947,0,239.7,437.7,0.039296321681517,0.037810507803913,-10.6,NA,0,NA,NA,1.8245102125886,NA,NA,1.5,NA,NA,NA,-0.044185077115465,0,32.26,17.2,68227,NA,8.5,51.494117647059,0,0.95,1.7693504472968
"9",2003-12-31,12.4,0.87,0.3028,0.057565789473684,NA,330.9,2.8,24.3,0.084876004191408,NA,NA,0,0.57463672391017,NA,0,0,0,NA,NA,NA,0,262,1.1968935587026,NA,NA,NA,NA,NA,286.3,0.0093683892414627,0,0.23965080259082,NA,0.3972,0,218.9,272.3,0.051413881748072,0.048899755501222,-13.7,NA,0,NA,NA,1.1880453752181,NA,NA,2.8,NA,NA,NA,-0.05977312390925,0,20.65,14,4359,NA,-17.4,NA,0,0.9,1.1772203947368
"10",2002-12-31,12.4,0.68,0.349,0.023420238621299,NA,396.2,0,22.1,0.11235383833249,NA,NA,0,0.4255,174,0,0.06478578892372,12.4,0,0,0,0.75926,174.6,NA,NA,NA,NA,NA,0,196.7,0.0053003533568905,0,0.12887915297554,NA,0.4214,0,204.2,191.4,0.027690700104493,0.026944585663447,1.1,NA,0,NA,11.272727272727,0.86606334841629,NA,NA,0,NA,0,0,0.0049773755656109,0,15.17,5.3,7644,0,-1.8,NA,0,0.85,0.85504407443683
