"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,59.7,1.89,0.4448,0.2364,511,817.9,82.1,189.9,0.3746,0.3709,0.2322,-2.99,0.8,7.39,86.7,0,0,75,54.24,162,0.2806,0.3371,317.1,0.66,0.7,4.21,1.96,0.62,0.3,0.025,61.83,507,0.4508,0.4,14.9,-0.245,-0.07,0.2561,0.091,NA,0.052,479.3,348.8,0.4536,0.312,47.2,0.0922,24.9,0.0486,0,0.68,0.25,0.1473,0.68,-7.59,-0.1399,512,0.1132,0.0924,60.7,5.96,158.2,401770,450.5,28.2,12.37,450.5,1.9,0.76
"2",2010-10-31,53.8,2.81,2.0776,0.16986095452837,441.8,703.9,71.4,98.9,0.20751154007553,0.23237781954887,0.1405029123455,-0.1624,0.22261262995764,18.747572815534,81.4,0,0,34.5,27.2657,115.9,0.20969,0.2536231884058,377.7,0.87168243711055,0.7376953125,10.947826086956,3.2588438308887,0.8874530075188,NA,0.035,37.4281,476.6,0.52535871572667,0.9,6.7555555555556,NA,0.1608,0.37813985064494,0.066,NA,0.067765307572098,433.3,386.2,0.23407560849301,0.18967687788502,20.6,0.048402255639098,-0.8,-0.0018796992481203,0,0.87415119963785,NA,0.081062030075188,0.90742481203007,-10.1624,-0.37271765913312,425.6,0.062925675051927,0.046627433227705,57.3,6.08,90.4,919964,512,52.2,7.3984674329502,512,1.85,0.89552799699361
"3",2009-10-31,53,3.62,2.18,0.23439295289161,399.8,663.7,35,88.5,0.2000452079566,0.24488101826231,0.13334337803224,1.9896,0.21215596330275,NA,76.5,0,0,0.5,0.5,77,0,NA,353.9,0.81600184459304,0.83153195488722,707.8,4.5961038961039,0.9792473713337,NA,0.015,40.0104,442.4,0.52418261262619,0.5,11.82,NA,-0.3271,0.34633240482823,0.096,NA,0.083019436492391,433.7,320,0.3825,0.27667269439421,-27.2,-0.075262866629773,11.2,0.030990592141671,NA,0.80040020010005,NA,0.0013835085777532,0.88544548976204,-39.5104,-79.020807969009,361.4,0.0011528706479133,-0.068034017008504,56.6,5.91,122.4,448014,425.6,21.5,14.883720930233,425.6,1.85,0.84718498659517
"4",2008-10-31,41.7,3.8,2.1794,0.36873350923483,382.8,758,105.1,85.1,0.20319961795607,0.2014201183432,0.1122691292876,-0.2607,0.13948793245847,NA,95.9,0,0,0.1,0.1,96,0,NA,333.7,0.64013044312296,0.92360918903958,3337.0000000002,3.4760416666667,0.7898224852071,0.06,0.025,-8.8393,418.8,0.57585751978892,0.2,22.25,NA,7e-04,0.78827361563518,0.096,NA,0.082321899736148,521.3,195.2,1.1454918032787,0.53390639923591,-11.2,-0.026508875739645,1.8,0.0042603550295858,NA,0.50992685475444,NA,0.00023668639053253,0.46201183431953,8.9393,89.392662721899,422.5,0.00019182812200268,-0.029258098223616,72.6,4.45,223.6,466351,361.3,-26.1,NA,361.3,1.9,0.69063324538259
"5",2007-10-31,41.6,2.77,0.588,0.23032584401835,654.3,1059.8,94.1,151.7,0.60583067092652,0.35990510083037,0.14314021513493,0.1203,0.54421768707483,3.7916666666667,89.8,0,0,20.7,16.181,110.5,0.21831,NA,98.7,0.14132302405498,0.23360946745562,4.768115942029,0.89321266968326,0.23416370106762,0.035,0.045,11.7607,250.4,0.5016040762408,0.05,39,NA,-0.0768,0.95085629188384,0.096,0.8356,0.19569730137762,698.4,54.6,3.5860805860806,0.78194888178914,14.4,0.034163701067616,-50.7,-0.1202846975089,0,0.083447959651536,1.0833333333333,0.049110320284698,0.12953736654804,4.4203,0.2731777604308,421.5,0.023168646907217,0.022008253094911,78.8,1.95,195.8,577595,422.5,-11.4,NA,422.5,2,0.29455358193154
"6",2006-10-31,41.5,2,0.4253,0.29512335054504,614.3,1045.7,94.6,199.3,0.25424161245057,0.43811826775115,0.190590035383,1.1234,0.56430754761345,17.976109215017,85.4,0,0,57.5,44.2457,142.9,0.23051,NA,584.6,0.86968164236834,1.3869513641756,10.166956521739,4.0909727081875,1.2851176082655,0.085,0.04,33.9223,783.9,0.42421344553887,0.7,16.514285714286,0.285,0.0275,0.31143740340031,0.1,0.9761,0.20110930477192,672.2,526.7,0.48832352382761,0.32810307437173,29.3,0.064409760386898,15.3,0.033633765662783,0,0.85739866514732,2.1148363782373,0.12640140690262,1.157836887228,10.3234,0.23331925150056,454.9,0.065822188336805,0.047696565196158,89.6,11.56,257.2,519344,421.5,16.9,31.165680473373,421.5,1.5,0.89948364888124
"7",2005-10-31,41.3,3.38,0.4742,0.30250744786494,561.9,945.7,121.4,286.6,0.30953666702668,0.65018148820327,0.30305593740087,-0.5982,0.55672711935892,17.627906976744,86,0,0,58.7,48.0324,144.7,0.18173,NA,639.3,1.2317919075144,1.4053638162233,10.890971039182,4.4181064270905,1.4503176043557,0.785,0.035,13.2306,925.9,0.43607909485037,1,16.34,-0.405,-0.1181,0.22388059701492,0.09,NA,0.14412604420006,519,682.2,0.3572266197596,0.26320336969435,38.7,0.087794918330309,18.7,0.042422867513612,0,1.2140950347037,0.22455932454451,0.133166969147,1.5476406533575,34.8018,0.7245484728055,440.8,0.092548071290944,0.068873465029365,86.4,16.34,243.7,251726,454.9,43.8,15.575342465753,454.9,1.65,1.1493296921549
"8",2004-10-31,32.7,2.74,0.5881,0.47710951526032,NA,872.9,80.1,226.9,0.23929550727695,0.52389748326022,0.25993813724367,2.9662,0.93181431729298,25.685714285714,85.7,0,0,51.2617,44.0666,136.9617,0.14036,NA,721.3,1.6337485843715,1.665435234357,14.070947774798,5.2664377218002,1.8237673830594,NA,0.045,46.7004,948.2,0.45423301638217,1.25,12.048,NA,0.1267,0.31410718577265,0.09,0,0.13277580478864,441.5,629.3,0.50675353567456,0.33632145117064,24.5,0.061946902654867,31.2,0.078887484197219,0,1.8005722460658,NA,0.12961226295828,1.5911504424779,-2.6338,-0.059769364954583,395.5,0.099811018813137,0.070100143061516,84,15.06,318.9,442513,433.1,24.5,25.685714285714,433.1,1.75,1.4186116098145
"9",2003-10-31,32.5,2.66,0.5908,0.54801348775839,NA,865.5,47,231.8,0.25466930344979,0.58594539939333,NA,4.3099,0.90047393364929,NA,82.6,0,0,52.7188,52.7188,135.3188,0,NA,678.4,1.5065511880968,1.7148634984833,12.868277136103,5.0133466313141,1.9443966752651,NA,0.005,84.0088,910.2,0.44829578278452,1.05,15.457142857143,NA,-0.1108,0.27125506072875,0.094,0,0.13737723859041,450.3,536.4,0.69686800894855,0.41067897165458,-48.2,-0.13814846660934,32.2,0.092290054456865,NA,1.7398637690561,NA,0.1511,1.5374032674119,-31.2901,-0.59352755358885,348.9,0.11707481678881,-0.15634122607849,86.1,16.23,373.8,190531,395.6,0,NA,395.6,1.6,1.3344084445096
"10",2002-10-31,32,2.43,0.7469,0.47548337200309,NA,832.4,126.5,129.1,0.13751597784406,0.33367795295942,NA,104.3,0.7172,NA,83.2,0,0,7.8,7.8,91,0,NA,809.7,NA,NA,103.80769230769,8.8978021978022,2.0927888343241,NA,0.085,-35.5,938.8,0.53327727054301,0.6,32.1,NA,-0.0326,0.44444444444444,NA,NA,0.1456030754445,517.4,631.4,0.48685460880583,0.32743928419259,-4.9,-0.012664771258723,23.5,0.060739209097958,NA,1.8619876142731,NA,0.020160248126131,1.6319462393383,43.3,5.5512820512821,386.9,0.015075376884422,-0.014450014744913,88.1,19.26,307.4,486822,347.5,-61.7,NA,347.5,1.55,1.5649400850406
