"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,44.7,0.2,0.509,0.0863,75.2,96.8,3,19.6,0.115,0.1693,0.2025,-0.69,0.1,NA,3.5,0,0,40,39.85,43,0,150.9,2.41,1.45,3.79,3.48,1.3,0.25,41.03,170.5,0.1271,NA,NA,NA,0.015,0.4216,NA,0.5306,0.436,62.7,163.4,0.0435,0.0416,-24.8,-0.2142,6.9,0.0596,NA,2.17,NA,0.3441,1.41,-1.19,-0.0297,115.8,0.6355,-0.3298,77.6,3.63,7.1,577715,104.3,-34.4,NA,104.3,1.05,2.07
"2",2010-12-31,44.5,0.48,0.5146,0.073863636363636,97.8,122,3.4,16.2,0.1222641509434,0.13893653516295,0.1327868852459,0.1387,0.4858142246405,NA,8.1,0,0,1,1,9.1,0,116.3,1.3008948545861,0.98810535259133,116.3,12.78021978022,0.99742710120069,0.225,5.5613,132.5,0.10327868852459,NA,NA,NA,0.1703,0.25222551928783,NA,0.5083,0.43360655737705,89.4,124.7,0.062550120288693,0.058867924528302,-3.3,-0.028301886792453,14.7,0.12607204116638,NA,1.2750511247444,NA,0.0085763293310463,1.0694682675815,-4.5613,-4.561320754717,116.6,0.011185682326622,-0.033742331288344,62.5,2.87,7.8,189809,117.7,-23.1,NA,117.7,1,1.2547348484848
"3",2009-12-31,37,1.23,0.6488,0.025710419485792,72,84,1.2,38.4,0.28049671292915,0.46376811594203,0.45714285714286,4.8279,0.40459309494451,NA,6.2,0,0,-15.4984,-15.4984,-9.2984,0,98.5,2.7746478873239,0.85429314830876,NA,NA,1.1896135265701,0.2,-15.3263,136.9,0.1297619047619,NA,NA,NA,-0.227,0.38144329896907,NA,0.4168,0.083333333333333,35.5,135,0.014074074074074,0.013878743608473,-18.8,-0.22705314009662,12.3,0.14855072463768,NA,1.875,NA,-0.18717922705314,1.6304347826087,-0.1721,NA,82.8,-0.43657577464789,-0.26111111111111,59.5,3.61,1.9,162695,115.3,6.9,19.565217391304,115.3,1.05,1.8525033829499
"4",2008-12-31,28,1.32,0.599,0,69.2,77.3,1.8,6.9,0.052075471698113,0.085080147965475,0.089262613195343,-5.5809,0.29382303839733,NA,3,0,0,-3.6975,-3.6975,-0.6975,0,125.6,2.016051364366,1.7840909090909,NA,NA,1.5487053020962,0.25,3.0834,132.5,0.13712807244502,NA,NA,NA,0.0215,0.5042735042735,NA,0.4775,0,62.3,132.5,0,0,-21.3,-0.26263871763255,42.3,0.52157829839704,NA,1.9147398843931,NA,-0.045591368680641,1.6337854500616,-6.7809,NA,81.1,-0.059349277688603,-0.30780346820809,51.2,3.23,0,116516,70.4,-44.6,NA,70.4,1.1,1.9147398843931
"5",2007-12-31,28.8,2.21,0.5252,0,127.9,135.8,3.1,36.3,0.76744186046512,0.44430844553244,0.26730486008837,-1.2499,0.36557501904037,39.416666666667,3.3,0,0,-0.6,-0.4023,2.7,0.32953,11,0.12008733624454,0.12345679012346,NA,4.0740740740741,0.13463892288862,0.25,1.0477,47.3,0.21944035346097,NA,NA,NA,-0.0034,0.73508771929825,NA,0.6394,0.26583210603829,91.6,47.3,0,0,1.2,0.01468788249694,13.8,0.16891064871481,0,0.36982017200938,1.5766666666667,-0.00734394124847,0.57894736842105,-1.4499,NA,81.7,-0.0043917248908297,0.0093823299452697,48.9,1.72,0,184561,89.1,2.3,20.565217391304,89.1,1.2,0.36982017200938
"6",2006-12-31,28.6,2.35,0.5097,0,120.9,127.9,1.2,38.7,0.14134404674945,0.47542997542998,0.30258014073495,0.1022,0.51795173631548,91.266666666667,3.9,0,0,1.7,1.4526,5.6,0.14554,235.1,2.860097323601,2.9168734491315,138.29411764706,41.982142857143,2.8882063882064,NA,4.0504,273.8,0.2243940578577,0.07,122,-0.475,0.4409,0.1993006993007,NA,0.78,0.295543393276,82.2,273.8,0,0,3,0.036855036855037,10.4,0.12776412776413,0,2.2646815550041,NA,0.020884520884521,3.3636363636364,-2.5978,-1.7883938378616,81.4,0.017671313868613,0.024813895781638,44,8.54,0,189679,80.6,0.8,342.25,80.6,1.65,2.2646815550041
"7",2005-12-31,27.7,3.42,0.6383,0,107.5,117.9,0.7,35,0.094086021505376,0.64102564102564,0.29686174724343,-0.7342,0.56399812000627,NA,4.3,0,0,-2.3,-2.3,2,0,337,4.648275862069,4.4517833553501,NA,168.5,6.1721611721612,0.19,2.0342,372,0.25021204410517,0.18,72.444444444444,NA,-0.0319,0.30296519123335,NA,0.7669,0.34351145038168,72.5,372,0,0,-1.7,-0.031135531135531,1.9,0.034798534798535,NA,3.4604651162791,NA,-0.042124542124542,6.8131868131868,-4.3342,NA,54.6,-0.031724137931034,-0.015813953488372,35,13.04,0,193293,75.7,2.8,132.85714285714,75.7,2.25,3.4604651162791
"8",2004-12-31,26.7,6.65,1.3981,0,NA,110.5,1.9,20.1,0.086340206185567,0.37781954887218,0.18190045248869,-0.0684,0.95129103783707,NA,3.9,0,0,-0.821,-0.821,3.079,0,212.7,2.5907429963459,3.9981203007519,NA,69.079972978591,3.9099264705882,0.25,1.2474,232.8,0.27963800904977,NA,NA,NA,0.2782,0.30276185513288,NA,0.6713,0.34389140271493,82.1,232.8,0,0,-0.6,-0.011029411764706,3.1,0.056985294117647,NA,2.2778864970646,NA,-0.015091176470588,4.2794117647059,-2.0684,2.519467882651,54.4,-0.0099995127892814,-0.0058708414872798,34.8,8.6,0,165823,53.2,-2.4,NA,53.2,2.5,2.2778864970646
"9",2003-12-31,23.8,6.46,1.4684,0,NA,81.8,1.4,21,0.073375262054507,0.40697674418605,NA,1.0021,0.87986924543721,NA,3.3,0,0,0.4674,0.4674,3.7674,0,265.2,4.8218181818182,5.1395348837209,567.39409499358,70.393374741201,6.978947368421,NA,1.3653,286.2,0.38019559902201,0.08,127.625,NA,-0.0322,0.51423641069888,NA,0.6086,0.22860635696821,55,286.2,0,0,-2.3,-0.060526315789474,2.8,0.073684210526316,NA,3.7657894736842,NA,0.0123,7.5315789473684,-0.8979,-1.9210413710785,38,0.0084981818181818,-0.030263157894737,29,10.21,0,43323,51.6,0.4,715.5,51.6,2.4,3.7657894736842
"10",2002-12-31,21.1,5.87,1.5828,0,NA,72,0.8,18.6,0.094752929190015,0.53448275862069,NA,1.1,0.8162,NA,2.9,0,0,-3.2306,-3.2306,-0.3306,0,177.7,NA,NA,NA,NA,5.1063218390805,NA,-1.1306,196.3,0.44444444444444,NA,NA,NA,-0.1281,0.66539923954373,NA,0.4245,0.125,49.4,196.3,0,0,-2.3,-0.066091954022988,5,0.14367816091954,NA,2.8867647058823,NA,-0.092833333333333,5.6408045977012,-2.1,NA,34.8,-0.065396761133603,-0.033823529411765,26.7,8.32,0,143126,36.1,-2.8,NA,36.1,2.25,3.5971659919028
