"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,29.6,0.89,0.2783,0,655.1,1027.3,107.9,222.6,0.0485,0.1222,0.2167,-13.74,0.8,33.02,79.9,0,0,225,139.29,305,0.3818,0.3819,4367.8,10.1,2.13,19.39,14.31,2.4,0.18,0.145,125.03,4590.4,0.4789,6.59,24.1,0.185,0.2,0.1292,0.842,0.8512,0.1706,432.5,4590.4,0,0,139,0.0763,-107.8,-0.0592,0,7.01,1.83,0.1237,2.52,14.26,0.1024,1822,0.3221,0.2122,119.7,158.83,0,347958,2054.2,163.5,28.08,2054.2,0.95,7.01
"2",2010-12-31,30.4,0.86,0.3278,0,595.6,924.6,82.2,229.3,0.05606768222608,0.14865478119935,0.24799913476098,-15.1458,0.72452715070165,36.54781054513,68.7,0,0,185,114.5964,253.7,0.38056,0.37902330743618,3860.4,10.538902538902,2.2002849814762,20.867027027027,15.216397319669,2.5026904376013,0.185,0.14,116.2422,4089.7,0.48031581224313,5.18,27.30694980695,0.17,0.1843,0.21176274575142,NA,0.9179,0.15444516547696,366.3,4089.7,0,0,111.9,0.072544570502431,-110.2,-0.071442463533225,0,6.8665211551377,1.9755573267638,0.11993517017828,2.6513452188007,-1.6458,-0.01436172749793,1542.5,0.31284848484848,0.18787777031565,105.8,141.45,0,491699,1754.5,133.8,30.56576980568,1754.5,0.95,6.8665211551377
"3",2009-12-31,31.6,0.79,0.3179,0,597,837.2,54.7,246.4,0.078162669711966,0.18204654599187,0.2943143812709,-6.2791,0.74709027996225,36.613240418119,67.2,0,0,140.9,87.4566,208.1,0.3793,0.38456040028592,2906,8.2886480319452,1.9617903193141,20.624556422995,13.964440172994,2.147026228297,0.18,0.13,106.2357,3152.4,0.48232202580029,4.2,24.097619047619,0.18,0.0167,0.2444108057755,NA,0.8955,0.1274486383182,350.6,3152.4,0,0,86.1,0.06361285555966,-66.5,-0.049131880310307,0,5.2804020100503,2.0340689121177,0.10410048023642,2.3290727742889,-18.7791,-0.2147241930504,1353.5,0.24944845978323,0.14422110552764,85.6,101.21,0,426977,1481.3,105,30.022857142857,1481.3,0.95,5.2804020100503
"4",2008-12-31,30.8,0.82,0.3447,0,495.2,673.9,63.2,77.1,0.035950760048494,0.059357918238509,0.11440866597418,-1.842,0.46417174354511,31.818991097923,67.2,0,0,112.7,70.4984,179.9,0.37446,NA,2067.5,4.9449892370246,1.5379751543554,18.345164152618,11.492495831017,1.5917314650858,0.145,0.125,76.3404,2144.6,0.6187861700549,2.97,22.538720538721,0.22,0.2444,0.23948220064725,0.059,0.9844,0.15996438640748,418.1,2144.6,0,0,67.4,0.051890060820694,-52.7,-0.040572792362768,0,4.3307754442649,2.1944131791671,0.086765724844099,1.6510893833244,-5.842,-0.08286724597571,1298.9,0.16861602009089,0.13610662358643,87.8,66.94,0,708300,1344.3,81.9,26.185592185592,1344.3,1,4.3307754442649
"5",2007-12-31,31.5,0.78,0.318,0.1438986953185,446.2,698.8,124.1,91.4,0.057135712946177,0.085684822349302,0.13079564968517,11.0044,0.55345911949686,26.063247863248,57.9,0,0,90.1,58.0136,148,0.35612,NA,1508.3,3.5093066542578,1.2145100249617,16.740288568258,10.191216216216,1.4139870629043,0.13,0.15,-19.1908,1599.7,0.61534058385804,2.42,21.586776859504,0.295,0.2969,0.35983263598326,0.06,NA,0.15583858042358,429.8,1524.7,0.049190004591067,0.046883790710758,58.5,0.054842036186369,-67,-0.062810537170713,0,3.4170775437024,2.0048652202498,0.084466110434049,1.4293615824505,77.2044,1.3307986762051,1066.7,0.13497810144253,0.13110712684895,68.2,52.24,75,708640,1241.9,60.7,25.118616144975,1241.9,1.1,3.06926323868
"6",2006-12-31,31.7,0.79,0.3627,0,397.7,542.6,109.3,72.1,0.061920302301615,0.086972255729795,0.13287873203096,11.1015,0.55141990625862,19.439065108514,44.2,0,0,90.8,57.7733,135,0.36373,NA,1092.3,3.3547297297297,1.0936123348018,12.029735682819,8.0911111111111,1.3176115802171,0.14,0.205,-18.4282,1164.4,0.63767047548839,1.96,16.30612244898,0.405,0.2745,0.30641972739569,0.056,0.9171,0.11758201253225,325.6,1164.4,0,0,59.9,0.072255729794934,-54.2,-0.065379975874548,0,2.9278350515464,1.3885046506082,0.10952955367913,1.4045838359469,76.2015,1.3189743151232,829,0.17743647420147,0.1506160422429,59.3,31.96,0,1483541,998.8,59.5,19.56974789916,998.8,1.25,2.9278350515464
"7",2005-12-31,31.2,0.63,0.3578,0,317,437.7,82.1,60.7,0.034011318428868,0.094799312822115,0.13867946081791,9.0126,0.51425377305757,34.189655172414,33,0,0,81.1,51.4985,114.1,0.365,NA,1724,6.7264923917284,2.2407070444502,21.257706535142,15.109553023663,2.6924878962986,0.2,0.205,-6.6141,1784.7,0.61411925976696,2.27,24.629955947137,0.705,0.3031,0.24261033325145,0.06,0.9401,0.11834589901759,256.3,1784.7,0,0,52.2,0.081524285491176,-44.7,-0.069811026081524,0,5.6299684542587,1.7094827586207,0.12665937841637,2.7872872091207,58.1126,1.1284329343015,640.3,0.20093055013656,0.16466876971609,46.3,55.91,0,427813,769.4,56.2,31.756227758007,769.4,1.15,5.6299684542587
"8",2004-12-31,30.5,1.03,0.3534,0,NA,324.7,80.4,31.7,0.015354063741161,0.053098827470687,0.097628580227903,-7.1857,0.58290888511602,53.487046632124,25.3,0,0,61.8483,39.2743,87.1483,0.36499,NA,2032.9,9.6943252265141,3.4051926298158,32.869138338344,23.326906356969,4.2431642663327,0.225,0.205,-8.64,2064.6,0.62118878965199,1.84,35.695652173913,NA,0.327,0.30138826690551,0.065,0.9336,0.10871573760394,209.7,2064.6,0,0,38.6,0.080567731162596,-29.2,-0.060947610102275,0,8.5526097763049,2.3772020725389,0.12909265289084,4.3093299937383,47.9143,1.2199911381399,479.1,0.187287947701,0.15990057995029,33.3,65.68,0,338289,597,38.6,53.487046632124,597,1.2,8.5526097763049
"9",2003-12-31,30,0.91,0.3573,0,NA,245.9,41.2,47.4,0.039092783505155,0.10682893847194,NA,-5.2793,0.50937587461517,39.624183006536,19.5,0,0,69.4005,44.07,88.9005,0.36499,NA,1165.1,7.8457912457912,2.6258733378409,16.788063486574,13.105663072761,3.273672379882,0.255,0.225,27.6494,1212.5,0.5396502643351,1.46,27.184931506849,NA,0.2506,0.16505355529746,0.021,0,0.13298088653924,148.5,1212.5,0,0,30.6,0.085979207642596,-21.4,-0.060129249789267,0,6.1893823379275,1.5538895296681,0.195,3.4068558583872,16.4207,0.37260375724293,355.9,0.29676775424242,0.15620214395099,28.1,39.69,0,197770,443.7,30.6,39.624183006536,443.7,1.2,6.1893823379275
"10",2002-12-31,29.3,0.91,0.4113,0,NA,188.4,27.1,34,0.028330972418965,0.1223902087833,NA,7.7,0.4873,55.050458715596,14,0,0,62.7,39.8151,76.7,0.36499,NA,1166.1,NA,NA,18.598086124402,15.203389830509,4.1976241900648,0.305,0.21,26.7151,1200.1,0.52707006369427,1.2,33.1,NA,0.3426,0.32126071329831,0.094,0.926,0.10084925690021,119.7,1200.1,0,0,21.8,0.078473722102232,-7,-0.025197984161267,0,7.8080676642811,1.8049330726425,0.22570194384449,4.3200143988481,13.1,0.32902067598579,277.8,0.33262428571429,0.14183474300586,26,39.72,0,410336,334.2,27.7,43.324909747292,334.2,1.1,9.7418546365915
