"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,98.6,1.24,0.2946,0.4037,1933.3,4586.3,73.3,50.1,0.0044,0.0145,0.0109,11.82,0.8,42.09,108.1,0.0086,86.77,404,285.22,512,0.2935,0.3059,11390.9,3.57,3.23,28.22,22.26,3.3,0.18,0.21,308.2,11441,0.0845,3.09,15.91,0.03,0.025,0.2036,0.056,0.4576,0.6249,3192.3,10131.9,0.1292,0.1144,240.7,0.0696,550.8,0.1593,0.3216,5.24,2.34,0.1168,2.93,-22.98,-0.0806,3456.7,0.0893,0.1245,683.4,49.15,1309.1,1922911,3530.9,269.8,37.55,3530.9,1.1,3.53
"2",2010-12-31,98.4,1.04,0.2537,0.25261541757418,2093.2,3973.5,59.5,46.1,0.011658194876464,0.015210505477102,0.011601862337989,49.8904,0.8,16.356675062972,84.2,0.0243,78.8972,334.1,225.9051,418.3,0.32384,0.33855381539487,3908.2,1.418790386989,1.1684056324554,11.697695300808,9.3430552235238,1.2894945228982,0.14,0.07,200.7147,3954.3,0.082899207248018,2.73,12.194139194139,0.04,0.1285,0.1759977827051,0.057,0.8406,0.63410091858563,2754.6,3246.8,0.21790686214118,0.17891915130364,198.5,0.065494258941534,481.4,0.15883595090405,0.39746720403023,1.5511179055991,1.1683339330694,0.11023492147288,1.0712683119968,25.1904,0.11150866928345,3030.8,0.082010112539026,0.094830880947831,596.5,33.29,707.5,677820,3344.9,232.1,13.988797931926,3344.9,1.15,1.4118970257436
"3",2009-12-31,98.7,1.06,0.2852,0.28593228760026,2012.1,3911.3,54.1,33.4,0.0075603241432387,0.012404828226555,0.0085393603149848,49.9289,0.8,24.893866299104,105.5,0.0208,75.1317,263.9,177.6232,369.4,0.32693,0.33010156971376,4384.4,1.5746300818848,1.4716702470462,16.613868889731,11.868976719004,1.6283751160631,0.1,0.03,179.0942,4417.8,0.085316902308695,2.22,16.445945945946,0.07,-0.1998,0.1441873999709,0.0509,0.8032,0.65840002045356,2784.4,3612.1,0.22305584009302,0.18237584317986,145.1,0.0538904363974,468.9,0.1741504178273,0.51779241902136,1.7951891059092,2.4893866299104,0.098012999071495,1.3415413184772,-1.4711,-0.0082820005074094,2692.5,0.063792261528516,0.072113712042145,565.2,36.51,805.7,590952,2979.2,200.8,17.988545816733,2979.2,1.1,1.5678188657818
"4",2008-12-31,98.3,1,0.2776,0.33444335389793,1898.7,4053.2,53.1,39.3,0.0093983164339009,0.011724343675418,0.0096960426329813,-87.7473,0.6628242074928,14.852738150023,87.3,0.0219,70.6822,289.6,204.1593,376.9,0.29503,NA,4142.3,1.4722942953617,1.5020306041047,14.303522099448,10.9904483948,1.2357696897375,0.04,0.005,326.1066,4181.6,0.084846541004638,1.65,19.575757575758,0.11,-0.0036,0.33087378640777,0.047,0.7935,0.6457613737294,2813.5,3227.5,0.29561580170411,0.22816625215229,217.3,0.064826968973747,495,0.14767303102625,0.3252749654855,1.6998472639174,3.7131845375058,0.086396181384248,0.96285799522673,-121.9473,-0.59731448857841,3352,0.072564177003732,0.11444672670775,669.4,32.3,954.1,726551,2757.8,139.2,23.186063218391,2757.8,1.15,1.4657879977566
"5",2007-12-31,99.3,1.17,0.317,0.35701066657694,1910.9,4000.6,62.1,70.8,0.021095914901225,0.020831494394916,0.01769734539819,-5.741,0.55520504731861,10.986596457635,84.5,0.029420940264041,67.524,375.1,260.2031,459.6,0.30631,NA,3285.3,1.1324325255937,0.95375370144574,8.7584644094908,7.1481723237598,0.96663430135052,0.125,0.06,288.3442,3356.1,0.091836224566315,2.57,9.2101167315175,0.135,0.084,0.38000673174015,0.05,0.8357,0.62813078038294,2901.1,2295.1,0.46228922487038,0.31614075861863,208.9,0.061464677670874,425.1,0.12507723541354,0.32323599808521,1.2010570935161,0.87892771661082,0.1103657280725,0.67528760996852,-28.141,-0.10815029894196,3398.7,0.089691192651063,0.10932021560521,646.7,23.67,1061,1094560,3444.6,226.5,10.13289183223,3444.6,1.1,1.1292775665399
"6",2006-12-31,99.9,1.56,0.312,0.30823081065407,1670,3365,51.1,54.8,0.012800149490797,0.017372008242194,0.0162852897474,-20.0794,0.58974358974359,19.254763200871,75.1,0.016946085776484,59.94,307,220.822,382.1,0.28071,NA,4226.4,1.7913787987962,1.2763181735822,13.7667752443,11.060978801361,1.3398002853067,0.13,0.075,264.9014,4281.2,0.098187221396731,2.28,14.460526315789,0.095,0.0846,0.1495218777166,0.045,0.773,0.59607726597325,2359.3,3537.1,0.21037007718187,0.17380640941792,183.7,0.05823426850531,403.7,0.12797590743383,0.32629286880784,2.1180239520958,1.4811356308362,0.097321287050246,1.1212870502457,-44.0794,-0.19961513747685,3154.5,0.093596418429195,0.11,599.3,32.97,744.1,765185,3311.4,196.1,18.03722590515,3311.4,1.15,1.7734145230106
"7",2005-12-31,101.2,1.84,0.3219,0.32605493458106,1555.6,3253.8,62.5,48.5,0.012438448912598,0.016459648408335,0.014905648779888,-21.7953,0.52190121155638,17.008648648649,72.6,0.018010551070997,56.672,323,210.8189,395.6,0.34731,NA,3850.7,1.7040757622693,1.2249331976078,11.921671826625,9.7338220424671,1.306828208783,0.16,0.08,242.7142,3899.2,0.095826418341631,1.96,16.020408163265,0.06,0.2904,0.23982837697884,0.04,0.6536,0.60996373471018,2259.7,3146.6,0.23917879616094,0.19301395157981,185,0.062784225887464,326,0.11063598723953,0.30633513513513,2.0227564926716,1.0630405405405,0.10961786465757,1.0678748387973,-31.8953,-0.15129238424524,2946.6,0.093295070142054,0.11892517356647,524.9,31.4,752.6,560000,3143.6,184,17.101086956522,3143.6,1.05,1.6892816913612
"8",2004-12-31,101,0.67,0.2389,0.33705755758048,NA,3120.6,48.9,31.5,0.0073639423976061,0.011423805033727,0.010094212651413,58.658,0.5609041439933,25.850364963504,47.1,0.015085581665216,52.52,245.1802,159.9556,292.2802,0.3476,NA,4246.1,1.9727281174503,1.5398926524987,17.318280515521,14.527496437238,1.8638777928976,0.19,0.065,99.4976,4277.6,0.10776773697366,2.34,14.730769230769,0.02,-0.18,0.20732657833203,0.037,0.7064,0.60196757033904,2152.4,3541.5,0.20784978116617,0.17208247615485,137,0.060137834160046,278.8,0.12238268732716,0.38335766423358,2.4461251554082,1.3605455243949,0.10762487599315,1.5545849611518,60.458,0.37796756612253,2278.1,0.074314988873815,0.094626329603536,407.5,34.47,736.1,339200,2757.4,152.1,23.284023668639,2757.4,1.2,1.9586977425706
"9",2003-12-31,99,0.69,0.2557,0.38999032882012,NA,2780.7,43.6,48,0.0091864270540277,0.02078281953585,NA,-54.4612,0.53969495502542,30.620928620929,61.1,0.010187543412827,43.56,320.6619,211.6368,381.7619,0.34,NA,5177.1,2.5629207920792,2.2415569795636,16.14504349566,13.561071105371,1.9002716194391,0.145,0.06,283.598,5225.1,0.1235300463912,1.83,23.601092896175,0.03,0.0496,0.32760440223127,0.032,0.7233,0.53285144028482,2020,4418.6,0.18252387634092,0.15435111289736,144.3,0.0529657906328,357.7,0.13129496402878,0.3018711018711,3.5026555687673,2.1117881807537,0.1177,1.621861694318,-71.9612,-0.3400218544518,2724.4,0.10477071326733,0.11438763376932,419.5,43.19,806.5,140700,2309.6,163,27.107975460123,2309.6,1.15,2.5266441005803
"10",2002-12-31,49.2,0.92,0.3262,0.39933724467623,NA,2514.4,33.7,39.6,0.013298408220834,0.015344079355239,NA,-19.4,0.6185,17.264819091609,62.9,0.018427787934187,41.328,236,159.3,298.9,0.325,NA,2938.2,NA,NA,12.45,9.830043492807,1.1384841909485,0.155,0.04,188.5,2977.8,0.13971524021635,3.14,14.493630573248,NA,-0.0157,0.18181818181818,0.024,0.6904,0.48452911231308,1801.2,2242.7,0.32777455745307,0.24686009805897,129.9,0.0503332300062,356.2,0.13801921884687,0.31815242494226,2.0283078592747,1.1138592962328,0.0914445133292,0.86899411035338,-29.2,-0.18330194601381,2580.8,0.088441039307129,0.11748213801212,379.7,45.51,735.1,285473,2681.8,NA,NA,2681.8,1.1,1.6312458361093
