"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,227.5,0.25,0.1134,0.5368,4336,14910,941,120,0.0127,0.0203,0.008,-37.7,0.55,17.26,426,0.0554,245.7,637,400.27,1063,0.3716,0.3716,9339,1.01,1.8,14.66,8.79,1.58,0.07,-0.03,-77.04,9459,0.5513,1.29,15.2,-0.045,-0.045,0.0645,NA,0.5479,0.0944,9240,4435,1.1328,0.5311,257,0.0434,302,0.051,0.975,1.02,2.47,0.1076,0.75,477.3,1.1925,5920,0.0433,0.0593,0,19.61,5024,3085572,5181,252,17.6,5181,0.75,1.01
"2",2010-12-31,225.1,0.35,0.1896,0.52477249747219,4230,14480,802,31,0.0033524023747986,0.0044040346640148,0.0021408839779006,-63.8966,0.8,16.580072463768,393,0.0535,244.8214,624,506.5382,1017,0.18824,0.18823529411765,9216.1,1.0390191657272,1.4857488312107,14.769391025641,9.0620452310718,1.3092910924847,0.025,-0.07,161.4348,9247.1,0.52990331491713,1.21,16.776859504132,-0.005,-0.2493,0.10937919914002,NA,0.5391,0.097168508287293,8870,4576.1,1.0207381831691,0.50513133847368,276,0.039210115073164,538,0.076431311265805,0.88703387681159,1.0818203309693,6.6320289855073,0.088648955817588,0.65010654922574,345.1034,0.68129786959774,7039,0.057106904171364,0.065248226950355,0,20.3,4671,1876261,6203,288,15.889236111111,6203,0.8,1.0388832715425
"3",2009-12-31,222.3,0.58,0.2359,0.58554873892297,4256,15779,864,57,0.0056229099051997,0.0061561723728264,0.0036123962228278,-72.6046,0.8,17.549361702128,391,0.0588,242.4971,695,473.4062,1086,0.31884,0.31884057971015,10080.1,0.98708382295339,1.2297303891668,14.503741007194,9.2818600368324,1.0886812830759,0.005,-0.055,73.0108,10137.1,0.56169592496356,0.98,18.622448979592,-0.005,-0.1478,0.13369596335528,NA,0.5589,0.08916914886875,10212,4124.1,1.4580150820785,0.59316767122747,235,0.025380710659899,633,0.068365914245599,1.0319024680851,0.96900845864662,35.098723404255,0.075062101738849,0.44541527162761,400.3954,0.84577557089699,9259,0.046357833920877,0.055216165413534,0,18.25,6013,2004188,8197,269,15.331226765799,8197,0.8,0.98715551660337
"4",2008-12-31,218.9,0.59,0.2342,0.58588653884167,4190,16475,781,394,0.040629866045188,0.036822429906542,0.02391502276176,-76.9289,0.5465414175918,9.42325,377,0.0635,239.3506,868,611.2716,1245,0.29577,NA,9303.3,0.95673591114768,0.96854894122056,10.718087557604,7.4725301204819,0.86946728971963,NA,-0.015,284.2005,9697.3,0.50464339908953,1.23,13.69918699187,-0.02,0.0464,0.3002084781098,NA,0.541,0.085644916540212,9724,3769.3,1.5727058074444,0.61130417745146,400,0.037383177570093,752,0.070280373831776,0.598376375,0.89959427207637,NA,0.081121495327103,0.35227102803738,327.0711,0.5350667058654,10700,0.062862159605101,0.095465393794749,0,16.85,5928,2649931,9605.4,253,14.898418972332,9605.4,0.8,0.95842063648942
"5",2007-12-31,200.5,0.8,0.1843,0.57202803161011,4018.4,15111,623.4,69.6,0.0079269264937017,0.0074308165357021,0.0046059162199722,-66.1917,0.65111231687466,11.498145025295,365.9,0.063516367476241,216.54,773.2,469.1082,1139.1,0.39329,NA,8710.6,0.93463379042469,0.8255240911331,11.265649249871,7.6469142305329,0.92998377177998,0.11,0.025,277.7999,8780.2,0.52125603864734,1.92,9.25,-0.045,0.0721,0.32686797443244,NA,0.5801,0.093283038845874,9319.8,3409.2,1.5754429191599,0.61171727295506,296.5,0.031655705500512,523.1,0.055848565083703,0.73032040472175,0.84839737208839,1.0452859113905,0.082550392893748,0.36398189272292,191.3083,0.40781272227079,9366.4,0.05033457499088,0.073785586303006,NA,17.76,5371,1491235,10551.6,383.7,8.8850664581704,10551.6,0.75,0.93511832491959
"6",2006-12-31,191.9,0.41,0.1292,0.60542933402773,3612.2,14243.5,474.6,60.8,0.0053803405189197,0.0072702053115546,0.004268613753642,-41.6868,0.8,22.485849056604,413.2,0.034888469337809,199.576,712.2,433.7654,1125.4,0.39095,NA,11239.6,1.230873688591,1.2575213417022,15.78152204437,9.9872045494935,1.3439835463775,0.095,0.025,414.0522,11300.4,0.5319338645698,1.79,15.994413407821,-0.05,0.0254,0.11855763977418,NA,0.5251,0.098936356934742,9131.4,5720.4,0.97545626179987,0.49378783051927,254.4,0.030420069593084,606.3,0.072498774348611,0.78449685534591,1.5836332428991,2.3669314796425,0.085161845771204,0.68402109316146,19.7132,0.045446696059856,8362.9,0.04750261843748,0.070427994020265,NA,28.63,5580,1289500,8937.9,275,20.801454545455,8937.9,0.95,1.2293466199604
"7",2005-12-31,189.8,0.74,0.1542,0.60416804718044,3630,14017.8,467.1,144.5,0.013788167938931,0.017915814270659,0.010308322275963,-13.5121,0.8,18.058759913482,422.6,0.039403533286755,197.392,748.1,457.7025,1170.7,0.38818,NA,10335.5,1.1540308173292,1.212901787286,13.815666354765,8.8284786879645,1.281445663629,0.08,0.03,426.7146,10480,0.52162250852488,1.63,15.957055214724,-0.01,0.1081,0.10660106601066,NA,0.5132,0.10210589393485,8956,5009.5,1.0920251522108,0.52199427480916,277.4,0.034393404004711,239.1,0.029644783336433,0.71157894736842,1.3800275482094,2.2573449891853,0.092753084123737,0.62110222552849,30.9879,0.067703158518298,8065.5,0.051105688030371,0.076418732782369,NA,26.01,5470.5,509800,8521.3,244.9,20.455287872601,8521.3,0.9,1.151585077743
"8",2004-12-31,188.3,0.57,0.199,0.63350437605116,NA,13349.4,517.4,71.6,0.0070707669214513,0.0098309785668191,0.0053635369379897,4.0777,0.57286432160804,16.121316494451,440.5,0.044742729306488,188.3,753.9857,462.3742,1194.4857,0.38676,NA,10054.6,1.0790281384817,1.3805385069545,13.335265819093,8.4175137732078,1.3922567780886,0.065,0.005,381.3965,10126.2,0.53096019296747,1.6,13.96875,NA,-0.0941,0.09391771019678,NA,0.4456,0.10715837415914,9318.2,4212.5,1.4038456973294,0.58399992099702,261.3,0.036182115262123,480.4,0.066520811985932,0.72062763107539,1.2513739120102,2.4802025376078,0.10440412639508,0.58330333157938,80.9777,0.17513461015148,7221.8,0.049620549347814,0.076376709926342,0,22.35,5913.7,371900,7283.1,261.3,16.121316494451,7283.1,0.9,1.0847679139573
"9",2003-12-31,171.8,0,0,0.66825528829751,NA,13434.4,598.2,137.8,0.013828399397893,0.019641660846387,NA,-11.9727,NA,15.078711256118,422.1,0.04739336492891,171.8,1048.5215,856.988,1470.6215,0.18267,NA,9827.2,1.051082399247,1.400744045498,9.3724357344102,6.6823450271153,1.351505232902,0.035,-0.02,692.8608,9965,0.51843774191628,1.65,12.787878787879,NA,0.0297,0.12341526520052,NA,0.4292,0.10676323468112,9349.6,3697.3,1.6952100181213,0.62897139989965,245.2,0.033721617867506,340.6,0.046841692682189,0.70065252854812,1.2310791462724,4.3082032160336,0.1442,0.50847853891326,164.1273,0.19151639783871,7271.3,0.09166039669096,0.078804435159891,0,21.1,6267.7,175800,7015.7,0,NA,7015.7,0.85,1.0624573524394
"10",2002-12-31,164.9,0,0,0.67512525213091,NA,12861.7,503.8,274.1,0.028960241740362,0.040443834565387,NA,385.5,0,10.983723296033,239.8,0.050909203173721,164.9,545.6,452.9789,785.4,0.16976,NA,9190.6,NA,NA,16.844941348974,11.701807995926,1.3560857568648,0.015,NA,188.9789,9464.7,0.52854599314243,1.52,12.381578947368,NA,-0.181,0.12165848336061,NA,0.3685,0.11132276448681,9348,3239.1,1.9220153746411,0.65777045231228,294.9,0.043512903368598,224.4,0.033110530742331,0.55917260088165,1.0812136991788,7.322482197355,0.080504035530373,0.47793369040768,264,0.58280854661536,6777.3,0.048457311082584,0.098437812938113,0,18.82,6225.6,483898,7354.6,199.7,16.219829744617,7354.6,NA,0.983162173727
