"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-19,30,1.9,0.6815,0,105.5,121.6,0.1,119.6,0.7706,1.3763,0.9836,1.61,0.7,3.67,0,0,0,42,42.2,42,0,0,35.6,0.46,0.84,0.84,0.41,0.3,40.49,155.2,8e-04,NA,NA,0.23,0.3624,0.5763,0,-14.1,155.2,0,0,42.3,0.4868,-14.3,-0.1646,0,1.47,0.12,0.4856,1.79,1.71,0.0406,86.9,NA,0.4009,21.8,5.01,0,184922,77.1,42.3,3.67,77.1,1.3,NA
"2",2011-09-19,29.9,1.36,0.7515,0,60.6,69.7,0.1,64.1,0.53956228956229,0.93576642335766,0.91965566714491,0.8562,0.41583499667332,5.1428571428571,0,0,0,22.2,22.2,22.2,0,0,54.7,1.2720930232558,2.463963963964,2.463963963964,0.7985401459854,0.3,21.2438,118.8,0.0014347202295552,NA,NA,1.1244,0.54352441613588,0.4519,0,-3.5,118.8,0,0,23.1,0.33722627737226,-2.3,-0.033576642335766,0,1.960396039604,0.17142857142857,0.32408759124088,1.7343065693431,0.9562,0.043072269349642,68.5,NA,0.38118811881188,23.8,3.95,0,152609,43,-0.7,NA,43,1.25,NA
"3",2010-09-19,29.8,1.48,0.69,0,33.8,49.2,0,46.7,0.22903384011771,1.4503105590062,0.94918699186992,-4.6025,0.47101449275362,NA,0,0,0,-7.992,-7.992,-7.992,0,NA,157.2,3.605504587156,NA,NA,4.8819875776397,0.3,-3.3896,203.9,0,NA,NA,-0.5141,0.39878654164368,0.4849,0,-12.9,203.9,0,0,-6.9,-0.21428571428571,-13,-0.40372670807453,NA,6.0325443786982,NA,-0.2482,6.332298136646,-4.6025,NA,32.2,NA,-0.20414201183432,17.8,6.65,0,156204,43.6,-1.2,NA,43.6,1.3,NA
"4",2009-09-19,29.8,1,0.6151,0,35.7,70.4,0,61.7,0.36230182031709,0.93343419062027,0.87642045454545,6.8909,0.33815639733377,NA,0.1,0,0,-8.1311,-8.1311,-8.0311,0,NA,108.6,2.5857142857143,NA,NA,1.642965204236,0.3,-14.9221,170.3,0.0014204545454546,-0.23,NA,0.2345,0.30340557275542,0.4576,0,-26,170.3,0,0,-6,-0.090771558245083,-18.9,-0.28593040847201,NA,4.7703081232493,NA,-0.12301285930408,2.5763993948563,6.7909,NA,66.1,NA,-0.16806722689076,12.3,5.98,0,100539,42,-5.2,NA,42,1.3,NA
"5",2008-09-19,29.7,2.03,0.794,0,35.3,77.4,0,73.9,0.4836387434555,1.3838951310861,0.95478036175711,1.8247,0.30226700251889,32.510638297872,0.1,0,0,2,1.7499,2.1,0.12507,NA,78.9,1.3556701030928,39.45,37.571428571429,1.4775280898876,0.3,0.0251,152.8,0.0012919896640827,-0.3,NA,2.9198,0.5262076053443,0.5535,0,-38.6,152.8,0,0,4.7,0.088014981273408,-20.3,-0.38014981273408,0,4.328611898017,1.0836879432624,0.037453183520599,2.8614232209738,1.7247,0.98563262268044,53.4,NA,0.13314447592068,11.5,5.04,0,156269,58.2,-6.2,NA,58.2,1.5,NA
"6",2007-09-19,29.4,1.47,0.766,0,24.1,67.1,0,62.6,0.17094483888585,4.637037037037,0.93293591654247,44.3178,0.35509138381201,NA,0.1,0,0,-21.6393,-21.6393,-21.5393,0,NA,303.6,5.6014760147602,NA,NA,22.488888888889,NA,-65.857,366.2,0.0029806259314456,0.08,142.625,-0.5354,0.40870185449358,0.5277,0,-38.5,366.2,0,0,-19.3,-1.4296296296296,-14.7,-1.0888888888889,NA,15.195020746888,NA,-1.6029074074074,27.125925925926,44.2178,NA,13.5,NA,-0.80082987551867,12.8,11.41,0,357924,54.2,8.5,43.082352941177,54.2,1.7,NA
"7",2006-09-19,29,1.24,0.8268,0,33.9,46.7,0,45.8,0.0871882733676,1.6013986013986,0.98072805139186,3.1437,0.21286889211418,262.65,0.2,0,0,0.6,0.6,0.8,0,NA,479.5,13.065395095368,799.16666666667,599.375,16.765734265734,0.3,-2.3437,525.3,0.0042826552462527,-0.67,NA,0.2347,0.55946398659967,0.5332,0,-11.9,525.3,0,0,2,0.06993006993007,-11.1,-0.38811188811189,0,15.495575221239,8.755,0.020979020979021,18.367132867133,2.9437,4.9061771561772,28.6,NA,0.058997050147493,9.2,16.99,0,516509,36.7,-2.7,NA,36.7,1.1,NA
"8",2005-09-19,28.9,0.11,0.7986,0,NA,53.3,0.3,51.8,0.18613007545814,5.8202247191011,0.9718574108818,7.8069,0.027548209366391,NA,0.2,0,0,-6.012,-6.012,-5.812,0,NA,226.5,25.449438202247,NA,NA,9.8051948051948,NA,-13.9189,278.3,0.0093808630393996,0.01,959,0,0.51890034364261,0.4313,0,-20.1,278.3,0,0,-5.3,-0.22943722943723,-12.7,-0.54978354978355,NA,8.7791798107255,NA,-0.26025800865801,12.047619047619,7.9069,-1.3151994369434,23.1,0.29910248756219,-0.16719242902208,8.7,9.59,0,105748,8.9,-22.6,NA,8.9,1.1,8.7791798107255
"9",2004-09-19,28.5,0.68,0.7921,0,NA,61.5,0,60.5,0.28524280999529,2.42,NA,-8.0595,0.17169549299331,NA,0.1,0,0,-15.1878,-15.1878,-15.0878,0,NA,151.6,6.064,NA,NA,40.972972972973,NA,-7.0283,212.1,0.0048780487804878,-0.13,NA,0,0.56906077348066,0.4871,0,-24.9,212.1,0,0,-14.9,-4.027027027027,-1.4,-0.37837837837838,NA,5.9578651685393,NA,-4.1048,57.324324324324,-8.1595,0.53723916228986,3.7,0.60995020080321,-0.4185393258427,19,7.15,0,45655,25,1.4,151.5,25,1.05,5.9578651685393
"10",2003-09-19,28.1,0.71,0.9705,0,NA,51,0.4,50.1,0.16931395741805,NA,NA,13.6,0.1609,NA,0.1,0,0,-0.1,-0.1,0,0,NA,245.8,NA,NA,NA,NA,NA,-0.4,295.9,0.007843137254902,NA,NA,0,0.79214780600462,0.4016,0,-0.9,295.9,0,0,-24.6,NA,-1.3,NA,NA,6.0142276422764,NA,NA,NA,0.3,NA,0,NA,-0.5,25.5,10.08,0,141552,1.9,-19,NA,1.9,1.1,NA
