"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,17.1,1.13,0.3405,0.2709,595.5,1071.1,9.6,26.7,0.0136,0.0582,0.0249,189.71,0.8,17.49,12.1,0,0,189,114.27,201,0.3963,0.3987,1943.5,2.46,3.49,10.27,9.65,4.24,0.15,-72.94,1970.2,0.024,7.29,14.66,0.14,0.185,0.2806,NA,0.9848,0.0712,790.1,1748.9,0.1265,0.1123,100,0.2179,892,1.9438,0,2.94,1.17,0.4125,3.81,187.21,1.6383,458.9,0.1446,0.1679,118.5,106.86,221.3,91258,556.5,117.3,14.91,556.5,1.05,2.41
"2",2010-12-31,17.1,1.39,0.3928,0.38138479001135,490.5,995.9,9.5,41.1,0.028500104014978,0.110276361685,0.041269203735315,151.663,0.66827902240326,15.50612244898,12,0,0,140.2,85.6818,152.2,0.38886,0.39205955334988,1401,1.8635275339186,3.1718360878424,9.9928673323823,9.2049934296978,3.7590555406493,0.15,-63.4812,1442.1,0.024400040164675,5.78,11.681660899654,0.14,0.2055,0.23146706384131,NA,NA,0.0804297620243,751.8,1139.7,0.26533298236378,0.20969419596422,73.5,0.19720955191843,819.2,2.198014488865,0,2.3235474006116,1.0337414965986,0.37617386638047,3.0579554601556,149.163,1.7408942270896,372.7,0.11396891194467,0.14984709480122,96,67.52,302.4,98672,441.7,95.4,11.946540880503,441.7,1.05,1.8187665531593
"3",2009-12-31,15.5,1.13,0.4124,0.48880085326832,335.5,794.4,4.5,20.3,0.012537829658452,0.072216293134116,0.02555387713998,156.3913,0.66682832201746,29.306997742664,9.2,0,0,89.4,54.4813,98.6,0.39059,0.39064649243466,1598.8,2.5138364779874,4.6328600405679,17.883668903803,16.215010141988,5.6876556385628,0.162,-97.2101,1619.1,0.027567975830816,4.26,17.652582159624,0.175,0.052,0.30543933054393,NA,NA,0.050478348439073,636,1298.3,0.24709235153663,0.19813476622815,44.3,0.1575951618641,686.9,2.4436143721096,0,3.8697466467958,1.8090739347323,0.31803628601921,4.6186410530061,151.6913,2.7842846608305,281.1,0.085662349056604,0.13204172876304,76.1,75.2,320.8,100458,345.1,65.7,19.76103500761,345.1,1.1,2.4670120371781
"4",2008-12-31,15.3,1.36,0.4309,0.48587468308584,283.9,657.8,6.1,13.9,0.014061709661103,0.052791492593999,0.021131042870173,24.2221,0.40844743559991,15.863436123348,7.4,0,0,91.8,56.4671,99.2,0.38489,NA,974.6,1.8105145829463,3.5452891960713,10.616557734205,9.8245967741935,3.7014812001519,0.162,33.545,988.5,0.036333231985406,2.79,16.075268817204,0.21,0.1827,0.4447146330997,NA,NA,0.062328975372454,538.3,720.2,0.37253540683144,0.27142134547294,45.4,0.17242688947968,549.8,2.0881124192936,0,2.5368087354702,0.97922445205852,0.34865172806684,2.7352829472085,22.9221,0.40593734892849,263.3,0.1048989373955,0.15991546319127,76,44.85,268.3,125095,274.9,42.5,16.945882352941,274.9,1.1,1.7901122781601
"5",2007-12-31,15.2,1.07,0.3542,0.41670798215171,235.3,476.3,8.7,16.7,0.025823411164373,0.075668328047123,0.035061935754776,-61.1183,0.54206662902315,9.9294605809129,5.5,0,0,87.1,53.9393,92.6,0.38072,NA,630,1.6291698991466,2.4744697564808,7.2330654420207,6.8034557235421,2.8545536927956,0.11,111.8576,646.7,0.034012177199244,3,11.28,0.235,0.2363,0.3620043910629,NA,NA,0.049758555532228,386.7,478.6,0.35123276222315,0.25993505489408,48.2,0.21839601268691,397.9,1.8028998640689,0,2.0339991500213,0.90267823462844,0.39465337562302,2.1685545990032,-57.9183,-1.0737684448474,220.7,0.13948613395397,0.20484487887803,59.1,33.84,168.1,103360,254.6,45.5,10.518681318681,254.6,1.2,1.6031234506693
"6",2006-12-31,16,1.72,0.3081,0.0036261079774376,247.3,293.4,6.9,25.1,0.042149454240134,0.13329792883696,0.085548738922972,-27.6708,0.62317429406037,13.361797752809,5.1,0,0,76.8,47.3203,81.9,0.38385,NA,570.4,2.5567010309278,2.6854990583804,7.4270833333333,6.964590964591,3.0292087095061,0.11,73.1912,595.5,0.038173142467621,3.13,11.571884984026,NA,0.2505,0.28820875024524,NA,NA,0.085207907293797,223.1,594.6,0.0015136226034309,0.0015113350125945,44.5,0.23632501327669,216.2,1.1481678173128,0,2.4043671653862,1.214708886619,0.40785979819437,3.157727031333,-25.8708,-0.54671744394878,188.3,0.2121036306589,0.17994338859685,40.1,36.22,0.9,215264,212.4,49,12.134693877551,212.4,1.2,2.3992747784045
"7",2005-12-31,15.8,0.84,0.2651,0.077903682719547,195.3,247.8,3.5,16,0.020956123117223,0.10774410774411,0.06456820016142,-36.5051,0.63372312334968,20.298913043478,4.7,0,0,63,38.6549,67.7,0.38643,NA,747.5,3.817671092952,4.1853303471445,11.865079365079,11.041358936484,5.03367003367,0.1812,76.36,763.5,0.029055690072639,2.74,17.040145985402,NA,0.2874,0.16171472426269,NA,NA,0.11016949152542,195.8,747,0.022088353413655,0.021611001964637,36.8,0.24781144781145,180.1,1.2127946127946,0,3.8248847926267,1.1202490642096,0.42424242424242,5.030303030303,-37.7051,-0.97542893891404,148.5,0.19742037793667,0.1884280593958,30,46.69,16.5,167246,178.6,42.4,17.617924528302,178.6,1.05,3.6048158640227
"8",2004-12-31,15.5,0,0,0.016244314489928,NA,175.2,2.1,48.5,0.066347469220246,0.34421575585522,0.27682648401826,23.6684,NA,26.490909090909,2.4,0,0,47.5867,29.1331,49.9867,0.38779,NA,682.5,6.4753320683112,4.8438608942512,14.342236657622,13.653626403173,6.0185185185185,0.184,5.7646,731,0.03310502283105,2.25,20.64,NA,0.3176,0.20990123765471,NA,0.992,0.072488584474886,105.4,728.5,0.0034317089910776,0.0034199726402189,27.5,0.24250440917108,97.6,0.86067019400353,0,4.8117569352708,1.4397233201581,0.41963597883598,6.4241622574956,23.3684,0.80212739896493,113.4,0.27640479934725,0.18163804491413,21.4,46.44,2.5,92206,140.9,35,20.814285714286,140.9,1,4.7498375568551
"9",2003-12-31,15.3,0,0,0.018136850783182,NA,126.4,2.5,24.9,0.039212598425197,0.2378223495702,NA,20.523,NA,30.570048309179,1.4,0,0,37.823,23.1023,39.223,0.3892,NA,610.1,6.3288381742739,5.8271251193887,16.130418172036,15.554668886456,7.1861012956419,0.19,1.4793,635,0.041139240506329,1.7,24.052941176471,NA,0.3442,0.26616495162033,NA,0,0,96.4,632.8,0.0034766118836915,0.0034645669291339,20.7,0.24381625441696,88,1.0365135453475,0,5.3131821998321,1.6089499110094,0.4455,7.4534746760895,21.623,0.93596774518384,84.9,0.23964997780083,0.17380352644836,14.1,40.89,2.2,34898,104.7,25.2,25.111111111111,104.7,0.9,5.234954657873
"10",2002-12-31,13.5,0,0,0.018270401948843,NA,88.3,1.3,17.9,0.043594739405748,9.421052631579,NA,24.8,0,35.885964912281,0.9,0,0,-30.7712,-18.8748,-29.8712,0.38661,NA,392.7,NA,NA,NA,NA,206.68421052632,0.1875,-19.2748,410.6,0.043035107587769,NA,NA,NA,0,0.31844660194175,NA,NA,0,64.2,409.1,0.0036665851869958,0.0036531904529956,11.4,6,59.6,31.368421052632,0,5.075682382134,1.913918128655,-16.195384210526,215.31578947368,0.4,NA,1.9,-0.29399945124143,0.14143920595533,8.1,26.92,1.5,117370,23.2,16.2,25.253086419753,23.2,NA,6.1168224299065
