"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,60.1,1.03,0.3781,0.2652,609.7,1535.4,74.4,213.6,0.1101,0.153,0.1391,14.88,0.68,25.97,66.2,0,0,96,71.89,162,0.248,0.2477,1725.7,2.8,1.12,18.05,10.67,1.24,0.195,0.12,48.81,1939.3,0.1353,NA,NA,0.49,0.125,0.2446,0.043,NA,0.212,616.1,1719.3,0.128,0.1134,66.2,0.0474,140.6,0.1007,0,2.82,1.33,0.0685,1.23,23.08,0.3211,1396.5,0.1167,0.1086,262.9,29.59,220,653191,1544.3,72,23.88,1544.3,1.35,2.34
"2",2011-06-30,58.4,0.67,0.4524,0.3292645712542,439.6,1220.7,79,95.2,0.065578287524971,0.084173297966401,0.077988039649382,12.3196,0.74602122015915,19.462992125984,60.3,0,0,103,72.5903,163.3,0.29524,0.29522752497225,1356.5,2.4214566226348,1.0623384759965,13.169902912621,8.3067973055726,1.1993810786914,0.15,0.08,41.5707,1451.7,0.15392807405587,NA,NA,NA,0.0644,0.29302756543896,0.04,NA,0.28287048414844,560.2,1235.9,0.17460959624565,0.14865330302404,63.5,0.056145004420866,95.5,0.084438549955791,0,2.8114194722475,1.2975328083989,0.091069849690539,1.0927497789567,31.0196,0.42732421528819,1131,0.12957922170653,0.14444949954504,263.1,20.74,215.8,556336,1276.9,50.3,24.570576540755,1276.9,1.35,2.2149832163564
"3",2010-06-30,57.8,1.09,0.5858,0.40236345294711,414.7,1224.5,75.2,96.4,0.061949746160272,0.091739626950895,0.078726010616578,19.7414,0.57613519972687,27.052966101695,52.9,0,0,90.6,53.6742,143.5,0.40757,0.4077791718946,1459.7,2.4430125523013,1.2028842192007,16.111479028698,10.17212543554,1.3891320898363,0.165,0.095,11.6328,1556.1,0.13924050632911,NA,NA,0.27,0.0706,0.29987325728771,0.037,0.9803,0.28289097590853,597.5,1276.9,0.21865455399796,0.17942291626502,47.2,0.044918157594214,127.5,0.12133612485725,0,3.0790933204726,1.639573703133,0.086220022839741,1.2151693947469,42.0414,0.78327055478495,1050.8,0.089831226778243,0.11381721726549,232.2,21.23,279.2,646735,1213.5,68.8,18.559593023256,1213.5,1.35,2.242542153048
"4",2009-06-30,57.8,1.27,0.5205,0.40236345294711,414.7,1224.5,75.2,96.4,0.087860007291287,0.091739626950895,0.078726010616578,5.3995,0.44572526416907,17.330508474576,52.9,0,0,90.6,53.6742,143.5,0.40757,NA,1000.8,1.6749790794979,0.91372226787182,11.046357615894,6.9742160278746,0.95241720593833,0.145,0.1,25.9747,1097.2,0.13924050632911,NA,NA,0.27,0.0706,0.39546599496222,0.034,0.9183,0.28289097590853,597.5,818,0.34132029339853,0.25446591323369,47.2,0.044918157594214,127.5,0.12133612485725,0,1.9725102483723,1.1952074810053,0.086220022839741,0.77845451084888,27.6995,0.51606692285974,1050.8,0.089831226778243,0.11381721726549,232.2,14.1,279.2,646808,1095.3,46,17.782608695652,1095.3,1.45,1.5812076668108
"5",2008-06-30,56.8,1.96,0.4728,0.14053402931138,428.1,948.1,67.1,51.9,0.093094170403587,0.05382142486778,0.054741061069507,-18.6161,0.4906937394247,9.3034351145038,37.7,0,0,85.8,52.5611,123.5,0.3874,NA,505.6,1.1331241595697,0.46997583193902,5.8927738927739,4.0939271255061,0.52431815824951,0.575,0.175,41.7772,557.5,0.1441831030482,0.93,10.440860215054,0.345,0.2621,0.71090607996215,0.045,NA,0.19227929543297,446.2,487.5,0.14358974358974,0.12556053811659,52.4,0.054339935704656,161,0.16696048947423,0,1.1387526278907,0.16179887155659,0.088976459608006,0.50554806595458,10.7839,0.20516902285157,964.3,0.11779713133124,0.12240130810558,211.4,9.71,70,912007,1075.8,56.1,8.6898395721925,1075.8,1.45,1.1192531620157
"6",2007-06-30,27.6,0.27,0.2799,0.088658606793322,316.6,680,40.9,96.7,0.069971056439942,0.13032345013477,0.14220588235294,-6.1486,0.62879599857092,36.225201072386,30.9,0,0,57.5,35.9841,88.4,0.37419,NA,1285.3,5.1268448344635,1.550609241163,22.353043478261,14.539592760181,1.7322102425876,0.605,0.14,32.1327,1382,0.14294117647059,1.32,36.121212121212,0.035,0.1783,0.30087390761548,0.0509,NA,0.17367647058823,250.7,1351.2,0.022794552989935,0.022286541244573,37.3,0.050269541778976,52.5,0.070754716981132,0,4.2678458622868,0.59876365408903,0.077493261455526,1.8210242587601,3.8514,0.10703109901643,742,0.14353440366973,0.11781427668983,166.3,47.68,30.8,152098,828.9,40.3,33.528535980149,828.9,1.1,3.9781232009211
"7",2006-06-30,26.9,-0.41,0.275,0.0048,248.8,538.6,29.8,92.7,0.11597647941949,0.15075622052366,0.17211288525808,-4.1713,0.66909090909091,33.96170212766,26,0,0,39.9,21.4391,65.9,0.46268,NA,706.6,4.4920534011443,1.0391176470588,17.709273182957,10.722306525038,1.1491299398276,NA,0.11,21.8104,799.3,0.14556256962495,0.92,31.489130434783,NA,0.0968,0.32466162770258,0.045,0.9745,0.10750092833271,157.3,798.1,0.0015035709810801,0.0015013136494433,23.5,0.038217596357131,39.4,0.064075459424297,0,3.2077974276527,NA,0.064888599772321,1.297934623516,-0.3713,-0.017319428648751,614.9,0.13629413858868,0.094453376205788,142.8,28.97,1.2,138732,680,27.2,29.341911764706,680,1.15,3.1972
"8",2005-06-30,26.2,1,0.38,0.0077220077220077,NA,475.7,31.8,88.6,0.16495997021039,0.16265834404259,0.18625183939458,0,0.52631578947368,NA,29.6,0,0,-0.2407,-0.0963,29.3593,0.6,NA,448.5,3.7816188870152,0.82338902147971,NA,15.276234164744,0.82338902147971,NA,0.07,-2.2963,537.1,0.15114568005045,NA,NA,NA,0.0095,0.18785578747628,0.052,0.9647,0.10931259196973,118.6,535.5,0.0029878618113912,0.0029789610873208,-35.2,-0.064622728107215,32.2,0.059115109234441,NA,2.6045719844358,NA,-0.00044183954470351,0.98310996879016,2.2,-22.852869073835,544.7,-0.00081170320404722,-0.17120622568093,155.3,20.26,1.6,52439,544.7,-35.2,NA,544.7,1.05,2.5921814671815
"9",2004-06-30,26.5,1.1,0.3813,0.0052398226521564,NA,503,27.8,95.6,0.17432530999271,0.16660857441617,NA,2.4597,0.5769735116706,39.644927536232,25.8,0,0,50.3424,30.3434,76.1424,0.39726,NA,452.8,2.9691803278689,0.78912513070756,8.9944063056191,5.9467524007649,0.82748538011696,0.295,0.1,25.8837,548.4,0.13717693836978,NA,NA,-0.08,0.0405,0.14991390443392,0.045,0.9617,0.10258449304175,152.5,547.1,0.0023761652348748,0.0023705324580598,13.8,0.025219298245614,50.6,0.092470760233918,0,2.2167747163695,1.3438958486858,0.092,0.99981725146199,4.4597,0.14697513890361,547.2,0.1989729716459,0.055915721231767,140.8,20.6,1.3,290264,573.8,14.8,36.966216216216,573.8,0.85,2.2103990326481
"10",2003-06-30,25.8,1.29,0.5952,0.0030728709394205,NA,464.2,30,82.7,0.18989667049368,0.13355943152455,NA,0.1,0.4779,40.635514018692,20.7,0,0,20.6,12.5213,41.3,0.39217,NA,352.8,NA,NA,17.126213592233,8.5423728813559,0.56976744186047,0.325,0.11,3.2213,435.5,0.13334769495907,NA,NA,NA,0.3371,0.29740932642487,0.036,0.8458,0.076691081430418,145.1,434.8,0.0016099356025759,0.0016073478760046,10.7,0.017280361757106,51.6,0.083333333333333,0,1.9145750770586,1.2503235082674,0.033268733850129,0.70219638242894,9.3,0.7427344992508,619.2,0.086294266023432,0.047115808014091,130.5,16.83,0.7,64386,619.2,10.7,40.635514018692,619.2,0.8,2.4314266023432
