"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,23.6,1.16,0.3101,0.006,233.6,275.8,4.3,104.2,0.5578,0.76,0.3778,0.25,0.8,NA,11.8,0,0,-3,-1.08,9,0.6,1,82.6,0.63,0.6,NA,9.08,0.6,0.15,6.17,186.8,0.2034,0.15,53.53,0.085,0.09,0.1511,NA,0.8172,0.1073,130.8,185.4,0.0076,0.0075,-2.1,-0.0153,24.7,0.1802,NA,0.79,NA,-0.0197,1.35,-7.25,NA,137.1,-0.0083,-0.009,51.4,8.03,1.4,65437,138.5,-1.3,NA,138.5,1.15,0.79
"2",2011-06-30,24.7,1.3,0.4111,0.034606205250597,242.7,301,11.7,106.3,0.53017456359102,0.63920625375827,0.3531561461794,-1.4251,0.69934322549258,14.207407407407,11,0,0,6,3.7571,17,0.37381,0.33823529411765,94.2,0.64920744314266,0.59319899244332,15.7,5.5411764705882,0.56644618159952,0.15,4.4823,200.5,0.20232558139535,NA,NA,0.475,0.1405,0.27603305785124,NA,0.8424,0.10764119601329,145.1,191.8,0.045359749739312,0.043391521197008,13.5,0.08117859290439,31.6,0.19001803968731,0,0.79027606098063,0.94716049382716,0.036079374624173,1.1533373421527,-0.7251,-0.19300193701987,166.3,0.025893452791178,0.055624227441285,49.7,7.61,8.7,72085,158.8,4.4,43.590909090909,158.8,1.15,0.7975338106603
"3",2010-06-30,24.9,1.78,0.5323,0,221.9,256,10.4,105.9,0.3799784714747,0.72089857045609,0.413671875,2.1768,0.54010896111216,25.805555555556,8,0,0,7,4.7748,15,0.31789,0.12195121951219,172.8,1.4896551724138,1.1020408163265,24.685714285714,11.52,1.1763104152485,0.225,0.198,278.7,0.1984375,0.67,16.388059701493,NA,0.168,0.22662750856583,NA,0.8277,0.012109375,116,278.7,0,0,10.8,0.073519400953029,32.3,0.21987746766508,0,1.2559711581794,1.1469135802469,0.047651463580667,1.8972089857046,4.5768,0.95853557970002,146.9,0.041161810344828,0.048670572329878,43.7,10.98,0,104060,156.8,19,14.668421052632,156.8,1.15,1.2559711581794
"4",2009-06-30,25.5,1.83,0.5244,0.007947639083684,212.2,246.1,26.9,116,0.39821489872983,0.90202177293935,0.47135310849248,-1.6292,0.36613272311213,47.475409836066,7.8,0,0,3,2.1777,10.8,0.2741,NA,175.3,1.7906026557712,1.4881154499151,58.433333333333,16.231481481481,1.3631415241058,NA,-15.2931,291.3,0.19179195449004,0.34,33.911764705882,NA,-0.207,0.41244239631336,NA,0.842,0.013815522145469,97.9,289.6,0.0058701657458563,0.0058359079986269,6.1,0.047433903576983,19.4,0.15085536547434,0,1.3647502356268,NA,0.023328149300156,2.2519440124417,17.4708,8.0225752182932,128.6,0.022244126659857,0.028746465598492,40.1,11.53,1.7,130029,117.8,3.7,78.27027027027,117.8,1.2,1.3618513323983
"5",2008-06-30,25.7,2.19,0.4727,0,207.5,231.6,10,113.8,0.78808864265928,0.69517409896152,0.49136442141623,-1.1995,0.37232917283689,8.4941176470588,6.5,0,0,19.4,12.9555,25.9,0.33219,NA,30.6,0.32657417289221,0.18085106382979,1.5773195876289,1.1814671814672,0.18692730604765,0.15,10.655,144.4,0.12607944732297,0.28,19.571428571429,0.355,0.3342,0.61423841059603,NA,0.8805,0.010794473229706,93.7,144.4,0,0,17,0.10384850335981,35.7,0.21808185705559,0,0.69590361445783,0.56627450980392,0.11850946854001,0.88210140500916,2.3005,0.17757302305368,163.7,0.13826589114194,0.081927710843373,40.8,5.48,0,218433,169.2,17,8.4941176470588,169.2,1.1,0.69590361445783
"6",2007-06-30,25.8,1.54,0.3202,0.0041819132253006,190.5,214.2,6,71.4,0.14676258992806,0.57860615883306,0.33333333333333,-1.1232,0.59962523422861,56.476744186047,6.1,0,0,4.9,3.5985,11,0.26562,NA,415.1,3.4620517097581,3.1662852784134,84.714285714286,37.736363636364,3.3638573743922,0.25,4.8216,486.5,0.11157796451914,0.61,26.901639344262,-0.105,0.1752,0.34102833158447,NA,0.8314,0.012605042016807,119.9,485.7,0.0016471072678608,0.0016443987667009,8.6,0.06969205834684,18,0.14586709886548,0,2.5496062992126,2.2590697674419,0.039708265802269,3.9359805510535,-1.2232,-0.33991651468438,123.4,0.030012193494579,0.045144356955381,37.9,16.41,0.8,401745,131.1,10.9,44.559633027523,131.1,1.2,2.5431259801359
"7",2006-06-30,26.1,1.83,0.2791,0.048086866597725,184.1,213.7,7.2,65.3,0.2136780104712,0.6166194523135,0.30556855404773,-2.2337,0.8,49.383333333333,5,0,0,2.5,1.72,7.5,0.31199,NA,240.3,1.8758782201405,2.1042031523643,96.12,32.04,2.2691218130312,0.25,1.7537,305.6,0.11417875526439,0.37,31,-0.355,0.3462,0.28436724565757,NA,0.8087,0.020121665886757,128.1,296.3,0.031387107661154,0.030431937172775,6,0.056657223796034,28.5,0.26912181303116,0,1.6094513851168,1.9753333333333,0.023607176581681,2.7979225684608,-0.0337,-0.019599161732323,105.9,0.013427205308353,0.032590983161325,34,11.47,9.3,129214,114.2,7,42.328571428571,114.2,1.45,1.5801447776629
"8",2005-06-30,26.4,1.03,0.2662,0,NA,194,2.8,143.3,0.66342592592593,1.7433090024331,0.73865979381443,0.5259,0.77385424492862,240,3.6,0,0,-2.5254,-2.4452,1.0746,0.03176,NA,72.7,1.9182058047493,0.88442822384428,NA,67.653080215894,0.91331658291457,0.25,-2.1711,216,0.030412371134021,0.13,61.307692307692,NA,0.203,0.16129032258064,NA,0.7944,0.021649484536083,37.9,216,0,0,0.9,0.011306532663317,16.1,0.20226130653266,0,1.1920529801324,9.6,-0.031726130653266,2.713567839196,-0.2741,0.11210590322798,79.6,-0.064516973509235,0.0049668874172185,31.3,7.97,0,46712,82.2,1.5,144,82.2,1.7,1.1920529801324
"9",2004-06-30,26.5,1.22,0.3365,0.0070960698689956,NA,197.5,3.2,144.4,0.57644710578842,1.9227696404794,NA,2.0309,0.72511144130758,NA,4.2,0,0,-3.6852,-3.6852,0.5148,0,NA,106.1,2.7345360824742,1.4127829560586,NA,206.09945609946,1.5978915662651,0.3,-4.7161,250.5,0.032405063291139,NA,NA,NA,0.4377,0.28284124946513,NA,0.7891,0.021772151898734,38.8,249.2,0.0052166934189406,0.005189620758483,-2.1,-0.031626506024096,15.5,0.23343373493976,NA,1.3699835074217,NA,-0.0555,3.7530120481928,1.0309,-0.27973339139691,66.4,-0.094979381443299,-0.011544804837823,29.1,9.15,1.3,21590,75.1,-1.1,NA,75.1,1.7,1.3673580786026
"10",2003-06-30,25.8,1.77,0.5361,0,NA,190.2,1.8,149,0.55328629780913,3.3111111111111,NA,-1.3,0.728,NA,3.9,0,0,-9.129,-9.129,-5.229,0,NA,120.3,NA,NA,NA,NA,2.6733333333333,0.3,-7.029,269.3,0.033123028391167,NA,NA,NA,-0.0593,0.27546777546778,NA,0.7698,0.0068349106203996,33.3,269.3,0,0,-4.3,-0.095555555555556,9.7,0.21555555555556,NA,1.4772353263851,NA,-0.20286666666667,5.9844444444444,-2.1,NA,45,-0.27414414414414,-0.023587493143171,22.6,10.32,0,64157,45.3,-4.2,NA,45.3,1.65,3.6126126126126
