"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,154.6,1.66,0.386,0.1664,2516.6,4221.9,1011.6,23.9,0.0074,0.0093,0.0057,29.7,0.8,8.46,418.6,0.0113,30.92,521,329.02,939,0.368,0.3679,3210.2,1.07,1.15,6.17,3.42,1.25,0.024,-293.67,3234.1,0.7502,1.78,10.47,-0.175,-0.005,0.267,NA,NA,0.0416,2995.2,2731.6,0.184,0.1554,322.8,0.1258,332.3,0.1295,0.0942,1.09,3.53,0.2029,1.06,622.7,1.8926,2565.9,0.1099,0.1283,64.3,18.63,502.5,3050586,2795.2,328.2,8.32,2795.2,1.45,1.07
"2",2010-12-31,153.1,1.82,0.4713,0.15419115372719,2187.6,3423,738.1,27.6,0.0077200637744399,0.01886663476656,0.0080631025416301,133.0169,0.76914916189264,26.940627650551,328.5,0.0098,31.1277,180.6,111.6216,509.1,0.38194,0.38207547169811,3547.5,1.3863920587776,1.5115040477205,19.642857142857,6.9681791396582,2.424977783854,NA,-430.9953,3575.1,0.76567338591878,2.15,9.2930232558139,-0.02,0.8622,0.38718209562564,NA,0.8936,0.052497808939527,2558.8,3176.3,0.12555489091081,0.11154932729154,117.9,0.080593341991934,220.1,0.15045457652608,0.2640181509754,1.4519564819894,NA,0.12345341445075,2.1712352177182,542.6169,4.8612160737969,1462.9,0.043622649679537,0.053894679100384,51,19.98,398.8,3670657,2347,289.9,10.956536736806,2347,1.45,1.382268790597
"3",2009-12-31,152.4,1.5,0.513,0,2081.7,2662.2,452.6,49.9,0.014989936615699,0.063818902672976,0.018743896025843,106.4887,0.682261208577,NA,275.6,0.0093,30.9588,-41,-41,234.6,0,NA,3279,1.6138399448765,2.8006491288008,NA,13.976982097187,4.193630899092,NA,-324.4887,3328.9,0.79272781909699,NA,NA,0.39,-0.6444,0.31344148319815,NA,0.9424,0.032379235218992,2031.8,3328.9,0,0,-34,-0.043483821460545,214.1,0.2738201816089,NA,1.5991257145602,NA,-0.052436372937716,4.2574498017649,283.4887,NA,781.9,-0.020179151491288,-0.016332804919057,56.6,21.55,0,4327023,1170.8,47,70.827659574468,1170.8,1.4,1.5991257145602
"4",2008-12-31,153.1,1.45,0.4891,0,2126.9,2712.8,448.9,81.2,0.033338807685991,0.036757050382509,0.029932173400177,-117.2638,0.47434062563893,7.0169979832901,264,0.0125,30.445,561.9,359.1833,825.9,0.36077,NA,2354.4,1.150901891773,1.9575954103268,4.1900694073679,2.8507083181983,1.065773391879,NA,291.5471,2435.6,0.71405927455028,-0.24,NA,0.44,0.0507,0.41392801251956,NA,NA,0.031775287525804,2045.7,2435.6,0,0,347.1,0.1571228101942,257.4,0.11651803902042,0.087712474791126,1.1451408152711,NA,0.25435697795482,1.1025304422616,67.6362,0.18830563270215,2209.1,0.17557967297258,0.16319526070807,68.2,15.35,0,5195693,1202.7,59.4,41.003367003367,1202.7,1.45,1.1451408152711
"5",2007-12-31,153.9,1.28,0.4546,0.025693730729702,1896,2465.2,607.7,17.4,0.010435408420295,0.0082300633809479,0.0070582508518579,-4.5436,0.49274087109547,3.68764249886,245.3,0.06089773710894,98.496,612.3,400.383,857.6,0.3461,NA,1650,0.85554288084621,0.76392425575258,2.6947574718275,1.923973880597,0.78043704474506,0.1,42.5266,1667.4,0.74695765049489,2.33,4.9399141630901,0.44,-0.1558,0.62508136255153,NA,0.9114,0.039023202985559,1928.6,1617.4,0.030913812291332,0.029986805805446,438.6,0.20745435625769,210.2,0.099422949579037,0.22456908344733,0.85305907172996,0.368764249886,0.28961309242267,0.76501750070949,357.8564,0.89378519571958,2114.2,0.20760290884579,0.23132911392405,64.6,11.51,50,1998777,2159.9,352.6,4.587067498582,2159.9,1.4,0.8568345323741
"6",2006-12-31,156.5,1.71,0.3791,0.071322436849926,1562.5,2192.5,597.9,13.4,0.0042280629792068,0.0052619178512526,0.0061117445838084,39.717,0.42205222896333,4.5336009515314,191.4,0.024635162168366,75.12,1051.6,677.5669,1243,0.35568,NA,3155.9,1.8907794619855,1.4138703463106,3.0010460251046,2.5389380530973,1.2392601900573,0.1,231.35,3169.3,0.65486887115165,2.51,7.9442231075697,0.395,0.6118,0.2,NA,0.9559,0.045199543899658,1669.1,3049.3,0.039353294198669,0.037863250560061,672.6,0.26411686169795,321.6,0.12628602843006,0.11168599464764,1.951552,0.45336009515314,0.41294274719233,1.1974004555093,446.217,0.65855777199058,2546.6,0.4059474639027,0.430464,55.1,19.94,120,2196068,2232.1,509.9,5.9801921945479,2232.1,1,1.8836849925706
"7",2005-12-31,172.4,1.3,0.367,0,1367,1795.8,380.1,136.4,0.03618997081454,0.078368284975582,0.075955006125404,-98.7816,0.50136239782016,10.112691172525,152,0.014637304324755,55.168,604.4,385.2566,756.4,0.36258,NA,3632.6,2.9518933853405,1.4891366729524,6.0102581072138,4.8024854574299,2.0871014076415,0.12,255.9383,3769,0.58681367635594,4.12,5.6383495145631,0.75,0.6994,0.29814502529511,NA,0.8465,0.055184318966477,1230.6,3769,0,0,372.7,0.21413386957771,246,0.14133869577708,0.14802253823451,2.7571324067301,0.84272426437707,0.34725653547831,2.1654696926171,129.3184,0.33566814795472,1740.5,0.31306407281001,0.27264081931236,40.3,23.23,0,2773060,2439.4,650.6,5.7931140485706,2439.4,1.15,2.7571324067301
"8",2004-12-31,168.5,0.54,0.3044,0,NA,1322.9,191.6,112.4,0.019512195121951,0.075058430717863,0.084964849950866,61.7897,0.35479632063075,52.994480220791,116.2,0.004855842185129,26.96,169.5284,107.2369,285.7284,0.36744,NA,5648.1,6.3100212266786,3.7716861435726,33.316541653198,19.767373491749,5.6435851318945,0.3333,-29.9528,5760.5,0.62657797263588,2.14,15.397196261682,0.33,0.2391,0.36410826844642,NA,0.8301,0.0765741930607,895.1,5760.5,0,0,108.7,0.10861310951239,124.5,0.12440047961631,0.24802207911683,5.717617866005,1.5899934059643,0.16939288569145,5.755895283773,137.1897,1.2793146556252,1000.8,0.11980436231036,0.10789081885856,32.9,32.95,0,1176818,1497.5,286,20.141608391608,1497.5,1.1,5.717617866005
"9",2003-12-31,162,0.64,0.3126,0,NA,1075.8,117.1,100.5,0.031024263752547,0.10914422241529,NA,18.4616,0.40946896992962,58.05376344086,96.6,0,0,179.147,113.3821,275.747,0.3671,NA,3138.9,4.3620066703724,3.4088835794961,17.521369048071,11.383262393899,4.0439319762948,0.2843,74.4206,3239.4,0.64472950362521,0.64,28.75,0.225,0.4536,0.16957392050329,NA,0.8776,0.047592489310281,719.6,3239.4,0,0,55.8,0.07188868848235,99.1,0.12767328008245,0,3.9500060968175,2.0419895687957,0.2308,4.173408915228,38.9616,0.34363054243558,776.2,0.15756268897165,0.068040482867943,28,18.4,0,1920487,920.8,90.7,35.715545755237,920.8,1.15,3.9500060968175
"10",2002-12-31,80.1,1.15,0.599,0,NA,942.5,83.8,82.2,0.030967450271248,0.15568181818182,NA,4,0.422,510.46153846154,91.2,0,0,7.6,4.6495,98.8,0.38822,NA,2572.2,NA,NA,338.44736842105,26.034412955466,4.8715909090909,0.1906,12.0495,2654.4,0.66599469496021,0.66,50.348484848485,NA,-0.4874,0.19027688345138,NA,0.8361,0.054429708222812,655.4,2654.4,0,0,5.2,0.0098484848484848,85.6,0.16212121212121,0,3.5986984815618,26.781822584551,0.014393939393939,5.0272727272727,-7.4,-1.5915594012984,528,0.0070941837046079,0.0070498915401301,26.5,33.23,0,814904,708.7,37.2,71.354838709677,708.7,1.1,3.924626182484
