"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-30,68,1.88,0.4142,0.4137,2715.4,6752.4,169.8,233.2,0.0242,0.0396,0.0345,4.54,0.8,19.67,130.8,0.0013,10.2,673,483.24,804,0.2819,0.2818,9395.4,2.14,1.58,13.96,11.69,1.59,0.16,0.085,439.71,9628.6,0.068,7,15.86,0.155,0.09,0.2548,0.065,0.9362,0.6361,4398.1,7712.7,0.2484,0.199,392.2,0.0666,545.2,0.0926,0.0228,2.84,1.23,0.1142,1.31,43.54,0.0901,5890.6,0.1099,0.1444,2390.6,111.01,1915.9,840190,5939.6,446.9,17.26,5939.6,1.25,2.08
"2",2011-01-30,67.1,2.01,0.4929,0.49234126571755,2442.6,6735.3,101,498.7,0.071203186795928,0.10755262249828,0.074042730093686,98.5922,0.63400284033273,16.149825783972,109.9,0.0022,10.197,548.2,373.379,658.1,0.3189,0.31893687707641,6505.2,1.508347245409,1.1301794680241,11.866472090478,9.8848199361799,1.402950310559,0.135,0.11,283.6868,7003.9,0.060071563256277,5.55,12.700900900901,0.18,0.496,0.19569148517965,0.075,0.8598,0.64115926536309,4312.8,4635,0.51108953613808,0.33822584560031,287,0.061896135265701,408.5,0.088099551414769,0.035529616724739,1.89756816507,1.1962833914053,0.11822808833678,0.99961180124224,89.6922,0.2402175890554,4636.8,0.086574619736598,0.11749774830099,1920.8,70.49,2368.9,1114088,5755.9,373.6,12.406316916488,5755.9,1.25,1.4556583186117
"3",2010-01-30,51.9,2.14,0.5704,0.25481443693407,1168.6,2339.7,23.9,480.9,0.099889911305901,0.20048359528078,0.20553917168868,91.6288,0.54786115007013,29.748652291105,49.9,0.0023,10.1538,269.7,168.5598,319.6,0.37501,0.37515789473684,4333.4,3.9854685919249,1.1245945034127,16.067482387838,13.558823529412,1.8065618876892,0.14,0.105,102.931,4814.3,0.07159037483438,4.38,14.385844748858,0.215,-0.0073,0.30875576036866,0.079,0.8719,0.45834936102919,1087.3,4414.7,0.090515776836478,0.083002721060175,148.4,0.061866844540793,151.1,0.06299245424605,0.068421900269542,3.7777682697245,2.1249037350789,0.11243590278067,1.8404552465919,65.6288,0.38935038353304,2398.7,0.15502603053435,0.12698956015745,914.5,63.01,399.6,926013,3853.3,239.6,18.425292153589,3853.3,1.25,3.0699528121413
"4",2009-01-30,51.5,1.88,0.5098,0.28575514874142,998.8,2200.2,88.1,328.2,0.13203524158185,0.13691543948938,0.14916825743114,-4.0332,0.37661828167909,13.528534370947,55.4,0.0037,7.7186,171.4,171.4,226.8,0,NA,2157.5,2.015978321809,0.91988573377675,12.587514585764,9.5127865961199,0.90004588878228,0.055,0.04,142.7332,2485.7,0.087628397418417,2.85,14.273684210526,0.245,-0.0155,0.52188666440448,0.027,0.9697,0.46923006999364,1070.2,2086.1,0.19155361679689,0.16075954459508,154.2,0.064327729339619,187,0.078010929873597,0.050055577172503,2.0886063275931,2.4597335219903,0.071503066204998,0.870259897376,28.6668,0.16725107891211,2397.1,0.16015698000374,0.15438526231478,893.3,40.68,399.6,923006,2345.4,126.5,16.490909090909,2345.4,1.2,1.7775314645309
"5",2008-01-30,51.3,1.83,0.411,0.29471199940999,956.3,2172.4,94.7,269.9,0.19790291831647,0.11128979053274,0.12424047136807,-4.0386,0.44768856447689,5.2602291325696,46.6,0.0079807093963908,7.695,308.5,191.8253,355.1,0.3782,NA,1093.9,1.0072744014733,0.44239090872326,3.5458670988655,3.0805406927626,0.4510555830447,0.075,0.055,147.7639,1363.8,0.10679432885288,3.35,6.0089552238806,0.21,0.2633,0.5723187930469,0.0229,0.9661,0.48890627877002,1086,964.2,0.41443683883012,0.29300483941927,183.3,0.075581395348837,206.2,0.085023915553356,0.041980360065466,1.0082610059605,0.70136388434261,0.12720600362857,0.39757545769421,44.0614,0.22969526966055,2425.2,0.1766347145488,0.19167625222211,882.5,20.13,399.6,575518,2472.7,169.3,5.6952155936208,2472.7,1.15,1.0058263883767
"6",2007-01-30,55.8,2.09,0.2965,0.29775657747634,942.2,1998.5,46.2,366.1,0.14527777777778,0.17511719123697,0.18318739054291,-19.9337,0.59359190556492,14.250672043011,37.9,0.0039471822683329,8.37,255.1,159.3482,293,0.37535,NA,2153.9,2.2077695776958,0.89831922258831,8.4433555468444,7.3511945392491,1.0302783889792,0.15,0.06,170.982,2520,0.086064548411309,3.55,9.2084507042253,0.165,-0.1521,0.25839740995548,0.016,0.9678,0.50733049787341,975.6,2120.5,0.18839896250884,0.15853174603175,148.8,0.07117573902229,135.7,0.064909595331484,0.05625,2.2505837401826,0.95004480286738,0.12202238591792,1.0143021142256,-11.6337,-0.073008265114853,2090.6,0.16333355371054,0.15792825302484,774.8,32.69,399.5,1266900,2397.7,180.1,11.774014436424,2397.7,1.1,1.8782142058582
"7",2006-01-30,43.2,2.28,0.2663,0.53394814220797,610.7,1747.4,37.4,267.4,0.083416521088096,0.14008801341157,0.15302735492732,-1.5112,0.60082613593691,25.12175470009,35.5,0.0023092548376751,6.48,206.8,129.5623,242.3,0.37349,NA,2938.2,3.9555735056543,1.5258620689655,14.207930367505,12.126289723483,1.5392917015926,0.15,-0.01,129.1735,3205.6,0.09070619205677,2.68,18.720149253731,0.105,-0.1282,0.25742809603042,0.019,NA,0.51470756552592,742.8,2806.1,0.14236841167457,0.12462565510357,111.7,0.058518440905281,171.7,0.08995180217938,0.058012533572068,4.5948911085639,1.6747836466726,0.10834031852473,1.4700859178542,0.3888,0.0030009487282704,1908.8,0.17442416262789,0.18290486327166,684.2,50.17,399.5,298300,1925.6,131.1,21.404271548436,1925.6,1,3.1732330231637
"8",2005-01-30,32.4,0.83,0.2229,0.52324819908317,NA,1549.6,46.2,124.1,0.070220109771969,0.066627295178782,0.080085183273103,21.4273,0.7447285778376,19.346534653465,32,0.0046282011724776,4.86,151.6727,98.5872,183.6727,0.35,NA,1643.2,1.8174980643734,0.88220766670246,10.83385759833,8.9463505346958,1.0010966248325,0.165,-0.03,62.9599,1767.3,0.099767681982447,2.04,15.887254901961,0.09,-0.019,0.18944360396705,0.061,0.8626,0.56491997934951,904.1,1367.8,0.29207486474631,0.22605103830702,70.7,0.04307298647496,159,0.096868526867308,0.068741159830269,13.774420946626,1.1725172517252,0.092404447422932,0.83331302546607,35.6273,0.36137863397143,1641.4,0.10904460679128,0.19423076923077,599.3,32.41,399.5,474900,1862.6,70.7,19.346534653465,1862.6,1.05,2.3147347740668
"9",2004-01-30,30.6,0.75,0.2743,0.57399683589817,NA,1439.3,32,133,0.10725806451613,0.083763698198766,NA,0.6343,0.5468465184105,16.651485148515,28.6,0.0055473372781065,4.59,141.4308,93.3443,170.0308,0.34,NA,1107,1.3385731559855,0.69719108200025,7.8271493903732,6.510585141045,0.69974715549937,0.12,0.03,89.3101,1240,0.096227332731189,1.37,19.737226277372,0.07,0.0219,0.29094827586207,0.065,0.7471,0.54832210102133,827,840.9,0.47461053633012,0.32185483870968,50.5,0.031921618204804,173,0.10935524652339,0.090891089108911,26.78025477707,1.3876237623762,0.0894,0.53154235145386,4.0343,0.043219127677856,1582,0.11287101330109,0.17049291019581,544.6,27.04,399.1,77400,1587.8,48.2,17.446058091286,1587.8,1,1.7834028476916
"10",2003-01-30,27.8,0.73,0.3815,0.47774366845741,NA,771.7,29.5,117.1,0.14735120171134,0.083345195729537,NA,10.8,0.4192,17.950657894737,25.7,0.0076415612974162,4.17,69,45.3537,94.7,0.3427,NA,677.6,NA,NA,9.8202898550725,7.1552270327349,0.48227758007117,0.105,-0.03,41.5537,794.7,0.18478683426202,1.1,16.136363636364,NA,-0.0247,0.23978201634877,0.049,0.6927,0.14642995982895,404.1,545.7,0.45629466739967,0.31332578331446,30.4,0.021637010676157,206.7,0.14711743772242,0.13717105263158,2.0047759000735,1.7095864661654,0.049110320284698,0.38839857651246,3.8,0.083785887369718,1405,0.11223385300668,0.11168258633358,462.2,17.75,249,106984,1478.5,30.4,17.950657894737,1478.5,1,1.6768126701312
