"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,68.2,1.84,0.5409,0.2265,1296.8,12416.9,0,156.1,0.1047,0.0126,NA,0.8,24.97,0,0.0025,2.73,373,236.4,373,0.3655,0.3661,1334.9,0.88,3.58,3.58,NA,236.4,1491,0,1.09,14.06,NA,NA,0.2412,NA,0.7181,0.0076,1520.5,1111.2,0.3418,0.2547,44.5,0,0.049,0.86,NA,0,0,NA,0.1555,0.0343,50.1,15.32,379.8,443638,NA,55.7,19.95,NA,1.25,0.89
"2",2010-12-31,67.8,2.41,0.7625,0.25251110975833,1227.9,12465.6,0,112.8,0.093038601121742,0.0090489025798999,NA,0.39344262295082,443.11111111111,0,0.0036,2.8714,377.3,377.3,377.3,0,0,1099.6,0.71873978691418,2.9143917307183,2.9143917307183,NA,377.3,1212.4,0,0.73,15.041095890411,NA,NA,0.4382904491932,NA,0.6851,0.0075888846104479,1529.9,797.6,0.52006018054162,0.34213130979875,1.8,0,1.5952,0.64956429676684,NA,0,0,NA,0.24661742597555,0.0014659174199853,74,10.98,414.8,561267,NA,48.8,16.344262295082,NA,1.2,0.73805320508918
"3",2009-12-31,67.8,1.3,0.7372,0.34811573378617,998.1,12059.4,0,320.2,0.19943942696979,0.026551901421298,NA,0.38998914812805,NA,0,0.0027,2.8958,314.9,314.9,314.9,0,NA,1285.3,1.061441902717,4.081613210543,4.081613210543,NA,314.9,1605.5,0,0.45,31.955555555556,NA,NA,0.33979858261843,NA,0.668,0.0078527953297842,1210.9,1072.5,0.4969696969697,0.33198380566802,-29.8,0,NA,1.0745416290953,NA,0,0,NA,0.2600545049137,-0.029856727782787,111.6,14.38,533,430150,NA,-26.5,NA,NA,1.15,1.0485925151852
"4",2008-12-31,33.6,1.35,0.685,0.53070325900515,547.2,10040.7,0,131.8,0.1259436215958,0.0131265748404,NA,0.26861313868613,NA,0,0.0044,1.8819,153.3,153.3,153.3,0,NA,914.7,0.88445175014504,5.9667318982388,5.9667318982388,NA,NA,1046.5,0,-0.62,NA,NA,NA,0.59690297604646,NA,0.4849,0.0094614917286643,1034.2,427.7,1.4468085106383,0.59130434782609,-92.1,0,NA,0.78161549707602,NA,NA,NA,NA,0.14823051634113,-0.16831140350877,176.7,8.97,618.8,910846,NA,-79.5,NA,NA,1.15,0.897512864494
"5",2007-12-31,28.4,0.28,0.4103,0.43578188373141,459.8,4990.2,0,51.3,0.036996971008222,0.010280149092221,NA,0.38995856690227,84.728813559322,0,0.0085217043408682,8.52,108.9,87.5273,108.9,0.19626,NA,1335.3,1.6789890607318,12.261707988981,12.261707988981,0.156,NA,1386.6,0,-1.16,NA,0.305,NA,0.41610642254327,NA,0.6918,0.018696645425033,795.3,999.8,0.38687737547509,0.27895571902495,11.8,0,0.72203389830509,2.1744236624619,5.4313342025206,NA,NA,NA,0.1100556846473,0.025663331883428,154,32.46,386.8,214542,NA,-44.8,NA,NA,1,1.6378454996456
"6",2006-12-31,21.5,0.25,0.2835,0.45073026437419,297.1,4261.4,0,42.4,0.042875922742441,0.0099497817618623,NA,0.50793650793651,19.71164021164,0,0.0086565561669575,6.45,113.9,79.2345,113.9,0.30435,NA,946.5,1.8986960882648,8.3099209833187,8.3099209833187,0.1333,NA,988.9,0,1.18,25.771186440678,0.59,NA,0.25505716798593,NA,0.6433,0.021823813770123,498.5,745.1,0.32720440209368,0.24653655576904,37.8,0,0.17063492063492,2.5079097946819,1.4787427015484,NA,NA,NA,0.15894590772317,0.12722988892629,122.4,30.41,243.8,403299,NA,36,20.697222222222,NA,0.9,1.8282492142725
"7",2005-12-31,20.9,0.49,0.2202,0.48298572996707,235.5,3494.2,0,47.7,0.042642588950474,0.013651193406216,NA,0.65395095367847,26.904191616767,0,0.0055820164700645,5.016,99.2,68.1633,99.2,0.31287,NA,1070.9,2.626042177538,10.795362903226,10.795362903226,0.175,NA,1118.6,0,1.81,23,0.34,NA,0.15413579497146,NA,0.6063,0.018087115791884,407.8,898.6,0.24482528377476,0.19667441444663,33.4,0,0.15017964071856,3.8157112526539,1.5373823781009,NA,NA,NA,0.16714883766552,0.14182590233546,62.6,41.63,220,132703,NA,37.7,23.835543766578,NA,0.9,2.4557628979144
"8",2004-12-31,20.4,1.01,0.2914,0.39438377535101,NA,2535.8,0,49.5,0.056378132118451,0.019520466913794,0,0.69320521619767,27.837037037037,0,0.005060444194546,3.672,NA,NA,NA,0.28009,NA,828.5,3.0571955719557,NA,NA,0.17,NA,878,0,1.58,22.512658227848,NA,0,0.1318795430945,NA,0.4852,0.0080842337723795,271,751.6,0.16817456093667,0.14396355353075,27,0,0.136,3.8722308088614,1.6374727668845,0,NA,NA,NA,0.13910355486862,31,35.57,126.4,90286,NA,32.1,23.414330218068,0,0.85,2.7394695787832
"9",2003-12-31,19.7,0.89,0.3421,0.47845096814491,NA,1984.9,0,49.1,0.059616318601263,NA,0,0.52031569716457,35.099476439791,0,0,0,NA,NA,NA,0.27709,NA,774.5,2.8568793803025,NA,NA,0.1767,NA,823.6,0,1.29,24.651162790698,NA,0,0.24957311045205,NA,0.5221,0.0096730313869716,271.1,670.4,0.22852028639618,0.18601262748907,19.1,0,0,4.014371257485,1.9863880271528,0,NA,NA,NA,0.11437125748503,23.9,31.8,153.2,31302,NA,25.2,26.603174603175,0,0.9,2.5721424109931
"10",2002-12-31,7.2,0.76,0.4686,0.58103564223268,NA,1176.8,0,22.3,0.040678584458227,NA,0,0.3568,74.483870967742,0,0.0024945864010394,1.152,33,24.7969,33,0.24858,NA,525.9,NA,15.936363636364,15.936363636364,NA,24.7969,548.2,0,NA,NA,NA,0,0.36662783925451,NA,0.349,0.0091774303195105,126.4,461.8,0.18709398007796,0.15760671287851,6.2,0,0.1858064516129,7.4125200642055,NA,0,0,0,0.19617768987342,0.099518459069021,29.6,46.18,86.4,40583,0,16.6,27.819277108434,0,0.9,4.1606012658228
