"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,298.5,0.84,0.1703,0.5446,5488,16356,1797,90,0.0023,0.008,0.0055,-1.95,0.8,19.47,1003,0.0227,740.28,2462,1782.64,3465,0.2759,0.2802,39031.1,3.26,3.48,15.85,11.26,3.47,0.13,0.095,990.58,39121.1,0.6194,5.97,18.33,0.12,0.075,0.078,0.01,0.8512,0.1552,11960,32559.1,0.2015,0.1677,1672,0.1486,706,0.0627,0.4387,5.93,1.5,0.2188,2.89,792.05,0.4443,11252,0.149,0.3047,1329,109.45,6562,792494,11221,1687.4,19.3,11221,0.95,3.25
"2",2010-12-31,304,0.84,0.2161,0.4896466649044,5792,15274,1388,39,0.0010469658125394,0.0038552787663108,0.002553358648684,60.0685,0.8,26.521757322176,925,0.0208,659.2248,2162,1316.5715,3087,0.39104,0.39154786150713,37211.5,3.2901414677277,3.3587417636971,17.211609620722,12.054259799158,3.6784796362198,0.13,0.085,793.503,37250.5,0.62406704203221,5.83,18.336192109777,0.135,0.1388,0.11528096616429,0.01,0.8805,0.14390467461045,11310,31693.5,0.17533563664474,0.14917920564825,1195,0.11812969553183,631,0.062376433372875,0.55165255230125,5.4719440607735,2.0401351786289,0.213720838276,3.1330071174377,523.0685,0.39729592915551,10116,0.1164077382847,0.20631906077348,1275,106.9,5557,1646564,11079,1385,22.883393501805,11079,0.95,3.2822715657767
"3",2009-12-31,306.5,0.9,0.2633,0.48746383799421,5315,14317,1352,45,0.0013096547750013,0.0050245645377401,0.0031431165747014,69.883,0.8,23.369377990431,846,0.0188,550.9378,1916,1691.4448,2762,0.1172,0.13037447988904,34315.2,3.3235060532688,3.4661818181818,17.909812108559,12.424040550326,3.8315319338991,0.11,0.075,1115.5618,34360.2,0.62792484459035,5.26,18.150190114068,0.165,-0.1694,0.13984855655466,0.01,0.8618,0.15450164140532,10325,29305.2,0.1724949838254,0.14711788639181,1254,0.14001786511836,663,0.07402858418937,0.4393443062201,5.5136782690499,2.124488908221,0.213934792318,3.272130415364,575.883,0.34046809181994,8956,0.16382031961259,0.23593603010348,1162,95.47,5055,1422167,9900,1404,20.87264957265,9900,1,3.3134233365477
"4",2008-12-31,306.9,0.87,0.2517,0.55623201239761,4009,13054,1611,32,0.001085794750861,0.0029640607632456,0.0024513559062356,-103.5072,0.63567739372269,18.311985018727,1312,0.0213,520.7104,2019,1462.0387,3331,0.27586,NA,29439.5,3.2703288158187,3.2885947274352,14.581228330857,8.8380366256379,2.7268895887366,0.105,0.05,1266.5459,29471.5,0.60686379653746,4.35,18.462068965517,0.17,0.1806,0.23468655859991,0.01,0.8611,0.15550789030182,9002,24446.5,0.2055508968564,0.17050370697114,1335,0.12365690996665,606,0.056131900703964,0.39004528089888,6.0979047143926,1.7439985732121,0.18701370878103,2.2644034827714,195.4928,0.13371245265285,10796,0.16241264830038,0.33300074831629,1409,80.31,5025,2123767,8952,1234,19.810777957861,8952,1,3.2622869160947
"5",2007-12-31,315.5,0.92,0.2045,0.44911077780159,5142,13382,1376,17,0.00079689865792891,0.001808125930653,0.0012703631744134,-91.6258,0.8,14.563041631266,774,0.027609724223632,473.25,1783,1319.8479,2557,0.25976,NA,21315.7,2.2878287002254,1.9527024551118,11.954963544588,8.3362143136488,2.2671452882365,0.15,0.11,809.4737,21332.7,0.59505305634434,4.41,13.460317460317,0.145,0.1487,0.35571564496398,0.01,0.8286,0.15700194290838,9317,17140.7,0.24456410765021,0.19650583376694,1177,0.12518613061051,569,0.060519038502446,0.40208156329652,3.3334694671334,0.97086944208439,0.18964050202085,1.8230908317379,510.3742,0.38669165437431,9402,0.14166018246217,0.22889926098794,1288,59.36,4192,1765403,10916,1347,12.725092798812,10916,1.05,2.2854831797729
"6",2006-12-31,320.9,0.5,0.1247,0.41018002849372,4554,11102,1100,36,0.0011332728921124,0.0043248438250841,0.0032426589803639,-36.7345,0.8,28.946761133603,696,0.013464618138842,385.08,1487,1099.9934,2183,0.26026,NA,31730.4,4.1288744307092,3.5248167073984,21.338533960995,14.535226752176,3.8119173474291,0.14,0.095,732.7279,31766.4,0.60295442262655,3.97,21.700251889169,0.12,0.0938,0.22753014857752,0.014,0.8208,0.15168438119258,7685,28599.4,0.11073658887949,0.099696534703334,988,0.11869293608842,451,0.054180682364248,0.38975708502024,6.2800614844093,2.0676257952574,0.17864007688611,3.4357760691975,367.2655,0.33387973421898,8324,0.14313511776187,0.21695212999561,1173,86.15,3167,2289283,9002,1120,25.535178571429,9002,1.05,4.1142857142857
"7",2005-12-31,322.8,0.72,0.123,0.4690434072663,3902,10491,877,173,0.0076087434578001,0.022596656217346,0.016490325040511,-35.4232,0.8,23.410194174757,665,0.016734059097978,322.8,1283,960.5436,1948,0.25133,NA,22564,3.144370122631,2.744678262985,17.58690568979,11.583162217659,2.9472309299896,0.135,0.095,783.9668,22737,0.58221332570775,3.18,18.657232704402,0.09,0.1641,0.11695598807645,0.013,0.8134,0.15498999142122,7176,19290,0.17869362363919,0.15160311386726,824,0.10762800417973,480,0.06269592476489,0.39174757281553,4.9436186570989,1.7340884573894,0.16758098223616,2.519592476489,176.5768,0.18383007358493,7656,0.13385501811594,0.21117375704767,1067,59.33,3447,775400,8221,939,20.543130990415,8221,0.95,3.0938903252143
"8",2004-12-31,323.6,0.8,0.1663,0.49418197112015,NA,9878,668,25,0.0011978113590847,0.0034693311129614,0.0025308766956874,45.7561,0.96211665664462,24.887230989957,578,0.01357722044126,232.992,1083.0286,817.979,1661.0286,0.24473,NA,20846.4,2.9328081035453,2.8929225645296,19.248245152529,12.55029564211,3.1614194722475,0.12,0.09,682.2229,20871.4,0.60194371330229,2.73,19.424908424908,0.07,0.1837,0.13893257837894,0.013,0.8168,0.16592427616927,7108,17346.4,0.20321219388461,0.16889140163094,697,0.10570215347285,493,0.074764937822263,0.33427833572453,4.8077605321508,2.0739359158297,0.16424455565666,2.6306339096148,135.7561,0.16596531227299,6594,0.1150786452901,0.19318181818182,946,53.03,3525,502600,7206,697,24.887230989957,7206,1,2.926033926819
"9",2003-12-31,326.1,0.79,0.1755,0.4769647696477,NA,8305,983,50,0.0028980131222034,0.0079757537087255,NA,51.0729,0.9002849002849,24.891724137931,517,0.013714285714286,195.66,1438.0506,1112.8498,1955.0506,0.22614,NA,17203.2,2.9387085753331,2.7441697240389,11.962861390274,8.7993630446189,3.0648850881881,0.105,0.07,595.777,17253.2,0.63239012642986,2.31,18.939393939394,0.065,0.0894,0.14522718831249,0.013,0.806,0.13618302227574,5854,14437.2,0.19505167206938,0.1632160990425,580,0.10333155175486,437,0.077854979511847,0.33734482758621,4.6752590673575,2.3706403940887,0.2562,2.5721004810262,517.0729,0.4646384886993,5613,0.19010075799727,0.18782383419689,847,43.75,2816,309900,6269,580,24.891724137931,6269,1,2.9222899728997
"10",2002-12-31,324.5,0.78,0.2394,0.54009433962264,NA,7401,498,39,0.0025884039503026,0.0076053042121685,NA,211,0.7139,22.480291970803,483,0.028448275862069,350.46,875,682.185,1358,0.22036,NA,15028.2,NA,NA,17.175085714286,11.066421207658,2.930616224649,0.075,0.05,667.185,15067.2,0.63045534387245,1.9,19.71052631579,NA,-0.0066,0.20137281506904,0.013,0.7883,0.13984596676125,5049,12319.2,0.22306643288525,0.18238292449825,548,0.10686427457098,385,0.075078003120125,0.63952554744526,5.2646153846154,2.9973722627737,0.17063182527301,2.4023400936037,15,0.021988170364344,5128,0.1351128936423,0.23418803418803,820,37.45,2748,1725635,5449,551,22.357894736842,5449,0.95,2.9764705882353
