"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,36.2,0.67,0.3032,0,180.5,245.7,29,25.8,0.0274,0.0676,0.105,6.68,0.55,18.58,9.3,0.0162,15.2,76,50.57,85,0.3311,0.3316,914.1,5.91,2.21,12.09,10.77,2.4,0.1,24.19,939.9,0.2519,1.45,18.18,0.125,0.095,0.2423,NA,0.7617,0.0908,154.7,939.9,0,0,50.6,0.1326,81.1,0.2126,0.2896,5.21,1.86,0.1982,2.46,26.38,0.5216,381.5,0.3269,0.2803,40.6,26.36,0,99105,412.9,52.5,17.9,412.9,1.15,5.21
"2",2011-01-31,18.1,1.15,0.3528,0,141.2,187.8,14,38.6,0.033868561902255,0.1226564982523,0.20553780617678,7.2353,0.8,28.350746268657,7.6,0.0114,12.9926,59.8,40.2233,67.4,0.32737,0.32775919732441,1101.1,10.731968810916,3.0947161326588,18.413043478261,16.336795252225,3.4988878296791,0.135,26.588,1139.7,0.2209797657082,2.65,23.358490566038,0.125,0.3212,0.20591476855253,NA,0.7128,0.057507987220447,102.6,1139.7,0,0,40.2,0.12774070543375,55.4,0.17604067365745,0.32319850746269,8.0715297450425,2.1000552791598,0.19002224340642,3.6215443279314,13.6353,0.33898960306715,314.7,0.39203970760234,0.28470254957507,31.7,61.9,0,54335,355.8,47,24.248936170213,355.8,1.15,8.0715297450425
"3",2010-01-31,18,1.29,0.425,0,133.3,170.3,3.3,43.7,0.050719591457753,0.18376787216148,0.25660598943042,12.5408,0.70588235294118,30.125874125874,7.1,0.0134,11.5454,43.2,28.4934,50.3,0.34043,0.33949191685912,817.9,9.1283482142857,2.7281521014009,18.93287037037,16.260437375746,3.4394449116905,0.15,19.7526,861.6,0.1937756899589,2.18,21.876146788991,0.155,-0.1513,0.30277157493761,NA,0.6591,0.062830299471521,89.6,861.6,0,0,28.6,0.12026913372582,48.1,0.20227081581161,0.40368671328671,6.463615903976,2.0083916083916,0.18166526492851,3.623212783852,8.7408,0.30676518835783,237.8,0.31800696428571,0.2145536384096,24.6,47.69,0,36855,299.8,39,22.092307692308,299.8,1.2,6.463615903976
"4",2009-01-31,18,1.58,0.4415,0,113.6,144.4,8,16.3,0.027925304094569,0.058235083958557,0.11288088642659,-7.9557,0.45300113250283,18.951298701299,7.8,0.0173,10.098,46.4,30.4412,54.2,0.34394,NA,567.4,5.8314491264132,2.3455973542786,12.228448275862,10.468634686347,2.0271525544837,0.125,38.1969,583.7,0.24861495844875,1.54,20.577922077922,0.205,0.2036,0.36605485667148,NA,0.6572,0.051246537396122,97.3,583.7,0,0,30.8,0.11003929974991,58.6,0.20936048588782,0.32785746753247,5.1382042253521,1.5161038961039,0.16577349053233,2.0853876384423,-7.7557,-0.2547765048737,279.9,0.31285903391573,0.27112676056338,21.5,31.69,0,71335,241.9,27.4,21.302919708029,241.9,1.25,5.1382042253521
"5",2008-01-31,18.1,1.75,0.4337,0.0075503355704698,118.3,147.9,6.6,22.8,0.053811659192825,0.097435897435897,0.15415821501014,-10.7774,0.49804011989855,15.208633093525,6.9,0.022261116367077,9.412,41.2,27.1286,48.1,0.34154,NA,400.9,4.1587136929461,1.4400143678161,9.7305825242718,8.3347193347193,1.7132478632479,0.15,38.206,423.7,0.24137931034483,1.78,13.539325842697,0.275,0.0707,0.38528389339513,NA,0.6794,0.046653144016227,96.4,422.8,0.0021286660359508,0.002124144441822,27.8,0.11880341880342,56.8,0.24273504273504,0.33856115107914,3.5739644970414,1.0139088729017,0.17606837606838,1.8068376068376,-11.0774,-0.40833126284941,234,0.28141651452282,0.23499577345731,18,24.1,0.9,146682,278.4,32.1,13.171339563863,278.4,1.35,3.5545302013423
"6",2007-01-31,18,2.35,0.393,0.0080726538849647,98.3,119.8,16.5,10.8,0.015683996514667,0.049655172413793,0.090150250417362,-2.0183,0.52926208651399,27.07874015748,5.4,0.011514975283513,7.92,38.3,25.0903,43.7,0.3449,NA,677.8,7.6761041902605,2.9872190392243,17.697127937337,15.510297482837,3.1163218390805,0.15,16.0086,688.6,0.30300500834724,1.54,22.493506493507,0.33,0.0655,0.28593465152153,NA,0.6599,0.055091819699499,88.3,687.8,0.0011631288165164,0.001161777519605,25.4,0.1167816091954,46.7,0.21471264367816,0.31181102362205,6.9969481180061,1.805249343832,0.17609195402299,3.1622988505747,9.0817,0.36196021134139,217.5,0.28414869762174,0.25839267548321,16.6,34.64,0.8,87580,226.9,27.5,25.010909090909,226.9,1.3,6.9485368314834
"7",2006-01-31,18.1,1.39,0.3535,0,84.4,106.2,10.4,11.4,0.022900763358779,0.055745721271394,0.10734463276836,-3.1529,0.45261669024045,20.485596707819,4.7,0.013089594214544,6.516,37.3,24.1365,42,0.35291,NA,486.4,6.6630136986301,2.2038966923425,13.040214477212,11.580952380952,2.3784841075795,0.15,21.5893,497.8,0.24105461393597,1.37,19.56204379562,0.37,0.2119,0.24507945764689,NA,0.6164,0.060263653483992,73,497.8,0,0,24.3,0.11882640586797,39.8,0.19462102689487,0.26814814814815,5.8981042654028,1.3657064471879,0.18239608801956,2.4342298288509,2.5471,0.10553078955636,204.5,0.33063639726027,0.28791469194313,15.9,26.8,0,70320,220.7,25.1,19.832669322709,220.7,1,5.8981042654028
"8",2005-01-31,18,0.63,0.3567,0.0015105740181269,NA,88.5,7.5,9.6,0.017957351290685,0.049459041731067,0.10847457627119,4.8102,0.35323801513877,29.860335195531,3.8,0.0097053726169844,5.04,29.1812,18.6757,32.9812,0.36001,NA,525,9.2756183745583,2.7047913446677,17.991022993555,15.918149783422,3.1231409875074,0.15,10.1655,534.6,0.22598870056497,1.34,21.529850746269,0.27,0.1804,0.33427248943449,NA,0.5348,0.066666666666667,56.6,534.5,0.00018709073900842,0.0001870557426113,17.9,0.10648423557406,31.1,0.18500892325996,0.28156424581006,8.0862329803328,1.9906890130354,0.17359440809042,3.1796549672814,8.5102,0.45568503578735,168.1,0.32995916939576,0.27080181543116,14.1,28.85,0.1,59133,194.1,22.6,23.650442477876,194.1,0.8,8.0755287009064
"9",2004-01-31,18,0.6,0.302,0.0029985007496252,NA,79.5,3.3,18.4,0.048497627833421,0.11667723525682,NA,2.6804,0.39735099337748,27.478260869565,4.1,0.010587102983638,3.96,25.9429,16.4828,30.0429,0.36465,NA,361,7.4741200828157,2.289156626506,13.915196705375,12.016166237169,2.5297827610371,0.135,14.6023,379.4,0.2,0.97,21.422680412371,0.19,0.1865,0.34632683658171,NA,0.4515,0.085534591194969,48.3,379.2,0.00052742616033755,0.00052714812862414,13.8,0.096706377014716,25.5,0.17869656622284,0.28695652173913,5.7022556390977,2.0354267310789,0.1818,2.6573230553609,1.8804,0.11408552783278,142.7,0.34125871844721,0.20751879699248,12,20.78,0.2,39007,157.7,16.8,22.571428571429,157.7,0.65,5.688155922039
"10",2003-01-31,9.1,0.71,0.3408,0.0051282051282051,NA,72.8,6,9.2,0.034651600753296,0.076095947063689,NA,7.9,0.4589,23.678571428571,4,0.012352941176471,3.276,16.9,10.972,20.9,0.35077,NA,256.3,NA,NA,15.165680473373,12.263157894737,2.1199338296112,NA,8.972,265.5,0.22664835164835,NA,NA,NA,0.0365,0.32212508406187,NA,0.411,0.081043956043956,49.3,265.2,0.001131221719457,0.0011299435028249,11.2,0.092638544251448,27.1,0.22415219189413,0.2925,4.5567010309278,NA,0.13978494623656,2.1935483870968,2,0.18228238877789,120.9,0.22255551724138,0.19243986254296,10.6,29.25,0.3,17265,137.9,7.1,37.352112676056,137.9,0.55,5.1987829614605
