"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,59.1,1.11,0.3144,0.3527,1359.2,2801.4,132.7,88.1,0.0321,0.0306,0.0314,41.56,0.8,11.11,65.2,0.0248,49.64,317,203.62,382,0.3581,0.3582,2654.4,1.32,0.87,8.37,6.94,0.92,0.075,0.06,94.57,2742.5,0.1027,3.36,10.23,0.085,0.06,0.1171,0.035,0.9994,0.4822,2011.8,2001.8,0.37,0.2701,180.1,0.0625,666.9,0.2314,0.266,1.47,1.48,0.1101,0.69,109.06,0.5356,2882.2,0.1012,0.1325,136.1,34.36,740.7,322386,3061.8,186.6,10.73,3061.8,1.1,1.31
"2",2010-12-31,63.1,0.75,0.3545,0.34118448586306,1353.8,2688.3,93,70.7,0.02431391429947,0.025882266803339,0.026299148160548,21.5667,0.8,11.857603439011,66.2,0.017,37.5139,322.7,202.3845,388.9,0.37284,0.37297843665768,2837.1,1.4298457816752,1.0053864417591,8.7917570498915,7.2951915659553,1.0386220530092,0.08,0.055,154.0178,2907.8,0.083547223152178,3.16,11.708860759494,0.04,0.032,0.28475486903962,0.033,NA,0.49328571959975,1984.2,2206.7,0.31771423392396,0.24111011761469,186.1,0.068128569336652,652.4,0.23883438277932,0.20157925846319,1.6300044319693,1.4822004298764,0.11813589105286,0.80784155806121,48.3667,0.23898439414813,2731.6,0.10199805059974,0.1374649135766,63.4,37,701.1,616778,2821.9,175.8,12.552332195677,2821.9,1.15,1.4150566937564
"3",2009-12-31,65.7,0.76,0.3827,0.36309797314545,1247.5,2444,68.8,101.8,0.036936250498893,0.036991279069767,0.041653027823241,-4.5222,0.75124118108179,12.17927337701,69,0.0075,15.3368,291.5,180.9719,360.5,0.37917,0.37906804733728,2654.3,1.4294253863967,0.97319791743052,9.1056603773585,7.3628294036061,0.96449854651163,0.08,0.01,185.6942,2756.1,0.083715220949263,2.79,11.569892473118,-0.005,-0.041,0.3039789941426,0.044,NA,0.51943535188216,1856.9,2044.9,0.34779206807179,0.25804578934001,167.9,0.061010174418605,505.9,0.18382994186047,0.091344550327576,1.6391983967936,1.5224091721263,0.10592296511628,0.74305959302326,-4.7222,-0.026093638822125,2752,0.09745917658463,0.13458917835671,71.4,32.28,711.2,526818,2727.4,183.6,11.13779956427,2727.4,1.15,1.40710675448
"4",2008-12-31,66,0.6,0.3841,0.46955025804866,1079.2,2496.7,61.9,87.4,0.04007703595011,0.03030303030303,0.035006208194817,9.5143,0.47904191616767,8.7786532951289,648.4,0,0,290.9,183.5026,939.3,0.36919,NA,2093.4,1.0751373838016,0.75331965885782,7.1962873839808,2.2286809326094,0.72581651757853,0.07,0.02,760.4883,2180.8,0.083670444987383,2.36,7.5084745762712,NA,0.0033,0.23117850492152,0.047,0.9744,0.50746986021548,1947.1,1225.5,0.77951856385149,0.4380502567865,139.6,0.048401636502323,-260.6,-0.090354344358921,0,1.1355633802817,1.2540933278756,0.10085985715276,0.42490118577075,-576.9857,-3.1442911236929,2884.2,0.094244070155616,0.12935507783543,125.6,17.72,955.3,881988,2778.9,160.2,7.6498127340824,2778.9,1.15,1.0719095600885
"5",2007-12-31,66.7,1.02,0.3689,0.57335916032254,947.1,2626.9,102,97.4,0.041095312434075,0.033515708337635,0.03707792454985,-2.5149,0.54215234480889,10.821499013807,650.7,0,0,305.2,199.7198,955.9,0.34561,NA,2272.7,1.070765606596,0.78872115217769,7.4465923984273,2.377549952924,0.78204466467086,0.08,NA,750.9348,2370.1,0.084586394609616,2,8.825,0.03,0.2564,0.44564915207117,NA,NA,0.48311698199399,2122.5,1097.3,1.1599380297093,0.53702375427197,101.4,0.034892123464437,-297.1,-0.10223323354324,0,1.1585893781016,1.3526873767258,0.10502047417501,0.37758507966003,-551.2149,-2.7599409786452,2906.1,0.094096503180212,0.10706366803928,203.5,17.65,1272.8,662076,2881.5,123.2,8.9066558441558,2881.5,1.25,1.0676607054372
"6",2006-12-31,70.2,1.64,0.2842,0.58204059923766,943,2741,84.4,92.3,0.040452294341938,0.037922675541312,0.033673841663626,-111.9987,0.59113300492611,9.3937924345296,528.7,0,0,295.3,185.472,824,0.37192,NA,2189.4,1.0117842783863,0.7694794924964,7.414155096512,2.6570388349515,0.89954394182177,NA,NA,741.7707,2281.7,0.079569500182415,2,6.685,0.145,0.0257,0.40973312401884,NA,NA,0.46756658153958,2163.9,968.5,1.3559112028911,0.57553578472192,103.1,0.042359998356547,662.6,0.27223797197913,0,1.0270413573701,NA,0.12132790993878,0.39792103208842,-556.2987,-2.9993671804229,2433.9,0.085711920144184,0.10933191940615,93.6,13.37,1313.2,1503697,2845.3,112.7,8.5936113575865,2845.3,1.05,1.0113021895222
"7",2005-12-31,69.2,1.08,0.2531,0.46791599353796,823.4,1948.7,60.2,57.6,0.020764987923141,0.024624855713736,0.029558166983117,1.3038,0.60055314105097,15.707279693487,69.6,0,0,257,166.8495,326.6,0.35078,NA,2716.3,1.8231424927847,1.1544477028348,10.569260700389,8.3169014084507,1.1612586037365,0.1,NA,174.9457,2773.9,0.46215425668394,2.12,13.919811320755,0.225,0.0873,0.26016260162602,NA,NA,0.47688202391338,1489.9,2049.8,0.35325397599766,0.26104041241573,130.5,0.055790688726433,-221,-0.094480783207217,0,2.4894340539228,1.5707279693487,0.1098713180283,0.87631995211834,-8.0962,-0.048523748952142,2339.1,0.11198707295792,0.15848919115861,82.3,29.51,724.1,455975,2352.9,150.3,13.638057218896,2352.9,0.95,1.7925040387722
"8",2004-12-31,74.4,0.37,0.2683,0.47138293624384,NA,1967.8,72.1,58.8,0.028966944184443,0.025301204819277,0.029881085476166,-1.0213,0.27581065970928,7.0901287553648,59.3,0,0,330.0284,206.1786,389.3284,0.37527,NA,1971.1,1.3652167890289,0.84814974182444,5.9725164856272,5.0628211315388,0.85207279643799,0.1283,NA,194.3999,2029.9,0.45934546193719,1.87,10.085561497326,0.315,0.086,0.30357560177612,NA,0.9066,0.46874682386421,1443.8,1321.6,0.53594128329298,0.34893344499729,186.4,0.08057752993559,-220.8,-0.095448061211257,0,1.6638549666373,0.55262110330201,0.14266562486491,0.57130506203259,11.7787,0.057128643242168,2313.3,0.14280276775502,0.23467203827269,75.5,18.86,708.3,334576,2324,142.4,9.2808988764045,2324,0.95,1.3509250632237
"9",2003-12-31,77.8,0.19,0.3066,0.46757770632369,NA,1831.3,56,143.9,0.053600029798488,0.062929111820527,NA,-3.1534,0.12393998695369,10.946005509642,488.6,0,0,823.283,513.778,1311.883,0.37594,NA,2540.8,1.8836088664838,1.1111208291424,3.086180759604,1.9367581536142,1.1403437906737,0.1333,NA,949.5314,2684.7,0.43919619942118,2.27,11.814977973568,0.335,0.2441,0.21330234221348,NA,0.905,0.43035002457271,1348.9,1986.7,0.35133638697337,0.25999180541588,181.5,0.081459539517975,-119.9,-0.053812665499753,0,2.4996225465526,0.82115570214868,0.3695,0.89165656837664,-435.7534,-0.8481356889729,2228.1,0.38088661707836,0.22835933568193,66.6,26.82,698,223354,2286.7,192.5,10.32051948052,2286.7,0.95,1.7984324758842
"10",2002-12-31,87.3,0.3,0.4983,0.38231412230532,NA,1616.1,37.6,85.7,0.029649875449765,0.042636815920398,NA,37.1,0.132,13.757259001161,426.8,0,0,350.5,209.2134,777.3,0.4031,NA,2804.7,NA,NA,8.001997146933,3.6082593593207,1.3953731343284,0.155,NA,598.4134,2890.4,0.45646927789122,2.31,12.779220779221,NA,-0.1888,0.32678503966755,NA,0.8899,0.46030567415383,1278.1,2369,0.22009286618827,0.18039025740382,172.2,0.085671641791045,-117.4,-0.058407960199005,0,2.8122032288699,0.88756509684912,0.17437810945274,1.1786069651741,-389.2,-1.8603010466105,2010,0.16369098662077,0.20441595441595,63.3,29.52,521.4,465323,2179.6,175.2,13.521689497717,2179.6,0.95,2.1944292308896
"11",2001-12-31,NA,0.41,0.5748,0.6344,NA,1619.9,57.5,108,0.037858870543695,0.059717998341167,NA,-16.5066,0.1236,18.578,411.3,0,0,647.8871,366.5033,1059.1871,0.43431,NA,2744.7,NA,NA,4.2363862469248,2.5913268769984,1.5176665745093,0.185,NA,736.8099,2852.7,0.46953515649114,4.8,10.78125,0.305,0.0941,0.35009352312716,0,0.9691,0.43897771467375,1291.8359,1857.8,0.37813542900204,0.24625793108283,100,0.055294442908488,-188.616,-0.10429416643627,0,4.5882934057792,1.0042162162162,0.20265593231905,1.0272601603539,-370.3066,-1.010377387823,NA,0.28370728325401,0.24697456162015,55.4,51.75,702.5,287700,1808.5,167.4,11.097968936679,1966.8,0.8,2.2082526116514
