"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,29.4,1.17,0.308,0.4132,481.7,1066.8,24.1,59.1,0.0365,0.0477,0.0554,12.45,0.8,22.3,34.1,0,0,95,74.36,129,0.2189,0.219,1560,2.05,1.22,16.39,12.06,1.26,0.27,0.08,71.91,1619.1,0.0838,NA,NA,0.035,0.035,0.2328,0.167,0.8638,0.3146,761.8,1279.9,0.265,0.2095,57.4,0.0464,375.9,0.3036,0,2.66,0.83,0.0769,1.03,2.45,0.0329,1238.3,0.0976,0.1192,485,45.01,339.2,216644,1279.3,61.6,20.78,1279.3,1.3,1.97
"2",2011-06-30,29,1.81,0.5843,0.37436358191075,417.8,854.8,25.6,58.8,0.046401515151515,0.050021267545725,0.068788020589612,11.8188,0.57761423926065,22.454746136865,29.8,0,0,77.6,62.7233,107.4,0.19171,0.19251336898396,1208.4,1.984236453202,0.99244415243101,15.572164948454,11.251396648045,1.0279880901744,0.235,0.065,55.1045,1267.2,0.096864763687412,NA,NA,0.61,0.019,0.24659109577789,0.191,0.826,0.24075807206364,609,1017.2,0.24577270939835,0.19728535353535,45.3,0.038536792854105,330,0.28073160357295,0,2.4346577309718,0.95552111220704,0.066014461931093,0.86533390046789,7.6188,0.12146682372506,1175.5,0.10299393103448,0.10842508377214,454,37.04,250,177030,1217.6,49.6,20.508064516129,1217.6,1.35,1.8975741239892
"3",2010-06-30,27.8,1.5,0.6244,0.44058384896081,352.6,843.5,35.4,26.9,0.028468621018097,0.024370356948723,0.031890930646117,6.016,0.5204996796925,26.688,28.5,0,0,51.2,43.8021,79.7,0.14449,0.14383561643836,918,1.5213788531654,0.8171621862204,17.9296875,11.518193224592,0.83167240442109,0.16,0.045,30.8861,944.9,0.090812092471844,NA,NA,NA,0.0727,0.27354736004245,0.219,0.7598,0.23770005927682,603.4,667.2,0.4162170263789,0.29389353370727,25,0.022649030621489,338.8,0.30693966298242,0,1.8922291548497,1.668,0.04638521471281,0.60445732922631,12.916,0.29487202339594,1103.8,0.072592164401724,0.070901871809416,421.4,23.01,277.7,125279,1123.4,29.9,22.314381270903,1123.4,1.3,1.499127399651
"4",2009-06-30,28.9,1.55,0.6143,0.50155394405801,336.8,879.1,26.3,23.1,0.030074209087358,0.021584750513923,0.026276874075759,-6.7286,0.33859677681914,32.763358778626,26.2,0,0,40,34.5412,66.2,0.13647,NA,745,1.1415874961692,0.70871385083714,18.625,11.253776435045,0.69613156419361,0.115,0.055,41.1698,768.1,0.072915481742691,NA,NA,NA,-0.0641,0.6036308623298,0.22,0.7277,0.2359231031737,652.6,429.2,0.78960857409133,0.44121859132925,13.1,0.012240702672398,379,0.3541394131938,0,1.2743467933492,2.8489877198805,0.0373761913661,0.40104653335825,-6.6286,-0.1919055751011,1070.2,0.052928593319032,0.038895486935867,371.4,14.43,338.9,181996,1051.2,10,42.92,1051.2,1.3,1.1367470771052
"5",2008-06-30,28.8,0.77,0.3619,0.505436379665,336.6,970.7,22.2,26.4,0.039903264812576,0.023135570940321,0.027196868239415,-4.3445,0.42000552638851,8.3359580052493,24.8,0,0,79.1,58.5079,103.9,0.26033,NA,635.2,0.97095689391623,0.55067186822713,8.0303413400759,6.1135707410972,0.55665585838226,0.15,0.07,65.4524,661.6,0.053672607396724,1.49,8.4630872483222,NA,0.0126,0.34755720470006,0.212,0.7631,0.2279798083857,654.2,317.6,1.0831234256927,0.51995163240629,38.1,0.033388835334327,399.8,0.3503636841644,0,0.9435531788473,0.55573053368329,0.069319078082552,0.27832792919113,-6.9445,-0.11869354462764,1141.1,0.089434266279425,0.11319073083779,362.2,12.61,344,337654,1153.5,40.1,7.9201995012469,1153.5,0.95,0.97208345577432
"6",2007-06-30,28.8,0.89,0.285,0.50186277553555,320.9,939.2,19,30.3,0.033154612101981,0.026873614190687,0.032261499148211,-5.529,0.70175438596491,15.833780160858,24.5,0,0,74,61.6568,98.5,0.1668,NA,883.6,1.4393223652061,0.77204019222368,11.94054054054,8.9705583756345,0.78368070953437,0.15,0.08,72.6858,913.9,0.045251277683135,1.66,11.602409638554,NA,0.1727,0.23405191377035,0.205,0.7746,0.23913969335605,613.9,590.6,0.5474094141551,0.35375861691651,37.3,0.033082039911308,366.7,0.32523281596452,0,1.8404487379246,1.0555853440572,0.065631929046563,0.52381374722838,-11.029,-0.17887658573583,1127.5,0.10043459846881,0.11623558741041,362.8,19.26,323.3,204817,1144.5,39.7,14.876574307305,1144.5,1.25,1.4186588016144
"7",2006-06-30,28.6,0.45,0.2677,0.48915042294961,277.8,759.9,19.2,28.5,0.034807034684905,0.029858564693557,0.03750493485985,-8.4445,0.8,16.853658536585,22.1,0,0,68.3,50.8186,90.4,0.25595,NA,790.3,1.5336697069668,0.80478615071283,11.571010248902,8.7422566371681,0.82797276060765,0.895,0.145,62.1631,818.8,0.045663903145151,1.17,16.282051282051,NA,0.0602,0.28657419523685,0.205,0.6799,0.26516646927227,515.3,552.8,0.48118668596237,0.32486565705911,32.8,0.034363541121006,293.1,0.30707176532216,0,1.9899208063355,0.18830903392833,0.071555788370875,0.57915138816134,-11.3445,-0.22323460697147,954.5,0.098619474092762,0.11807055435565,313.7,19.05,266,140552,982,30.6,18.065359477124,982,1.4,1.5057006252299
"8",2005-06-30,29.3,0.44,0.3907,0.52062141668208,NA,719.9,15.4,25.3,0.028884575864825,0.02704147071398,0.035143769968051,4.8884,0.22523675454313,15.808510638298,21.5,0,0,80.6755,55.1514,102.1755,0.31638,NA,850.6,1.6503686457121,0.9091492090637,10.543473545252,8.3248919750821,0.92406300923411,NA,0.11,56.363,875.9,0.040561189054035,NA,NA,NA,2.9783,0.18351123219151,0.191,0.5922,0.2590637588554,515.4,594.4,0.4735868102288,0.32138371960269,37.6,0.040847365562195,298,0.3237370994025,0,2.2932098765432,NA,0.087643128734383,0.64573601303639,-1.2116,-0.02196807554719,920.5,0.10700695636399,0.14506172839506,309.2,20.06,281.5,132524,935.6,33.7,17.637982195846,935.6,1.3,1.61993711855
"9",2004-06-30,28.2,0.81,0.6388,0.6010659297276,NA,663.7,4.2,23.5,0.024147143444307,0.054022988505747,NA,227.534,0.25360050093926,NA,8.7,0,0,-23.6168,-23.6168,-14.9168,0,NA,949.7,1.9658455806251,2.1832183908046,NA,NA,4.2625673249551,NA,NA,-246.6508,973.2,0.056049419918638,NA,NA,NA,0,0.17707602339181,NA,0.5953,0.28898598764502,483.1,668.7,0.45536114849708,0.31288532675709,-31.8,-0.1427289048474,238.9,1.0722621184919,NA,3.308758040574,NA,-0.106,3.0013464991023,223.034,-9.443871377324,222.8,-0.048885944938936,-0.1573478476002,111.9,23.5005,304.5,22639,435,-27,NA,435,1.1,1.9210422424003
"10",2003-06-30,18.5,0.96,0.7024,0.76780185758514,NA,627.6,9.8,22.7,0.028045465777119,0.030186170212766,NA,56.4,0.3,26.906077348066,22.7,0,0,68.2,49.1026,90.9,0.28002,NA,786.7,NA,NA,11.535190615836,8.6545654565456,1.0461436170213,0.13,NA,62.0026,809.4,0.05768005098789,0.92,21.25,NA,-0.0216,0.40515222482436,NA,0.3035,0.3274378585086,447.2,487,0.66201232032854,0.39831974301952,18.1,0.02406914893617,198.2,0.26356382978723,0,4.9948717948718,2.0696982575436,0.090691489361702,0.64760638297872,-12.9,-0.26271502002459,752,0.10980016994633,0.18564102564103,216.5,19.55,322.4,70802,770.1,12.8,38.046875,770.1,1.1,1.759168157424
"11",2002-06-30,NA,0.34,0.7145,0.8197,NA,596.8,10,15.9,0.025566811384467,0.021736158578264,NA,-0.3801,0.0833,NA,30.6,0,0,36.451,36.451,67.051,0,NA,606,NA,NA,16.62505829744,9.0378965265246,0.82843472317156,0.14,NA,57.4311,621.9,0.064175603217158,NA,NA,0.005,0.7137,0.45833333333333,0,0.3994,0.35522788203753,444.134,235.8,1.4253604749788,0.5404405853031,-29.8,-0.040738209159262,184.389,0.25206971975393,NA,3.190798376184,NA,0.04983048530417,0.32235133287765,-20.9801,-0.57556994321143,NA,0.082072077346026,-0.40324763193505,309.9,12.77,336.1,53600,731.5,-5.8,NA,730,1.15,1.4002530767741
