"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,30.7,1.3,0.5124,0,66,76.1,0.6,26.6,0.1384,1.1319,0.3495,14.77,0.63,NA,1.3,0,0,-7,-6.9,-6,0,165.6,4.2,3.29,NA,NA,7.05,-20.97,192.2,0.1406,NA,NA,0.14,0.3639,NA,0.4932,0.1156,39.4,192.2,0,0,-1.6,-0.0681,12.9,0.5489,0,2.91,-0.2938,8.18,14.07,NA,23.5,-0.1752,-0.0242,18.5,6.28,0,189868,50.4,2.4,80.08,50.4,0.85,2.91
"2",2010-12-31,30.8,0.47,0.4111,0,67.1,72.3,0.5,49.6,0.46529080675422,1.8168498168498,0.68603042876902,0.1245,0.5169058623206,NA,1.7,0,0,-0.4,-0.4,1.3,0,57,3.2571428571429,1.9453924914676,NA,43.846153846154,2.0879120879121,0.6755,106.6,0.030428769017981,NA,NA,0.2987,0.29782082324455,NA,0.3812,0.030428769017981,17.5,106.6,0,0,NA,NA,1.7,0.062271062271062,NA,1.5886736214605,-0.014652014652015,3.9047619047619,-1.0755,NA,27.3,-0.022857142857143,NA,20.5,3.47,0,78674,29.3,-1.1,NA,29.3,0.85,1.5886736214605
"3",2009-12-31,30.8,0.61,0.4659,0,66.1,71.4,0.6,53.1,0.40972222222222,2.5285714285714,0.7436974789916,0.3438,0.48293625241468,NA,1.4,0,0,-5.7911,-5.7911,-4.3911,0,76.5,5.8846153846154,3.0846774193548,NA,NA,3.6428571428571,-5.3349,129.6,0.043417366946779,NA,NA,-0.2861,0.23566878980892,NA,0.4016,0.033613445378151,13,129.6,0,0,-4.1,-0.19523809523809,1.9,0.09047619047619,NA,1.9606656580938,-0.27576666666667,6.1714285714286,-0.4562,NA,21,-0.44546923076923,-0.062027231467473,21.2,4.69,0,39602,24.8,-0.4,NA,24.8,0.9,1.9606656580938
"4",2008-12-31,30.7,0.63,0.4346,0,69.1,73.8,1.3,48.9,0.41938250428816,1.6632653061225,0.66260162601626,-0.3952,0.33133916244823,20.456140350877,1.1,0,0,3.9,3.8817,5,0.00468,67.7,3.3514851485149,3.2085308056872,17.358974358974,13.54,2.3027210884354,4.077,116.6,0.050135501355014,NA,NA,0.538,0.24468085106383,NA,0.4576,0,20.2,116.6,0,0,5.7,0.19387755102041,1.4,0.047619047619048,0,1.6874095513748,0.13265306122449,3.9659863945578,-0.1952,-0.050296437388026,29.4,0.19216574257426,0.082489146164978,18.7,4.11,0,102016,21.1,-4.8,NA,21.1,0.9,1.6874095513748
"5",2007-12-31,31.1,1.2,0.4491,0,64.1,68.8,1.1,49.8,0.43493449781659,2.580310880829,0.72383720930233,-0.0389,0.37408149632598,10.409090909091,0.8,0,0,-4.2547,-4.2547,-3.4547,0,64.7,4.5244755244755,2.4141791044776,NA,NA,3.3523316062176,-4.5158,114.5,0.049418604651163,-0.09,NA,0.3441,0.3614931237721,NA,0.5305,0,14.3,114.5,0,0,11,0.5699481865285,0.1,0.005181347150259,0,1.786271450858,-0.22045077720207,5.9326424870466,0.2611,NA,19.3,-0.29753146853147,0.17160686427457,17.4,3.78,0,72183,26.8,5,22.9,26.8,1.05,1.786271450858
"6",2006-12-31,30.5,1.2,0.5453,0,25.5,29.1,1.3,22.6,0.11667527103769,1.6028368794326,0.7766323024055,0.139,0.30808729139923,NA,0.5,0,0,-1.7831,-1.7831,-1.2831,0,171.1,59,9.0052631578947,NA,NA,12.13475177305,-2.7221,193.7,0.10652920962199,1.24,4.7258064516129,0.0862,0.41137123745819,NA,0.2763,0,2.9,193.7,0,0,-0.9,-0.063829787234043,-0.4,-0.028368794326241,NA,7.5960784313725,-0.1264609929078,13.737588652482,0.939,NA,14.1,-0.61486206896552,-0.035294117647059,12.3,5.86,0,922378,19,40.4,4.7945544554455,19,1.05,7.5960784313725
"7",2005-12-31,30.4,1.61,0.6356,0,25.4,28.6,0.7,18.9,0.22209165687427,1.4651162790698,0.66083916083916,-0.0116,0.2391441157961,121.57142857143,0.4,0,0,-1.2217,-1.2217,-0.8217,0,66.2,10.184615384615,5.3387096774193,NA,NA,5.1317829457364,-1.5101,85.1,0.083916083916084,NA,NA,0.3666,0.40720221606648,NA,0.2433,0,6.5,85.1,0,0,0.7,0.054263565891473,-0.3,-0.023255813953488,0,3.3503937007874,-0.094707751937985,6.5968992248062,0.2884,NA,12.9,-0.18795846153846,0.02755905511811,10.6,2.81,0,200745,12.4,-1.8,NA,12.4,0.95,3.3503937007874
"8",2004-12-31,30.1,2.1,0.7437,0,NA,27.6,0.1,17.2,0.14502529510961,1.3983739837398,0.6231884057971,-0.4628,0.56474384832594,NA,0.8,0,0,-4.2207,-4.2207,-3.4207,0,101.4,14.281690140845,8.2439024390244,NA,NA,10.787234042553,-3.0579,118.6,0.068840579710145,NA,NA,0.3523,0.44957264957265,NA,0.1861,0,7.1,118.6,0,0,-3,-0.31914893617021,-1.5,-0.15957446808511,NA,4.880658436214,-0.44900638297872,12.617021276596,-1.1628,0.27549387002194,9.4,-0.59445915492958,-0.12345679012346,9.6,4,0,1053085,12.3,1.1,107.81818181818,12.3,1.1,4.880658436214
"9",2003-12-31,30,1.63,0.7496,0,NA,29.6,0.3,14,0.1958041958042,1.8421052631579,NA,-0.0203,0.43489861259338,NA,0.9,0,0,-6.6288,-6.6288,-5.7288,0,57.5,4.3560606060606,7.5657894736842,NA,NA,8.3333333333333,-6.0085,71.5,0.074324324324324,NA,NA,-0.1895,0.62519201228879,NA,0.1188,0,13.2,71.5,0,0,-7.1,-1.0289855072464,-0.2,-0.028985507246377,NA,2.6286764705882,-0.9607,10.36231884058,-0.6203,0.093574560680009,6.9,-0.50218409090909,-0.26102941176471,11.2,2.85,0,96513,7.6,-4,NA,7.6,1.15,2.6286764705882
"10",2002-12-31,27.3,1.86,0.8739,0,NA,26.8,1.1,15.5,0.12540453074434,1.9871794871795,NA,-1.6,0.4692,NA,0.8,0,0,-5.1072,-5.1072,-4.3072,0,108.1,NA,NA,NA,NA,13.858974358974,-5.4072,123.6,0.082089552238806,NA,NA,0.7657,0.52338129496403,NA,0.2568,0,9,123.6,0,0,-4.5,-0.57692307692308,0,0,NA,5.0448979591837,-0.6547641025641,15.846153846154,0.3,NA,7.8,-0.56746222222222,-0.18367346938776,9.4,4,0,277442,8.2,-5.5,NA,8.2,1.1,12.011111111111
