"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,70.9,1.48,0.3557,0.5005,3405.7,10687.1,452.4,37.2,0.0045,0.004,0.0035,0,0.8,15.25,534.3,0.0129,63.81,605,403.47,1140,0.3333,0.3397,8311,1.23,0.9,13.73,7.29,0.9,0.15,0.1,485.37,8348.2,0.5251,5.7,12.26,0.335,0.115,0.2148,0.029,0.9012,0.2489,6781,4935.7,0.6914,0.4088,323.7,0.0352,1005.6,0.1092,0.1971,1.45,1.02,0.0657,0.54,-81.9,-0.203,9207.6,0.0595,0.095,927.5,69.91,3412.5,398501,9207.6,323.7,15.25,9207.6,1.15,1.22
"2",2011-09-30,70.5,1.39,0.4106,0.50544195734444,3371.6,10566,199.4,41.7,0.005524861878453,0.0077227942810579,0.003946621237933,0,0.70019483682416,14.776296829971,278.3,0.0137,56.196,510.1,342.1241,788.4,0.3293,0.34093067426401,7506,1.1077822217631,1.3901029705904,14.71476181141,9.5205479452055,1.3901029705904,0.15,0.16,421.0241,7547.7,0.52311186825667,6,9.6166666666667,0.48,-0.0068,0.28654396728016,0.055,0.8678,0.24974446337308,6775.7,4101.9,0.84004973305054,0.45653642831591,277.6,0.051411215645603,1012.2,0.18745833024669,0.20243526657061,1.2166033930478,0.98508645533141,0.094469960737832,0.75966738276909,-78.9,-0.2306180912673,5399.6,0.050492800743835,0.082334796535769,541.2,57.7,3445.8,979845,5399.6,277.6,14.776296829971,5399.6,1.15,1.1071229500983
"3",2010-09-30,38.9,1.08,0.4184,0.52747406784413,1011.3,2914.9,106.2,15.9,0.0048977328733366,0.0052975278203505,0.0054547325808776,0,0.65726577437859,12.225750577367,147.4,0.0147,31.1272,351.4,223.0512,498.8,0.36525,0.3742774566474,3230.5,1.5207362425269,1.0763310455121,9.1932270916335,6.4765437048917,1.0763310455121,0.125,0.05,264.2512,3246.4,0.42883117774195,5.35,10.084112149533,0.41,0.0619,0.22613482912641,0.055,0.7979,0.30886136745686,2124.3,2117.5,0.53312868949233,0.3477390340069,173.2,0.057706403678284,293.5,0.097787699073766,0.1797185334873,2.0938396123801,0.97806004618938,0.11707869660825,0.70550409808756,-41.2,-0.18471099566176,3001.4,0.10499983523984,0.17126470879066,339.9,53.95,1128.9,349848,3001.4,173.2,12.225750577367,3001.4,1.1,1.5168675824689
"4",2009-09-30,38.7,1.13,0.4207,0.63465337221334,776.8,2884.4,75.9,11.8,0.0035141010750767,0.0041958539273904,0.0040909721259187,0,0.41835036843356,11.195652173913,150,0.0116,23.2986,377.8,244.1532,527.8,0.35375,NA,3346.1,1.5825293227393,1.1898090530882,8.856802541027,6.3397120121258,1.1898090530882,0.155,0.055,318.2532,3357.9,0.4424143669394,4.9,10.287755102041,0.265,-0.0216,0.39926354550237,0.073,0.8217,0.30775897933712,2114.4,2008.5,0.67184466019417,0.40185830429733,179.4,0.063791202929986,253.5,0.090139743270633,0.12986956521739,2.5856076210093,0.72230014025245,0.13433844184475,0.71418411975963,-74.1,-0.30349790551631,2812.3,0.11547164680288,0.23094747682801,330.8,50.41,1349.4,487710,2812.3,179.4,11.195652173913,2812.3,1.1,1.5792963973286
"5",2008-09-30,38.2,1.07,0.3522,0.7262118491921,640.5,3013.1,84.2,52.8,0.018068578468277,0.018598753038149,0.017523480800505,0,0.54514480408859,11.562381852552,135.3,0.01249080356413,15.28,249.1,160.6022,384.4,0.35527,NA,2869.4,1.2548762354588,1.0107435978724,11.51906864713,7.4646201873049,1.0107435978724,0.205,0.08,211.7022,2922.2,0.44243470180213,3.6,9.4944444444445,0.115,0.2182,0.3610214264749,0.091,0.842,0.29999004347682,2286.6,1223.3,1.3887844355432,0.58137704469235,105.8,0.037267955898411,253.8,0.089400824262919,0.14442344045369,1.9099141295863,0.56401862695376,0.087745253443235,0.4309063369615,-51.1,-0.31817737439694,2838.9,0.070236264759906,0.16518345042935,310.5,34.18,1698.9,588536,2838.9,105.8,11.562381852552,2838.9,1.2,1.2491237069334
"6",2007-09-30,38,1.86,0.3307,0.55082742316785,589,1800.7,78,10.9,0.0064027255639098,0.0047067967872873,0.0060532015327373,0,0.55639552464469,11.598816568047,103.7,0.015508621569228,15.2,186.5,119.6603,290.2,0.35839,NA,1691.5,1.3007536142725,0.73041713446757,9.0697050938338,5.828738800827,0.73041713446757,0.225,0.06,145.3603,1702.4,0.46509690675848,2.4,9.4791666666667,-0.005,0.0745,0.2947872977831,0.1019,0.8333,0.23996223690787,1300.4,980.1,0.73696561575349,0.42428336466165,84.5,0.036488470506952,184.7,0.079756455652474,0.17988165680473,1.6640067911715,0.51550295857988,0.080533724846705,0.42322307625874,-25.7,-0.21477472074794,2315.8,0.092018044447862,0.14346349745331,259.1,22.75,722.3,284987,2315.8,84.5,11.598816568047,2315.8,1.15,1.2982536414245
"7",2006-09-30,37.7,1.95,0.3142,0.6131436829695,508.6,1784,64.6,6.9,0.0037380139769218,0.0032271643047566,0.0038677130044843,0,0.56015276893698,35.979238754325,104.3,0.013052510098096,13.572,104.9,65.3359,209.2,0.37716,NA,1839,1.406178314727,0.86010944296338,17.530981887512,8.7906309751434,0.86010944296338,0.27,0.08,105.0359,1845.9,0.47679372197309,1.5,18.073333333333,-0.1,0.1873,0.38257016248154,0.182,0.6621,0.2307735426009,1307.8,1039.8,0.77524523946913,0.43669754591256,28.9,0.013516673682241,213.5,0.099855011458772,0.46961937716263,2.0444357058592,1.3325643983083,0.049062251531734,0.48631962957766,-39.7,-0.60762904127647,2138.1,0.04995864505276,0.056822650412898,244.2,27.11,806.1,420800,2138.1,28.9,35.979238754325,2138.1,1.1,1.4040465505438
"8",2005-09-30,36.3,0.55,0.3109,0.66732297819587,NA,1798.4,54.3,26.8,0.018910527801298,0.015460051918085,0.014902135231317,0,0.35381151495658,29.023121387283,84,0.026373626373626,13.068,69.4148,41.6537,153.4148,0.39993,NA,1390.4,1.0341390851618,0.80207672339198,20.030324966956,9.0630138236382,0.80207672339198,0.22,0.1,71.3537,1417.2,0.49210409252669,1.2,11.375,-0.095,0.0769,0.24271844660194,0.181,0.5691,0.19511788256228,1344.5,502.1,1.8225453096993,0.64570985040926,17.3,0.0099798096336891,218.3,0.12593019901933,0.75537572254335,1.1006137658921,1.3192327903311,0.040043120853764,0.28964522642054,-29.7,-0.71302173779595,1733.5,0.030980817428412,0.037921964050855,204.9,13.65,915.1,83700,1733.5,17.3,29.023121387283,1733.5,1.1,1.0334718879895
"9",2004-09-30,35.6,0.93,0.4588,0.52522512748183,NA,1283.8,60.8,56.9,0.055248082338091,0.035983051919307,NA,0,0.4054054054054,19.218309859155,74.2,0.023668639053254,12.816,145.1633,93.6942,219.3633,0.35456,NA,973,1.1251156336725,0.61531651173085,6.7027942454341,4.4355633899447,0.61531651173085,0.155,0.065,107.0942,1029.9,0.43059666614738,1.2,12.675,-0.03,0.0822,0.15542710340398,0.175,0.5241,0.23142233992834,864.8,545.8,0.88695492854526,0.47004563549859,28.4,0.017959906406121,144.7,0.091506987921331,0.4512676056338,1.2472577696526,1.2398909586552,0.0918,0.34515904635426,-13.4,-0.14301841797321,1581.3,0.1083420746642,0.06489945155393,199.4,15.21,484.1,14700,1581.3,28.4,19.218309859155,1581.3,1.1,1.117391776066
"10",2003-09-30,34.3,1.31,0.548,0.5386630224348,NA,1173.7,77.6,6.6,0.0060756697045015,0.0045945005221023,NA,70.7,0.5259,14.034324942792,72.5,0.019015163867601,11.662,101.3,61.3756,173.8,0.39412,NA,1079.7,NA,NA,10.658440276407,6.2123130034522,0.75161851722938,0.095,0.04,56.2756,1086.3,0.48743290449007,1.25,13.96,NA,-0.0239,0.20013591573225,0.292,0.4661,0.2218624861549,871.5,613.3,0.77123756725909,0.43542299548928,43.7,0.030421162547859,122.5,0.08527671423599,0.26686498855835,1.5139471735374,1.4772973623991,0.070518621649843,0.42694048033415,5.1,0.083094851110646,1436.5,0.070425294320138,0.10787459886448,189.7,17.45,473,77306,1433.3,29.6,20.719594594595,1433.3,1,1.2388984509466
"11",2002-09-30,NA,1.2,0.6116,0.5386,NA,1173.7,77.6,6.6,0.0069811719906918,0.0045945005221023,NA,-0.0034,0.3419,10.810068649886,72.5,0.0232,10.9597,173.807,105.3062,246.307,0.39412,NA,938.8,NA,NA,5.4013934996864,3.8115035301473,0.65353289244692,0.125,NA,100.2096,945.4,0.48743290449007,1.05,14,-0.015,-0.0239,0.36799770180982,0.292,0.356,0.2218624861549,871.57,472.4,1.0012701100762,0.50031732599958,43.7,0.030421162547859,122.48,0.085262791507135,0.25079359267735,1.1661318193039,0.86480549199085,0.073307473136095,0.32885485555169,5.0966,0.048397916914912,NA,0.12082355422972,0.10787459886448,189.7,14.7,473,18300,1436.5,43.7,10.810068649886,1436.5,0.95,1.0847092029326
"12",2001-09-30,NA,0.85,0.5094,0.36733292121712,NA,1159,94.6,5.4,0.005374203821656,0.003690289072644,NA,6.7374,0.50058892815077,13.352272727273,77.1,0.02131914893617,10.02,178.5226,102.5755,255.6226,0.42542,NA,999.4,NA,NA,5.5981707638137,3.9096699587595,0.68297683318527,0.095,NA,64.0992,1004.8,0.51121656600518,NA,NA,NA,0.1693,0.39325842696629,0.41,0.3228,NA,915.7,470,1.1378723404255,0.53224522292994,35.2,0.024055217658717,123.9,0.084671632611221,0.28465909090909,1.2166709811028,140.55023923445,0.07009876,0.32119182669309,38.4763,0.37510189258566,NA,0.11201869117396,0.091120890499612,187.0097,15.4,534.8,NA,1463.3,37,12.702702702703,1441.7,NA,1.0908696124199
"13",2000-09-30,NA,0.7,0.4944,0.58061014004994,NA,1159,94.6,5.4,0.0076325088339223,0.003690289072644,NA,NA,0.2123786407767,4.90625,77.1,0.05801968731905,10.02,178.5,102.5625,179.6625,0.42542,NA,702.1,NA,NA,3.9333333333333,3.9078821833356,0.47980591813025,0.105,NA,85.0625,707.5,0.51121656600518,NA,NA,NA,0.1693,0.39879053378411,0.41,0.3324,NA,915.7,172.7,3.0966994788651,0.75590106007067,NA,0.024055217658717,NA,0.084671632611221,0.28465909090909,0.44706186901372,0.4672619047619,0.12198455545684,0.11802091163808,NA,0.17062761614792,NA,0.11200451021077,0.091120890499612,187,NA,NA,NA,NA,35.2,4.90625,1463.3,NA,0.76810335468462
