"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,92.7,1.27,0.2965,0.0699,3652.5,5416.4,272.2,1187.3,0.0857,0.1731,0.2192,-2.48,0.8,19.93,225.2,0.0109,148.32,1054,707.1,1279,0.3291,0.3291,12660.2,4.62,1.85,12.01,9.9,1.85,0.115,0.105,662.58,13847.5,0.1632,8.5,17.64,0.14,0.11,0.1521,0.0229,0.6523,0.2516,2739.6,13573.1,0.0202,0.0198,681,0.0993,766.4,0.1117,0.2213,3.72,1.73,0.1537,1.98,44.52,0.063,6859.5,0.2581,0.1864,2915.2,149.92,274.4,516626,6837.3,670.1,20.26,6837.3,1.15,3.53
"2",2011-03-31,94.5,1.49,0.3612,0.10056610962931,3304.7,4981.1,255,1046.9,0.081203509071306,0.18495486104977,0.21017445945675,73.8569,0.8,22.062720225511,194.1,0.0059,73.8845,850.2,584.657,1044.3,0.31233,0.31233341410225,11845.4,4.5085829558863,1.8630408455356,13.932486473771,11.34290912573,2.0927159337844,0.115,0.11,449.9002,12892.3,0.15835859549096,6.95,19.867625899281,0.15,0.1814,0.23313848920863,0.022,0.6794,0.28186545140632,2627.3,12522.8,0.029506180726355,0.028660518293865,567.6,0.1002773704574,599.1,0.10584244651344,0.13017004933051,3.7893908675523,1.918497410914,0.15020405278872,2.2123915693515,134.7569,0.23048873329227,5660.3,0.22253150915388,0.17175537870306,2442.7,138.08,369.5,1149938,6358.1,659.2,18.996966019417,6358.1,1.2,3.508872679767
"3",2010-03-31,98.2,1.63,0.4338,0.10465684162142,3116.6,4648.9,201.3,1147.2,0.10268068919221,0.23041234007512,0.24676805265762,18.4565,0.69156293222683,22.540563086548,159.5,0.0035,37.8287,742.1,516.227,901.6,0.30437,0.30436674887567,10025.3,4.2958820756738,1.9205923485124,13.509365314648,11.119454303461,2.0135572114322,0.085,0.07,455.9705,11172.5,0.14997096087246,5.27,21.047438330171,0.155,0.0021,0.23760518840114,0.031,0.7073,0.29034825442578,2333.7,10808.2,0.033705889972428,0.032606847169389,479.5,0.096306413063126,381.3,0.076583181023921,0.07889197080292,3.4679458384137,2.6518309513586,0.14904898672398,2.1708007792886,60.2565,0.11672489804309,4978.9,0.22120539186699,0.15385355836489,2157,110.92,364.3,972135,5219.9,551.1,19.612048630013,5219.9,1.2,3.2096584216726
"4",2009-03-31,99.2,1.6,0.4211,0.1500885615736,2735.1,4356.5,185,819.9,0.095447084434407,0.1633624897886,0.18820153793183,-16.212,0.47494656851104,19.968226600985,184.4,0.0049,39.7248,674.5,466.12,858.9,0.30894,NA,7770.2,3.2400133433408,1.5941160782061,11.519940696812,9.0466876237047,1.5481878499273,0.075,0.06,481.732,8590.1,0.14956960863078,4.02,20.144278606965,0.17,0.0316,0.45040819871461,0.037,0.6169,0.30191667623092,2398.2,8107.1,0.059577407457661,0.056227517723891,406,0.080894219848971,562.7,0.11211620076112,0.097844310344828,2.9640963767321,2.6624302134647,0.13439199824663,1.6153141126542,-15.612,-0.033493528779851,5018.9,0.19436242598616,0.14844064202406,2036,80.98,483,1554432,4874.3,404.3,20.052188968588,4874.3,1.25,2.6693079767565
"5",2008-03-31,99.5,1.46,0.3398,0.22131708429731,2389.7,4365.5,217.1,625.8,0.127698649145,0.12823507715006,0.14335127705876,-14.0213,0.54149499705709,10.055740828966,201.3,0.0047140758989909,19.9,705.6,461.3142,906.9,0.34621,NA,4274.8,1.7497441774794,0.85477195017096,6.0583900226757,4.7136398720917,0.87596565644147,0.105,0.095,459.5356,4900.6,0.16261596609781,4.14,10.968599033816,0.15,0.1875,0.44860473330979,0.043,0.5694,0.30337876531898,2443.1,4221.4,0.16089448997963,0.13859527404808,419.8,0.086022827401078,565.5,0.11587877297596,0.047403525488328,1.766497886764,0.95768960275868,0.14458720108195,0.86502325772013,1.7787,0.0038556549470462,4880.1,0.18882330809218,0.17567058626606,1932.5,45.41,679.2,929636,5001.1,472.4,8.9360711261643,5001.1,1.15,1.5968588093454
"6",2007-03-31,96.1,1.6,0.2383,0.14588286937118,2334.9,3758,184,563.9,0.084975889089813,0.1312799739256,0.15005321979777,-21.9464,0.73856483424255,15.557994512347,144.7,0.0030815109343936,19.22,657.2,409.5605,801.9,0.37681,NA,6072.1,2.798460687621,1.3520295695932,9.2393487522824,7.5721411647338,1.4136285328491,0.15,0.145,392.2069,6636,0.16758914316126,4.33,13.069284064665,0.13,0.2575,0.25518507188743,0.044,0.5645,0.2895689196381,2169.8,6237.2,0.063938946963381,0.060096443640747,400.9,0.093332402104577,481.7,0.11214322298273,0.047942130207034,2.6712921324254,1.0371996341565,0.15300088466732,1.4520649997672,17.3536,0.042371206740296,4295.4,0.18875493962577,0.17169900209859,1663.4,56.59,398.8,3479107,4491.1,387.3,16.104311902918,4491.1,1.1,2.4274792405897
"7",2006-03-31,105.4,1.69,0.2075,0.12034334763948,2049.6,3088.7,158.6,285.7,0.033784662685508,0.07626191175293,0.092498462136174,-39.4345,0.8,26.545779220779,127,0.0025782463521728,21.08,536.4,328.5182,663.4,0.38755,NA,8170.8,3.9968693440297,2.0299115571897,15.232662192394,12.316551100392,2.1810319515255,0.115,0.075,336.3526,8456.5,0.17767993006767,3.46,22.445086705202,0.1,0.1088,0.29114906832298,0.45,0.5437,0.31022760384628,2044.3,8176.1,0.03429507956116,0.03315792585585,308,0.082214451592238,529.7,0.14139284093639,0.068441558441558,3.9891198282592,2.3083286278939,0.14318127218856,2.182446680725,-7.8345,-0.023847883660987,3746.3,0.16069959399305,0.15027322404372,1476.9,77.66,280.4,327400,4025.2,370.1,22.091596865712,4025.2,1.05,3.6293991416309
"8",2005-03-31,103.1,1,0.2828,0.14796359383739,NA,2726.7,174.1,350.5,0.056533169889837,0.097820323183835,0.12854366083544,37.0418,0.70721357850071,22.973950233281,103.6,0.0035682426404996,20.62,409.7286,262.8245,513.3286,0.35854,NA,5849.4,3.6192302932805,1.6324969998046,14.276278772032,11.395039692118,1.7696496641859,0.12,0.07,155.2827,6199.9,0.17893424285767,3,18.683333333333,0.095,0.2174,0.24881907063605,0.45,0.5656,0.22217332306451,1616.2,5908.9,0.049247744927144,0.046936240907111,257.2,0.077812065105585,440.9,0.1333877896775,0.080171073094868,3.5262278450797,1.9144958527735,0.12395734858111,1.7876505112846,107.5418,0.40917715346342,3305.4,0.16261880991536,0.15348809452766,1274.7,56.05,291,229700,3583.1,257.2,22.973950233281,3583.1,1,3.1524380942696
"9",2004-03-31,104.8,1,0.2893,0.16317523831941,NA,2270.2,123,343.5,0.076098274219633,0.11933298593017,NA,36.8453,0.69132388524024,22.975054229935,83.2,0.004756242568371,20.96,376.5224,239.5812,459.7224,0.3637,NA,4170.4,3.0757430488974,1.4488101441723,11.076101534153,9.0715620386278,1.5739140280032,0.1,0.07,162.9359,4513.9,0.17500660734737,2.54,16.555118110236,NA,0.0235,0.20789779326365,0.45,0.5364,0.15822394502687,1355.9,4236.6,0.065453429636973,0.061432464166242,184.4,0.069592784088765,426.7,0.16103709853946,0.11366594360087,2.9791153927291,2.2975054229935,0.1421,1.5988979884515,76.6453,0.3199136378586,2649.7,0.17669531973671,0.12966739329161,1030,42.05,277.3,350200,2878.5,184.4,22.975054229935,2878.5,1,2.6561727668589
"10",2003-03-31,98.7,0.94,0.3665,0.2242330894622,NA,2038.8,98.7,343.6,0.10911746959256,0.14086008281064,NA,16.4,0.563,15.239520958084,78.6,0.0070512591534203,19.74,302.9,192.3415,381.5,0.365,NA,2805.3,NA,NA,9.2614724331463,7.3533420707733,1.1500430451359,0.08,0.07,172.2415,3148.9,0.17412203256818,2,14.035,NA,0.0268,0.24045651318379,0.57,0.3779,0.16038846380224,1214.6,2799.5,0.12480800142883,0.11095938264156,183.7,0.075308490140614,423,0.17341040462428,0.10745781164943,2.3159331568498,1.9049401197605,0.12417496822859,1.1476653138195,20.1,0.10450162861369,2439.3,0.15835789560349,0.15196889477167,904.7,28.07,349.4,356752,2517,NA,NA,2517,1,2.3096492672485
