"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,161.1,0.91,0.3131,0.4522,2392.4,5845.5,1211.2,0.1,0,1e-04,0,-20.6,0.73,56.84,341.2,0.0026,25.78,405,235.07,746,0.419,0.4189,11995.3,2.75,9.08,29.65,16.08,10.03,0.285,0.15,-614.33,11995.4,0.8913,1.07,58.72,0.005,0.1,0.171,0.018,0.9781,0,4367.3,10020.4,0.1971,0.1646,176.3,0.1475,-196.8,-0.1646,0.2031,4.19,1.99,0.3385,8.38,849.4,3.6134,1195.4,0.0538,0.0737,114.9,62.83,1975,1543321,1320.5,126.9,78.96,1320.5,1.25,2.75
"2",2010-12-31,159.9,0.65,0.3124,0.46853715077791,2223.8,5498.6,832,2.8,0.00023330028245999,0.0029139348527422,0.00050922052886189,-12.1578,0.8,112.44344904815,363.5,0.0025,25.103,275.8,170.1851,639.3,0.38294,0.38286109191431,11998.9,2.8695205069951,11.661871902031,43.505801305294,18.768809635539,12.487147465917,0.215,0.14,-286.1571,12001.7,0.90874040664897,1.39,44.561151079137,0.175,-0.0708,0.27206851119895,0.02,0.9826,0,4181.5,10041.2,0.19524558817671,0.16335185848671,89.3,0.0929337079821,-171.8,-0.17879071703611,0.28110862262038,4.5153341127799,5.2299278627048,0.28702258299511,10.449786658341,456.3422,2.6814456878549,960.9,0.040699545139304,0.040156488892886,106.4,61.94,1960.5,2564340,1028.9,153.4,65.457627118644,1028.9,1.25,2.8682694835456
"3",2009-12-31,159.1,0.37,0.3561,0.4179228660924,2378.6,5395.9,574.3,0.8,9.0677245678663e-05,0.0007773782917112,0.00014826071646991,7.5558,0.8,43.197935640559,363.2,0.0036,25.6129,379,238.5616,742.2,0.37055,0.3706534199465,8821.7,2.1592177403564,9.0627696733101,23.276253298153,11.885879816761,8.5722475949859,0.115,0.105,19.9057,8822.5,0.92490594710799,1.06,42.433962264151,0.35,-0.1765,0.25776754890679,0.019,0.975,0,4085.6,7114.7,0.24003823070544,0.19357325021252,164.7,0.16004275580604,-139.6,-0.1356525119036,0.15551256830601,2.9911292356849,3.7563422296138,0.36828296569818,6.9135166650471,218.6558,0.91655945777109,1029.1,0.058390823869199,0.069242411502564,82,44.98,1707.8,3205836,973.4,110.5,64.386425339366,973.4,1.25,2.1589907987471
"4",2008-12-31,156.2,0.41,0.349,0.42148993762504,2457.8,5562.5,918,0.8,7.9924072131475e-05,0.00065220935920431,0.0001438202247191,-10.5902,0.5730659025788,27.187562024479,299.8,0.0031,25.4783,546,330.9579,845.8,0.39385,NA,10008.7,2.3562633895991,10.352399669011,18.330952380952,11.833412154174,8.1597097668351,0.085,0.085,-276.6519,10009.5,0.88789213483146,0.99,50.353535353535,0.335,0.3654,0.32110293309898,0.02,0.9351,0,4247.7,8218.8,0.21787852241203,0.17890004495729,302.3,0.24645361160933,50,0.040763084950269,0.084281442275885,3.3439661485882,3.1985367087622,0.44513288765694,6.7004728517854,607.6098,1.835912514945,1226.6,0.077914612613885,0.12299617544145,207.9,49.85,1790.7,2688600,966.8,163,50.422085889571,966.8,1.25,2.3560080028245
"5",2007-12-31,149.9,0.52,0.3546,0.3997290443603,1728,4016.5,808.4,4,0.00066731173467685,0.0046398329660132,0.00099589194572389,14.4605,0.65425831923294,21.003902862099,227.3,0.0049517910601838,23.984,407.1,285.0189,634.4,0.29988,NA,5990.2,2.0837652624622,5.329359430605,14.714320805699,9.4423076923077,6.9483818582531,0.15,0.135,-310.5417,5994.2,0.88756379932777,2.19,15.703196347032,0.27,0.0248,0.52734141976536,0.027,0.904,0,2874.7,4843.5,0.2375761329617,0.19196890327316,230.6,0.26748637049066,-47.6,-0.055214012295557,0.10400693842151,2.8029513888889,1.4002601908066,0.472219000116,5.6182577427213,595.5605,2.0895479216238,862.1,0.099147337809163,0.13344907407407,140.1,34.39,1150.7,2598747,1124,307.8,15.735867446394,1124,1.45,2.0822593531803
"6",2006-12-31,138.9,1.39,0.3085,0.45501084598698,1256.2,3187.7,517.4,2.4,0.0002769859314229,0.003078106964217,0.00075289393606676,-4.7262,0.59643435980551,38.542004048583,169.7,0.0029181055423522,22.224,378.9,233.0121,548.6,0.38503,NA,8662.3,3.7619647355164,10.527831793875,22.861704935339,15.789828654758,11.109785815057,0.2,0.115,-109.9616,8664.7,0.86479279731468,1.94,26.438144329897,0.195,0.3398,0.34456394972139,0.027,0.8925,0,2302.6,7615.9,0.13771189222548,0.12104285203181,197.6,0.25343080672053,85.5,0.10965756060023,0.11246963562753,6.062649259672,1.9271002024291,0.48595613697576,9.7677311786585,342.9738,1.47191373566,779.7,0.10119522843742,0.15729979302659,102,51.29,1048.8,2132462,822.8,215.8,35.291473586654,822.8,1.15,3.7590889370933
"7",2005-12-31,127.9,1.41,0.3785,0.46923076923077,696.9,2019,288.2,4.8,0.0010720507437352,0.008955223880597,0.0023774145616642,50.0731,0.48612945838838,34.786486486487,127.5,0.0039748271307591,15.348,216.2,135.3066,343.7,0.37416,NA,4472.6,3.4188961932426,5.8672438672439,20.687326549491,13.0130928135,8.3444029850746,0.26,0.17,-75.4665,4477.4,0.88182268449728,2.03,13.527093596059,NA,0.5916,0.18744159970099,0.035,0.8948,0,1308.2,3861.3,0.15955766192733,0.13760217983651,111,0.20708955223881,-118.6,-0.22126865671642,0.13827027027027,5.540680154972,1.3379417879418,0.40335820895522,7.2039179104478,210.7731,1.5577442974177,536,0.10342960403608,0.15927679724494,94.1,27.46,616.1,503000,762.3,215.1,17.951185495119,762.3,1.15,3.4100533130236
"8",2004-12-31,121.8,0.77,0.3353,0.5228747156458,NA,1595.4,174.8,18.4,0.0045437708359057,0.038999576091564,0.011533157828758,-27.8925,0.45929018789144,81.25355450237,103,0.0030360531309298,9.744,110.3617,69.7961,213.3617,0.36757,NA,4031.1,3.4498074454429,8.5440864773209,36.526255347076,18.893268150129,12.569691300281,0.175,NA,25.8885,4049.5,0.90234423968911,0.99,26.616161616162,NA,-0.1061,0.39365804534178,NA,0.9224,0,1168.5,3428.9,0.18099098836361,0.15325348808495,42.2,0.13158715310259,-59.2,-0.18459619582164,0.23090047393365,6.0549178880452,4.6430602572783,0.34412756470221,10.691923916433,43.9075,0.62908303372823,320.7,0.059731327561232,0.074518806286421,39.8,26.35,620.6,705500,471.8,82.9,41.361881785284,471.8,1,3.4118291347207
"9",2003-12-31,56.4,0.75,0.337,0.5665032421319,NA,830.1,94.6,0.6,0.0003371733633043,0.0021451555237755,NA,-5.0915,0.44510385756677,45.996763754045,86.5,0.0010298661174047,1.128,171.4994,107.3295,257.9994,0.37417,NA,1778.9,2.6095056476456,6.3600286020737,10.372628621994,6.8949762061499,7.1384430176565,0.2,NA,104.321,1779.5,0.89832550295145,0.79,24.582278481013,0.22,0.2437,0.43150684931507,NA,0.8738,0,681.7,1421.3,0.2520227960318,0.20129249789267,30.9,0.12399678972713,-41.6,-0.1669341894061,0.036504854368932,6.3422579205712,2.2998381877023,0.6882,5.7034510433387,3.0085,0.028030572920729,249.2,0.15744388225788,0.1127325793506,27.3,19.42,358.2,429400,279.7,32.3,44.003095975232,279.7,1,2.8143286414677
"10",2002-12-31,55,0.57,0.4645,0.64100330952796,NA,658.5,111.9,1.3,0.0014331385734759,0.0066564260112647,NA,8.8,0.2723,22.651260504202,76.8,0,0,42.5,42.5,119.3,0,NA,905.8,NA,NA,21.312941176471,7.5926236378877,4.6379928315412,0.1,NA,7.4,907.1,0.88458618071374,0.45,21.333333333333,NA,-0.15,0.31506849315069,NA,0.6778,0,572.8,539.1,0.68261918011501,0.40568845772241,23.8,0.12186379928315,-31.2,-0.15975422427035,0,2.6157205240175,2.2651260504202,0.21761392729135,2.7603686635945,35.1,0.82588235294118,195.3,0.074196927374302,0.11547792333819,17.2,9.6,368,196376,227.8,30.5,17.675409836066,227.8,0.9,1.5813547486033
