"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,30.2,1.32,0.3921,0.2055,722.8,1132.9,38.8,321.1,0.3194,0.6062,0.2834,75.91,0.8,124,22.5,0,0,26,14.15,49,0.4601,0.4545,684.3,1.16,1,26.12,14.05,1.29,0.135,-78.07,1005.4,0.2555,0.72,38.28,NA,-0.005,0.1565,NA,NA,0.0692,588.7,818.4,0.2285,0.186,6.6,0.0125,260.1,0.491,0,1.13,9.19,0.0495,1.55,92.21,6.5186,529.7,0.024,0.0091,74.4,27.56,187,154416,684.3,16.4,49.9,684.3,1.55,1.11
"2",2010-12-31,30.1,1.27,0.4569,0.19866146123815,718.4,1106.9,28.6,397.2,0.4464928057554,0.91987031032886,0.3588400036137,39.1423,0.8,209.26470588235,22.1,0,0,9.1,3.64,31.2,0.6,0.71186440677966,492.4,0.98618065291408,0.98009554140127,54.10989010989,15.782051282051,1.1403427512737,0.12,-42.0023,889.6,0.23543228837293,NA,NA,0.01,0.0544,0.32977124728669,NA,NA,0.050501400307164,499.3,711.5,0.25031623330991,0.2002023381295,3.4,0.0078740157480315,239.4,0.55442334414081,0,0.99039532293987,17.438725490196,0.021074571560908,1.6477535896248,45.6423,12.539090136357,431.8,0.0072902062888043,0.0047327394209354,66.8,23.21,178.1,550424,502.4,5.1,139.50980392157,502.4,1.6,0.99230340211935
"3",2009-12-31,30,1.67,0.5836,0.0001472103636096,679.2,854.7,82.3,121.3,0.14745927546803,0.29730392156863,0.14192114192114,4.2441,0.70681973954763,NA,21.2,0,0,-9.7,-9.7,11.5,0,NA,701.3,1.2568100358423,1.691917973462,NA,60.982608695652,1.7188725490196,0.07,-75.0441,822.6,0.2951912951913,NA,NA,0.47,-0.4873,0.22321761851437,NA,0.9379,0.064818064818065,558,822.5,0.00012158054711246,0.00012156576707999,-16.8,-0.041176470588235,266.4,0.65294117647059,NA,1.2109835100118,NA,-0.023774509803922,2.015931372549,65.3441,NA,408,-0.017383512544803,-0.024734982332156,65.5,26.98,0.1,378088,414.5,-2.1,NA,414.5,1.65,1.2109524510526
"4",2008-12-31,23,1.62,0.5361,0.28506948568714,601.9,1029.2,125.6,284.4,0.27917934622558,0.46630595179538,0.27633113097551,-68.6625,0.49244543928372,13.980251346499,20.2,0,0,87.4,55.3312,107.6,0.36692,NA,734.3,1.3171300448431,1.6015267175573,8.4016018306636,6.8243494423792,1.2039678635842,0.1325,18.5937,1018.7,0.26340847260008,NA,NA,0.45,-0.0227,0.48978433598184,NA,0.8908,0.059463661095997,557.5,778.7,0.30820598433286,0.23559438500049,55.7,0.091326446958518,276.6,0.45351696999508,0,1.2937365010799,1.0551133091697,0.14330218068536,1.2767666830628,36.7375,0.66395697281824,609.9,0.099248774887892,0.092540289084566,79.9,25.17,240,591932,458.5,-6.5,NA,458.5,1.65,1.2100011877895
"5",2007-12-31,23.1,2.13,0.576,0.029659588810246,575.8,755.3,64.9,107.5,0.31599059376837,0.17150606253989,0.14232755196611,0.9556,0.47222222222222,3.4838012958963,15.7,0,0,141.2,91.8068,156.9,0.34981,NA,232.7,0.47890512451122,0.37243918053777,1.6480169971671,1.4831102613129,0.37125079770262,0.05,41.6512,340.2,0.20839401562293,2.43,5.8888888888889,0.41,0.2328,0.80798640611725,NA,NA,0.090295246921753,485.9,322.6,0.054556726596404,0.051734273956496,92.6,0.14773452456924,299.5,0.47782386726228,0,0.5602639805488,0.69676025917927,0.2252712188896,0.51467772814295,50.1556,0.54631718388663,626.8,0.18894181518831,0.1608197290726,67,14.31,17.6,276344,624.8,77,4.1896103896104,624.8,1.7,0.57330637007078
"6",2006-12-31,23,2.06,0.4594,0.028991596638656,462.2,643.9,35.8,125.1,0.075767670038156,0.24752671151563,0.19428482683647,-48.3049,0.55724858511101,21.628797886394,14.3,0,0,115.2,73.7222,129.5,0.36005,NA,1526,4.3488173268737,2.5152464150321,13.246527777778,11.783783783784,3.0193905817174,0.19,100.5271,1651.1,0.15918620903867,1.01,63.386138613861,0.37,0.4391,0.26933900318929,NA,NA,0.099704923124709,350.9,1637.3,0.0084285103524095,0.0083580643207559,75.7,0.14978235061338,241,0.47685001978631,0,3.5424058848983,1.1383577834944,0.22793826671943,3.2396121883656,-26.8049,-0.36359322511569,505.4,0.21009472784269,0.16378191259195,57.6,64.02,13.8,661250,606.7,94.6,17.307610993658,606.7,1.6,3.4686974789916
"7",2005-12-31,22.7,3.1,0.4894,0.00026329647182728,379.7,501.8,9.5,55.8,0.031041388518024,0.16085327183626,0.11119968114787,-75.0559,0.39231712300777,48.190348525469,13.3,0,0,56.1,36.4908,69.4,0.34954,NA,1741.8,5.3759259259259,3.7733968804159,31.048128342246,25.097982708934,5.0210435283944,NA,115.3467,1797.6,0.15962534874452,NA,NA,-0.135,0.5514,0.37872270019854,NA,NA,0.13810282981267,324,1797.5,5.5632823365786e-05,5.5629728526925e-05,37.3,0.10752378206976,227,0.65436725281061,0,4.7340005267316,NA,0.16171807437302,5.1816085327184,-78.8559,-2.1609806014528,346.9,0.11262594444444,0.098235449038715,50.5,78.22,0.1,347700,461.6,58.6,30.674061433447,461.6,1.2,4.7330173775671
"8",2004-12-31,21.8,0.85,0.3686,0,NA,403.5,5.8,62.7,0.071673525377229,0.2016077170418,0.15539033457249,69.9417,0.46120455778622,NA,12.5,0,0,-15.0537,-15.0537,-2.5537,0,NA,812.1,3.1079219288175,2.6112540192926,NA,NA,3.7842497670084,NA,-78.2954,874.8,0.20470879801735,NA,NA,-0.335,0.0039,0.37096774193548,NA,0.913,0.1635687732342,261.3,874.8,0,0,-2.1,-0.0097856477166822,155.7,0.72553588070829,NA,2.7,NA,-0.070147903075489,4.076421248835,63.2417,-4.2010595971685,214.6,-0.057610945273632,-0.0064814814814815,41.2,37.86,0,121500,311,24.7,35.417004048583,311,1.05,2.7
"9",2003-12-31,20.9,0.87,0.3738,0,NA,389.9,5.4,68,0.15686274509804,0.32181732134406,NA,4.5045,0.46548956661316,92.234042553192,12.2,0,0,9.9462,6.2758,22.1462,0.36903,NA,365.5,1.4637565078094,1.7297681022243,36.747702640204,16.503960047322,1.7785888077859,NA,8.5712,433.5,0.21928699666581,NA,NA,-0.28,-0.2471,0.26419336706015,NA,0.8893,0.095665555270582,249.7,433.5,0,0,4.7,0.022871046228711,159.6,0.77664233576642,0,1.3644948064211,NA,0.0484,2.1094890510949,-2.2955,-0.36576872206714,205.5,0.025133175066079,0.014793830657853,32.7,20.13,0,31500,211.3,2.9,149.48275862069,211.3,1.05,1.3644948064211
"10",2002-12-31,20.8,0.8,0.3802,0,NA,396.2,7.6,40.7,0.11848617176128,0.15023994093762,NA,7.7,0.4612,22.748344370861,12.3,0,0,15.3,9.486,27.6,0.38,NA,302.8,NA,NA,19.790849673203,10.971014492754,1.1177556293835,NA,14.186,343.5,0.23372034326098,NA,NA,NA,-0.0546,0.30507131537242,NA,0.861,0.086067642604745,270.5,343.5,0,0,15.1,0.055740125507567,175.6,0.64820967146549,0,1.1037917737789,NA,0.056478405315615,1.2679955703212,-4.7,-0.4954670040059,270.9,0.035068391866913,0.048521850899743,33.7,16.82,0,54570,222,3.4,101.02941176471,222,0.9,1.1194085027726
