"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,339,0.72,0.1794,0.3602,8181,25854,340,4000,0.169,0.1609,0.1547,14.57,0.8,10.21,447,0.0366,698.34,2857,2014.76,3304,0.2948,0.3059,19667.4,2.24,0.81,6.88,5.95,0.79,0.05,0.06,2107.19,23667.4,0.0776,5.3,10.86,0.195,0.085,0.1108,0.01,0.777,0.4852,8786,19062.4,0.2416,0.1946,1867,0.0751,-821,-0.033,0.3532,2.33,2.04,0.1149,0.77,-92.43,-0.0459,24857,0.2293,0.2282,2303,57.56,4605,1945998,24416,1977,9.64,24416,0.75,1.85
"2",2010-12-31,359,0.84,0.2385,0.27012870398084,9754,24422,319,3638,0.17945935280189,0.1444625342493,0.14896404880845,-3.6361,0.78616352201258,9.2361419068736,420,0.0388,646.4856,2607,1975.6107,3027,0.24219,0.25822368421053,16634,1.7102611556652,0.65744436978776,6.3805140007672,5.4952097786587,0.66052495731247,0.05,0.06,2080.2468,20272,0.082016214888216,5.18,9.3397683397683,0.23,0.0804,0.16147370722641,0.006,0.7507,0.49320284988944,9726,16662,0.2166606649862,0.17807813733228,1804,0.071635627208831,-776,-0.030814438311559,0.3583623059867,1.7082222677876,1.8472283813747,0.10352221736886,0.66163681848866,-104.6361,-0.05296392923448,25183,0.20312673966687,0.1849497641993,2273,48.38,3610,2835877,25301,1821,9.1499176276771,25301,0.75,1.5169111044597
"3",2009-12-31,383.2,0.69,0.2413,0.19159262915433,9827,23607,280,2642,0.13945190439997,0.10618544270729,0.11191595713136,-1.0027,0.77704102776627,8.5829545454545,402,0.0346,574.9344,3042,2052.5591,3444,0.32526,0.33924914675768,16303.6,1.7136430523439,0.65305828159423,5.3595003287311,4.7339140534262,0.65526305212813,0.1,0.085,2175.5618,18945.6,0.084762994027195,4.92,9.4186991869919,0.2,0.121,0.1698296836983,0.006,0.7673,0.50501969754734,9514,16616.6,0.1401610437755,0.12293091799679,1936,0.077810377396407,-297,-0.011936819259676,0.29697022727273,1.6909127912893,0.85829545454545,0.12226196696274,0.66784293235802,-123.0027,-0.059926505412849,24881,0.21574091654404,0.19700824259693,2092,46.34,2329,2851100,24965,NA,NA,24965,0.75,1.5585389930898
"4",2008-12-31,400.1,0.73,0.2352,0.20261495261495,9087,23296,304,2259,0.10164229471316,0.097479934409252,0.096969436813187,0.4373,0.51020408163265,11.8972520908,390,0.0254,505.8664,2596,1739.6834,2986,0.32986,NA,19966,2.1851811316625,0.82164609053498,7.691063174114,6.6865371734762,0.86156899974109,0.13,0.09,1825.2461,22225,0.086881868131868,4.95,10.408080808081,0.155,0.1589,0.23713235294118,0.007,0.7854,0.50060096153846,9137,19916,0.11593693512754,0.10389201349831,1674,0.072236126693709,9,0.00038836627254682,0.30219020310633,2.1917024320458,0.91517323775388,0.11202209372573,0.85941140933805,-85.5627,-0.049182913172475,23174,0.19039985115465,0.18421921426213,2065,51.52,2309,3491228,24300,1857,10.724824986537,24300,0.75,1.9502457002457
"5",2007-12-31,426.2,0.54,0.1592,0.15313977042539,12542,23281,313,2655,0.11754497035919,0.12464203558518,0.11404149306301,-14.5135,0.75376884422111,13.78500678426,372,0.023492379091594,477.344,2328,1542.2302,2700,0.33753,NA,19932.1,1.6398272315919,0.86330994455994,8.5618986254295,7.3822592592593,0.93573541148303,0.14,0.08,1615.7436,22587.1,0.088398264679352,4.37,11.679633867277,0.1,0.0982,0.23494967978042,0.007,0.7826,0.49942012800137,12155,20319.1,0.11161911698845,0.10041129671361,1474,0.069198629172339,173,0.0081216844279611,0.32384260515604,1.6200845160261,0.98464334173289,0.10929064363175,0.95390357260223,-73.5135,-0.047666977328965,21301,0.12688030933772,0.11752511561154,1936,51.04,2268,1669243,23088,1666,12.196338535414,23088,0.75,1.5251249155976
"6",2006-12-31,445.9,0.47,0.1175,0.26317536174167,11101,25491,295,2460,0.08085854684701,0.12123601596767,0.096504648699541,-57.4569,0.8,22.907792207792,373,0.017189863370939,454.818,1840,1219.276,2213,0.33735,NA,27963.5,2.2182690782167,1.3052417849141,15.197554347826,12.636014460009,1.3781233058992,0.155,0.055,1354.7329,30423.5,0.083598132674277,3.59,17.245125348189,0.08,-0.0722,0.12814371257485,0.01,0.7986,0.45266956965203,12606,26458.5,0.14985732373339,0.13032688546683,1155,0.056921787984821,1029,0.050712138386477,0.39378181818182,2.3834339248716,1.4779220779221,0.090680597309152,1.3039524912523,-135.4569,-0.11109613638904,20291,0.09672187847057,0.1040446806594,1886,61.91,3965,3502575,21424,1423,18.593464511595,21424,0.95,2.0193482012478
"7",2005-12-31,446.4,0.83,0.1401,0.2938344873063,10709,24381,338,1202,0.042618370574178,0.054900886087513,0.0493006849596,-37.9165,0.8,25.209978768577,444,0.01804562948989,428.544,1687,1103.5848,2131,0.34583,NA,27001.8,1.9338107856478,1.1860581569006,16.005809128631,12.670952604411,1.2332967936421,0.17,0.065,1247.5013,28203.8,0.1097165825848,3.04,17.368421052632,-0.045,0.0977,0.15747863247863,0.009,0.7315,0.47389360567655,13963,23747.8,0.18763843387598,0.15799289457449,942,0.04302548643464,952,0.043482232575135,0.45492993630573,2.2175553272948,1.4829399275634,0.077053073901526,1.084671599525,-143.9165,-0.13040820071969,21894,0.079036366826613,0.087963395275002,1977,52.8,4456,789600,22766,1202,19.75690515807,22766,0.95,1.8597955819321
"8",2004-12-31,453.1,0.74,0.209,0.30215231788079,NA,24153,363,556,0.024468707779377,0.025995885543295,0.023019914710388,81.3001,0.70813397129187,27.198033282905,434,0.02192326856004,398.728,1388.05,1014.9283,1822.05,0.26881,NA,22166.9,1.424974286449,1.0364176173555,15.969813767516,12.165912022173,1.0949320819955,0.145,0.06,1004.6282,22722.9,0.11336065913137,2.35,17.08085106383,-0.085,0.0317,0.060237815235855,0.008,0.7392,0.47679377303026,15556,17977.9,0.26393516484128,0.20882017700205,661,0.032650037046184,1440,0.071128673746604,0.60321936459909,1.7039048431428,1.8757264333038,0.068562608051371,0.88801679427019,10.3001,0.010148573352831,20245,0.065243525295706,0.06031572223743,1924,40.14,4745,980000,21388,661,27.198033282905,21388,0.75,1.4469498217015
"9",2003-12-31,418.1,0.84,0.2672,0.39461124871624,NA,23668,428,661,0.027071191910587,0.033652377558293,NA,176.9269,0.62874251497006,33.430093457944,393,0.021024967148489,334.48,1709.4896,1200.2326,2102.4896,0.2979,NA,23756.1,1.4178513876455,1.2094542307301,13.896603992209,11.299033298429,1.3118394168645,0.125,0.03,988.3057,24417.1,0.11454284265675,1.73,21.994219653179,-0.12,0.0549,0.19532030246825,0.01,0.7401,0.48500084502282,16755,17885.1,0.36522021123729,0.26751743655061,535,0.029543321000607,2090,0.11541222596499,0.62519626168224,1.9529482419742,2.6744074766355,0.0944,0.98763598210834,211.9269,0.17657155279789,18109,0.071634297114891,0.053387885440575,1793,38.05,6532,738000,19642,535,33.430093457944,19642,0.7,1.4750860871141
"10",2002-12-31,408.2,0,0,0.45606822923058,NA,23946,458,544,0.027408026924356,0.032458233890215,NA,347,0,14.419512195122,364,0.026303241188221,326.56,1754,1237.868,2118,0.29426,NA,19304.2,NA,NA,11.005815279361,9.1143531633617,1.1518019093079,0.13,0.04,1143.868,19848.2,0.10005846487931,1.51,19.834437086093,NA,-0.0374,0.16575154426905,NA,0.6827,0.46646621565188,16617,12415.2,0.5987015915974,0.37449239729547,861,0.051372315035799,2692,0.16062052505967,0.37927990708478,1.4004737732657,1.1091932457786,0.10465393794749,0.74076372315036,94,0.075937016739653,16760,0.074494069928387,0.097123519458545,1648,29.95,7433,1991860,17670,861,14.419512195122,17670,0.8,1.1617139074442
