"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,15.2,0.51,0.1486,0,656.3,1472.6,4.4,37.9,0.054,0.0257,NA,0.8,51.22,0,0.052,36.48,NA,NA,NA,0.04,0.042,663.8,1.07,0.15,NA,701.7,0,NA,NA,-0.125,NA,0.0989,NA,0.8189,0,618.4,701.7,0,0,13.7,0,0.6844,1.07,3.41,4.4,NA,NA,0.0209,620.3,46.17,0,28838,NA,53.3,13.17,NA,0.7,1.07
"2",2010-12-31,15.1,0.58,0.1745,0,653.5,1439.5,2.4,40.3,0.064243583612307,0.027995831886072,NA,0.8,11.142095914742,0,0.0484,30.3613,NA,NA,NA,0.28645,0.2873417721519,587,0.95727332028702,0.15,NA,627.3,0,NA,NA,0.015,NA,0.17056074766355,NA,0.6518,0,613.2,627.3,0,0,56.3,0,0.53927744227354,0.95990818668707,0.74280639431616,2.4,NA,NA,0.086151491966335,576.8,40.48,0,42559,NA,21.9,28.643835616438,NA,0.7,0.95990818668707
"3",2009-12-31,15.1,0.48,0.2223,0,620.4,1427.8,0.3,74.5,0.090776166686974,0.052178176215156,NA,0.8,15.142066420664,0,0.0408,33.4846,NA,NA,NA,0.27209,0.27150537634409,746.2,1.3669170177688,0.15,NA,820.7,0,3.58,13.329608938547,0.165,NA,0.18501510574018,NA,0.6878,0,545.9,820.7,0,0,54.2,0,0.6177963099631,1.3228562217924,1.0094710947109,0.3,NA,NA,0.087362991618311,532.6,47.72,0,42678,NA,53.8,15.254646840149,NA,0.75,1.3228562217924
"4",2008-12-31,16.2,0.54,0.2544,0,603.4,1437.8,5.7,143.4,0.25782092772384,0.099735707330644,NA,0.47169811320755,7.9118065433855,0,0.0433,24.0835,NA,NA,NA,0.28388,NA,412.8,0.89739130434783,0.15,NA,556.2,0,NA,NA,0.28,NA,0.19092084470622,NA,0.7175,0,460,556.2,0,0,70.3,0,0.34258122332859,0.9217765992708,0.52745376955903,NA,NA,NA,0.11650646337421,552.9,36.23,0,75509,NA,55.7,9.9856373429084,NA,0.75,0.9217765992708
"5",2007-12-31,16.2,0.48,0.2496,0,570,1447,8,46.3,0.078024941017863,0.031997235659986,NA,0.48076923076923,6.7894736842105,0,0.043680485338726,25.92,0,0,0,0.29984,NA,547.1,1.0446820698873,0.15,NA,593.4,0,0.83,45.855421686747,0.345,NA,0.26252556237219,NA,0.7902,0,523.7,593.4,0,0,87.4,0,0.29656750572082,1.0410526315789,0.45263157894737,NA,NA,0,0.15333333333333,600.6,38.06,0,75285,NA,75.2,7.8909574468085,NA,0.75,1.0410526315789
"6",2006-12-31,16.1,1.4,0.2586,0,496.3,1355.7,1,26.3,0.043550256665011,0.019399572176735,NA,0.52590873936582,5.3967828418231,0,0.042656068885577,25.76,0,0,0,0.31951,NA,577.6,1.2289361702128,0.15,NA,603.9,0,5.64,6.3351063829787,NA,NA,0.25289414011218,NA,0.778,0,470,603.9,0,0,111.9,0,0.2302055406613,1.2168043522063,0.3597855227882,NA,NA,0,0.22546846665323,620.9,35.73,0,83934,NA,93.3,6.4726688102894,NA,0.85,1.2168043522063
"7",2005-12-31,15.8,1.15,0.2589,0.00077279752704791,387.9,1257.7,0.8,163,0.1959605674441,0.12960165381252,NA,0.46349942062572,8.734243697479,0,0.019001803968731,15.8,0,0,0,0.31151,NA,668.8,2.9698046181172,NA,NA,831.8,0,NA,NA,NA,NA,0.21804194330277,NA,0.7792,0,225.2,831.5,0.00036079374624173,0.00036066362106275,95.2,0,0.16596638655462,2.143593709719,NA,NA,NA,0,0.24542407837071,632.8,50.71,0.3,54314,NA,116,7.1681034482759,NA,0.75,2.1427099433282
"8",2004-12-31,15.5,0,0,0.00098167539267016,NA,1206.4,0.4,155.7,0.23544533494632,0.12906167108753,0,NA,14.688888888889,0,0.017835026009413,11.16,NA,NA,NA,0.31451,NA,505.6,3.3729152768512,NA,NA,661.3,0,NA,NA,NA,0,0.25715905869011,NA,0.7182,0,149.9,661,0.00045385779122542,0.00045365189777711,45,0,0.248,2.1650835244022,NA,0.4,NA,NA,0.14739600393056,618.9,40.37,0.3,81161,NA,81.4,8.1203931203931,0,0.7,2.1639397905759
"9",2003-12-31,15.3,0,0,0.070735090152566,NA,1076.3,1,26.3,0.050890092879257,NA,0,NA,17.417543859649,0,0.015404364569962,7.344,NA,NA,NA,0.27972,NA,490.5,1.8714231209462,NA,NA,516.8,0,2.6,11.984615384615,NA,0,0.31422722620266,NA,0.6093,0,262.1,496.4,0.041095890410959,0.039473684210526,28.5,0,0.25768421052632,1.8522388059702,NA,1,NA,NA,0.10634328358209,567,31.16,20.4,68505,NA,37.6,13.202127659575,0,0.6,1.7919556171983
"10",2002-12-31,15.3,0,0,0.075386355069732,NA,978.6,0.7,34.8,0.12455261274159,NA,0,0,24.704761904762,0,0.023592906707787,6.12,0,0,0,0.10902,NA,244.6,NA,NA,-0.7,279.4,0.00061312078479461,1.35,12.703703703704,NA,0,0.1780472239949,NA,0.5061,0,230.5,259.4,0.07710100231303,0.071581961345741,10.5,0,0.58285714285714,1.057480635956,NA,0.7,0,0,0.042804728903384,517.6,17.15,20,15191,0,24,10.808333333333,0,NA,1.0611713665944
"11",2001-12-31,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0.12408759124088,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,13.37,0,6000,0,0,NA,0,NA,NA
