"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,24.3,1.44,0.6647,0.5751,203,561.3,7.5,0.1,2e-04,5e-04,2e-04,0.5,0.54,19.86,13.2,0,0,38,19.28,51,0.49,0.488,401.8,0.84,1.78,10.63,7.88,1.84,NA,24.48,401.9,0.1981,NA,NA,NA,0.005,0.4545,NA,0.2786,0.7125,477.7,127.1,2.1621,0.6838,6.4,0.0293,14.5,0.0665,0,0.63,NA,0.1732,0.58,-5.2,-0.2698,218.2,0.0404,0.0315,17.5,5.46,274.8,31778,225.7,7.2,17.65,225.7,1.35,0.84
"2",2010-12-31,24.2,1.86,1.4073,0.60790576961469,196.4,574.5,8,0.8,0.002212389380531,0.0038666022232963,0.0013925152306353,0.8072,0.24870319050664,30.052631578947,13.3,0,0,36.8,15.4593,50.1,0.57991,0.58695652173913,360.8,0.72145570885823,1.6634393729829,9.804347826087,7.2015968063872,1.7438376027066,NA,19.9522,361.6,0.20174064403829,NA,NA,0.03,0.0146,0.34769230769231,NA,0.3872,0.7035683202785,500.1,57.1,5.3327495621716,0.8420907079646,1.9,0.0091831802803287,16.7,0.08071532141131,0,0.29073319755601,NA,0.17786370227163,0.27597873368777,-4.4928,-0.29062398028366,206.9,0.030912441511698,0.0096741344195519,16.6,2.57,304.5,10474,216.9,2.9,19.689655172414,216.9,1.4,0.72190057895788
"3",2009-12-31,23.7,2.2,1.4886,0.61431644826912,197.2,579,3.7,8.9,0.022808815991799,0.044678714859438,0.015371329879102,0.338,0.23512024721215,NA,13.8,0,0,38.4,38.4,52.2,0,NA,381.3,0.75895700636943,1.87278978389,9.9296875,7.3045977011494,1.914156626506,NA,48.162,390.2,0.20932642487047,NA,NA,0.18,-0.1046,0.48084054388134,NA,0.382,0.68704663212435,502.4,76.1,4.1274638633377,0.80497180932855,-8.3,-0.041666666666667,15.3,0.076807228915663,NA,0.38590263691684,NA,0.19277108433735,0.3820281124498,-9.762,-0.25422000502008,199.2,0.076433121019108,-0.042089249492901,14,3.17,314.1,16625,203.6,-0.4,NA,203.6,1.4,0.76315274789752
"4",2008-12-31,23.7,2.45,1.4697,0.61570482497635,203.1,607.7,26.5,1.9,0.0043211280418467,0.0086089714544631,0.0031265427019911,-1.5254,0.15241205688236,2.9010152284264,15.4,0,0,35.2,35.2,50.6,0,NA,437.8,0.8313710596278,2.1662543295398,12.4375,8.6521739130435,1.9836882646126,NA,25.6254,439.7,0.22000987329274,NA,NA,0.525,-0.0477,0.9198717948718,NA,0.3611,0.69721902254402,526.6,114.3,2.8468941382327,0.74005003411417,39.4,0.17852288173992,18.1,0.08201178069778,0,0.56277695716396,NA,0.15949252378795,0.51789759855007,9.5746,0.27200513860856,220.7,0.066843904291682,0.19399310684392,20,5.99,325.4,31407,202.1,NA,NA,202.1,1.4,0.83197729422895
"5",2007-12-31,23.7,1.49,0.5147,0.60306382978723,233.2,679.8,15.9,0.4,0.0010819583446037,0.0017263703064307,0.00058840835539865,0.288,0.38857586943851,1.925,15.2,0,0,39.4,21.5691,54.6,0.45256,NA,369.3,0.62902401635156,1.6105538595726,9.3730964467005,6.7637362637363,1.5938713854122,NA,20.5812,369.7,0.19285083848191,NA,NA,0.225,0.0251,0.86046511627907,NA,0.3663,0.72403648131803,587.1,15.4,23.006493506493,0.95834460373276,8,0.034527406128615,27.8,0.11998273629694,0,0.066037735849057,NA,0.17004747518343,0.066465256797583,0.988,0.045804271766502,231.7,0.036738436382218,0.034305317324185,22.3,0.9,354.3,17149,229.3,9.9,1.5555555555556,229.3,1.25,0.62927659574468
"6",2006-12-31,23.8,1.04,0.3123,0.60297310840154,237.7,686.3,21.1,0.7,0.0013381762569298,0.0030728709394205,0.0010199621156928,-0.3614,0.69164265129683,8.5767195767196,15.2,0,0,39.2,23.6447,54.4,0.39682,NA,522.4,0.87357859531773,2.2382176520994,13.326530612245,9.6029411764706,2.2932396839333,0.1013,18.106,523.1,0.18752732041381,0.39,14.769230769231,0.325,0.1418,0.36585365853659,NA,0.5355,0.74078391374035,598,162.1,2.2270203578038,0.69011661250239,18.9,0.082967515364355,14.7,0.064530289727831,0,0.68195204038704,0.84666530865939,0.17208077260755,0.71158911325724,5.5386,0.23424448964384,227.8,0.039539558528428,0.079511989903239,24,5.76,361,51878,233.4,9.7,16.711340206186,233.4,1.35,0.87372640721563
"7",2005-12-31,25.3,0.86,0.2577,0.56798473812001,249.1,645.9,75.6,4,0.0064840330685687,0.018885741265345,0.0061929091190587,-1.0747,0.74505238649593,22.261538461538,13.2,0,0,44.9,27.1465,58.1,0.3954,NA,612.9,1.070380719525,2.7595677622693,13.650334075724,10.549053356282,2.8937677053824,0.115,-34.1787,616.9,0.18253599628425,0.26,45.961538461539,0.19,0.1031,0.29206688011384,NA,0.5417,0.73045363059297,572.6,289.4,1.1316516931583,0.53088020748906,13,0.06137865911237,22.1,0.10434372049103,0,1.1617824167001,1.9357859531773,0.21199244570349,1.3663833805477,61.3253,2.2590451556236,211.8,0.047409256025148,0.052187876354878,19.6,11.95,327.5,43812,222.1,17.9,16.167597765363,222.1,1.2,1.0698924731183
"8",2004-12-31,26,1.48,0.4071,0.52927756653992,NA,585.8,17.9,11,0.015111965929386,0.053974484789009,0.01877773984295,0.6658,0.7270940800786,36.844262295082,12.4,0,0,42.5154,26.8081,54.9154,0.36945,NA,716.9,1.3920388349515,3.51766437684,16.862121287317,13.054623465435,3.6409344845099,0.185,20.6423,727.9,0.17582792762035,NA,NA,NA,-3e-04,0.21320890165111,NA,0.597,0.71782178217822,515,449.5,0.61935483870968,0.38247011952191,12.2,0.061960385982732,19,0.096495683087862,0,1.8154281098546,1.9915817456801,0.21592386998476,2.2828847130523,6.1658,0.22999847452556,196.9,0.052054547136893,0.049273021001615,17.5,17.49,278.4,53426,203.8,14.8,30.371621621622,203.8,1.05,1.3838403041825
"9",2003-12-31,23.5,1.21,0.4194,0.6576325229175,NA,560,9,5.6,0.0057995028997515,0.029090909090909,NA,1.776,0.57701478302337,117.7037037037,12.3,0,0,45.2525,26.6836,57.5525,0.41034,NA,960,1.9347037484885,4.987012987013,21.214278800704,16.680410630009,5.3841839596186,0.2433,28.2076,965.6,0.17392857142857,0.52,48.096153846154,NA,0.0845,0.18632117045655,NA,0.5732,0.70910714285714,496.2,635.6,0.51919446192574,0.34175642087821,5.4,0.030286034772855,22.3,0.12507010656197,0,3.6996507566938,4.8378012208674,0.2538,3.5647784632642,-1.524,-0.057113873667527,178.3,0.053775922483676,0.031431897555297,16.1,25.01,330,17131,192.5,6.9,92.115942028986,192.5,1,1.9242726185731
"10",2002-12-31,23.5,1.29,0.5803,0.72398843930636,NA,672.2,15.3,26.3,0.025191570881226,0.16007303712721,NA,-22.5,0.4898,1977,11.4,0,0,27,27,38.4,0,NA,1017.7,NA,NA,37.692592592593,26.502604166667,6.1941570298235,0.195,23.1,1044,0.14757512645046,0.15,169.2,NA,0.1556,0.27623642943305,NA,0.4578,0.56605177030646,596.5,593.1,0.76024279210926,0.43189655172414,0.3,0.0018259281801582,123.2,0.74984783931832,0,3.4502617801047,101.38461538462,0.16433353621424,3.6098600121729,3.9,0.14444444444444,164.3,0.045264040234702,0.0017452006980803,14.4,25.38,450.9,18100,171.9,0.6,988.5,171.9,0.9,1.7061190276614
