"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,81,1.59,0.5212,NA,-121.2,1571.4,35.8,13,0.0057,0.017,0.0083,25.7,0.76,13.07,103.2,0.0478,48.6,226,139.44,329,0.383,0.3855,2273.9,2,2.39,10.06,6.91,2.97,0.11,0.08,181.13,2286.9,0.1791,1.57,8.04,0.215,0.02,0.263,0.821,0.4824,0.45,1135.6,1017.1,1.2485,0.5552,77.8,0.1017,106.1,0.1386,0.47,NA,1.19,0.2953,1.33,-41.7,-0.299,765.3,0.1228,NA,133.5,12.62,1269.8,533513,950.7,103.4,9.84,950.7,1.5,1.99
"2",2010-12-31,80.4,1.98,0.7519,NA,-165.4,1485.9,11.7,22,0.010297697060476,0.028675703858186,0.014805841577495,0.2618,0.49873653411358,12.050847457627,116,0.042,38.8206,240.4,156.9403,356.4,0.34717,0.33765112262522,2114.4,2.063433199961,2.7367331089827,8.7953410981697,5.9326599326599,2.7559958289885,0.115,0.04,260.9785,2136.4,0.18318863988155,1.06,10.688679245283,0.34,0.1608,0.32892730045755,0.821,0.5199,0.47607510599637,1024.7,924.3,1.311370767067,0.56735630031829,76.7,0.099973931178311,37.2,0.048488008342023,0.50613559322034,NA,1.0478997789241,0.3133472367049,1.2047705943691,-104.0382,-0.66291541141224,767.2,0.15315734556455,NA,189.6,11.33,1212.1,541538,772.6,86.6,10.673210161663,772.6,1.5,2.0410814942199
"3",2009-12-31,79.8,1.82,0.7308,NA,-202.2,1597.7,7.7,23.2,0.011401611952035,0.035338918507235,0.014520873756024,4.5388,0.47892720306513,12.685009487666,138.3,0,0,133.6,84.7665,271.9,0.36552,0.33543505674653,2011.6,1.7631694276448,2.7746206896552,15.056886227545,7.3983082015447,3.0641279512567,0.15,0.045,210.8277,2034.8,0.18539150028165,0.92,8.8913043478261,NA,-0.1176,0.38137651821862,0.83,0.4587,0.44564060837454,1140.9,668.5,2.0438294689604,0.67146648319245,52.7,0.08027418126428,43.5,0.066260472201066,0,NA,0.84566729917774,0.2035034272658,1.018278750952,-126.0612,-1.4871572615812,656.5,0.074297947234639,NA,194,8.18,1366.3,352790,725,62.2,10.747588424437,725,1.4,1.7479597972683
"4",2008-12-31,81,1.96,0.6968,NA,-83.7,1816.7,25.2,16.5,0.0096694796061885,0.021868787276342,0.0090824021577586,-0.9395,0.32146957520092,5.3360258481422,147.5,0,0,172.3,103.7453,319.8,0.39788,NA,1689.9,1.3244768398777,2.5256314452249,9.8078932095183,5.2842401500938,2.2397614314115,0.11,0.045,226.9847,1706.4,0.18550118346452,0.69,5.8405797101449,NA,0.1327,0.72312703583062,0.85,0.3464,0.52655914570375,1275.9,330.3,4.1662125340599,0.80643459915612,61.9,0.082041086812459,8.3,0.011000662690524,0,NA,0.48509325892201,0.22836315440689,0.43777335984095,-123.2395,-1.1879042723234,754.5,0.081311447605612,NA,222.4,4.03,1376.1,530255,669.1,54.8,6.0273722627737,669.1,1.4,1.3203342618384
"5",2007-12-31,87.3,1.38,0.4008,0.84172301527673,252.8,2224.7,23.2,21,0.01315295001879,0.029243837905584,0.0094394749853913,-2.107,0.47904191616767,12.362745098039,163.9,0.27692307692308,69.84,152.5,79.3991,316.4,0.47935,NA,1575.6,0.99961933764751,2.0824742268041,10.331803278689,4.9797724399494,2.1941233811447,0.15,0.045,222.2061,1596.6,0.12788241111161,0.33,9.3939393939394,NA,-0.0117,0.7138437741686,0.85,0.5336,0.63455746842271,1576.2,252.2,5.3306899286281,0.84203933358387,20.4,0.02840829967971,39.3,0.054727753794736,3.4235294117647,0.99762658227848,0.82418300653595,0.21236596574293,0.35120456760897,-142.807,-1.7985968802691,718.1,0.050373762847354,0.080696202531646,197.4,3.1,1344.4,461672,756.6,52.1,4.8406909788868,756.6,1.2,0.99962434259955
"6",2006-12-31,85.9,1.36,0.3508,0.84133785633518,266.6,2272.6,16.9,67.4,0.031306609689256,0.094252552090617,0.029657660829006,-0.4104,0.52451539338654,15.17864476386,155,0.081344696969697,60.13,176.6,154.4703,331.6,0.12531,NA,2085.5,1.2930125860252,2.8869047619048,11.809173272933,6.2892038600724,2.9163753321214,0.165,0.005,292.9806,2152.9,0.12100677637948,0.49,15.877551020408,NA,0.0282,0.35195103289977,0.85,0.6944,0.62347091437121,1612.9,739.2,1.9124729437229,0.65664917088578,48.7,0.068102363305831,40.2,0.056215913858202,1.2347022587269,2.7726931732933,0.91991786447639,0.24695846734722,1.0337015801986,-138.5104,-0.89667992758764,715.1,0.095771749023498,0.18267066766692,185.8,7.78,1413.7,563803,722.4,19.7,37.522842639594,722.4,1.15,1.2812592989347
"7",2005-12-31,85.5,1.97,0.3795,0.86954988835351,222,2285.6,16.7,9.7,0.0040509500939653,0.014015315705823,0.0042439621981099,-0.146,0.48484848484848,25.693820224719,138.9,0.046736634962283,42.75,168.4,84.2,307.3,0.50991,NA,2384.8,1.4093729685007,3.426929156488,14.161520190024,7.7604946306541,3.4457448345615,0.24,NA,206.546,2394.5,0.13318165908295,0.48,21.875,NA,-0.0263,0.21012101210121,0.85,0.5242,0.74855617780889,1692.1,914.7,1.6177981851973,0.61799958237628,35.6,0.051437653518278,26.6,0.038433752347927,1.2008426966292,4.1202702702703,1.0705758426966,0.24331743967635,1.32162982228,-122.346,-1.4530409531938,692.1,0.049760652443709,0.16036036036036,182.1,10.5,1479.8,271942,695.9,40.1,22.810473815461,695.9,1.15,1.407039605124
"8",2004-12-31,85.2,1.4,0.461,0.87858329314687,NA,2465.7,44.9,10.5,0.004327041951702,0.014953004841925,0.0042584255992213,-0.689,0.60737527114967,56.207142857143,157.1,0.032608695652174,25.56,157.2435,87.4541,314.3435,0.44383,NA,2416.1,1.3019183101627,3.440757618912,15.365337107013,7.6861767224483,3.4111252294226,NA,0.005,200.3431,2426.6,0.13781076367766,0.56,16.428571428571,NA,-0.034,0.16281755196305,0.861,0.5217,0.68382203836639,1855.8,786.9,2.0837463464227,0.67571911316245,14,0.019765636029931,80,0.11294649159961,1.8257142857143,3.4741721854305,NA,0.22200132712128,1.1109699279966,-112.889,-1.2908362492746,708.3,0.047124765406725,0.061782877316858,192.1,9.2,1639.7,139426,702.2,14,56.207142857143,702.2,1.05,1.3002196860097
"9",2003-12-31,85.8,1.18,0.4694,0.89003073376873,NA,2564.6,69.5,28.7,0.010881516587678,0.038175046554935,NA,2.6601,0.50276949296975,34.390350877193,171.4,0.0032822757111597,2.574,345.8593,204.7971,517.2593,0.40786,NA,2608.8,1.2702926425476,3.4700718276137,7.5429508423858,5.0435048693369,3.531609584405,NA,0.025,304.0371,2637.5,0.13873508539343,0.27,33.851851851852,NA,0.0013,0.43201856148492,0.867,0.4771,0.70404741480153,2053.7,784.1,2.3637291161842,0.70271090047393,22.8,0.030865033166373,150,0.20305942872614,0.11289473684211,3.4240174672489,NA,0.4682,1.0614593204278,-99.2399,-0.48457667347191,738.7,0.099721064219506,0.099563318777293,187.5,9.14,1853.4,118622,751.8,22.8,34.390350877193,751.8,1,1.2665674222051
"10",2002-12-31,85.6,1.37,0.4822,0.89872385338707,NA,2606.8,62.9,5.3,0.0017076392692593,0.0072030443055178,NA,-86.3,0.6251,323.78947368421,185.9,0,0,184.6,136.1517,370.5,0.26245,NA,3098.4,NA,NA,16.784398699892,8.3627530364372,4.210926882305,NA,0.035,259.1517,3103.7,0.12939235844714,0.21,69.380952380952,NA,0.0206,0.30308529945553,NA,0.5067,0.70147307043118,2079.1,1230.4,1.5225130039012,0.60356993266102,3.8,0.0051644468605599,209,0.2840445773308,0,5.8285172903837,NA,0.25088339222615,1.6721935308508,-123,-0.90340387154831,735.8,0.065485897744216,0.018000947418285,169.2,14.57,1873.3,321737,752.1,3.4,361.88235294118,752.1,1,1.4902602087442
