"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,130,0.36,0.1267,0.5771,3889,13534,884,29,0.0026,0.0066,0.0021,-36.58,0.71,15.5,394,0.0438,262.6,813,566.9,1207,0.3027,0.3027,11276,1.23,2.76,13.87,9.34,2.56,0.04,-0.01,113.48,11305,0.7424,3.33,13.71,0.02,-0.02,0.075,NA,0.5008,0,9166,5999,0.8845,0.4693,387,0.0878,504,0.1143,0.6631,1.54,3.88,0.1844,1.36,453.42,0.7998,4409,0.0618,0.0995,0,45.64,5306,758092,4089,396,15.15,4089,0.65,1.23
"2",2010-12-31,127,0.48,0.1631,0.57008477528742,3702,12968,876,55,0.0051605881193879,0.011953923060204,0.0042412091301666,-8.3052,0.8,15.289095744681,377,0.0445,255.8172,768,539.328,1145,0.29775,0.29588014981273,10602.7,1.2392122487143,2.3462491701704,13.805598958333,9.26,2.3044338187351,0.03,-0.015,48.6332,10657.7,0.74506477483035,3.11,14.488745980707,0.02,0.0517,0.13529705441837,NA,0.4828,0,8556,5748.7,0.85393219336546,0.46060594687409,376,0.081721364920669,466,0.10128232992828,0.6803647606383,1.5528633171259,5.0963652482269,0.16692023473158,1.2494457726581,490.6948,0.90982639311492,4601,0.063035063113605,0.10156672069152,0,45.06,4909,812119,4519,383,15.009660574413,4519,0.7,1.2376843572175
"3",2009-12-31,123,0.65,0.2107,0.58710928034892,3408,12094,914,162,0.016116195781934,0.038234599952797,0.013395071936497,34.4248,0.8,14.582633053221,347,0.0469,244.1614,699,475.3759,1046,0.31992,0.31609195402299,9890,1.222194760257,2.1736263736264,14.14878397711,9.4550669216061,2.3341987255133,0.035,-0.015,-126.0489,10052,0.74491483380188,3.01,13.488372093023,0.025,-0.2358,0.10157480314961,NA,0.4746,0,8092,5206,0.93084902036112,0.48209311579785,357,0.084257729525608,466,0.10998347887656,0.68392549019608,1.5275821596244,4.1664665866346,0.16497521831484,1.2286995515695,601.4248,1.2651562765072,4237,0.058746406327237,0.10475352112676,0,40.6,4846,634733,4550,362,14.381215469613,4550,0.7,1.2178337775624
"4",2008-12-31,118,0.59,0.2008,0.60091743119266,3045,11502,904,272,0.029376505275891,0.051137431848092,0.023648061206747,-104.1314,0.51792828685259,13.241076487252,344,0.0506,236.5095,710,458.7097,1054,0.35393,NA,8987.1,1.2214052731721,2.022299729973,12.657887323944,8.526660341556,1.6896221094191,0.04,-0.025,2.8411,9259.1,0.72204833941923,2.97,12.686868686869,0.035,0.1413,0.1953596287703,NA,0.439,0,7358,4674.1,0.98093750668578,0.4951885172425,353,0.066365858244031,633,0.1190073322053,0.66999847025496,1.5350082101806,3.310269121813,0.13348373754465,0.87875540515134,455.8686,0.99380628820442,5319,0.062341628159826,0.11592775041051,0,37.68,4585,895316,4444,361.4,12.933314886552,4444,0.65,1.2135124508519
"5",2007-12-31,117,0.62,0.169,0.54888432178508,2960,10165,725,134,0.016951296647691,0.028998052369617,0.013182488932612,-37.6126,0.66272189349112,12.74006116208,349,0.051675468074892,215.28,633,448.3729,982,0.29167,NA,7771,1.1837014470678,1.4975910580073,12.276461295419,7.9134419551935,1.6816706340619,0.045,0.03,109.9855,7905,0.74156419085096,2.98,11.946308724832,0.04,0.0127,0.2271271410667,NA,0.4611,0,6565,4166,0.89750360057609,0.4729917773561,327,0.070763903916901,306,0.066219433023155,0.65834862385321,1.4074324324324,2.8311247026843,0.13698333694006,0.90153646396884,338.3874,0.75470076266843,4621,0.068297469916222,0.11047297297297,NA,35.6,3739,9479603,5189,348,11.971264367816,5189,0.7,1.180026869682
"6",2006-12-31,117,0.26,0.1122,0.54857404300747,2846,9817,527,201,0.023500800897941,0.04404996712689,0.020474686767852,-3.5503,0.8,16.195751633987,364,0.041550475191186,205.92,603,443.3015,967,0.26484,NA,8351.9,1.3380166613265,1.8089452025124,13.850580431177,8.6369183040331,1.8303528380451,0.035,0.045,283.8518,8552.9,0.71376184170317,2.94,14.146258503401,0.07,-0.0611,0.16016322366743,NA,0.4342,0,6242,4955.9,0.72580156984604,0.42055910860644,306,0.067061143984221,300,0.065746219592373,0.67294117647059,1.7413562895292,4.6273576097106,0.13214990138067,1.0861056322595,159.4497,0.35968683015002,4563,0.071019141300865,0.10751932536894,NA,41.59,3597,722300,4617,299,16.57491638796,4617,0.85,1.3274716746857
"7",2005-12-31,115,0.41,0.0922,0.57099358974359,2791,9519,388,62,0.0074441389412513,0.012978857023236,0.0065132892110516,-12.0132,0.8,14.754489164087,536,0.040539689867176,193.2,436,436,972,0,NA,8266.7,1.3138429752066,1.6912234042553,18.960321100917,8.5048353909465,1.730521247645,0.035,0.055,596.0132,8328.7,0.70742725076164,2.73,14.879120879121,0.07,0.2082,0.069439193446755,NA,0.3969,0,6292,4765.7,0.74763413559393,0.42779785560772,323,0.067615658362989,517,0.1082269206615,0.59814241486068,1.70752418488,4.2155683325962,0.091270671969856,0.99763449863931,-160.0132,-0.36700272521428,4777,0.069294342021615,0.11572912934432,NA,40.62,3563,208800,4888,315,15.129206349206,4888,0.85,1.310780610639
"8",2004-12-31,113,0.52,0.1185,0.58391438300632,NA,8996,547,120,0.014764324470637,0.027713625866051,0.013339261894175,29.094,0.87763713080169,14.841639344262,296,0.039614017267649,176.28,595.996,402.1662,891.996,0.32522,NA,8007.7,1.29952937358,1.8493533487298,13.435828428379,8.9772824093382,2.061184041184,0.045,0.065,122.0722,8127.7,0.75166740773677,2.92,13.486301369863,0.065,0.1145,0.088392968457798,NA,0.3918,0,6162,4526.7,0.79550224225153,0.44305277015638,305,0.078507078507078,254,0.065379665379665,0.57796721311475,1.8468788249694,3.2981420765027,0.15340952380952,1.1651737451738,280.094,0.69646321448776,3885,0.065265527568971,0.11886204208885,0,39.38,3601,181100,4330,305,14.841639344262,4330,0.75,1.3179341657208
"9",2003-12-31,110.7,0.51,0.1384,0.59937117325832,NA,8449,768,136,0.016891891891892,0.036736898973528,NA,12.1399,0.73699421965318,15.541052631579,270,0.037321063394683,161.622,820.8648,562.3745,1090.8648,0.3149,NA,7915.2,1.3143806044504,2.1380875202593,9.6425136027273,7.2558945893203,2.3170960187354,0.055,0.04,52.2345,8051.2,0.75949816546337,2.81,13.921708185053,0.03,0.1574,0.091487889273356,NA,0.4338,0,6022,4429.2,0.81775489930461,0.44987082670906,285,0.083430913348946,145,0.042447306791569,0.5670947368421,1.9207285342585,2.8256459330143,0.2403,1.2966042154567,510.1399,0.90711785988169,3416,0.09338666132182,0.11771995043371,0,39.12,3622,84000,3702,0,NA,3702,0.7,1.3323183849082
"10",2002-12-31,110.8,0.39,0.1639,0.61692767904276,NA,7754,710,397,0.054722390693058,0.13439404197698,NA,-310,0.5182,14.474131274131,253,0.040196329492104,150.688,514,348.4971,767,0.32199,NA,6857.8,NA,NA,13.342023346304,8.9410691003911,2.3215301286391,0.05,0.025,-108.5029,7254.8,0.70595821511478,2.55,13.21568627451,NA,-0.1911,0.11912225705329,NA,0.4006,0,5401,3748.8,0.93523260776782,0.48326625130948,259,0.087677725118483,146,0.049424509140149,0.58180694980695,1.7220027560864,2.8948262548263,0.17400135409614,1.2690589031821,457,1.3113450514974,2954,0.064524558415108,0.11897106109325,0,33.7,3506,263891,3335,264,14.2,3335,0.65,1.26972782818
