"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,48.1,2.72,0.5788,0.4814,667.8,2165.8,767.2,38.5,0.0242,0.0448,0.0178,-3.71,0.8,5,310.8,0,0,339,216.78,649,0.3596,0.3598,1555.2,1.24,1.69,4.59,2.4,1.81,NA,-235.91,1593.7,0.8709,2.7,7.6,-0.38,-0.075,0.2959,NA,0.9059,0,1249.3,973.7,0.6367,0.389,194.7,0.2266,-51.8,-0.0603,0,1.46,NA,0.394,1.13,452.69,2.0883,859.2,0.1735,0.2916,40.2,20.52,620,753065,920.8,150.7,6.46,920.8,1.9,1.24
"2",2010-12-31,47.7,3.41,0.9576,0.5719116769445,430.4,1679.1,404.7,107,0.058537119098419,0.16353354730246,0.063724614376749,-18.7549,0.48297827903091,12.837090163934,248.2,0,0,205.2,129.6187,453.4,0.36833,0.36828478964401,1720.9,1.9155164737311,2.1128299570289,8.3864522417154,3.7955447728275,2.6301390799327,NA,-8.1264,1827.9,0.83884223691263,3.89,6.7814910025707,-0.305,-0.089,0.42111506524318,NA,0.8824,0,898.4,1252.9,0.4589352701732,0.31456863066907,97.6,0.14916704875439,-76.6,-0.11707167965765,0,2.9110130111524,NA,0.31361760660248,1.9148708543482,137.7451,1.0626949191896,654.3,0.14427725289403,0.22676579925651,42.8,26.38,575,1036185,814.5,172.2,7.2758420441347,814.5,1.85,1.8180823552815
"3",2009-12-31,47.5,2.7,0.9505,0.62704471101418,342,1454.2,321.6,69.3,0.0428863172226,0.097004479283315,0.047655068078669,1.8141,0.47343503419253,NA,292.7,0,0,248.6,248.6,541.3,0,NA,1546.6,1.824466202666,2.2597895967271,6.2212389380531,2.8571956401256,2.1648936170213,NA,217.8859,1615.9,0.82210149910604,2.02,11.034653465346,-0.145,-0.2599,0.38708717643558,NA,0.8225,0,847.7,1040.9,0.55240657123643,0.35583885141407,-211.7,-0.29633258678611,-43.2,-0.06047032474804,NA,3.043567251462,NA,0.3479843225084,1.4570268756999,30.7141,0.12354830950298,714.4,0.29326412645983,-0.61900584795322,0,22.29,575,934768,684.4,11.9,87.470588235294,684.4,1.8,1.762159214831
"4",2008-12-31,39.4,2.81,0.9146,0.58423624389208,587.1,2106,448.5,68.1,0.039323247488163,0.08501872659176,0.032336182336182,-8.9243,0.31489175595889,5.4105011933174,288.4,0,0,290,177.2451,578.4,0.38881,NA,1663.7,1.2378720238095,2.4775874906925,5.7368965517241,2.8763831258645,2.0770287141074,NA,26.0694,1731.8,0.77649572649573,2.44,7.3975409836066,0.035,-0.2514,0.85947416137806,NA,0.6927,0,1344,906.8,0.90979267754742,0.47638295415175,167.6,0.20923845193508,55.2,0.068913857677903,0,1.5445409640606,NA,0.36204744069913,1.1320848938826,151.1757,0.85291867267818,801,0.13187879464286,0.28547095895078,0,18.05,825,1494563,671.5,65.3,13.886676875957,671.5,1.8,1.2264003965725
"5",2007-12-31,27.7,1.6,0.461,0.31109037175299,885.8,1889.6,227.7,475.1,0.62023498694517,0.63069162352316,0.25142887383573,6.8085,0.46854663774403,2.5576519916143,320.4,0,0,257.2,174.0678,577.6,0.32322,NA,290.9,0.35882570617984,0.34834151598611,1.1310264385692,0.50363573407202,0.38616752953671,0.08,259.9593,766,0.63113886536833,1.02,10.803921568627,0.045,0.085,0.79449229649399,NA,0.8933,0,810.7,366,1.0928961748634,0.52219321148825,143.1,0.18996415770609,-62.7,-0.083233771405814,0,0.41318582072703,0.31970649895178,0.34143103677154,0.48586220629231,-85.8915,-0.49343686542838,753.3,0.21471298384112,0.16154888236622,NA,11.02,400,763188,835.1,241.9,1.5130219098801,835.1,1.35,0.59573806190698
"6",2006-12-31,27.5,1.17,0.3335,0.52830438817447,711.6,2128.5,660.5,58.9,0.027769919849128,0.085486211901306,0.027672069532535,3.4911,0.55172413793103,17.35255570118,333.1,0,0,175,113.6152,508.1,0.35077,NA,2062.1,1.4224322273574,2.820158643326,11.783428571429,4.0584530604212,2.9928882438316,0.08,-217.2759,2121,0.84496124031008,4.18,10.688995215311,0.05,0.0683,0.2799251036512,NA,0.9439,0,1449.7,1324,0.60196374622356,0.37576614804338,76.3,0.11074020319303,-57,-0.082728592162555,0,1.8605958403598,2.1690694626474,0.25399129172714,1.9216255442671,330.8911,2.9123832107861,689,0.078371559633027,0.10722315907813,NA,44.68,797,356996,731.2,112.3,11.789848619769,731.2,1.15,1.405939281453
"7",2005-12-31,27.2,1.21,0.3257,0.37356512507465,944.1,2140.3,501.5,79.7,0.051353092783505,0.12527507073247,0.037237770406018,0.9139,0.5158120970218,7.2295321637427,248.6,0,0,257.4,165.1092,506,0.35855,NA,1472.3,1.0314557937509,2.2812209482492,5.7198912198912,2.9096837944664,2.3142093681232,0.15,-88.7047,1552,0.85305798252581,3.24,10.910493827161,0.185,0.1483,0.1947569887484,NA,0.8097,0,1427.4,989,0.56926188068756,0.36275773195876,136.8,0.21502672115687,-63.2,-0.099339830242062,0,1.0475585213431,0.48196881091618,0.40458975165042,1.5545425966677,253.8139,1.5372485622895,636.2,0.11567131147541,0.14489990467111,NA,35.35,563,200700,645.4,99,9.989898989899,645.4,1.05,1.0297923163692
"8",2004-12-31,26.7,0.41,0.2672,0.3606974481778,NA,1820.9,484.8,24.3,0.014174055062996,0.039849130862578,0.013345049151519,-6.3647,0.30688622754491,9.1356560415122,188.2,0,0,241.6636,157.0837,429.8636,0.34999,NA,1690.1,1.2881859756098,2.7715644473598,6.9936065666163,3.9317124749205,3.1056596839397,0.075,-133.1515,1714.4,0.90762809599648,NA,NA,0.345,0.0595,0.21347441995923,NA,0.9318,0,1312,1232.4,0.39110678351185,0.28114792347177,134.9,0.2478868063212,-52.8,-0.097023153252481,0,1.4425845721643,1.2180874722016,0.44407126056597,2.2646085997795,290.2353,1.847646831104,544.2,0.11972846313704,0.15790705841039,0,45.59,482,153400,609.8,149.1,8.2655935613682,609.8,1,1.2829454463818
"9",2003-12-31,26.4,0.45,0.2684,0.34249745441081,NA,1434.3,340.6,17.1,0.01082689628973,0.032777458309373,NA,-1.4631,0.33532041728763,8.8730741012472,170.8,0,0,420.6182,273.4019,591.4182,0.35,NA,1562.3,1.469431903687,2.9946329308031,3.7142943750063,2.6416161489775,3.0735785953177,NA,105.065,1579.4,0.92616607404309,4.81,9,0.395,0.3415,0.13732004429679,NA,0.8344,0,1063.2,1209.4,0.30593682817926,0.23426617702925,136.3,0.26814873106433,-55.5,-0.10918748770411,0,1.7026608475292,NA,0.8275,2.3793035608892,168.3369,0.61571229297959,508.3,0.25714998354026,0.19189075038716,0,43.29,370,102300,521.7,124.5,9.7140562248996,521.7,0.9,1.4620012959363
"10",2002-12-31,26.3,0.47,0.3648,0.42736737729301,NA,1179.4,213.6,27.6,0.018073472595115,0.073112582781457,NA,-27.4,0.2816,19.785198555957,160.8,0,0,126.8,82.42,287.6,0.35,NA,1499.5,NA,NA,11.82570977918,5.2138386648122,3.9721854304636,0.075,29.62,1527.1,0.89757503815499,5.09,8.180746561886,NA,-0.0582,0.18467453267931,NA,0.7994,0,980.9,1096.1,0.39321229814798,0.28223430030777,55.4,0.14675496688742,-28.8,-0.076291390728477,0,1.8980086580087,2.6380264741276,0.3358940397351,2.9035761589404,52.8,0.64062120844455,377.5,0.084024875114691,0.095930735930736,0,41.64,431,199514,492.7,125.5,8.7338645418327,492.7,0.8,1.5286981343664
