"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,23.8,1.57,0.3873,0.4774,197.7,480,74.7,15.9,0.03,0.0633,0.0331,1.69,0.8,25.86,55.8,0.0225,7.85,32,18.07,88,0.4407,0.4421,513.8,1.42,1.84,15.91,5.83,2.05,0.09,0.16,-2.53,529.7,0.6475,0.45,34.02,0.08,0.06,0.3564,0.06,0.3382,0.1694,362.4,349.1,0.5173,0.3409,13.5,0.0538,14.9,0.0593,0.5133,1.77,2.87,0.1286,1.39,20.59,1.1398,251.1,0.0499,0.0683,56.4,15.31,180.6,58859,279.6,15.3,22.82,279.6,0.85,1.4
"2",2010-12-31,23.8,1.06,0.3584,0.50622729631552,190.3,466.4,55.9,27.5,0.061165480427046,0.14109799897383,0.058962264150943,3.2795,0.55803571428571,12.475490196078,42.6,0.0308,7.8386,39.1,22.8532,81.7,0.41552,0.41547277936963,422.1,1.1793797150042,1.739901071723,10.795396419437,5.1664626682987,2.1657260133402,0.07,0.095,6.2736,449.6,0.60034305317324,0.76,13.789473684211,0.18,0.2089,0.36455784690668,0.058,0.3243,0.19382504288165,357.9,254.5,0.76660117878193,0.43394128113879,20.4,0.10466906105695,13.4,0.068753206772704,0.38424509803922,1.3373620599054,1.7822128851541,0.20061570035916,1.3057978450487,16.5795,0.72548050944438,194.9,0.063853500977927,0.10719915922228,38.7,10.48,195.1,47265,242.6,13,19.576923076923,242.6,0.8,1.1665801764401
"3",2009-12-31,23.7,0.33,0.4309,0.1581217057978,175.7,271.7,53.2,12.1,0.024588498272709,0.075342465753425,0.044534412955466,2.1421,0.46414481318171,18.290836653386,32.6,0.0171,7.8506,42.9,25.2861,75.5,0.41058,0.40941176470588,480,2.441505595117,2.7072758037225,11.188811188811,6.3576158940397,2.9887920298879,0.07,0.105,2.544,492.1,0.74457121825543,0.94,19.925531914894,0.32,0.1095,0.15296679368536,0.057,0.3109,0.025027603974972,196.6,459.1,0.071879764757133,0.067059540743751,25.1,0.15628891656289,20.6,0.12826899128269,0.31277330677291,2.6129766647695,2.6129766647695,0.26712328767123,2.8586550435866,22.7421,0.8993904147098,160.6,0.12861708036623,0.14285714285714,31.1,18.73,33,33466,177.3,23.3,19.703862660944,177.3,0.8,2.3579300431241
"4",2008-12-31,23.6,0.2,0.4269,0.19808612440191,167.6,266,65.6,5.2,0.010065814943864,0.03601108033241,0.019548872180451,2.3861,0.29983602717264,18.068441064639,29.9,0.0159,7.5557,45.6,27.2875,75.5,0.40159,NA,511.4,2.5093228655545,3.3711272247858,11.214912280702,6.7735099337748,3.5415512465374,0.09,0.065,-10.7987,516.6,0.66015037593985,1.11,18.333333333333,0.33,0.018,0.27656706358122,0.056,0.3253,0.028947368421053,203.8,475.2,0.087121212121212,0.0801393728223,26.3,0.18213296398892,47.2,0.32686980609418,0.28728821292776,2.8353221957041,2.0076045627376,0.31578947368421,3.2908587257618,38.0861,1.3957363322926,144.4,0.13389350343474,0.15692124105012,28.6,20.35,41.4,62714,151.7,24.7,19.238866396761,151.7,0.8,2.4717703349282
"5",2007-12-31,23.5,0.2,0.3945,0.12709416522242,151.1,221.5,29.1,17.3,0.027244094488189,0.12252124645892,0.078103837471783,-0.2729,0.38529784537389,32.606382978723,29.2,0.011500815660685,7.05,31.2,18.4626,60.4,0.40825,NA,617.7,3.9646983311938,4.101593625498,19.798076923077,10.226821192053,4.3746458923513,0.14,NA,18.8355,635,0.70158013544018,1.13,24.823008849557,0.255,-0.1736,0.38931297709924,NA,0.3137,0.055079006772009,155.8,613,0.035889070146819,0.034645669291339,18.8,0.13314447592068,4.1,0.029036827195467,0.375,4.0569159497022,2.3290273556231,0.22096317280453,4.3413597733711,-0.3729,-0.020200089675202,141.2,0.11850192554557,0.12442091330245,32.6,28.05,22,217546,150.6,23.2,26.422413793103,150.6,0.95,3.6683997689197
"6",2006-12-31,23.3,NA,NA,0.16129032258064,135.2,207.7,21.2,13.4,0.022616033755274,0.07919621749409,0.064516129032258,0.024,NA,31.472222222222,27.3,0.011105030891439,6.291,21.2,12.5648,48.5,0.40732,NA,579.1,3.9181326116374,3.8891873740766,27.316037735849,11.940206185567,3.4225768321513,0.15,NA,18.6408,592.5,0.74915743861339,0.83,27.10843373494,0.075,0.1448,0.28604541036313,NA,0.3232,0.061145883485797,147.8,566.5,0.045895851721094,0.043881856540084,18,0.1063829787234,0.2,0.0011820330969267,0.3495,4.1900887573964,2.0981481481481,0.12529550827423,3.3481087470449,-6.076,-0.48357291727411,169.2,0.085012286874154,0.13313609467456,49.1,22.5,26,43713,148.9,18.4,30.788043478261,148.9,1.1,3.6755583126551
"7",2005-12-31,7.7,NA,NA,0.22793650793651,121.6,204.9,29.5,2.6,0.0063976377952756,0.01775956284153,0.012689116642265,-0.0113,NA,34.626168224299,22.4,0.0099757085020243,3.696,19.4,11.9339,41.8,0.38485,NA,403.8,2.6068431245965,2.4773006134969,20.814432989691,9.6602870813397,2.7581967213115,NA,NA,4.8452,406.4,0.79160566129819,1.91,24.612565445026,0.005,0.2011,0.11856823266219,NA,0.1534,0.06539775500244,154.9,370.5,0.096896086369771,0.088336614173228,10.7,0.073087431693989,0.1,0.00068306010928961,0.34542056074766,3.046875,NA,0.13251366120219,2.530737704918,7.0887,0.59399318431141,146.4,0.077042672692059,0.087993421052632,44.3,47.01,35.9,13421,163,17.5,21.171428571429,163,0.85,2.5803174603175
"8",2004-12-31,7.6,0,0,0.31487055990367,NA,211.2,34.1,14.2,0.038305907742109,0.10186513629842,0.067234848484848,0.4258,NA,31.21568627451,19,0.011546184738956,3.496,19.6474,12.3307,38.6474,0.3724,NA,356.5,2.3469387755102,2.5573888091822,18.144894489856,9.2244238939748,2.9462809917355,0.12,NA,-3.1951,370.7,0.74005681818182,1.36,29.294117647059,NA,0.1372,0.35129586861688,NA,0.1493,0.058238636363636,151.9,318.4,0.16425879396985,0.14108443485298,10.2,0.084297520661157,2.8,0.023140495867769,0.34274509803922,2.7978910369068,2.6013071895425,0.16237520661157,2.6314049586777,15.5258,1.25911543942,121,0.081176486109282,0.0896309314587,30.3,39.84,52.3,14059,139.4,10,31.84,139.4,0.85,2.2317880794702
"9",2003-12-31,7.6,0,0,0.28963210702341,NA,185.4,12.5,28.7,0.10027952480783,0.24384027187766,NA,0.0891,NA,24.785714285714,16.6,0.014802065404475,3.268,35.2753,22.8559,51.8753,0.35207,NA,257.5,2.1316225165563,2.1877655055225,7.2997273729004,4.9638276720959,2.4315391879131,NA,NA,26.8668,286.2,0.68878101402373,NA,NA,NA,0.1327,0.22579505300353,NA,0.1035,0.049622437971953,120.8,242.9,0.17826265953067,0.1512928022362,9.8,0.092540132200189,0.8,0.0075542965061379,0.3334693877551,2.2871939736347,NA,0.3331,2.2936732766761,-4.0109,-0.17548449321595,105.9,0.18920462458361,0.092278719397363,26,29.05,43.3,2350,117.7,12.5,19.432,117.7,0.75,1.914381270903
"10",2002-12-31,3.8,0,0,0.42057488653555,NA,164,22.6,2.2,0.0087544767210505,0.023655913978495,NA,20.9,0,NA,14.5,0.015145631067961,2.964,9.3,9.3,23.8,0,NA,249.1,NA,NA,26.784946236559,10.466386554622,2.6784946236559,NA,NA,1.2,251.3,0.80609756097561,NA,NA,NA,0.0448,0.32645875251509,NA,0.0853,0.023780487804878,130,195.7,0.28410832907512,0.22124950258655,-2.9,-0.031182795698925,6.4,0.068817204301075,NA,2.5548302872063,NA,0.1,2.1043010752688,8.1,0.87096774193548,93,0.071538461538462,-0.037859007832898,26.1,50.9,55.6,2643,102.8,5.9,33.169491525424,102.8,0.7,1.9161538461539
