"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,16.9,0.67,0.4309,0.1668,107.4,249.1,17.1,0.2,0.001,3e-04,8e-04,0,0.39,14.17,18.8,0,0,23,13.9,42,0.4009,0.4009,205.5,1.6,0.35,8.86,4.89,0.35,NA,15.6,205.7,0.4701,NA,NA,-0.09,0.1967,NA,0.2859,0,128.7,184.2,0.1167,0.1045,13,0.0222,42.7,0.0729,0,1.72,NA,0.0396,0.31,-1.7,-0.1223,586.1,0.108,0.121,27.5,10.3,21.5,6902,586.1,13,14.17,586.1,0.75,1.6
"2",2010-10-31,16.6,1.02,0.5975,0.21263482280431,102.2,227.6,3.9,0,0,0,0,3.7643,0.2928870292887,20.171428571429,26.2,0,0,14.8,9.0185,41,0.39064,0.39130434782609,168.8,1.3004622496148,0.32605756229477,11.405405405405,4.1170731707317,0.36912311392959,NA,27.5543,168.8,0.54964850615114,NA,NA,0.691,0.3183125599233,NA,0.2555,0,129.8,141.2,0.19546742209632,0.16350710900474,7,0.01530723813689,28.5,0.062322326700197,0,1.3816046966732,NA,0.032363874917997,0.30876886070413,-18.5357,-2.055294552205,457.3,0.069480184899846,0.068493150684932,19.9,8.38,27.6,14188,517.7,7.8,18.102564102564,517.7,0.7,1.3004622496148
"3",2009-10-31,16.5,1.53,0.69,0.35472972972973,95.5,252.4,7.3,0.1,0.00037369207772795,0.00037119524870082,0.00039619651347068,17.9251,0.23550724637681,NA,29.5,0,0,-21.6,-21.6,7.9,0,NA,267.5,1.8086544962813,0.58495517165974,NA,33.860759493671,0.99294729027468,NA,-17.3251,267.6,0.60142630744849,NA,NA,-0.4744,0.5454032712916,NA,0.2448,0,147.9,215.1,0.24407252440725,0.19618834080718,-16.7,-0.061989606533036,25.7,0.09539717891611,NA,2.2523560209424,NA,-0.080178173719376,0.79844097995546,-4.2749,NA,269.4,-0.14604462474645,-0.17486910994764,16.4,11.95,52.5,17444,457.3,7.7,27.935064935065,457.3,0.65,1.8081081081081
"4",2008-10-31,16.4,1.32,0.6289,0.38205128205128,120.5,293.6,8.7,2.2,0.013819095477387,0.0043315613309707,0.0074931880108992,-19.8246,0.15264747972651,12.455882352941,32.8,0,0,17.3,9.6249,50.1,0.44365,NA,157,0.81431535269709,0.58299294467137,9.0751445086705,3.1337325349301,0.30911596771018,NA,53.5495,159.2,0.59809264305177,NA,NA,-0.1398,0.70990566037736,NA,0.2415,0,192.8,84.7,0.87957497048406,0.4679648241206,6.8,0.013388462295728,42.2,0.083087221894074,0,0.70290456431535,NA,0.034061823193542,0.16676511124237,-43.9246,-4.5636647143179,507.9,0.049921447095436,0.05643153526971,26.9,5.3,74.5,7750,269.3,-17.8,NA,269.3,0.6,0.81641025641026
"5",2007-10-31,16.4,1.19,0.5118,0.38205128205128,120.5,293.6,8.7,2.2,0.018819503849444,0.0043315613309707,0.0074931880108992,0,0.15631105900743,5.9718309859155,32.8,0,0,17.3,9.6875,50.1,0.44003,NA,114.7,0.59491701244813,0.2258318566647,6.6300578034682,2.2894211576846,0.2258318566647,NA,33.7875,116.9,0.59809264305177,NA,NA,-0.1398,0.82094081942337,NA,0.2733,0,192.8,42.4,1.7570754716981,0.63729683490163,7.1,0.013979129749951,42.2,0.083087221894074,0,0.35186721991701,NA,0.034061823193542,0.083481000196889,-24.1,-2.4877468146776,507.9,0.050246270746888,0.058921161825726,26.9,2.74,74.5,3367,507.9,6.8,6.2352941176471,507.9,0.5,0.59948717948718
"6",2006-10-31,16.4,0.01,0.4162,0.40761821366024,135.3,341.1,9.3,0.1,0.00039588281868567,0.00016937669376694,0.00029316915860452,0,0.46131667467564,16.614583333333,31.9,0,0,24.3,13.583,56.2,0.44103,NA,252.5,1.1060008760403,0.42767615176152,10.390946502058,4.4928825622776,0.42767615176152,NA,36.183,252.6,0.58575197889182,NA,NA,-0.0507,0.41047235444892,NA,0.2647,0,228.3,159.5,0.58369905956113,0.36856690419636,9.6,0.016260162601626,49.3,0.0835027100271,0,1.1788617886179,NA,0.041158536585366,0.27015582655827,-22.6,-1.6638480638735,590.4,0.059496149802891,0.070953436807095,32.8,9.82,93.1,12653,590.4,9.4,16.968085106383,590.4,1.2,1.1059544658494
"7",2005-10-31,15.9,2.67,0.6665,0.40733438485804,150.3,394.8,22.4,0.7,0.0017173699705594,0.0011030570438071,0.0017730496453901,0.8212,0.192048012003,11.35447761194,33.5,0,0,42.7,32.8961,76.2,0.2296,NA,406.9,1.6089363384737,0.65586718246293,9.5292740046838,5.3398950131234,0.64119130160731,NA,43.1749,407.6,0.60612968591692,NA,0.005,-0.0244,0.24517087667162,NA,0.2711,0,252.9,304.3,0.33946763062767,0.25343473994112,26.8,0.042231326820044,36.7,0.057831705011031,0,2.0246174318031,NA,0.067286479672235,0.47951465490072,-10.2788,-0.31246245111403,634.6,0.13007544483986,0.17831004657352,35.6,18.95,103.3,39517,620.4,10.2,29.833333333333,620.4,0.8,1.6072555205047
"8",2004-10-31,15.9,1.83,0.7771,0.40733438485804,NA,394.8,22.4,0.7,0.002213788741303,0.0011030570438071,0.0017730496453901,0,0.47098185561704,7.9440298507463,33.5,0,0,42.7155,32.908,76.2155,0.2296,NA,315.5,1.2475286674575,0.49716356760164,7.3860845698489,4.139580079947,0.49716356760164,NA,44.008,316.2,0.60612968591692,NA,0.005,-0.0244,0.31227038941954,NA,0.2371,0,252.9,212.9,0.48520432127759,0.32669196710942,26.8,0.042231326820044,36.7,0.057831705011031,0,1.416500332668,NA,0.067310841474945,0.33548692089505,-11.1,-0.33730409759074,634.6,0.13012254007117,0.17831004657352,35.6,13.34,103.3,8453,634.6,26.8,7.9440298507463,634.6,0.55,1.2468454258675
"9",2003-10-31,15.7,2.05,0.8225,0.47381242387333,NA,399.2,13.9,3.5,0.010680500457736,0.0054815974941269,NA,0,0.49848024316109,11.223404255319,33.1,0,0,72.789,43.7855,105.889,0.39846,NA,324.2,1.3120194253339,0.50775254502741,4.4539696932229,3.0616966823749,0.50775254502741,NA,62.9855,327.7,0.63276553106212,NA,-0.38,0.0619,0.60669564094841,NA,0.2316,0,247.1,211,0.55308056872038,0.3561184009765,18.8,0.029444009397024,14.4,0.02255285826155,0,1.683958499601,NA,0.114,0.33046202036022,-19.2,-0.43850137982201,638.5,0.17719747090247,0.14506172839506,36.8,14.061,116.7,22980,638.5,18.7,11.283422459893,638.5,0.65,1.330491270808
"10",2002-10-31,14.8,1.29,0.8145,0.67091430391844,NA,447.9,16.1,1.8,0.0060851926977688,0.0028772378516624,NA,-194.2,0.3476,NA,29,0,0,2.6,2.6,31.6,0,NA,294,NA,NA,113.07692307692,9.3037974683544,0.46994884910486,NA,15.5,295.8,0.6287117660192,NA,NA,-0.0557,0.67164179104478,NA,0.179,0.0066979236436705,316.4,85.2,2.4718309859155,0.71196754563895,-16.9,-0.027014066496164,42.8,0.068414322250639,NA,0.82478218780252,NA,0.004156010230179,0.13618925831202,-12.9,-4.9615384615385,625.6,0.0082174462705436,-0.16360116166505,43.8,5.5,210.6,7804,603.8,-7.7,NA,603.8,0.5,0.92920353982301
