"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,18.6,0.8,0.186,0.5662,264,1038.8,69.8,26.7,0.0321,0.1117,0.0257,1.39,0.8,23.29,31.2,0.0271,13.21,54,32.04,86,0.411,0.4096,804.7,1.38,3.08,14.79,9.4,3.37,0.065,0.02,-7.95,831.4,0.728,1.13,23.54,-0.03,0.045,0.0885,NA,0.4741,0,581.9,486.8,0.7079,0.4145,20.9,0.0874,14.8,0.0619,0.5717,1.84,3.58,0.2276,2.04,39.99,1.2481,239,0.0551,0.0792,61.3,26.6,344.6,32373,261.5,23.1,21.07,261.5,0.85,1.37
"2",2011-06-30,18.6,0.69,0.2534,0.54120187117668,255,935.4,104.8,1.7,0.0022633470909333,0.0078849721706865,0.0018174043190079,0.6732,0.8,28.5,28.3,0.0285,12.8336,41.7,25.5292,70,0.38779,0.38759689922481,749.4,1.3524634542501,3.2955145118734,17.971223021583,10.705714285714,3.4758812615955,0.075,0.02,-51.644,751.1,0.83974770151807,1.08,21.888888888889,-0.01,-0.0049,0.12476410148878,NA,0.485,0.01004917682275,554.1,450.3,0.66799911170331,0.40047929703102,15.8,0.073283858998145,12.3,0.057050092764379,0.81225,1.7658823529412,3.8,0.19341372912801,2.0885899814471,77.1732,3.0229431819711,215.6,0.046073194369247,0.061960784313726,30.1,23.64,300.8,35479,227.4,16.3,27.625766871166,227.4,0.85,1.3513853904282
"3",2010-06-30,18.5,0.62,0.2743,0.50098697197,252.8,878.5,58.6,1.4,0.0018714075658334,0.006478482184174,0.001593625498008,-0.0187,0.8,32.519736842105,25.6,0.0255,12.6046,66.1,39.4015,91.7,0.40391,0.40392156862745,746.7,1.4780285035629,3.4990627928772,11.296520423601,8.1428571428571,3.4553447478019,NA,NA,6.4203,748.1,0.81787137165623,0.98,27.010204081633,0.03,-0.0365,0.13368125250903,NA,0.4837,0.0084234490608993,505.2,494.3,0.51345336839976,0.33925945729181,15.2,0.070337806571032,1.5,0.006941230911615,0.82925328947368,1.9553006329114,NA,0.3058769088385,2.2873669597409,32.9813,0.83705487508978,216.1,0.077991981393508,0.060126582278481,27.7,26.47,253.8,38670,213.4,16.4,30.140243902439,213.4,0.9,1.4767074615081
"4",2009-06-30,18.2,0.49,0.3243,0.48102040816327,254.3,850.9,68.9,3.4,0.0053042121684867,0.015433499773037,0.0039957691855682,-0.0629,0.46870181930311,20.064356435644,24,0.0301,12.1995,69.3,41.9445,93.3,0.39474,NA,637.6,1.3103164817098,2.9382488479263,9.2005772005772,6.8338692390139,2.8942351339083,NA,NA,-2.8926,641,0.80408978728405,0.8,28.2125,0.06,0.0774,0.2511302918208,NA,0.4656,0.0052885180397227,486.6,405.3,0.58154453491241,0.36770670826833,20.2,0.091693145710395,4.2,0.019064911484339,0.60393712871287,1.5937868659064,NA,0.3145710394916,1.8397639582388,44.8371,1.0689617602019,220.3,0.086199173859433,0.079433739677546,23.7,22.57,235.7,55710,217,12.4,32.685483870968,217,0.95,1.3081632653061
"5",2008-06-30,18.4,0.75,0.3257,0.48365300784656,236.9,767.3,121.5,2.4,0.0031876743259397,0.01161665053243,0.0031278509057735,-0.1037,0.5158120970218,27.512953367876,22.9,0.022177024482109,11.776,63.5,38.4981,86.4,0.39373,NA,750.5,1.6443908851884,3.4347826086957,11.818897637795,8.6863425925926,3.6326234269119,0.125,NA,-59.9982,752.9,0.841261566532,1.16,25.810344827586,0.095,0.087,0.31674902027603,NA,0.4558,0,456.4,531,0.41789077212806,0.29472705538584,19.3,0.093417231364956,1.8,0.0087124878993224,0.61015544041451,2.2414520894892,2.2010362694301,0.30735721200387,2.5701839303001,98.4963,2.5584692819355,206.6,0.084351763803681,0.081468974250739,22.3,29.94,221.9,120974,218.5,17.6,30.170454545455,218.5,1.05,1.6410200523104
"6",2007-06-30,18.3,1.45,0.3304,0.44041196665032,228.2,705.9,70.7,3.8,0.0047216699801193,0.020084566596195,0.0053831987533645,-2.5743,0.53268765133172,28.162162162162,21.3,0.017855086372361,11.163,86.6,51.294,107.9,0.40769,NA,801,1.9826732673267,3.9380530973451,9.2494226327945,7.4235403151066,4.2336152219873,0.1,NA,4.4684,804.8,0.76738914860462,1.09,29.94495412844,0.075,0.0501,0.24225815291861,NA,0.4718,0.0072248193795155,404,625.2,0.28726807421625,0.22316103379722,22.2,0.11733615221987,34.3,0.18128964059197,0.50283783783784,2.7397020157756,2.8162162162162,0.45771670190275,3.3044397463002,46.8257,0.91288737690129,189.2,0.12696546039604,0.097283085013146,21.1,32.64,179.6,119705,203.4,19.7,31.736040609137,203.4,1.1,1.9735164296224
"7",2006-06-30,18.3,1.83,0.2849,0.42635431918009,195.9,587.7,51.8,9.4,0.010833237293996,0.052193225985564,0.015994555045091,-0.0765,0.42120042120042,34.884057971014,19.7,0.014191940174491,10.248,81,47.3097,100.7,0.41593,NA,858.3,2.5844625112918,4.5605738575983,10.596296296296,8.5233366434955,4.7656857301499,NA,NA,15.2861,867.7,0.82491066870853,1.32,29.363636363636,0.055,0.0791,0.30234091658424,NA,0.3831,0.015654245363281,332.1,722.1,0.20163412269769,0.16779993085168,20.7,0.11493614658523,1.7,0.0094392004441977,0.49507246376812,3.6860643185299,NA,0.44975013881177,4.0094392004442,32.0235,0.67689211267806,180.1,0.14245609756098,0.10566615620214,20.7,38.76,145.6,151700,188.2,28.5,25.336842105263,188.2,0.75,2.5408491947291
"8",2005-06-30,9.1,0,0,0.43791844187462,NA,552.2,42.3,10.9,0.018693191562339,0.062464183381089,0.019739224918508,0.1093,NA,27.45,18.5,0,0,75.715,43.8345,94.215,0.42106,NA,572.2,1.801070192005,3.2790830945559,7.5572822047928,6.0733396628246,3.4284002396645,NA,NA,19.9252,583.1,0.82723650851141,NA,NA,0.01,0.1148,0.26738089810805,NA,0.3874,0.01792828685259,317.7,439.2,0.32764116575592,0.24678442805694,16,0.095865787896944,2.4,0.014379868184542,0,2.3779101245263,NA,0.45365518274416,2.6315158777711,23.9093,0.54544486170636,166.9,0.13797441311615,0.086626962642122,17.3,45.77,143.9,10700,174.5,21.5,20.427906976744,174.5,0.65,1.7744978697505
"9",2004-06-30,9.1,0.48,0.187,0.45656433703462,NA,511.7,62.3,10,0.020828993959592,0.061124694376528,NA,0.2043,0.51336898395722,20.377245508982,15.2,0.028333333333333,9.282,83.7871,53.4914,98.9871,0.36158,NA,470.1,1.5871033085753,2.8734718826406,5.6106495642706,4.7491041508544,3.1402805611222,NA,NA,6.1871,480.1,0.83740472933359,NA,NA,-0.005,0.028,0.1641998903655,NA,0.2423,0.015243306624976,296.2,340.3,0.41081398765795,0.29118933555509,16.7,0.11155644622579,2.2,0.014696058784235,0.55580838323353,2.0450721153846,NA,0.5597,2.2732130928524,47.3043,0.88433497531295,149.7,0.18059201214652,0.10036057692308,16.2,36,139.8,900,163.6,15.1,22.53642384106,163.6,0.55,1.5679294578707
"10",2003-06-30,3,0.47,0.1935,0.44161513277555,NA,453.2,37.6,0.3,0.00077379417075058,0.0020590253946465,NA,21,0.5342,18.753521126761,14,0.032782576042058,8.73,78.8,46.9435,92.8,0.40427,NA,387.4,NA,NA,4.9162436548223,4.1745689655172,2.6588881262869,NA,NA,23.3435,387.7,0.86231244483672,NA,NA,NA,0.0703,0.085506367495452,NA,0.2463,0.0037511032656664,274.6,266.3,0.45587683064213,0.31312870776374,14.2,0.097460535346603,6.2,0.042553191489362,0.61478873239437,1.7348534201954,NA,0.54083733699382,1.8277282086479,23.6,0.50273175060313,145.7,0.17095238164603,0.092508143322476,0,86.99,121.4,2445,183.4,18.2,14.631868131868,183.4,0.55,1.4107793153678
