"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,49.3,0.66,0.519,0.1384,852.6,1281.9,122.2,351.1,0.3393,0.2186,0.2739,-28.38,0.32,NA,33.7,0,0,31,31.46,65,0,NA,683.6,1.07,0.47,21.73,10.49,0.43,0.18,0.025,-28.66,1034.7,0.2937,0.69,26.81,-0.025,0.065,0.3323,0.51,0.7185,0.0033,638.5,897.7,0.1526,0.1324,-51.4,-0.032,288.3,0.1795,NA,1.05,NA,0.0196,0.56,60.12,1.9112,1606,0.0493,-0.0603,721.2,18.5,137,303613,1447.9,-31,NA,1447.9,1.15,1.05
"2",2010-12-31,48.2,1.72,0.7258,0.082811553221571,908.2,1304.8,82.3,233.6,0.33640552995392,0.11639842543226,0.17903126916002,-52.9237,0.41333700744007,4.4996326230713,24.7,0,0,192.2,133.3464,216.9,0.30621,0.30773143438454,460.8,0.60904044409199,0.25925509170699,2.3975026014568,2.1244813278008,0.22960785290747,0.1,0.04,128.6702,694.4,0.22516860821582,0.51,23.764705882353,0.295,0.3503,0.33634566506636,0.381,0.7234,0.0056713672593501,756.6,612.4,0.13389941214892,0.11808755760369,136.1,0.067816034680353,462.8,0.23060441476905,0,0.6743008147985,0.44996326230713,0.095769594897603,0.30514724201505,4.6763,0.035068704351171,2006.9,0.17624430081945,0.14985685972253,719.7,12.12,82,1075916,1777.4,-11.4,NA,1777.4,1.2,0.70127247020804
"3",2009-12-31,46.6,1.89,0.7381,0.02369109947644,745.9,995.5,35.3,265.7,0.28193972835314,0.18497632971317,0.26690105474636,103.7168,0.42338436526216,17.53889943074,19.7,0,0,70.9,48.7558,90.6,0.31233,0.25879043600563,676.7,1.3580172586795,0.34865268689783,9.5444287729196,7.4690949227373,0.47110832637148,0.24,0.085,-70.561,942.4,0.17247614264189,2.79,7.168458781362,0.2,-0.0115,0.40532081377152,0.887,0.775,0.0090406830738322,498.3,924.3,0.019582386670994,0.019206281833616,52.7,0.036688944583681,295.3,0.20558340295182,0,1.2391741520311,0.73078747628083,0.049359509885826,0.64348370927318,119.3168,2.4472333434688,1436.4,0.097844276540237,0.070652902533852,550.1,20,18.1,2053443,1940.9,160.8,5.7481343283582,1940.9,1.25,1.2335078534031
"4",2008-12-31,46.2,2.2,0.699,0.024507658643326,668.7,876.3,72.5,114.9,0.085637623909965,0.079752897896856,0.13111947963026,-19.6867,0.28612303290415,29.247240618102,17.1,0,0,55.4,39.5661,72.5,0.28581,NA,1226.8,2.1500175254119,0.91144130757801,22.14440433213,16.921379310345,0.85153050600403,0.1,0.05,3.8528,1341.7,0.18007531667237,1.37,21.467153284672,0.145,0.0256,0.70454545454545,0.887,0.6914,0.0061622731941116,570.6,1324.9,0.012680202279417,0.012521428039055,45.3,0.031443048518082,299.5,0.20788505587562,0,1.9813070136085,2.9247240618102,0.038453529534254,0.91962240577497,35.7133,0.90262274372222,1440.7,0.069341265334735,0.067743382682817,540.5,29.41,16.8,649793,1346,4,331.225,1346,1.25,1.9572574762947
"5",2007-12-31,45.8,1.68,0.4232,0.026258545680547,626.7,828,31.2,304,0.56748179951465,0.21804619136422,0.36714975845411,-7.976,0.51039697542533,6.8533685601057,17.2,0,0,108.8,69.6059,126,0.36024,NA,231.7,0.68227326266195,0.16037931750536,2.1295955882353,1.8388888888889,0.16618849519438,0.1,0.06,63.5819,535.7,0.11884057971015,1.69,7.5857988165681,0.035,0.0564,0.46298984034833,0.891,0.6943,0.0001207729468599,339.6,518.8,0.032575173477255,0.031547507933545,75.7,0.054296370678525,220.2,0.15794003729737,0,0.82782830700495,0.68533685601057,0.078037584277722,0.37211303973605,6.024,0.086544806618695,1394.2,0.20496433451119,0.12079144726344,491.2,12.82,16.9,264131,1444.7,78.9,6.5754119138149,1444.7,1.35,0.83234928527035
"6",2006-12-31,41.9,3.05,0.4319,0.19299191374663,449.1,737,27.6,220.5,0.22089761570828,0.18292682926829,0.29918588873813,-36.6094,0.61125260476962,12.546478873239,16.2,0,0,108.4,68.3213,124.6,0.36973,NA,777.7,2.3145833333333,0.55685235572104,7.1743542435424,6.2415730337079,0.6451800232288,0.16,0.075,93.5307,998.2,0.11886024423338,1.83,9.3715846994535,0.005,0.1451,0.3731720527171,0.884,0.661,0.00081411126187246,336,890.8,0.12056578356533,0.10759366860349,71,0.058901609424257,230.8,0.19147171063547,0,1.9835226007571,0.78415492957747,0.089928654388585,0.73900779824125,-25.2094,-0.3689830679592,1205.4,0.20333710714286,0.1580939657092,414.9,17.15,107.4,437045,1396.6,78.1,11.405889884763,1396.6,1.65,1.7937106918239
"7",2005-12-31,40,2.47,0.5247,0.23954877239549,343.8,582,14,197,0.13245478383648,0.19572776949826,0.33848797250859,-19.3513,0.48789784638841,30.850111856823,22.1,0,0,69.6,42.7546,91.7,0.38571,NA,1290.3,5.0580164641317,1.147545357524,18.538793103448,14.070883315158,1.2819672131147,0.305,0.07,70.2059,1487.3,0.12525773195876,1.65,20.187878787879,NA,0.0721,0.3852544132918,0.851,0.5966,0.0018900343642612,255.1,1379,0.078535170413343,0.072816513144625,44.7,0.044411326378539,165.2,0.16413313462494,0,4.0110529377545,1.0114790772729,0.069150521609538,1.3700943864878,-27.4513,-0.64206674475608,1006.5,0.16759931007448,0.13001745200698,350.8,33.31,108.3,351100,1124.4,52.3,26.367112810707,1124.4,1.6,3.2897589028976
"8",2004-12-31,39.2,2.26,0.594,0.28248175182482,NA,518.7,15.9,137.7,0.18560452891225,0.13918932578591,0.26547137073453,13.4431,0.76094276094276,26.629787234043,20.5,0,0,43.5529,26.4893,64.0529,0.39179,NA,604.2,2.2107574094402,0.61073486303447,13.872790961241,9.4328311232844,0.65652504618059,0.205,0.055,17.6462,741.9,0.15924426450742,1.14,13.429824561403,NA,0.0673,0.23867892407218,0.858,0.5089,0.003084634663582,273.3,625.8,0.18552253116011,0.15649009300445,23.5,0.025535151581006,179.3,0.1948277735521,0,2.1220752797559,1.2990140114167,0.047324655003803,0.67999565359122,8.8431,0.33383733538702,920.3,0.096923882710574,0.079688029840624,328.7,15.31,116.1,48200,989.3,23.6,26.516949152542,989.3,1.5,1.8051094890511
"9",2003-12-31,38,1.93,0.6331,0.31803628601921,NA,466.5,20.7,113.5,0.18440292445167,0.12764282501125,NA,10.8789,0.60969830990365,NA,21.1,0,0,15.6145,15.6145,36.7145,0,NA,502,1.9211634137007,0.56455240665767,32.149604534247,13.673071947051,0.60119760479042,0.085,0.01,5.1356,615.5,0.18499464094319,0.6,21.383333333333,NA,-0.1224,0.37635379061372,0.853,0.4806,0.0042872454448017,261.3,496.3,0.24017731210961,0.19366368805849,-11.9,-0.014251497005988,167.6,0.20071856287425,NA,1.9417057902973,NA,0.0187,0.59437125748503,10.4789,0.67110353247203,835,0.059756984309223,-0.046557120500782,323.2,12.83,119.2,83000,889.2,-11.9,NA,889.2,1.4,1.6422091782284
"10",2002-12-31,37.7,2.56,0.7928,0.31573389651531,NA,483.2,14.5,124.8,0.29714285714286,0.1322594319627,NA,-1.9,0.7106,6.3914893617021,17.4,0,0,81.7,51.0061,99.1,0.37569,NA,295.2,NA,NA,3.6132190942472,2.978809283552,0.31284442560407,-0.03,NA,53.9061,420,0.1732201986755,-0.46,NA,NA,-0.0403,0.32987012987013,NA,0.2905,0.0018625827814569,254,300.4,0.39813581890812,0.2847619047619,47,0.0498092412039,164.4,0.1742263671047,0,1.158950617284,NA,0.08658329800763,0.31835523526918,-2.9,-0.056855914584536,943.6,0.20081152362205,0.18132716049383,305,8,119.6,226385,840.5,-8.1,NA,840.5,1.3,1.1622047244094
