"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,50.6,1.11,0.3653,0.5764,1334.3,4281.9,186.2,627.1,0.2555,0.1716,0.1465,-2.03,0.76,NA,254.2,0.0127,8.1,41,41.1,295,0,NA,1826.9,0.72,0.5,44.45,6.19,0.5,0.175,0.045,111.13,2454,0.6734,1.18,10.56,-0.15,0.105,0.3923,0.068,0.8246,0.0046,2522.6,638.6,2.8428,0.7398,-27.3,-0.0075,237.6,0.065,0.4217,0.48,NA,0.0112,0.17,-70.03,-1.704,3654.9,0.0163,-0.0205,240.2,12.46,1815.4,298260,3623.6,19.2,33.26,3623.6,1.15,0.78
"2",2010-12-31,54.2,1.45,0.4485,0.57186332409305,1420.9,4446.5,151.3,783.1,0.30618548639349,0.28320856388557,0.17611604632857,55.9793,0.61315496098105,7.6531322505801,236.5,0.0124,8.1803,207.2,131.572,443.7,0.365,0.3647752394989,1774.5,0.6998067594747,0.49136069114471,8.5641891891892,3.999323867478,0.64174894217207,0.12,0.1,160.7927,2557.6,0.66182390644327,0.74,17.013513513514,0.02,0.086,0.24540540540541,0.061,0.9003,0.0048802428876644,2535.7,659.7,2.8769137486736,0.74206287144198,86.2,0.031174279411233,182.9,0.066145889841235,0.094898839907193,0.46428320078823,0.63776102088167,0.074933998770388,0.2385808831507,-29.2207,-0.22208930036301,2765.1,0.051887841621643,0.060665775212893,173.4,12.59,1897.9,313172,3611.4,17.8,37.061797752809,3611.4,1.1,0.77063999035796
"3",2009-12-31,55.6,1.1,0.4783,0.59235476771879,1352.2,4310.8,421.6,721.7,0.2513758272379,0.27613253749617,0.16741672079428,-3.565,0.62722140915743,10.825567502987,221.5,0.0098,8.8798,212.2,134.7597,433.7,0.36494,0.36446469248292,2149.3,0.82811897973338,0.83523102630863,10.128652214892,4.9557297671201,0.82235231098868,0.02,0.025,-61.7753,2871,0.66801985710309,1.41,11.078014184397,0.085,-0.2422,0.22742701968771,0.062,0.8664,0.0055674120812842,2595.4,906.1,2.1685244454254,0.6843956809474,83.7,0.03202479338843,231.2,0.088460361187634,0.10609056152927,0.67009318148203,5.4127837514934,0.081190694827058,0.34668656259565,196.535,1.4584107917648,2613.6,0.051922529089928,0.061899127348025,141.9,15.62,1964.9,238465,2573.3,78.1,11.601792573624,2573.3,1.2,0.86551505833409
"4",2008-12-31,56.4,1.17,0.4641,0.58681567865241,1275.5,4014.3,231.8,694.5,0.24699480759656,0.19864424232023,0.17300650175622,-57.3271,0.4309416074122,8.8600531443756,220.2,0.0089,8.9027,255.2,163.5781,475.4,0.35902,NA,2117.3,0.88497387669801,0.76922797456857,8.2966300940439,4.4537231804796,0.60560036611178,0.005,0.03,209.3052,2811.8,0.67493709986797,1.69,10.011834319527,0.145,0.1116,0.40408460977389,0.058,0.8716,0.0065266671648855,2392.5,1000.3,1.8109567129861,0.64424923536525,112.9,0.032292202963217,269.5,0.077083690864367,0.078854472984942,0.78424147393179,17.720106288751,0.072993535838911,0.28611063440307,-45.7271,-0.27954317854286,3496.2,0.0683712,0.088514308114465,160.5,16.92,1811.5,463192,2752.5,85.4,11.713114754098,2752.5,1.25,0.91085195983155
"5",2007-12-31,60.5,0.58,0.3129,0.59766217830734,1246,3990.5,371.2,645.7,0.22704736453462,0.19135820762825,0.16180929708057,-19.6635,0.69031639501438,6.2374371859297,208.9,0.0073111782477341,7.26,344.6,219.1484,553.5,0.36405,NA,2198.2,0.89678524804177,0.60932475884244,6.3789901334881,3.9714543812105,0.65145363482796,0.14,NA,76.5119,2843.9,0.67076807417617,2,9.3,0.15,0.1457,0.44181256436663,NA,0.8997,0.0071419621601303,2451.2,993,1.863947633434,0.6508316044868,159.2,0.047180155884183,284.4,0.084284147823252,0.045603015075377,0.79695024077047,0.4455312275664,0.10212488516137,0.29428325874996,142.6365,0.65086730196914,3374.3,0.089404524314621,0.12776886035313,148.8,18.6,1850.9,440440,3607.6,132.6,7.4886877828054,3607.6,1.35,0.91830540217637
"6",2006-12-31,64,1.09,0.2752,0.60224817715366,1178.3,3731.4,251.6,635.5,0.1854878725081,0.20403249109064,0.17031141126655,-9.5496,0.75581395348837,11.262002743484,189.9,0.0046772228989038,7.68,339.1,205.7048,529,0.39338,NA,2790.6,1.1992780093687,0.84548263952009,8.229430846358,5.275236294896,0.89594503483482,0.125,NA,153.5544,3426.1,0.68478319129549,0.64,41.09375,0.125,0.4558,0.16210360449084,NA,0.9511,0.0082274749423809,2326.9,1642,1.0865408038977,0.52073786521117,145.8,0.04681028670498,160,0.051369313256493,0.052674897119342,1.3935330560978,0.90096021947874,0.10887083828298,0.52717757729476,52.1504,0.25352074437615,3114.7,0.08840295758305,0.12373758805058,146,26.3,1784.1,500322,3300.6,149.5,10.983277591973,3300.6,1.3,1.1565284904132
"7",2005-12-31,58.7,1.49,0.2929,0.66878241630699,913.2,3320.6,328.3,299.7,0.08603910085264,0.1525967413442,0.090254773233753,-95.0673,0.71013997951519,14.59839715049,115.3,0.004296693912407,7.044,220.4,137.6442,335.7,0.37548,NA,3183.6,1.2955155855783,1.0378484107579,14.444646098004,9.4834673815907,1.6209775967413,0.1833,NA,19.7115,3483.3,0.74152261639463,2.42,10.54132231405,0.08,0.6681,0.18628215120811,NA,0.8986,0.0099379630187316,2457.4,1639.4,1.1247407588142,0.5293543478885,112.3,0.057179226069246,169.2,0.086150712830957,0.062724844167409,1.7952255803767,0.7964210120289,0.1122199592668,0.8347250509165,117.9327,0.85679368645166,1964,0.056012129893383,0.12297415681121,90.7,25.51,1843.9,507401,3067.5,153.3,10.694063926941,3067.5,1.3,1.2633926952232
"8",2004-12-31,57.6,1.79,0.469,0.38889324652914,NA,1662.3,212.3,540.5,0.26373572753001,0.34911510140809,0.32515189797269,9.7032,0.76332622601279,18.946341463415,76.8,0.0044676098287416,6.912,144.8052,86.8831,221.6052,0.4,NA,1508.9,2.0546023965142,0.97461568272833,10.420205904208,6.8089557465258,1.305276816609,0.2,NA,-58.3201,2049.4,0.52108524333754,NA,NA,0.09,0.3096,0.36006383403152,NA,0.9058,0,734.4,1553.6,0.31912976313079,0.24192446569728,82,0.070934256055363,28.6,0.024740484429066,0.084292682926829,1.9940957515082,0.94731707317073,0.12526401384083,1.3439446366782,145.2032,1.6712477405632,1156,0.11830490196078,0.10524964702862,62.8,26.86,495.8,577225,1548.2,94.9,16.370916754478,1548.2,1.55,1.6074986273433
"9",2003-12-31,58,1.64,0.4826,0.41045892916528,NA,1529.2,740.5,471.2,0.28466139068447,0.44169478815148,NA,15.7255,0.67965188561956,17.389221556886,74.4,0.0059026069847516,6.96,182.928,111.7306,257.328,0.38921,NA,1184.1,1.6185073810826,1.1099550056243,6.4730385725531,4.6015202387614,1.333445945946,0.166,NA,-570.0949,1655.3,0.51360188333769,1.34,15.171641791045,0.16,0.1356,0.22848664688427,NA,0.7868,0,731.6,1161.6,0.42501721763085,0.29825409291367,66.8,0.075225225225225,78.1,0.08795045045045,0.10419161676647,1.6381328444507,1.0475434672823,0.206,1.3081081081081,681.8255,6.1024068833883,888,0.15272087632586,0.094203920462558,64.4,20.33,493.7,270766,1066.8,78.3,14.835249042146,1066.8,1.45,1.3762055204523
"10",2002-12-31,57.4,1.74,0.5841,0.17756889003348,NA,999.4,94.5,425.4,0.3654011338258,0.54932851239669,NA,52.9,0.655,13.107279693487,57.5,0.0044743252460294,4.592,118.2,72.0996,175.7,0.39002,NA,738.8,NA,NA,6.2504230118443,4.2048947068867,0.95402892561983,0.17,NA,35.0996,1164.2,0.34480688413048,1.07,16.532710280374,NA,0.273,0.42087542087542,NA,0.7546,0,351.2,1026.3,0.13436616973595,0.11845043806906,78.3,0.10111053719008,-21.2,-0.027376033057851,0.058646232439336,1.6068576796618,0.77101645255803,0.15263429752066,1.3252840909091,37,0.51317873504937,774.4,0.20529509111617,0.12259276655707,62.4,17.69,137.9,307574,858.8,67.1,15.295081967213,858.8,1.4,2.1036446469248
