"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,1333.8,1.72,0.3438,0.2411,31263,55201,4016,4827,0.0474,0.1221,0.0874,398.96,0.8,19.22,3281,0.016,1467.18,6622,5007.76,9903,0.2438,0.2463,96934,2.67,2.31,14.64,9.79,2.45,0.165,0.145,3873.8,101761,0.2354,4.79,14.47,0.09,0.125,0.1548,NA,0.7274,0.3448,36369,91828,0.1082,0.0976,4777,0.1208,6551,0.1657,0.265,2.94,1.17,0.1675,2.32,1133.96,0.2264,39540,0.1377,0.1528,1500,69.3,9933,6341257,41948,5536,16.59,41948,1.25,2.47
"2",2010-12-31,1361,1.39,0.3646,0.20621282220754,31226,51767,2914,4990,0.050260619948128,0.18180493314388,0.09639345529005,1795.4555,0.8,26.751907276995,2759,0.0147,1340.2063,4313,3401.4906,7072,0.21134,0.21111111111111,94292.5,2.7452107837429,2.5055802088593,21.862392766056,13.333215497738,3.435439210114,0.15,0.175,1451.035,99282.5,0.23317943863852,4.63,14.753779697624,0.23,0.0616,0.27155487602207,NA,0.7115,0.36923136361002,34348,91170.5,0.088976149083311,0.081706242288419,3408,0.12416657558203,4838,0.17626698728459,0.39325303697183,2.9196983283162,1.783460485133,0.15713921375742,3.3216927168725,1950.4555,0.57341200471024,27447,0.099030236986142,0.10913981938129,1569,68.31,8112,9496665,37633,4407,20.687656001815,37633,1.2,2.523831918247
"3",2009-12-31,1195,1.32,0.4197,0.22276422764228,19120,33465,2395,4616,0.038965325418713,0.20333010307462,0.13793515613327,181.6492,0.71479628305933,35.79984157161,2476,0.0101,1141.1414,3882,3122.1761,6358,0.19573,0.19776309100153,113848.3,5.6969725780625,4.7192961366274,29.32722823287,17.906307014784,5.0149017707691,0.09,0.115,3021.5269,118464.3,0.28865979381443,3.46,24.132947976879,0.36,-0.1649,0.2389158933569,NA,0.7147,0.18201105632751,19984,112984.3,0.048502314038322,0.046258661892233,3156,0.1390185886706,2900,0.12774204915866,0.36157839987326,5.9092207112971,3.9777601746233,0.17099814994274,4.9768434499163,100.6492,0.032236872421817,22702,0.15623379403523,0.16506276150628,1425,83.5,5480,9085173,24124,3182,35.507322438718,24124,1.2,4.8156219512195
"4",2008-12-31,1194.1,1.17,0.3881,0.23883123507559,16862.4,31990.7,3723,3691.7,0.044150271417073,0.13590964145949,0.11539916288171,-328.5808,0.49471785622262,14.512840466926,2268.5,0.0129,1010.4028,6697.9,5300.0483,8966.4,0.2087,NA,79925,4.3292564024787,3.354528666163,11.932844622942,8.9138338686652,2.9424325090473,0.025,0.045,4174.129,83616.7,0.30290990819207,2.66,24.46992481203,0.41,0.1685,0.33961375412153,NA,0.7519,0.18783583979094,18461.6,78325.8,0.067549900543627,0.06327563752217,5397,0.19869012513391,2674.7,0.098468867462605,0.18721564202335,4.6449971534301,5.8051361867704,0.24658265501843,2.8835580884221,1125.9192,0.2124356569613,27162.9,0.28708499100836,0.32006120125249,1498,65.09,5290.9,10292015,23826,3490.5,22.439707778255,23826,1.2,3.7744579814294
"5",2007-12-31,1195.6,1.51,0.3981,0.25578079505318,14875.9,27853.4,2931.7,3169,0.062344826500781,0.13614589822353,0.11377426095198,-238.4976,0.48229088168802,8.8742551002582,1954,0.021967605402745,1004.304,6467.5,5053.8985,8421.5,0.21857,NA,47661.2,2.8336702418607,1.7956492581737,7.3693390027058,5.6594668408241,2.047610250682,0.135,0.14,4314.6962,50830.2,0.2875052955833,5.18,8.1718146718147,0.355,0.1925,0.50077082914405,0.033,0.7728,0.18461300954282,16819.6,45717.5,0.11183244928091,0.10058390484397,5151.7,0.22132623031813,1699.7,0.073022146800421,0.19494613428577,3.0732594330427,0.65735222964875,0.27785534766825,1.9641054282216,739.2024,0.14626379272923,23276.5,0.30047673696164,0.34631181978906,1327.3,42.33,5112.7,7771271,26542.6,5632.4,8.1168773524608,26542.6,1.2,2.5429594869075
"6",2006-12-31,1177.9,0.87,0.2731,0.36484550724461,10419.9,22832.1,2457.1,2998.9,0.024500196481952,0.15594498322976,0.131345780721,-172.4944,0.58586598315635,31.068746497291,1561.4,0.0070825140850575,824.53,4896.4,3719.2565,6457.8,0.24041,NA,119404.2,8.906507339778,5.3355705597683,24.386120414999,18.489919167518,6.2091053274746,0.175,0.12,2996.0509,122403.1,0.24421757087609,4.68,20.940170940171,0.27,0.3436,0.3469387755102,0.033,0.787,0.21849063380066,13406.4,116417.7,0.051413144221197,0.048899088340083,3747.1,0.19485192792699,1053.6,0.054787967031538,0.22004483467215,11.172631215271,1.7753569427024,0.2546163646291,6.0538051532722,723.2056,0.19444896292167,19230.5,0.27742395244063,0.35960997706312,1120.1,98,5985.4,9879934,22378.9,4923.9,23.643392432828,22378.9,1,7.461192419523
"7",2005-12-31,1177.6,1.7,0.2848,0.36628406861722,7591.6,18077.5,1592.5,3495.7,0.044049915761167,0.24429737511531,0.19337297745817,-85.4111,0.64606741573034,37.067886279357,1351,0.0078538291418678,588.8,2761,2127.4333,4112,0.22947,NA,75862,8.9419835451095,4.2372010411198,27.476276711336,18.44892996109,5.3016241299304,0.18,0.115,1971.3444,79357.7,0.23236620107869,3.33,18.966966966967,0.085,0.2458,0.21896530637205,0.02,0.7714,0.16166505324298,8483.8,74969.8,0.058528900970791,0.05529268111349,2022.5,0.14134263271182,340,0.02376093701954,0.29112484548826,9.8753622424785,2.0593270155198,0.19295278562044,5.2392726357868,156.0889,0.07336960157034,14309.2,0.25076420118343,0.2664128773908,925,63.16,4387.9,5719700,17903.8,3089.3,24.267568704885,17903.8,1.15,6.6244584498518
"8",2004-12-31,588.5,1.13,0.2709,0.43241964219434,NA,16000.8,1215.8,2997.4,0.047897704029454,0.2244654959374,0.18732813359332,12.5483,0.83425618309339,46.856322304021,1307.9,0.0086401974902283,494.34,1586.2584,1254.7304,2894.1584,0.209,NA,59581.8,7.6589197110317,4.4618863968248,37.561219060385,20.586917284231,5.1899618473546,0.14,0.045,1334.2821,62579.2,0.23509449527524,3.86,25.186528497409,-0.035,-0.1773,0.23982663135083,0.034,0.7526,0.17430378481076,7779.4,57919.1,0.080458777847031,0.074467235119656,1236.1,0.10767234020313,76.9,0.0066984895733524,0.39991910039641,9.4690110680596,3.3468801645729,0.13817341335517,5.0451298757861,-79.5517,-0.063401443715938,11480.2,0.16128884107,0.20208609217389,852.1,97.22,4660.1,2444900,13353.5,0,NA,13353.5,1.1,5.8068443322693
"9",2003-12-31,585.9,1.14,0.2821,0.5607561092191,NA,20041.3,1025.3,3109,0.066791556206738,0.25097678323485,NA,-203.2724,0.80822403403049,42.86286780852,1570.9,0.011524277811924,439.425,2474.272,1769.921,4045.1721,0.28467,NA,43438.8,4.2253175884676,3.506635667926,17.556193881121,10.73843074057,3.1267581302276,0.145,0.04,2518.7934,46547.8,0.1895934894443,2.28,28.543859649123,-0.09,0.0244,0.18437552957126,0.037,0.7327,0.18400003991757,10280.6,39039.5,0.19232572138475,0.16130300465328,910.8,0.065560082345997,1876.4,0.1350647107093,0.4824604743083,6.6379031846701,2.9560598488634,0.1781,2.8100931431122,-748.8724,-0.42311062233304,13892.6,0.17216125835844,0.15486372060599,1569.3,65.08,7508.3,1623100,12387.6,1040.6,37.51633672881,12387.6,1.05,3.4764145306805
"10",2002-12-31,582.2,1.13,0.3449,0.56099795616323,NA,19435.2,1366,1736,0.044767651761308,0.12884359901141,NA,894.5,0.7181,45.527073732719,1545.1,0.013996077687101,442.472,1064.5,797.0657,2609.6,0.25123,NA,37042,NA,NA,34.797557538751,14.194512568976,2.7492077157722,0.15,0.07,976.1657,38778,0.23996665843418,1.8,30.533333333333,NA,-0.0298,0.20508814996652,0.038,0.7129,0.21764633242776,11034.1,31614,0.22660846460429,0.1847439269689,694.4,0.051537439604563,134.1,0.0099527227116531,0.63720046082949,5.6392144271419,3.0351382488479,0.079005766790117,2.3463488128725,-179.1,-0.2246991783293,13473.7,0.072236581597049,0.12386507554271,1715.8,54.96,7164,3136768,13744,NA,NA,13744,1.05,3.357047697592
