"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,61.3,1.05,0.2467,0.5653,601.9,2074.4,76.4,131.9,0.038,0.0467,0.0636,0,0.8,23.75,62.4,0.0308,82.76,256,159.15,318,0.3773,0.3773,3339.3,2.67,1.18,13.06,10.5,1.18,0.12,0.045,145.15,3471.2,0.206,NA,NA,0.06,0.03,0.2238,0.3279,0.6999,0.2972,1252.6,2688.6,0.2911,0.2255,113.2,0.0401,436,0.1543,0.7311,4.47,1.98,0.0904,0.95,14,0.088,2826.1,0.1271,0.1881,705.7,44.05,782.6,179006,2826.1,113.2,23.75,2826.1,0.9,2.51
"2",2011-09-30,60.8,0.85,0.2733,0.58680248007086,559.8,2052.2,100.3,130.9,0.036272445134117,0.046161441619353,0.063785206120261,0,0.8,23.082854799016,60.7,0.0259,72.8774,314.5,196.8047,375.2,0.37423,0.37422997946612,3477.9,2.8416537298799,1.226469654759,11.058505564388,9.2694562899787,1.226469654759,0.13,0.045,157.2047,3608.8,0.19233018224345,NA,NA,0.085,-0.0077,0.20504919988073,0.337,0.7251,0.30635415651496,1223.9,2813.8,0.28253607221551,0.22029483484815,121.9,0.04298762210389,396.2,0.13971858800296,0.5978459392945,5.0264380135763,1.7756042153089,0.11090735973481,0.99227703917904,39.6,0.20121474254688,2835.7,0.16080126235804,0.21775634155055,688.5,46.69,795,657024,2835.7,121.9,23.082854799016,2835.7,0.95,2.6637142013581
"3",2010-09-30,66.8,0.62,0.4487,0.4524423435038,764.5,2164,83.4,89.1,0.022147100494643,0.028376699894901,0.041173752310536,0,0.55716514374861,15.967043314501,59.4,0.0197,66.8106,400.6,251.8853,460,0.37123,0.37122557726465,3934,3.0097161655573,1.2529061435078,9.8202695956066,8.5521739130435,1.2529061435078,0.225,0.05,227.8853,4023.1,0.18243992606285,NA,NA,0.03,-0.0095,0.18910152448913,0.329,0.6657,0.32486136783734,1307.1,3391.4,0.186265259185,0.15701821978077,212.4,0.067645466416128,419.6,0.13363482913469,0.31455075329567,4.4361020274689,0.70964636953338,0.12758368100895,1.0800980922959,24,0.095281477802381,3139.9,0.19270542575166,0.27782864617397,746.7,50.77,631.7,468778,3139.9,212.4,15.967043314501,3139.9,1,2.8814639736427
"4",2009-09-30,66.2,0.59,0.4653,0.58088340742865,584.5,2220.1,72,71.6,0.021027282605503,0.022791660035015,0.032250799513535,0,0.36105738233398,16.92759295499,60.4,0.0128,33.216,289.8,210.8498,350.2,0.27243,NA,3333.5,2.5196523053666,1.0611173006526,11.5027605245,9.5188463735009,1.0611173006526,0.235,0.055,199.2498,3405.1,0.16652403044908,NA,NA,-0.04,0.0377,0.28001157072606,0.335,0.652,0.33304806089816,1323,2595,0.31217726396917,0.23790784411618,153.3,0.048798344739774,422.9,0.13461722107274,0.21667318982388,4.4396920444825,0.72032310446767,0.092248925672449,0.82603851663218,11.6,0.055015469638656,3141.5,0.15937247619048,0.2622754491018,799.2,39.31,810.1,818424,3141.5,153.3,16.92759295499,3141.5,1.05,2.4416320091783
"5",2008-09-30,65.2,0.54,0.4397,0.69593371396741,436.7,2156.3,56.1,84.7,0.029851272291534,0.028405661010128,0.039280248573946,0,0.4184671366841,NA,70.3,0.017737635344687,32.6,222,111,292.3,0.6,NA,2752.7,2.036773954865,0.92316721443423,12.39954954955,9.4173794047212,0.92316721443423,0.235,0.06,125.2,2837.4,0.15957890831517,2,14.86,NA,0.0208,0.43209441606482,0.347,0.6512,0.34545285906414,1351.5,1837.9,0.5438271940802,0.35225911045323,-10.9,-0.0036555100945738,432.1,0.14491246897847,NA,4.2086100297687,NA,0.074451673485814,0.61637266080891,-14.2,-0.12792792792793,2981.8,0.082130965593785,-0.024959926723151,717.6,29.72,999.5,408033,2981.8,-10.9,NA,2981.8,1.15,1.9756301350787
"6",2007-09-30,64.1,1.91,0.2469,0.69989355707219,479.3,2277.2,54,67.9,0.019397783110502,0.023643707779093,0.029817319515194,0,0.68043742405832,21.010582010582,67.5,0.013451691429531,32.05,303.6,183.0313,371.1,0.39713,NA,3432.5,2.2446377190688,1.1952434013511,11.305994729908,9.2495284289949,1.1952434013511,0.165,0.075,196.5313,3500.4,0.16067978218865,2.35,14.8,0.115,0.1063,0.26333150082463,0.355,0.6721,0.38718601791674,1529.2,2382.6,0.46915134726769,0.3193349331505,113.4,0.039487429486733,431.2,0.15014973187548,0.2826278659612,4.9709993740872,1.2733686067019,0.10571766836131,0.82965387561808,-13.5,-0.073757863489733,2871.8,0.11969090504839,0.2365950344252,700.9,34.78,1117.8,686800,2871.8,113.4,21.010582010582,2871.8,1.05,2.1917224970259
"7",2006-09-30,66.6,1.11,0.1711,0.30788918036982,1081.7,2217.6,57,48.1,0.012179990377554,0.017833969819436,0.021690115440115,0,0.8,26.133383571967,67,0.0096023530090256,33.3,319,198.8327,386,0.3767,NA,3901,2.5752574597307,1.4463683215305,12.228840125392,10.10621761658,1.4463683215305,0.195,0.075,208.8327,3949.1,0.16576479076479,NA,NA,0.14,0.1589,0.19034152708288,0.337,0.6817,0.39808802308802,1514.8,3467.9,0.13875832636466,0.12185054822618,132.7,0.049200993659857,403.7,0.14967928515813,0.2509419743783,3.2059720809836,1.3401735165111,0.11827518445738,1.2857884394349,-10,-0.050293538235914,2697.1,0.13126003432796,0.12267726726449,636.9,51.65,481.2,197400,2697.1,132.7,26.133383571967,2697.1,0.95,2.5267771450509
"8",2005-09-30,67.8,0.85,0.2005,0.27717123335916,NA,2018.9,40.4,80.2,0.022443611126658,0.033849660237201,0.039724602506315,0,0.84788029925187,31.672310756972,67.2,0.011064394777606,33.9,226.5932,143.8957,293.7932,0.36496,NA,3493.2,2.6078387458007,1.4743595154687,15.416173124348,11.88999609249,1.4743595154687,0.18,0.075,170.6957,3573.4,0.16692258160384,2.55,17.721568627451,0.085,0.1249,0.18271771864053,0.359,0.6612,0.43211649908366,1339.5,3179.9,0.12374602974936,0.11011921419376,100.4,0.04237538513485,232.5,0.098130249440763,0.33764940239044,3.0987137010329,1.7595728198318,0.095637192419702,1.3421263664373,-26.8,-0.18624595094464,2369.3,0.10742496881523,0.09783667900994,633.8,45.19,393.5,332000,2369.3,100.5,31.6407960199,2369.3,0.9,2.5170106360499
"9",2004-09-30,32.8,0.61,0.1944,0.41894764815307,NA,2047.8,35.1,172.8,0.057154197261361,0.084793169439128,NA,0,0.6275720164609,23.808955223881,57.7,0,0,271.8559,172.3756,329.5559,0.36593,NA,2850.6,2.1394476133293,1.3987928750184,10.485703710783,8.6498234320579,1.3987928750184,0.155,0.085,194.9756,3023.4,0.16017189178631,4.4,16.493181818182,0.115,0.0409,0.13657479095695,0.359,0.6213,0.41454243578474,1332.4,2392.8,0.2635406218656,0.2085731295892,100.5,0.049315471809215,246,0.12071249815987,0,2.7358792590899,1.5360616273471,0.1334,1.1741498601502,-22.6,-0.13110900893399,2037.9,0.12937229446878,0.11490967299337,555.6,72.57,630.6,27600,2037.9,100.5,23.808955223881,2037.9,0.95,2.0086367260165
"10",2003-09-30,32,0.93,0.2879,0.50989365998115,NA,2027.9,51.8,155.9,0.062437422403781,0.081618763415528,NA,32.8,0.7084,16.756262042389,52.2,0,0,204.1,129.7341,256.3,0.36436,NA,2341,NA,NA,11.469867711906,9.1338275458447,1.2255902832312,0.205,0.045,130.1341,2496.9,0.16677350954189,4.05,14.565432098765,NA,0.0205,0.1393404115381,0.389,0.649,0.412002564229,1329.9,1739.3,0.43557753119071,0.3034162361328,103.8,0.054342704570441,263.9,0.13816030574315,0,2.3884921724801,0.81737863621411,0.10685304434323,0.91058059787446,-0.40000000000001,-0.0030832288966626,1910.1,0.097551788856305,0.14254325734688,486.7,58.99,757.6,174954,1910.1,103.8,16.756262042389,1910.1,0.95,1.7602827280247
