"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,64.1,1.37,0.3996,0.4024,1462.9,3799,1633.1,119.2,0.0271,0.0849,0.0314,-4.27,0.8,15.84,511.1,0.0019,6.41,366,232.44,877,0.3646,0.3646,4278.5,1.84,2.97,11.7,4.88,3.05,0.18,-885.29,4397.7,0.8151,0.94,55.54,-0.005,0.085,0.363,NA,0.8794,0.0019,2328.8,3412.6,0.2887,0.224,215.4,0.1535,-161.8,-0.1153,NA,2.33,0.88,0.2607,2.43,1117.73,4.8086,1403.3,0.0998,0.1472,118.5,52.21,985.1,749463,1440.3,-82.8,NA,1440.3,1.4,1.8
"2",2010-12-31,63.3,1.6,0.4726,0.20989495525872,1218.5,2744.3,669,5.1,0.0010198572199892,0.0046669106881406,0.0018583974055315,-46.7425,0.74058400338553,23.765243902439,336.1,0.0014,6.5478,324.4,202.7792,660.5,0.37491,0.37503969514132,4995.6,3.250016264394,3.8061714285714,15.399506781751,7.5633610900833,4.5713762811127,0.4624,-83.3783,5000.7,0.85530007652225,2.55,28.666666666667,0.1,0.3021,0.24691792884819,NA,0.8976,0.0016033232518311,1537.1,4677,0.069211032713278,0.064730937668726,196.8,0.1800878477306,-232.5,-0.21275622254758,0.033271341463415,3.8383258104227,0.51395423664444,0.29685212298682,4.279831625183,286.1575,1.4111775939101,1092.8,0.13192322945807,0.16151005334428,106.7,73.1,323.7,995511,1312.5,373.2,12.532154340836,1312.5,1.4,3.2425755414343
"3",2009-12-31,62.8,1.36,0.5386,0.31844592229612,973.6,2360.9,379.3,10.6,0.0025996321275291,0.012737322758952,0.0044898132068279,-24.6282,0.6498329001114,154.15319148936,304.2,0.0017,6.1584,58.2,46.2556,362.4,0.20523,0.20608108108108,4066.9,2.868255871359,3.9078504852503,69.878006872852,11.222130242826,4.8869262196587,-0.015,-4.2162,4077.5,0.83959506967682,1.15,51.24347826087,0.2,-0.3654,0.32169686257181,NA,0.9229,0.0001694269134652,1417.9,3622.6,0.12557279302159,0.11156345800123,23.5,0.028238404229752,-98.3,-0.11812064407594,0.26206042553191,3.7208299096138,NA,0.069935111751983,4.353040134583,50.4718,1.0911507024891,832.2,0.032622620777206,0.024137222678718,76,58.93,454.9,781753,1040.7,150.3,24.10246174318,1040.7,1.4,2.854392719636
"4",2008-12-31,62.3,1.57,0.5284,0.34256559766764,1127.5,2695,827.4,7.1,0.0025001760687372,0.0054560823791593,0.0026345083487941,-2.8191,0.42392127176381,7.3845901639344,314.3,0.0028,6.3064,503.9,320.3242,818.2,0.36431,NA,2832.7,1.6585865683003,3.3388731730316,5.6215518952173,3.4621119530677,2.1768231768232,0.12,-189.9567,2839.8,0.8665306122449,NA,NA,0.335,0.3294,0.54486398700771,NA,0.9182,0.00051948051948052,1707.9,2252.3,0.26084447009723,0.20688076625114,305,0.23438100361177,8.1,0.0062245446860831,0.020676852459016,1.9976053215078,0.6153825136612,0.38722815645893,1.7308076538846,510.2809,1.5930139466478,1301.3,0.18755441829147,0.27050997782705,79.5,34.24,587.5,942418,848.4,62.1,36.268921095008,848.4,1.4,1.655860058309
"5",2007-12-31,63,1.28,0.4316,0.39873241398524,863.3,2571.7,820.6,44.7,0.02561164269753,0.045146954853045,0.01738149861959,45.5124,0.46339202965709,6.182393252504,227.6,0.0053717598908595,6.3,383,241.9871,610.6,0.36818,NA,1700.6,1.2224858026023,1.2899946901312,4.4402088772846,2.7851293809368,1.7176042823957,0.104,-396.5254,1745.3,0.85449313683556,4.35,4.6689655172414,0.305,0.0974,0.63256161314414,NA,0.8884,0.0046272893416806,1391.1,1172.8,0.4881480218281,0.32802383544376,189.7,0.19159680840319,-137.3,-0.13867286132714,0.033210332103321,1.3585080505039,0.59446088966384,0.38682961317039,1.1845268154732,638.5124,2.6386222184259,990.1,0.17395374883186,0.21973821383065,60.1,20.31,572.5,761122,1318.3,250.5,4.6818363273453,1318.3,1.25,1.2155592700933
"6",2006-12-31,55,1.6,0.3019,0.37101277603858,743.4,1899.1,725.7,2.9,0.001015086282334,0.0036816046718294,0.0015270391237955,-4.0238,0.52997681351441,12.728421052632,154.5,0.0022742308964605,5.5,347.3,223.4598,501.8,0.35658,NA,2854,2.420695504665,3.1102877070619,8.2176792398503,5.6875249103228,3.623206804621,0.0918,-343.7164,2856.9,0.86277710494445,3.39,11.182890855457,0.315,0.0991,0.17569352708058,NA,0.8668,0.0067926912748144,1179,2418.4,0.18131822692689,0.15348804648395,190,0.24120858194744,24.4,0.030976259997461,0.028947368421053,3.2531611514662,1.3865382410274,0.44090389742288,3.0702043925352,567.1762,2.5381579600613,787.7,0.18953330449534,0.25558245897229,38.9,37.91,438.5,537700,917.6,200.6,12.055832502492,917.6,1,2.4172095777985
"7",2005-12-31,56.8,1.47,0.2947,0.14928272564256,569.3,1268.7,344.8,16.4,0.0076325219900405,0.02217414818821,0.012926617797746,1.1397,0.46148625721072,13.487820934825,132.8,0.0027723545490043,5.68,362.1,230.9293,494.9,0.36225,NA,2132.3,3.2663909313726,2.6230778693566,5.8887047776857,4.3085471812487,2.8830448891293,0.1,17.7895,2148.7,0.82730353905573,2.98,12.362416107383,0.41,0.7135,0.15388509238168,NA,0.9227,0.0074879798218649,652.8,2048.8,0.048760249902382,0.046493228463722,151.9,0.20538128718226,-11.5,-0.015548945375879,0.037393021724819,3.5988055506763,1.3487820934826,0.48958896700919,2.7701460248783,213.1397,0.9229654304161,739.6,0.353751953125,0.26681890040401,32.8,36.84,99.9,211300,812.9,197.7,10.363176530096,812.9,0.85,3.2108487746563
"8",2004-12-31,57,0.54,0.2697,0.22018348623853,NA,945.5,268.2,7.8,0.0035089297764182,0.012223789374706,0.0082496033844527,1.988,0.40044493882091,22.552432432432,90.2,0.0027181299266105,5.7,150.1705,94.9723,240.3705,0.36757,NA,2215.1,3.6105949470253,3.4713994671682,14.750566855674,9.2153571257704,5.1145232048026,0.0933,-85.0157,2222.9,0.85510312004231,3.02,12.182119205298,0.48,0.0903,0.35797986466414,NA,0.8525,0,613.5,2086.1,0.065576913858396,0.061541229924873,92.5,0.2135765412145,4.2,0.0096975294389286,0.061621621621622,4.3056759545924,2.4171953303786,0.3467340106211,4.8166705148926,179.988,1.8951624629318,433.1,0.15480412276284,0.19091847265222,22,36.79,136.8,379500,638.1,127.3,16.387274155538,638.1,0.8,3.5778206985353
"9",2003-12-31,28.2,0.39,0.2489,0.2207818109294,NA,735.9,200.2,27.3,0.021311475409836,0.06830122591944,NA,-0.3563,0.31337886701487,12.988901220866,82,0.002465483234714,2.82,241.3425,148.9325,323.3425,0.3829,NA,1253.7,2.6443788230331,3.1366024518389,5.1946915448346,3.8773123968567,3.1827875095202,0.0833,31.0888,1281,0.74711237939938,2.82,14.382978723404,0.275,0.9867,0.24008651766402,NA,0.8078,0,474.1,1170.3,0.094591130479364,0.086416861826698,90.1,0.22873825844123,-24.2,-0.061436912922061,0.031298557158712,2.9953928845662,1.5592918632492,0.6127,2.971058644326,117.8437,0.79125567272653,393.9,0.31413726062645,0.23061172254927,25.2,40.56,110.7,94500,399.7,90.5,12.931491712707,399.7,0.7,2.554846429996
"10",2002-12-31,28,0.54,0.4303,0.27499394819656,NA,537.1,184.7,13.1,0.014368761654053,0.066700610997963,NA,-9.2,0.274,28.916666666667,54.4,0.0035083322891868,2.8,49.4,31.9751,103.8,0.35273,NA,898.6,NA,NA,18.19028340081,8.6570327552986,4.5753564154786,0.08,-98.3249,911.7,0.87860733569168,2.38,11.920168067227,NA,-0.0603,0.11111111111111,NA,0.6762,0,400,798.1,0.14233805287558,0.12460239113744,27.6,0.14052953156823,-11,-0.056008146639511,0.10144927536232,2.664774624374,3.6145833333333,0.25152749490835,4.0636456211813,130.3,4.0750410522075,196.4,0.079937845,0.092153589315526,14.3,28.37,113.6,130875,351.3,72.5,11.008275862069,351.3,0.65,2.2465
