"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,279.3,1.31,0.4092,0,415.3,504.7,13.2,329.5,0.695,1.2688,0.6529,-0.18,0.8,NA,12,0,0,6,5.82,18,0,144.6,1.69,0.57,24.85,8.12,0.56,NA,4.79,474.1,0.0438,NA,NA,0.01,0.3915,NA,0.5091,0.0125,85.8,474.1,0,0,-12.7,-0.0489,6.9,0.0266,NA,1.14,NA,0.0224,1.83,1.02,0.1761,259.7,0.0678,-0.0306,158.6,1.7,0,4558637,253.1,-30,NA,253.1,1.35,1.14
"2",2010-12-31,277.2,1.56,0.4795,0.00047709923664122,419,556,17.3,321.3,0.46966817716708,1.2888086642599,0.57787769784173,0.1771,0.70385818561001,NA,11.9,0,0,-10,-10,1.9,0,362.8,3.70582226762,1.3512104283054,NA,190.94736842105,1.4552747693542,NA,-15.5771,684.1,0.038309352517986,NA,NA,0.085,0.35725938009788,NA,0.537,0.01205035971223,97.9,683.9,0.00029244041526539,0.00029235491887151,-10.7,-0.042920176494184,2.3,0.0092258323305254,NA,1.6322195704057,NA,-0.040112314480546,2.7432811873245,5.5771,NA,249.3,-0.10214504596527,-0.025536992840096,163.2,2.4,0.2,2778881,268.5,-5,NA,268.5,1.35,1.6319179389313
"3",2009-12-31,274.5,1.77,0.545,0.0012056908608633,414.2,540.7,6.6,364.5,0.50986151909358,1.6021978021978,0.67412613279083,-0.3923,0.61926605504587,NA,10.3,0,0,-7.8,-7.8,2.5,0,350.4,6.9800796812749,1.4910638297872,NA,140.16,1.5402197802198,0.18,-3.7077,714.9,0.027002034399852,NA,NA,-0.2781,0.36363636363636,NA,0.4721,0.0099870538191234,50.2,714.4,0.00069988801791713,0.00069939851727514,-4.9,-0.021538461538461,-11.9,-0.052307692307692,NA,1.7247706422018,NA,-0.034285714285714,3.1402197802198,-4.0923,NA,227.5,-0.15537848605578,-0.011830033800097,152,2.67,0.5,2469138,235,-11.8,NA,235,1.35,1.7238967928623
"4",2008-12-31,272.8,2.01,0.5406,0.0012288031457361,406.4,535.6,9.7,303,0.51574468085106,0.96774193548387,0.56572068707991,-5.0292,0.39955604883463,NA,12.7,0,0,-24.1595,-24.1595,-11.4595,0,284.5,2.7382098171319,1.1457913813935,NA,NA,0.9086553816672,0.1,-16.1303,587.5,0.033420463032113,NA,NA,-0.0314,0.38418079096045,NA,0.4148,0.010455563853622,103.9,587,0.00085178875638842,0.00085106382978723,-99.4,-0.31747045672309,24.3,0.077610986905142,NA,1.4443897637795,NA,-0.077162120728202,1.8748003832641,-8.0292,NA,313.1,-0.2325260827719,-0.24458661417323,207.5,2.11,0.5,1949884,248.3,-111.7,NA,248.3,1.35,1.4438436962399
"5",2007-12-31,270.3,6.76,2.0911,0.0064412238325282,493.6,694,11.7,326,0.87259100642398,1.0177958164221,0.46974063400576,-0.1132,0.099469178901057,NA,13.7,0,0,-27.1206,-27.1206,-13.4206,0,47.6,0.27868852459016,0.14819427148194,NA,NA,0.14861067748985,0.125,-25.0073,373.6,0.026657060518732,-0.06,NA,0.1014,0.68289290681502,NA,0.4721,0.015850144092219,170.8,370.4,0.0086393088552916,0.0085653104925054,-7.6,-0.023727755229472,40.3,0.12581954417733,NA,0.75040518638574,NA,-0.084672400874181,1.1564158601311,-2.1132,NA,320.3,-0.15878553864169,-0.015397082658023,217.8,1.58,3.2,1723711,321.2,26.7,13.87265917603,321.2,1.3,0.75201288244766
"6",2006-12-31,259.8,6.76,2.0911,0.0013853613484184,432.5,589.6,10.6,300.7,0.19401251693658,1.0758497316637,0.51000678426052,-0.9502,0.1032949165511,15.056365403304,9.5,0,0,22.5,22.5,32,0,1249.2,9.4350453172205,4.1336863004633,55.52,39.0375,4.4694096601073,0.258,22.3502,1549.9,0.032394843962008,-0.02,NA,0.3794,0.27542372881356,NA,0.5885,0,132.4,1549.3,0.00038727167107726,0.00038712174979031,102.9,0.36815742397138,11.7,0.041860465116279,0,3.5821965317919,0.58358005439163,0.080500894454383,5.5431127012522,0.1498,0.006656330749354,279.5,0.16993957703928,0.23791907514451,156.6,5.06,0.6,6813339,302.2,36,43.036111111111,302.2,1.35,3.5786192565227
"7",2005-12-31,249.4,6.76,2.0911,0,280.2,456.6,14.2,296.2,0.17639352072415,1.5220966084275,0.64870784056067,2.1028,0.099469178901057,199.90476190476,8,0,0,-0.4,-0.3728,7.6,0.06805,1383,NA,6.2579185520362,NA,181.97368421053,7.1068859198356,0.26,-8.6756,1679.2,0.033289531318441,NA,NA,0.1307,0.32647333956969,NA,0.611,0,-16,1679.2,0,0,8.4,0.043165467625899,-15.5,-0.079650565262076,0,5.9928622412563,7.6886446886447,-0.0020554984583762,8.6289825282631,8.3028,NA,194.6,NA,0.029978586723769,117.5,6.59,0,3416338,221,17.7,94.870056497175,221,1.3,NA
"8",2004-12-31,247.5,0,0,0.036363636363636,NA,393.8,9,292.1,0.30433423629923,1.6005479452055,0.74174707973591,-1.424,NA,38.767346938776,8.2,0,0,22.0139,21.4129,30.2139,0.0273,667.7,NA,3.6586301369863,30.330836426076,22.099100083074,3.9115407147042,0.29,22.0369,959.8,0.020822752666328,NA,NA,0.635,0.34098018769552,NA,0.4919,0,-17.1,949.8,0.010528532322594,0.010418837257762,24.5,0.14352665495021,-20.6,-0.12067955477446,0,3.5841509433962,1.3368050668543,0.12896250732279,5.5641476274165,-0.624,-0.029142159541681,170.7,-1.2522175748538,0.092452830188679,95.7,3.72,10,3886367,182.5,9.6,98.9375,182.5,1.5,3.4901818181818
"9",2002-12-31,204.6,7.01,2.1253,0.19345661450925,NA,141.5,3,111.2,0.060072389390092,1.776357827476,NA,187.1,0.7255,NA,17,0,0,-49.1701,-49.1701,-32.1701,0,1739.9,NA,NA,NA,NA,27.79392971246,0.356,-35.1701,1851.1,0.079151943462898,NA,NA,-0.6394,0.81987000928505,NA,0.5477,0.0084805653710247,-40.9,1837.5,0.0074013605442177,0.0073469828750473,-68.5,-1.094249201278,-52.3,-0.83546325878594,NA,32.407407407407,NA,-0.78546549520767,29.35303514377,-14,NA,62.6,NA,-1.2081128747795,79.3,7.47,13.6,3220824,78.7,NA,NA,78.7,1.7,NA
"10",2001-12-31,NA,NA,NA,0.097,NA,184.9,23,125.1,0.4988038277512,0.72228637413395,NA,13.1516,NA,NA,122.9,0,0,-51.4488,-51.4488,71.4512,0,125.7,NA,NA,NA,1.7592426719215,0.72575057736721,0.2183,35.2996,250.8,0.12601406165495,-0.28,-4.3928571428571,2.0082,0.94039735099338,0,0.1863,0.024337479718767,-11.127,239.7,0.04630788485607,0.044258373205742,-270.7,-1.5629330254042,-26.989,-0.15582563510393,NA,2.3294460641399,NA,-0.29704849884527,1.3839491916859,-86.7484,NA,NA,NA,-2.6307094266278,164.1,1.23,11.1,5980000,173.2,-71,NA,88.8,1.6,NA
