"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,100.2,0.76,0.1706,0.4768,1411.8,3986.2,173.4,175.5,0.041,0.039,0.044,18.97,0.8,12.8,179.9,0.0402,120.24,367,247.51,547,0.3249,0.2891,4102,1.63,0.87,11.19,7.51,0.91,0.08,0.07,235.03,4277.5,0.256,2.22,13.39,0.025,0.035,0.098,0.043,0.6336,0.3521,2523,2990.8,0.4302,0.3008,233.6,0.0519,354.5,0.0788,0.5554,2.12,1.6,0.0815,0.66,12.47,0.0504,4498.9,0.0981,0.1655,390.1,29.73,1286.7,476515,4739.7,216.5,13.81,4739.7,0.95,1.59
"2",2010-12-31,100.5,0.94,0.2279,0.29385591214617,1491.8,3281,145.9,158.2,0.040343763547803,0.038359884580878,0.048217007010058,21.2743,0.8,13.786549707602,169.7,0.0351,115.8476,364,251.8116,533.7,0.30821,0.27234042553192,3763.1,1.9254502660663,0.83689536306016,10.338186813187,7.0509649615889,0.91246575010305,0.095,0.07,254.3372,3921.3,0.28774763791527,2.52,13.079365079365,0.055,0.1423,0.17208564631245,0.045,0.6435,0.2956720512039,1954.4,3300.5,0.18809271322527,0.15831484456685,239.4,0.058049028879028,235.6,0.057127615722218,0.48390789473684,2.2124279394021,1.451215758695,0.088261681336534,0.80029582211877,-2.5257,-0.010030023661527,4124.1,0.12884340974212,0.16047727577423,403.5,32.96,620.8,490174,4496.5,246.4,13.394886363636,4496.5,1,1.8561488213576
"3",2009-12-31,100.1,1.02,0.2714,0.29827444535744,1366.4,3062.6,104.2,185.2,0.046297685115744,0.051483056736997,0.060471494808333,13.8287,0.8,19.017797552837,173.6,0.033,112.8402,279.6,198.4293,453.2,0.29031,0.25394190871369,3815,2.1651532349603,0.95403621086326,13.644492131617,8.4179170344219,1.06051761043,0.09,0.055,254.0007,4000.2,0.30261869000196,2.48,13.576612903226,0.08,-0.131,0.15635074145712,0.05,0.6237,0.30320642591262,1762,3419.4,0.16985436041411,0.14519274036298,179.8,0.049981930892614,123.9,0.034442498540572,0.6275873192436,2.5024882903981,2.1130886169818,0.077724960386957,0.95054624301559,-55.5713,-0.28005607092609,3597.3,0.11261596140749,0.13158665105386,386.5,33.67,580.8,419656,3998.8,227.9,15.003949100483,3998.8,0.95,2.0543344289236
"4",2008-12-31,99.7,1.05,0.2955,0.37230138169257,1163,3086.5,123.1,101.7,0.027563963573287,0.024670095090239,0.032949943301474,-23.4379,0.5414551607445,13.25,183,0.036,107.9928,349.7,242.0868,532.7,0.30773,NA,3587.9,2.0489406658672,1.016402266289,10.259937088933,6.7353106814342,0.87034251892102,0.06,0.035,325.4247,3689.6,0.31537340029159,1.9,15.394736842105,0.095,0.0173,0.29401817797506,0.045,0.6109,0.29272638911388,1751.1,2999.8,0.22994866324422,0.1869579358196,226.4,0.054919464389676,163.1,0.039564331457403,0.477,2.5793637145314,2.2083333333333,0.084829225693771,0.72768290316321,-83.3379,-0.3442480276275,4122.4,0.13824842613215,0.19466895958727,374.4,29.25,689.8,498136,3530,171.5,17.491545189504,3530,1,1.9913644214162
"5",2007-12-31,99.4,1.06,0.2581,0.37079877782628,1441.5,3340.2,169.4,70.8,0.021905940594059,0.017524752475247,0.021196335548769,-12.5865,0.58891902363425,9.828795379538,181.3,0.045058551941238,107.352,369.3,266.4463,550.6,0.27851,NA,3161.2,1.4238356904783,0.7440918934187,8.5599783373951,5.7413730475845,0.78247524752475,0.085,0.055,290.9328,3232,0.33090832884258,1.95,11.876923076923,0.06,0.1172,0.28697214734951,0.042,0.6118,0.28974312915394,2220.2,2382.5,0.35655823714585,0.26284034653465,242.4,0.06,244,0.06039603960396,0.44287128712871,1.6527922303156,1.1563288681809,0.091410891089109,0.58972772277228,-24.4865,-0.091900464015396,4040,0.12001002477254,0.1681581685744,384.6,23.16,849.5,988829,4248.4,240.6,9.902327514547,4248.4,0.95,1.4107376691401
"6",2006-12-31,100.6,1.06,0.2144,0.38525540819928,1219.1,2916.7,123.3,86.5,0.021400296882731,0.023654561365128,0.029656803922241,-21.2344,0.7089552238806,15.175925925926,164.9,0.031917022574741,104.624,346.1,232.8976,511,0.32708,NA,3955.5,2.0855741853844,0.99649821131657,11.428777809882,7.7407045009785,1.0816834390724,0.105,0.07,295.732,4042,0.34957314773546,2.29,13.441048034935,0.02,0.0306,0.22437295528899,0.05,0.61,0.22878595673192,1896.6,3278,0.23306894447834,0.18901533894112,216,0.059068037628528,248.4,0.067928243272807,0.48437037037037,2.6888688376671,1.4453262786596,0.094645591774229,0.89641216364034,-62.8344,-0.2697939592746,3656.8,0.1227974333017,0.17717988680174,359,30.78,764,662500,3969.4,216.9,15.11295527893,3969.4,0.95,2.0382229842166
"7",2005-12-31,100,1.19,0.1767,0.38221917942198,1263.3,2981.7,129.1,59.6,0.012932905129763,0.01689055149351,0.019988597109032,-8.751,0.8,19.869158878505,163.1,0.025086233929131,96,308.4,206.8778,471.5,0.32919,NA,4548.8,2.2912406185463,1.2558113853459,14.749675745785,9.6475079533404,1.2891231649946,0.125,0.07,249.6288,4608.4,0.31659791394171,2.2,17.3,-0.02,0.1016,0.14404761904762,0.053,0.5703,0.21695676962807,1985.3,3826.8,0.20424375457301,0.16960333304401,192.6,0.054582553987417,329.9,0.093493170095789,0.49844236760125,3.0292092139634,1.5895327102804,0.087400102023465,1.0845094371705,-42.751,-0.20664836871995,3528.6,0.1042048073339,0.15245784849204,352.5,38.06,781.6,155700,3622.2,213.9,17.890603085554,3622.2,1,2.2536065333268
"8",2004-12-31,98.5,1.1,0.2147,0.44031263653575,NA,3041.3,119.8,117.7,0.030527817403709,0.034030126926302,0.038700555683425,24.828,1.0246856078249,18.744437380801,163.9,0.03141003755548,90.62,261.7635,172.1802,425.6635,0.34223,NA,3737.8,1.9245185871692,1.0806950588371,14.279303918125,8.781115484989,1.184572478925,0.12,0.065,191.4521,3855.5,0.33120704961694,1.92,15.255208333333,-0.03,0.1262,0.092919564829677,0.074,0.5444,0.21678229704403,1942.2,2948.5,0.30761404103782,0.23524834651796,157.3,0.049851048995373,258.3,0.08185966913862,0.57609663064209,2.557463786972,1.5620364484001,0.082957298599227,0.93442986626101,-19.272,-0.11192905935384,3155.4,0.088652121863969,0.13643854627461,312.9,29.29,907,136700,3458.7,157.3,18.744437380801,3458.7,1,1.8716928006214
"9",2003-12-31,97,0.9,0.2077,0.39945523448603,NA,2520.6,113.6,84.8,0.023766816143498,0.029469001946066,NA,8.3129,0.86663456909003,22.908946951702,163.2,0.029942157196325,85.36,371.8188,296.4177,535.0188,0.20279,NA,3483.2,2.1715710723192,1.2104531554073,9.3680029769336,6.5104249412974,1.2628068012906,0.115,0.065,337.7048,3568,0.36642069348568,1.67,17.59880239521,-0.025,-0.0225,0.1413085559427,0.064,0.5127,0.15234467983813,1604,2893.4,0.23315130987765,0.18906950672646,126.3,0.045789072979734,192.2,0.069680600369793,0.67585114806017,2.8528889765332,1.9920823436263,0.1348,1.0489794438603,-41.2871,-0.13928690740452,2758.3,0.18479906323965,0.12453165056202,289.8,29.39,674.6,75400,2877.6,126.3,22.908946951702,2877.6,1,2.1127427759356
"10",2002-12-31,96.6,0.78,0.2581,0.49012461791676,NA,2390.1,124,31.4,0.0098835379288637,0.0111660325024,NA,128,0.6675,16.340306834031,159.3,0.034629566404916,81.144,263.7,169.8175,423,0.35602,NA,3145.6,NA,NA,11.92870686386,7.4364066193853,1.1185946445717,0.085,0.045,205.1175,3177,0.40810007949458,1.45,16.620689655172,NA,0.0686,0.11603471904979,0.066,0.4462,0.15037027739425,1669.8,2343.2,0.3558381700239,0.26244885111741,143.4,0.050993919135166,166.4,0.059172860140109,0.56585774058577,2.7014065021905,1.9223890392977,0.093773336652324,0.83325628533836,-35.3,-0.20787018178559,2812.1,0.10169932087675,0.16532165091077,288.7,24.1,833.8,290843,2807,130.7,17.928079571538,2807,1,1.8838184213678
