"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.87,0.192,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,3.2,49.4,NA,0.1334,0.111,0.9556,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,158.09,0,976555,4707,1066.1,NA,4707,1.2
"2",2008-12-31,0,1.81,0.4795,NA,NA,NA,0,0,NA,NA,NA,0.43378519290928,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,1.38,57.826086956522,NA,0.55092978073827,0.138,0.9618,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,79.8,0,6518354,3776.3,383.3,NA,3776.3,1.3
"3",2007-12-31,0,1.49,0.3244,NA,0,0,0,0,NA,NA,NA,0.59186189889026,0,NA,0,0,0,0,0,0,0,NA,NA,0,2.1,25.3,NA,NA,0.142,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,53.13,0,4089287,3789.4,436.3,0,3789.4,1.2
"4",2006-12-31,0,1.53,0.2064,NA,0,0,0,0,NA,NA,NA,0.77519379844961,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.84,43.239130434783,NA,0.20023237800155,0.145,0.9617,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,79.56,0,4956604,3542.1,593,0,3542.1,1
"5",2005-12-31,0,1.28,0.2133,NA,0,0,0,0,NA,NA,NA,0.6375996249414,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.75,57.88,NA,0.15503273776495,0.15,0.8903,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,101.29,0,700700,3294.8,NA,NA,3294.8,0.85
"6",2004-12-31,249.3,0.24,0.2079,NA,NA,0,0,0,0,0,0,0.23088023088023,0,0.036558297427863,698.04,NA,NA,NA,0,19429.7,6.2133286431518,NA,NA,19429.7,1.36,56.316176470588,0,0.16286083584662,0.15,0.8617,0,19429.7,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,76.59,0,456300,3127.1,0,NA,3127.1,0.75
"7",2003-12-31,249.3,0.08,0.1878,NA,NA,0,0,0,0,0,0,0.085197018104366,0,0.014997656616154,239.328,NA,NA,NA,0,16004.4,0.364212322922,NA,NA,16004.4,1.91,33.513089005236,0,0.18513079394217,0.163,0.8284,0,16004.4,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,64.01,0,613100,43942.5,231.5,69.133477321814,43942.5,0.7
"8",2002-12-31,249.3,0.18,0.1444,NA,NA,0,0,0,0,NA,0,0.2772,0,0.051838053733723,598.32,0,0,0,0,11542.1,NA,NA,0,11542.1,1.61,28.776397515528,0,0.21036243616889,NA,0.8015,0,11542.1,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,46.33,0,600351,54992,NA,NA,54992,0.65
"9",2001-12-31,NA,-0.11,0.1882,0,NA,0,0,0,NA,NA,0,-0.1023,0,0.0664,0,NA,NA,NA,0,0,NA,NA,NA,0,0.88,37.295454545454,NA,0.11463046757164,0,0.7963,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,32.82,0,485900,0,0,NA,51397,0.7
"10",2000-12-31,NA,0.65,0.2251,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,31.315789473684,NA,0.13194444444444,NA,0.6953,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,29.75,0,NA,NA,262.6,0,39488.6,NA
"11",1999-12-31,NA,0.7,0.211,NA,NA,0,0,0,0,NA,NA,0.49763033175355,0,0,0,0,0,0,0,4271.1,NA,0.080510838831291,0,4271.1,NA,NA,0,0.11568123393316,NA,0.6763,0,4271.1,0,0,NA,0.0043920829406221,NA,0,NA,0,0.080510838831291,NA,NA,0,NA,NA,NA,NA,233,18.330901287554,53050,NA
