"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,58.9,1.95,0.5897,0,187.9,280.8,0.5,161.3,0.2361,0.8358,0.5744,-4.15,0.8,14.09,5.7,0,0,55,51.19,61,0.0709,0.0709,522,19.62,2.08,9.47,8.59,2.7,60.54,683.3,0.0096,1.55,7.22,0.865,0.305,0.8249,0.1485,26.6,683.3,0,0,48.5,0.2513,-13.9,-0.072,0,3.64,0.2855,3.54,-9.35,-0.1826,193,1.9245,0.2581,72.6,11.19,0,885150,250.6,94.2,7.25,250.6,1.2,3.64
"2",2010-12-31,51.5,2.05,0.8984,0,74.5,163.6,1.6,95.7,0.11441893830703,1.2914979757085,0.58496332518337,-49.9673,0.34784060552093,NA,8.2,0,0,-113.0095,-113.0095,-104.8095,0,NA,740.7,NA,4.2593444508338,NA,NA,9.9959514170041,-56.4422,836.4,0.019559902200489,1.16,12.612068965517,0.8536,0.4509056244042,0.4042,0.18092909535452,-21.2,836.4,0,0,-48.8,-0.65856950067476,-37.1,-0.50067476383266,NA,11.226845637584,-1.5250948717949,11.287449392713,-56.5673,NA,74.1,NA,-0.65503355704698,48.5,14.63,0,1291528,173.9,44.7,18.711409395973,173.9,1.25,NA
"3",2009-12-31,48.9,1.15,0.8734,0.00092936802973978,107.5,173.1,0.7,113.3,0.35922637920102,2.9815789473684,0.65453495089544,-7.49,0.35779711472407,NA,4.2,0,0,-28.4478,-28.4478,-24.2478,0,NA,202.1,NA,4.1498973305955,NA,NA,5.3184210526316,-17.4578,315.4,0.010976314269209,NA,NA,-0.1297,0.32225300092336,0.2654,0.19237435008665,-5.7,315.3,0.00031715826197272,0.00031705770450222,-19,-0.5,-26.6,-0.7,NA,2.9330232558139,-0.74862631578947,8.2973684210526,-10.99,NA,38,NA,-0.17674418604651,33.6,6.87,0.1,406240,48.7,-43.1,NA,48.7,1.25,NA
"4",2008-12-31,32.2,1.23,0.9178,0.16379310344828,38.8,124.7,1.5,78.1,0.34194395796848,2.7212543554007,0.62630312750601,-3.9861,0.20919590324689,NA,0.6,0,0,-19.1431,-19.1431,-18.5431,0,NA,150.3,NA,4.008,NA,NA,5.2369337979094,-16.057,228.4,0.014434643143544,NA,NA,2.6301,0.75592625109745,0.4222,0.29671210906175,-31.7,220.8,0.034420289855072,0.033274956217163,-15.5,-0.54006968641115,-13,-0.45296167247387,NA,5.6907216494845,-0.66700592334495,7.6933797909408,-3.0861,NA,28.7,NA,-0.39948453608247,19.9,4.44,7.6,1335251,37.5,-26.2,NA,37.5,1.2,NA
"5",2007-12-31,31.2,0.61,0.5603,0,46.7,57.5,0.3,55.7,1.1775898520085,7.2337662337662,0.96869565217391,11.5688,0.42834195966446,NA,0.3,0,0,-37.3747,-37.3747,-37.0747,0,NA,-8.4,NA,-0.40384615384615,NA,NA,-1.0909090909091,-48.9436,47.3,0.012173913043478,-0.49,NA,0.216,0.75853018372703,0.3019,0,-9,47.3,0,0,-34,-4.4155844155844,-6.8,-0.88311688311688,NA,1.0128479657388,-4.853861038961,6.1428571428571,11.5688,NA,7.7,NA,-0.72805139186295,11.6,1.5,0,59379,20.8,-19.3,NA,20.8,1.5,NA
"6",2006-12-31,25.2,3.57,0.5017,0,43.2,53.1,0.3,50.7,0.57810718358039,9.9411764705882,0.95480225988701,6.9118,0.44648196133147,NA,0.2,0,0,-19.2388,-19.2388,-19.0388,0,NA,37,NA,2.9365079365079,NA,NA,7.2549019607843,-26.2506,87.7,0.011299435028249,-0.38,NA,NA,0.49809885931559,0.5135,0,-7.5,87.7,0,0,-23.9,-4.6862745098039,-4.7,-0.92156862745098,NA,2.0300925925926,-3.7723156862745,17.196078431373,7.0118,NA,5.1,NA,-0.55324074074074,6.3,2.61,0,110407,12.6,-23.2,NA,12.6,1.4,NA
"7",2005-12-31,23.5,3.51,0.4886,0,61,65.1,0.1,63.7,0.47290274684484,106.16666666667,0.97849462365591,-1.5,0.52394596807204,NA,0.3,0,0,-19.6892,-19.6892,-19.3892,0,NA,71,NA,236.66666666667,NA,NA,118.33333333333,-17.9892,134.7,0.0092165898617512,-1.01,NA,0.4441,0.29707112970711,0.3122,0,-2.7,134.7,0,0,-18.6,-31,-3,-5,NA,2.2081967213115,-32.8154,224.5,-1.7,NA,0.6,NA,-0.30491803278689,6.5,5.53,0,97395,0.3,-25.9,NA,0.3,1.6,NA
"8",2004-12-31,14.8,0,0,0,NA,40.8,0.2,39.2,0.39959225280326,65.333333333333,0.96078431372549,-1.9,NA,NA,0.2,0,0,-13.8535,-13.8535,-13.6535,0,NA,58.9,14.365853658537,98.166666666667,NA,NA,196.33333333333,-11.9535,98.1,0.017156862745098,NA,NA,0,0.36239782016349,0.3561,0,4.1,98.1,0,0,-12.3,-41,-1.9,-6.3333333333333,NA,3.0184615384615,-46.178266666667,327,-1.9,0.13714965481597,0.3,-3.3788975609756,-0.3245382585752,5.1,4.23,0,83123,0.6,-18.5,NA,0.6,1.35,2.5883905013193
"9",2003-12-31,8.1,0,0,0.0040983606557377,NA,27.4,0,26.4,0.30034129692833,264,NA,2.25,NA,NA,0.2,0,0,-7.49,-7.49,-7.29,0,NA,61.5,3.6176470588235,615,NA,NA,61.5,-9.54,87.9,0.021897810218978,NA,NA,0,0.44199288256228,0.2399,0,17,87.8,0.0011389521640091,0.0011376564277588,-10.4,-10.4,-2.5,-2.5,NA,16.566037735849,-7.49,87.8,2.05,-0.27369826435247,1,-0.44058823529412,-0.42798353909465,5,6.33,0.1,85404,0.1,-13.2,NA,0.1,1.35,3.6024590163934
"10",2002-12-31,1,0,0,0.16049382716049,NA,12.8,1.4,7.2,0.55813953488372,NA,NA,-3.9,0,NA,0.8,0,0,-0.8,-0.8,0,0,NA,5.7,NA,NA,NA,NA,NA,-1.4,12.9,0.3671875,NA,NA,0,0.72402327514547,0.0716,0,0.9,11.6,0.11206896551724,0.10077519379845,-27.8,NA,-3.5,NA,NA,1.7058823529412,NA,NA,0.6,NA,0,-0.88888888888889,-4.0882352941177,7.6,7.35,1.3,145371,2.3,-9.5,NA,2.3,1.25,6.3333333333333
