"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,54.3,1.75,0.3787,0.2918,514.5,970.5,12.2,127.9,0.1637,0.1755,0.1318,13.61,0.8,NA,40.1,0,0,-15,-14.5,26,0,NA,653.6,1.09,0.78,NA,25.53,0.9,0.505,0.08,-0.21,781.5,0.3998,0.65,16.63,NA,-0.205,0.1784,0.308,0.6193,0.1859,598.6,569.5,0.3723,0.2713,-15.5,-0.0213,88.3,0.1212,0,1.11,NA,-0.0199,0.78,-14.29,NA,728.7,-0.0242,-0.0301,351.2,10.81,212,178179,841,19.3,29.51,841,1.3,1.08
"2",2010-12-31,58.3,2.85,0.8608,0.0015259409969481,588.9,827.5,18.2,204.9,0.44245303390196,0.26374050714378,0.24761329305136,-0.6277,0.37755576208178,15.937931034483,44.9,0,0,32.8,31.8727,77.7,0.02827,0.023569023569024,258.2,0.670823590543,0.34357950765136,7.8719512195122,3.3230373230373,0.33234650534174,NA,0.015,59.2005,463.1,0.47081570996979,0.45,17.8,NA,-0.0925,0.24822695035461,NA,0.5781,0.027915407854985,384.9,462.2,0.0019472090004327,0.0019434247462751,29,0.037327841421032,19.2,0.024713605354615,0,0.78485311597894,NA,0.042219075814133,0.59492856223452,-27.3277,-0.85740109405099,776.9,0.082807856586126,0.049244353880115,351.8,8.01,0.9,246986,751.5,1.9,243.26315789474,751.5,1.3,0.78518141742964
"3",2009-12-31,54.7,2.87,1.0661,0.077071704594247,429.9,786.3,39.8,26.6,0.042302798982188,0.033150548354935,0.033829327228793,-1.706,0.31657443016603,148.225,45.2,0,0,8.1,4.4874,53.3,0.446,0.43661971830986,602.2,1.3711293260474,0.76401928444557,74.345679012346,11.298311444653,0.75049850448654,NA,-0.08,11.5934,628.8,0.53872567722243,0.31,32.741935483871,NA,-0.2117,0.30884808013356,0.305,0.6239,0.03001398957141,439.2,592.9,0.060549839770619,0.057092875318066,4,0.0049850448654038,96.4,0.12013958125623,0,1.3791579437078,NA,0.010094715852443,0.73890827517448,-7.106,-1.5835410379816,802.4,0.010217213114754,0.0093044894161433,143,10.15,35.9,253397,788.2,17.3,34.271676300578,788.2,1.35,1.3499355946758
"4",2008-12-31,53.8,2.89,1.0306,0.09375,591.6,1089,84.1,26.5,0.059604138551507,0.02645238570573,0.024334251606979,-10.7914,NA,NA,851.1,0,0,-789.6,-789.6,61.5,0,NA,418.1,0.66757145138113,0.4915353867858,NA,6.7983739837398,0.41734877221002,NA,-0.145,-11.8086,444.6,0.39219467401286,NA,NA,NA,-0.5983,0.86142709410548,NA,0.5266,0.22213039485767,626.3,383.4,0.15962441314554,0.13765182186235,-632.3,-0.63116390497105,71.5,0.071371531243761,NA,0.64807302231237,NA,-0.78818127370733,0.38271111998403,-777.7914,NA,1001.8,-1.2607376656554,-1.0687964841109,528.5,6.96,61.2,391495,850.6,-861.3,NA,850.6,NA,0.68106617647059
"5",2007-12-31,54.3,1.68,0.6301,0.17078948258942,2450.4,4005.3,127.8,76.5,0.1256776737309,0.030392117913472,0.019099692906898,60.2296,NA,NA,543.2,0,0,210.1,105.05,753.3,0.6,NA,532.2,0.18488153963732,0.24016245487365,2.5330794859591,0.70649143767423,0.21143379285686,-0.29,-0.16,460.2204,608.7,0.13973984470577,0.73,3.027397260274,0.05,0.0111,0.97791608110821,NA,0.5475,0.46298654283075,2878.6,104,4.8528846153846,0.8291440775423,-5.6,-0.0022247824877836,503.5,0.20003178260697,NA,0.042442050277506,NA,0.083469071550594,0.041317389058838,-355.1704,-3.3809655426658,2517.1,0.036493434308344,-0.0022853411687888,NA,2.21,504.7,367864,2216,-141.6,NA,2216,NA,0.20598287706
"6",2006-12-31,163.5,0.84,0.1509,0.22892645916721,2581.4,4344.3,103.1,33.3,0.0041570438799076,0.013330130899484,0.0076652164905738,-4.0414,0.8,18.237915407855,110.8,0.012639251252744,91.56,686.2,468.208,797,0.31768,NA,7977.2,2.4067581837381,3.1644254036257,11.625182162635,10.009033877039,3.1933069132541,0.085,0.065,479.9494,8010.5,0.11778652487167,2.39,17.953974895398,0.16,-0.0056,0.16980718667835,NA,0.5669,0.52259282277927,3314.5,7244.1,0.10579644124184,0.09567442731415,397.2,0.15900084063889,442.8,0.17725471358232,0.23051359516616,2.8062679166344,2.1456371068065,0.27468876346023,2.8998438813498,-11.7414,-0.025077332875377,2498.1,0.14126051712174,0.15386999302704,NA,42.91,766.4,921900,2520.9,459.6,15.761749347258,2520.9,0.85,2.3927653981719
"7",2005-12-31,163.7,0.35,0.1293,0.26528317645925,2287.1,4032.6,72.1,32,0.0035298659754012,0.012729225506186,0.0079353270842633,-1.3238,0.8,26.417762103238,91.2,0.0095362695243759,78.576,547.4,353.073,638.6,0.355,NA,9033.5,2.9320977636405,3.5820214917324,16.502557544757,14.145787660507,3.5934205815665,0.115,0.08,373.4968,9065.5,0.13048653474185,2.46,20.30081300813,0.13,0.1565,0.11125611745514,NA,0.5253,0.5056291226504,3080.9,8239.7,0.10022209546464,0.091092603827698,311.9,0.1240701698556,416,0.16547993158041,0.25192689964732,3.6026846224476,2.2971967046294,0.21774931381519,3.2776562313537,-20.4238,-0.057845939657361,2513.9,0.11460060371969,0.13637357352105,NA,49.94,825.8,281400,2521.9,353,23.341926345609,2521.9,0.8,2.9122361784831
"8",2004-12-31,163.2,0.53,0.155,0.20263998782715,NA,3424.8,76.8,20.9,0.0024852253944849,0.0086585466898666,0.0061025461340808,28.0788,0.68387096774194,27.256055363322,69,0.0091685767868306,71.808,457.4858,292.3151,526.4858,0.36104,NA,8388.8,3.2166877564324,3.4753500704284,18.336746007936,15.933574650406,3.8702652825836,0.115,0.125,256.4363,8409.7,0.14488437281009,2.05,23.409756097561,0.13,0.1472,0.082446808510638,NA,0.5372,0.4715019855174,2607.9,7877,0.067627269264949,0.063343519982877,289,0.13333333333333,247.1,0.11400230680508,0.24847058823529,3.7579313964028,2.3700917707236,0.2110660899654,3.6341407151096,35.8788,0.12274004593633,2167.5,0.11208830661452,0.13787510137875,0,47.99,532.7,443500,2413.8,289,27.256055363322,2413.8,0.85,3.1990642118077
"9",2003-12-31,161.9,0.48,0.169,0.21834791559444,NA,3009.4,89.3,18.2,0.0021790144150184,0.00877066165486,NA,22.7992,0.56804733727811,31.677302100162,68.1,0.0083108248493663,64.76,435.3286,266.3384,503.4286,0.38819,NA,8334.2,3.6025762946313,4.0162883716447,19.144620329987,16.554881193073,4.445380840623,0.14,0.1,222.3391,8352.4,0.15900179437762,1.91,25.198952879581,0.105,0.2069,0.094861264149053,0.35,0.4863,0.39024390243902,2313.4,7843.3,0.06490890314026,0.060952540587137,247.6,0.13206742052486,213.4,0.1138254747173,0.26155088852989,4.3035939643347,2.2626644357258,0.2322,4.1835395775549,43.9992,0.16520054244597,1874.8,0.11512854080297,0.1358573388203,0,48.13,509.1,149400,2075.1,0,NA,2075.1,0.9,3.5822611082518
"10",2002-12-31,80,0.67,0.1919,0.32358848471323,NA,2870.3,88.4,15.5,0.0018662107493739,0.010093117145276,NA,96.2,0.7636,32.81645021645,62.8,0.0063319526158879,48,338.6,193.9264,401.4,0.42727,NA,8290.1,NA,NA,24.483461311282,20.652964623817,5.3982548674871,0.145,0.09,168.3264,8305.6,0.15914712747796,3.41,27.41935483871,NA,0.0574,0.125702454895,NA,0.4726,0.55739818137477,2225,7580.6,0.095638867635807,0.087290502793296,231,0.15042000390701,133.6,0.086996158103796,0.20779220779221,5.0020455295282,2.2632034632035,0.22048577196067,4.9362505697727,25.6,0.13200885956835,1535.7,0.087157922696629,0.15242494226328,0,93.5,725,188624,1816.8,NA,NA,1816.8,0.9,3.7258876404494
