"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,57.7,0.95,0.24,0.2036,821.4,1405.7,66.7,150.8,0.067,0.1072,0.1073,5.06,0.8,16.03,62.9,0.0215,43.85,223,142.52,286,0.3609,0.3608,2098.7,2.38,1.46,9.41,7.34,1.49,0.045,0.04,133.65,2249.5,0.2749,2.3,15.1,0.135,0.05,0.1461,0.057,0.9309,0.2403,880.6,2039.5,0.103,0.0934,127.2,0.0904,222.6,0.1582,0.3472,2.48,3.56,0.1585,1.45,8.86,0.0622,1406.8,0.1618,0.1549,345.5,34.73,210,271506,1438.8,126.3,16.15,1438.8,0.9,2.18
"2",2011-03-31,59.1,0.75,0.2851,0.21050521251002,787.6,1426.7,77.4,193,0.1006728913463,0.15984760642703,0.13527721314923,22.2495,0.78919677306208,12.701636904762,54.4,0.0231,39.434,86.4,57.0136,140.8,0.34012,0.33988212180747,1724.1,2.1428038777032,1.2608600263273,19.954861111111,12.245028409091,1.4279443432168,0.05,0.045,11.7642,1917.1,0.25962010233406,2.42,12.322314049587,0.125,-0.0383,0.15978901644431,0.0919,0.9917,0.22345272306722,804.6,1707.1,0.12301564056001,0.10954045172396,134.4,0.1113135663409,167.9,0.13905913533212,0.2934078125,2.1674707973591,2.5403273809524,0.071558721219149,1.4138645022362,45.2495,0.793660394292,1207.4,0.070859597315436,0.17064499746064,359.7,29.82,210,333046,1367.4,129,13.233333333333,1367.4,0.9,1.9217121090617
"3",2010-03-31,59.2,0.73,0.3287,0.21791013800975,753.7,1238.4,44.1,215,0.089452881214895,0.17094696668522,0.17361111111111,-12.5802,0.68451475509583,17.070038910506,56.2,0.0162,35.5347,208.6,139.7078,264.8,0.33026,0.33003128258603,2188.5,2.923066648858,1.884363698984,10.491371045062,8.2647280966767,1.7400811004214,0.075,0.05,164.3879,2403.5,0.28011950904393,2.38,15.319327731092,0.08,-0.0441,0.19605077574048,0.103,0.9632,0.24652777777778,748.7,2193.5,0.095737405972191,0.087372581651758,128.5,0.10217062892582,164.3,0.13063528663433,0.27653463035019,2.9103091415683,2.2760051880674,0.16585831279319,1.7440566112745,-24.6802,-0.17665573763593,1257.7,0.18660045946307,0.1704922382911,330.6,36.46,210,279242,1161.4,134.6,16.296433878158,1161.4,0.9,2.4940334128878
"4",2009-03-31,58.5,0.66,0.2982,0.2263662822033,717.7,1216.9,40.9,154.2,0.083808902657753,0.11875240662303,0.12671542443915,-5.5925,0.48289738430584,14.723577235772,58.8,0.0159,25.9154,175.4,116.6112,234.2,0.33517,NA,1685.7,2.1793148028442,1.3361604311985,9.6106043329532,7.1976942783945,1.298190219484,0.09,0.07,140.1037,1839.9,0.28843783384008,1.99,14.05527638191,0.08,0.0407,0.29696082021238,0.11,NA,0.25080121620511,773.5,1629.9,0.12884226026137,0.11413663786075,110.7,0.085252214093184,196.8,0.15155949172122,0.23410487804878,2.2710045980215,1.6359530261969,0.13507893723527,1.2552175587216,-23.4925,-0.2014604846773,1298.5,0.15075783063995,0.15424271979936,351.3,27.97,210,623026,1261.6,114,14.297368421053,1261.6,0.9,1.983292012504
"5",2008-03-31,59.3,0.83,0.2624,0.2031144211239,706.2,1239.3,57,51.9,0.033171417614726,0.041024424946645,0.041878479786977,-10.7784,0.54878048780488,15.350332594235,62.8,0.013705041167124,18.976,143.1,92.5871,205.9,0.35299,NA,1512.7,1.8131367613568,1.1426089583805,10.570929419986,7.3467702768334,1.1957157536954,0.135,0.085,109.1655,1564.6,0.31033648027112,1.77,13.497175141243,0.105,0.1585,0.30549966465459,0.108,0.9387,0.27273460824659,834.3,1384.6,0.13000144446049,0.11504537901061,90.2,0.071298711564303,231.9,0.18330566753616,0.21037694013304,1.9606343811951,1.137061673647,0.11311358785867,1.0944589360525,-16.5784,-0.1790569928247,1265.1,0.11097582524272,0.12772585669782,385,23.89,180,822481,1323.9,113.5,12.199118942731,1323.9,0.9,1.765515684947
"6",2007-03-31,65,1.2,0.194,0.1159949765955,774.3,1209.2,49,52.3,0.026619840179162,0.043677968932688,0.043251736685412,-4.9201,0.70103092783505,21.099660249151,60.3,0.0083731415382964,15.6,149.5,91.207,209.8,0.38992,NA,1912.4,2.3220009713453,1.5615252714951,12.791973244147,9.115347950429,1.5971271087356,0.105,0.075,107.4271,1964.7,0.32161759841217,1.56,18.820512820513,0.17,0.0636,0.13330950679056,0.034,0.9461,0.27530598742971,823.6,1863.1,0.054532767967366,0.051712729678831,88.3,0.073743110071822,215.8,0.18022381827292,0.1766704416761,2.4061733178355,2.0094914523001,0.12485385000835,1.5559545682312,-16.2201,-0.17783851406571,1197.4,0.11074181641574,0.11403848637479,360.5,29.36,101.6,633700,1224.7,83.5,22.312574850299,1224.7,0.85,2.2430642767439
"7",2006-03-31,67,1.4,0.2114,0.1372919371975,730.8,1189,51.2,72.7,0.041103635438458,0.062656209600965,0.061143818334735,-0.9497,0.52980132450331,25.778471138846,57.9,0.0081094166061486,13.4,109.7,64.9929,167.6,0.40754,NA,1696,2.1900826446281,1.4528010964537,15.460346399271,10.119331742243,1.4616909419978,0.075,0.055,72.6425,1768.7,0.3376787216148,1.24,20.298387096774,0.11,0.0772,0.14089624545822,0.033,0.8478,0.27460050462574,774.4,1652.4,0.070382473977245,0.065754508961384,64.1,0.055244333362061,155.2,0.13375851072998,0.20904836193448,2.2610837438424,3.4371294851794,0.094544514349737,1.4241144531587,-7.6497,-0.11770039340909,1160.3,0.083926732954546,0.087712096332786,374.5,25.17,116.3,219000,1167.4,60.9,27.133004926108,1167.4,0.7,2.087947113682
"8",2005-03-31,69.6,-0.35,0.2483,0.12627197039778,NA,1185.7,56.2,26.2,0.014179791091627,0.022950245269797,0.022096651766889,3.4619,-0.28191703584374,20.21511627907,51.2,0.0064025610244098,11.136,144.9714,87.815,196.1714,0.39426,NA,1821.5,2.1720725017887,1.5955676243868,12.564543747375,9.2852455994614,1.6267750290256,0.065,0.065,79.3531,1847.7,0.34882347980096,1.31,19.076335877863,0.075,0.0348,0.12238684798051,0.029,0.8685,0.29535295605971,838.6,1738.5,0.062812769628991,0.059100503328462,86,0.07680628739841,177,0.15807805662231,0.12948837209302,2.3008205399682,3.1100178890877,0.12947346610699,1.5526480307225,8.4619,0.096360638088109,1119.7,0.10471619373432,0.11381683430386,326.7,24.99,109.2,221900,1141.6,85.7,20.285880980163,1141.6,0.8,2.1365633672525
"9",2004-03-31,69.9,-0.44,0.2661,0.14247921390779,NA,1069.8,67.6,80.4,0.046554719166184,0.073768235617947,NA,0.5224,-0.33070274332957,17.132696390658,48.7,0,0,189.0293,129.0125,237.7293,0.3175,NA,1646.6,2.3081020465377,1.5107808055785,8.7108189047941,6.9263654080503,1.5148114075437,0.085,0.06,109.5901,1727,0.34969153112731,1.33,17.443609022556,0.02,0.1149,0.16631578947368,0.025,0.8271,0.21592821088054,713.4,1613.9,0.070078691368734,0.065489287782281,94.2,0.086660533578657,195.8,0.18012879484821,0,2.3709416776847,2.0156113400774,0.1739,1.4847286108556,19.4224,0.15054645029794,1087,0.18084173990749,0.13838695460555,317.5,23.2,113.1,96500,1089.9,93.9,17.18743343983,1089.9,0.8,2.1756109851348
"10",2003-03-31,69.7,-0.01,0.3553,0.097750316856781,NA,895,58.6,25.9,0.016072980017376,0.026643349449645,NA,32.2,-0.0056,19.517632241814,46.5,0,0,125.8,80.512,172.3,0.36,NA,1585.5,NA,NA,12.60333863275,9.2019733023796,1.6310050406337,0.18,0.11,68.412,1611.4,0.38614525139665,1.4,15.907142857143,NA,0.1171,0.1855583543241,0.02,0.7672,0.21497206703911,605.3,1549.7,0.039814157578886,0.03828968598734,79.4,0.081678839625553,139.4,0.14340088468265,0,2.7211589113257,1.084312902323,0.12941055446971,1.5941775537496,12.1,0.15028815580286,972.1,0.1330117297208,0.13942054433714,283.1,22.27,61.7,536928,1034.7,79.4,19.517632241814,1034.7,0.85,2.6193622996861
"11",2002-03-31,NA,0.31,0.3862,0.1935,NA,841.6,65.7,12.4,0.0072362278244631,0.014307142032999,NA,7.9272,0.14,34.560606060606,46.9,0,0,127.4998,80.3249,174.3998,0.37,NA,1701.2,NA,NA,13.342766027868,9.7545983424293,1.9628475827853,0.22,NA,53.5977,1713.6,0.39009030418251,1.14,20.90350877193,0.035,0.0708,0.25841674249318,0.015,0.7745,0.22671102661597,591.612,1596.7,0.073213502849627,0.068218954248366,46.2,0.053305642090689,135.773,0.1566551286489,0,3.2779716690618,1.5709366391185,0.092678982346833,1.842275297104,26.7272,0.33273877279907,NA,0.13577289507312,0.09484705399302,274.6,23.83,116.9,799900,866.7,54.6,29.24358974359,917.3,1.05,2.896492971745
"12",2001-03-31,NA,1.15,0.4999,0.24695921774386,NA,845,51,24.7,0.016254277441432,0.030871141107362,NA,4.8515,0.69013802760552,44.491525423729,46.6,0,0,112.25403,70.1318,158.854,0.37524,NA,1494.9,NA,NA,13.317116543611,9.4105261289248,1.8683914510686,0.105,NA,62.7743,1519.6,0.37171597633136,NA,23.05,NA,0.0182,0.36455765543687,0.015,0.7514,NA,606.8,1312.5,0.15779047619048,0.13628586470124,29.5,0.0368703912011,162.5,0.20309961254843,0,3.0926013195099,423.72881355932,0.087653828,1.6404199475066,7.3575,0.10490957148281,NA,0.11557651249637,0.069509896324222,283.7155,18.44,207.1,NA,800.1,35.6,36.86797752809,826.6,NA,2.406334125099
