"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,40.3,1,0.3296,0.1331,758.3,2790.8,0,356,0.5171,0.1276,NA,0.76,NA,0,0.0282,16.12,NA,NA,NA,0,NA,332.5,0.64,0.14,NA,688.5,0.0037,NA,NA,NA,NA,0.1614,NA,0.2697,0,518.7,572.1,0.2035,0.1691,-156.5,0,0.1998,0.75,NA,0,NA,NA,-0.2064,1284.6,14.94,116.4,47954,NA,80.7,7.09,NA,0.95,0.79
"2",2010-12-31,40.1,1.07,0.4272,0.12058641338014,851.8,2722,0.1,88.3,0.13487093325187,0.03243938280676,NA,0.52668539325843,21.955102040816,0,0.0448,24.0979,NA,NA,NA,0,0,566.4,0.64341701692605,0.14,NA,654.7,0.004261572373255,NA,NA,NA,NA,0.29043600562588,NA,0.2757,0,880.3,537.9,0.21714073247816,0.17840232167405,24.5,0,0.98358857142857,0.63148626438131,1.568221574344,0.1,NA,NA,0.028762620333412,1323.5,13.59,116.8,36749,NA,-209.8,NA,NA,0.9,0.67592401404088
"3",2009-12-31,39.8,0.92,0.4388,0.12124974136147,849.4,2564.5,0.1,90.3,0.11430379746835,0.035211542210957,NA,0.54124886052872,65.960784313725,0,0.0357,24.019,NA,NA,NA,0,NA,699.7,0.7984708433185,0.14,NA,790,0.0046792747124196,NA,NA,-0.15,NA,0.20663114268798,NA,0.2621,0,876.3,672.8,0.17419738406659,0.14835443037975,10.2,0,2.3548,0.79208853308218,4.7114845938375,0.1,NA,NA,0.012008476571698,1210.4,17.42,117.2,34751,NA,1.3,517.53846153846,NA,0.95,0.81729774467205
"4",2008-12-31,39.6,0.82,0.4177,0.13384930571363,761,2443.6,0.5,150.5,0.18355897060617,0.061589458176461,NA,0.36389753411539,NA,0,0.0339,23.808,NA,NA,NA,0,NA,669.4,0.919379206153,0.08,NA,819.9,0.0051154035030283,NA,NA,0.105,NA,0.35832959137854,NA,0.2417,0,728.1,702.3,0.16744980777446,0.14343212586901,-31.1,0,NA,0.92286465177398,NA,NA,NA,NA,-0.040867279894875,1151.3,18.5,117.6,51619,NA,-4.8,NA,NA,0.95,0.93318916458001
"5",2007-12-31,40.5,0.67,0.2866,0.11200759373517,935.5,2337.9,0.8,70.9,0.06019697741552,0.030326361264383,NA,0.47452896022331,8.8984047019312,0,0.022928854500849,24.3,0,0,0,0.2331,NA,1106.9,1.1265011194789,0.08,NA,1177.8,0.0053466786432268,0.16,187.875,0.27,NA,0.36173338229893,NA,0.2788,0,982.6,1059.8,0.11134176259672,0.10018678892851,119.1,0,0.20403022670025,1.1328701229289,1.1123005877414,NA,NA,0,0.1273115980759,1019.8,30.06,118,80889,NA,11.2,94.625,NA,0.85,1.1179876601804
"6",2006-12-31,41,0.53,0.2284,0.12429141297502,834.2,2255.1,0.2,73.4,0.059231762427372,0.0325484457452,NA,0.5954465849387,9.3089700996678,0,0.021948608137045,24.6,0,0,0,0.25541,NA,1165.8,1.3259781619654,0.09,NA,1239.2,0.0054986475100882,2.47,9.9473684210526,0.255,NA,0.18966390812363,NA,0.2751,0,879.2,1120.8,0.10563882940757,0.095545513234345,120.4,0,0.20431893687708,1.3435626947974,1.0343300110742,NA,NA,0,0.14432989690722,1019.5,24.57,118.4,87829,NA,122.3,9.1643499591169,NA,0.85,1.3008608020155
"7",2005-12-31,40.5,-0.2,0.207,0.1345499886647,763.5,2274.9,0,28.7,0.01861460630432,0.012615939162161,NA,0.57971014492754,11.303415409055,0,0.011383599184878,16.2,0,0,0,0.26802,NA,1513.1,1.7728178090217,0.1,NA,1541.8,0.0055387049980219,2.63,13.186311787072,0.185,NA,0.16886157448054,NA,0.2501,0,853.5,1423.1,0.083409458225002,0.076987936178493,125.9,0,0.12867355043685,1.8639161755075,1.1303415409055,NA,NA,0,0.16489849377865,1069.5,34.68,118.7,62984,NA,105,13.553333333333,NA,0.75,1.7476762638857
"8",2004-12-31,40.1,0.12,0.2264,0.19995137960374,NA,2023.7,1.3,64.3,0.040210118191483,0.031773484212087,0,0.10600706713781,13.041818181818,0,0.0098738343390016,14.436,NA,NA,NA,0.27441,NA,1534.8,2.0237341772152,0.1,NA,1599.1,0.0065721203735732,3.1,11.761290322581,0.13,0,0.22177742193755,NA,0.2096,0,758.4,1434.6,0.11466610901994,0.10287036458008,110,0,0.13123636363636,2.179580674567,1.3041818181818,1.3,NA,NA,0.1671224551808,1034,36.46,164.5,94518,NA,134.4,10.674107142857,0,0.75,1.9437218913334
"9",2003-12-31,39.6,0.05,0.2394,0.22914001421464,NA,1836.7,0.3,40,0.033189512114172,NA,0,0.041771094402673,16.415094339623,0,0.0068781047000382,7.128,NA,NA,NA,0.23602,NA,1165.2,1.7561416729465,0.115,NA,1205.2,0.0068056841073665,2.33,11.231759656652,0.045,0,0.17998146431881,NA,0.1719,0,663.5,1044,0.1544061302682,0.13375373382011,63.6,0,0.11207547169811,1.9251336898396,1.4273995077933,0.3,NA,NA,0.11727825926609,987.3,26.17,161.2,108271,NA,90.7,11.510474090408,0,0.8,1.7131485429993
"10",2002-12-31,39,0.46,0.3099,0.13999629148897,NA,1593,0.1,96,0.093041287071138,NA,0,0.3244,25.845945945946,0,0.0065251490118164,6.24,0,0,0,0.02104,NA,935.8,NA,0.1,-0.1,1031.8,0.0079723791588198,1.42,16.816901408451,NA,0,0.31123568120887,NA,0.1217,0,443.3,956.3,0.07895012025515,0.073173095561155,37,0,0.16864864864865,2.0618801207417,2.5845945945946,0.1,0,0,0.079775765416128,942.8,23.88,75.5,21209,0,64.3,14.872472783826,0,0.75,2.1109857884051
"11",2001-12-31,NA,0.24,0.3238,0.1021,NA,1367.5,1.1,30,0.042028579434015,NA,0,0.1303,32.441747572816,0,0.0082,5.4801,NA,NA,NA,0,NA,683.8,NA,0.1,NA,713.8,0.0097257769652651,NA,NA,0.095,NA,0.16699539776463,0,0.125,0.0014625228519196,415.677,668.3,0.068083196169385,0.063743345474923,20.6,0,0.26602233009709,1.6699150424788,3.2441747572816,1.1,NA,NA,0.051474262868566,573.9,16.3,45.5,8200,0,7.1,94.12676056338,0,0.8,1.7171986903293
"12",2000-12-31,NA,0.75,0.3841,0.095367847411444,NA,898.1,2.1,21.3,0.030528880607711,NA,NA,0.58578495183546,13.672955974843,0,0.008491260349586,5.538,NA,NA,NA,0.22347,NA,676.4,NA,0.1,NA,697.7,0.014252310433137,NA,13.559322033898,NA,NA,0.18272425249169,NA,0.1659,NA,410.3,652.2,0.069763876111622,0.065214275476566,47.7,0,0.11610062893082,1.6891996891997,136.72955974843,2.1,NA,NA,0.12354312354312,NA,16,45.5,NA,NA,44.6,14.62331838565,NA,NA,1.6165430954588
"13",1999-12-31,NA,0.8,0.4149,0.12527533039648,NA,760,3.5,24.6,0.039825157843613,NA,NA,0.28922631959508,13.369158878505,0,0.0089129674938833,5.1,-392.1,-392.1,-392.1,0.24851,NA,593.1,NA,0.11,-395.6,617.7,0.014868421052632,NA,12.213740458015,NA,0,0.43283582089552,NA,0.1342,NA,338.6,572.2,0.079517651170919,0.07366035292213,NA,NA,0.11915887850467,1.801070192005,1.2153780798641,NA,NA,-1.1580035440047,0.1180358829084,392.1,NA,NA,NA,NA,37.5,15.258666666667,0,NA,1.7007158590308
