"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,537,1.58,0.3614,0.3522,20066,176859,0,3696,0.1429,0.0209,NA,0.8,23.12,0,0.0126,187.95,8978,8018.25,8978,0.1069,0.1245,22172.8,0.81,2.47,2.47,NA,8018.25,25868.8,0,2.3,12.33,NA,NA,0.2883,0.01,0.7786,0.0416,27278,14960.8,0.7291,0.4217,647,0,0.1861,0.75,NA,0,0,NA,0.2939,0.0322,624,28.35,10908,5612202,NA,1009.9,14.81,NA,1.25,0.84
"2",2010-12-31,500.4,1.79,0.5666,0.37109141334493,23130,172874,0,4296,0.18648666247043,0.024850469127804,NA,0.52947405577127,49.674603174603,0,0.0113,106.09,9212,9212,9212,0,0,18740.5,0.57695031094144,2.0343573599653,2.0343573599653,NA,9212,23036.5,0,1.76,10.056818181818,NA,NA,0.35458818720621,0.01,0.7678,0.045663315478325,32482,9388.5,1.4536933482452,0.59245111019469,189,0,0.56132301587302,0.40590142671855,NA,0,0,NA,0.28360322640232,0.0081712062256809,860,17.7,13648,6544153,NA,608,15.441611842105,NA,1.2,0.62636630594377
"3",2009-12-31,499.2,1.38,0.5876,0.49823376919352,17613.5,174164.7,0,6456.4,0.20311000795905,0.037070657831352,NA,0.48927842069435,NA,0,0.0014,20.0175,6180.2,6180.2,6180.2,0,NA,25331.3,0.8842689882918,4.0987832108993,4.0987832108993,0.615,6180.2,31787.7,0,0.55,53.654545454545,-0.5,NA,0.22941063543866,0.01,0.748,0.04610808045488,28646.6,14298.2,1.22319592676,0.55019708881108,-1563.7,0,NA,0.81177505890368,NA,0,0,NA,0.21573938966579,-0.088778493768984,1439.9,29.51,17489.5,6448648,NA,-381.1,NA,NA,1.15,0.90555508076233
"4",2008-12-31,354.5,1.35,0.5404,0.60966647566555,17166.4,189138,0,5622.8,0.15223459527658,0.029728557984117,NA,0.32568467801628,70.936930623686,0,0.002,20.2454,7093.4,6334.6899,7093.4,0.10696,NA,31312.3,0.81635989154239,4.4142865198635,4.4142865198635,-0.05,NA,36935.1,0,NA,NA,-0.065,NA,0.66832504145937,0.01,0.7141,0.042714314415929,38356,10122.7,2.6487399606824,0.72593278480362,142.7,0,0.14187386124737,0.58968100475347,NA,NA,NA,NA,0.16515512399625,0.008312750489328,2377.5,20.29,26812.4,13148053,NA,-1377.9,NA,NA,1.1,0.83983874048405
"5",2007-12-31,348.4,0.8,0.2853,0.55979175302982,17552.5,179573.9,0,4270.9,0.13020957189285,0.023783523106643,NA,0.53277252015422,6.6882049191466,0,0.076449302599632,752.544,6902.4,4795.9256,6902.4,0.30518,NA,28529.3,0.78727361533855,4.1332435095039,4.1332435095039,0.01,NA,32800.2,0,2.04,14.480392156863,0.02,NA,0.55988857938719,0.011,0.6515,0.046134209926944,36238.1,9843.7,2.3321007344799,0.69988902506692,1471.8,0,0.51130860171219,0.56081469876086,6.6882049191466,NA,NA,NA,0.13234484059595,0.083851303233158,3660.8,29.54,22956.5,3142960,NA,552.4,17.819876900797,NA,0.95,0.80970154780419
"6",2006-12-31,354.9,0.51,0.1089,0.51602026815916,17313.6,182161.6,0,4235.9,0.10439190771104,0.023253528734926,NA,0.8,10.541121312756,0,0.048012787249815,1036.308,7072.7,4910.1512,7072.7,0.30576,NA,36341,1.1331562240806,5.1382074738077,5.1382074738077,0.065,NA,40576.9,0,6,9.8,0.055,NA,0.22153047989624,0.016,0.5659,0.044311204996004,32070.6,21584,0.87995274277242,0.46807173539625,2047.6,0,0.50610861496386,1.2466500323445,1.6217109711933,NA,NA,NA,0.15310443982963,0.11826540985122,3464.7,58.8,18992.9,5237498,NA,2117.9,10.191227158978,NA,0.95,1.1176208117004
"7",2005-12-31,362,0.29,0.0829,0.55166115338257,16887.4,179712.8,0,4659.7,0.090045992115637,0.025928592732404,NA,0.8,15.736978505005,0,0.028521608845031,883.28,6519.2,4519.6962,6519.2,0.30671,NA,47088.3,1.4266198885687,7.2230181617376,7.2230181617376,0.065,NA,51748,0,5.89,14.337860780985,0.07,NA,0.10194612707823,0.015,0.5569,0.044282321570862,33006.9,30968.8,0.67097207512077,0.4015459534668,1967.9,0,0.44884394532242,1.8338406148963,2.4210736161547,NA,NA,NA,0.13693185873257,0.11653066783519,1833,84.45,20779.2,1046500,NA,2096.7,14.770258024515,NA,1,1.3738431395454
"8",2004-12-31,360.8,0.57,0.132,0.58055155441162,NA,158869.8,0,3876.7,0.079549628486593,0.02440174281078,0,0.86363636363636,16.915188505309,0,0.030269675288938,793.76,NA,NA,NA,0.30311,NA,44856.4,1.3101578975039,NA,NA,0.08,NA,48733.1,0,5.84,12.445205479452,0.085,0,0.074066198880147,0.02,0.5364,0.049521683793899,34237.4,26605.9,0.83166515697646,0.45404868559562,1572.9,0,0.50464746646322,1.6642313394091,2.1143985631636,0,NA,NA,NA,0.098386804195935,766.2,72.68,22127.2,571100,NA,1572.9,16.915188505309,0,0.95,1.2786108028262
"9",2003-12-31,281.9,0.47,0.1358,0.61145293889823,NA,125393.2,0,3931.7,0.10831606902784,NA,0,0.69219440353461,15.750581700818,0,0.027266530334015,563.8,NA,NA,NA,0.30215,NA,32366.7,1.5329932649408,NA,NA,0.075,NA,36298.4,0,5.42,13.533210332103,0.095,0,0.11151392111369,0.02,0.4481,0.013695320001404,21113.4,20984.5,0.72977197455265,0.42188911907963,1332.3,0,0.42317796292126,2.1564144195988,2.1000775601091,0,NA,NA,NA,0.13691014468925,771.6,73.35,15313.9,268700,NA,0,NA,0,1.05,1.4493214241508
"10",2002-12-31,282.5,0.4,0.2092,0.53843036322391,NA,117322.5,0,4455.8,0.1490637932015,NA,0,0.4228,14.763553086049,0,0.025861937432929,508.5,4468.2,3263.7073,4468.2,0.26957,NA,25436.1,NA,5.6926950449846,5.6926950449846,0.08,3263.7073,29891.9,0,4.92,14.186991869919,NA,0,0.1647316716733,0.024,0.4861,0.013432206098574,14543.5,19662.1,0.52028013284441,0.34222648945032,1331.8,0,0.38181408619913,2.2421004618279,1.8454441357561,0,0,0,0.22441003376079,0.15186726723302,1117.3,69.8,10229.8,848377,0,1331.8,14.763553086049,0,1.05,1.7489668924262
