"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,177.9,-0.2,0.3957,0.5578,1033.5,3532.8,367.7,11.6,0.0025,0.0097,0.0033,-4.59,-0.13,16.42,169.4,0.036,122.75,367,235.08,536,0.3589,0.3589,4706,2.02,4.24,12.83,8.78,3.94,NA,-0.03,41.37,4717.6,0.877,1.22,16.2,-0.025,-0.07,0.1104,0.021,0.721,0.0087,2325.4,3414.1,0.3818,0.2763,207.9,0.1741,65.5,0.0548,0.5851,3.3,NA,0.307,2.86,193.71,0.824,1194.4,0.1011,0.2012,346.3,19.76,1303.5,979507,1110.7,209.8,16.27,1110.7,0.75,2.02
"2",2010-12-31,176.5,0.17,0.424,0.5607139828712,1036.1,3373.6,320.3,21.8,0.0045403424001333,0.01940192239231,0.0064619397676073,10.2753,NA,18.091003640146,161.8,0.0337,117.2389,342.9,218.561,504.7,0.36261,0.36261186609214,4779.6,2.0453611776789,3.9753805206687,13.938757655293,9.4701803051318,4.2538269846921,-0.08,-0.08,49.7858,4801.4,0.85505098411193,1.16,17.120689655172,0.125,-0.6341,0.10159253157606,0.021,0.7571,0.0093372065449372,2336.8,3478.9,0.38014889764006,0.27544049652185,192.3,0.17114631541474,146.7,0.13056247775009,0.60966682267291,3.3576874819033,NA,0.30517977928088,3.0962086151655,168.7753,0.77221115871718,1123.6,0.093530054347826,0.18559984557475,346.4,19.86,1322.5,1597088,1202.3,210,16.56619047619,1202.3,NA,2.0356991435597
"3",2009-12-31,174.6,0.35,0.4795,0.40144588197091,3502.2,8897.7,1496.7,30.8,0.0056705206568967,0.010138248847926,0.0034615687200063,-5.7006,NA,6.2251615508885,714.6,0.0326,100.496,932.3,750.3244,1646.9,0.19519,0.19518933853405,5400.8,0.92792467742213,2.4315879519157,5.7929850906361,3.2793733681462,1.7777485187623,-0.11,-0.15,-26.0751,5431.6,0.87718174359666,1.11,15.684684684685,0.24,-0.1283,0.55911585818128,0.024,0.7716,0.0078559627768974,5820.3,3082.7,0.76196191650177,0.43245084321379,495.2,0.16300197498354,21.2,0.0069782751810401,0.20294026655897,0.88021814859231,NA,0.30687952600395,1.0147136273864,776.3994,1.0347517490973,3038,0.12891506674914,0.14139683627434,183.8,17.41,2348.9,2144930,2221.1,329.3,9.3613726085636,2221.1,NA,0.92830407957478
"4",2008-12-31,173.6,0.82,0.3152,0.40762564991334,3418,8630.7,2427.5,23.9,0.0024481183291336,0.0068973478398892,0.002769184423048,-39.6731,0.60913705583756,10.626039575566,502.1,0.0122,90.4093,1421.7,933.7868,1923.8,0.34319,NA,9738.7,1.6948364977985,3.2345888136044,6.8500386860801,5.0622206050525,2.8105105191769,0.035,0.04,-951.9401,9762.6,0.82646830500423,2.7,15.396296296296,0.26,0.265,0.27243448982579,0.024,0.7522,0.0081105819921907,5746.1,7410.6,0.31738320783742,0.24091942720177,697.4,0.20126403278405,302.6,0.087327927043952,0.12963768282191,2.1681100058514,3.0360113073047,0.41029118928747,2.1386395775014,1885.7269,2.019440593068,3465.1,0.16250792311307,0.20403744880047,159.7,41.57,2352,1533764,3010.8,502.4,14.750398089172,3010.8,1.2,1.6919584055459
"5",2007-12-31,172.8,1,0.3134,0.34917950012623,2577.9,5944.2,1383.5,14.2,0.0020783326503132,0.0052079512946527,0.0023888832811817,-2.1328,0.63816209317167,10.831445040747,375.8,0.015538142513717,84.672,976.4,615.5714,1352.2,0.36955,NA,6818.2,1.7275260970913,1.969041499408,6.9829987709955,5.042301434699,2.5006234871268,0.095,0.06,-389.9959,6832.4,0.8577436829178,3.23,10.120743034056,0.22,-0.044,0.56742043551089,0.027,0.7525,0.011893947040813,3946.8,5449.3,0.25381241627365,0.20243252736959,503.1,0.18451551382674,7.9,0.0028973813540674,0.16830053667263,2.1138523604484,1.1401521095523,0.35810166507739,1.9985696471796,1005.5672,1.6335509906021,2726.6,0.15596720887808,0.19515885022693,165.4,32.69,1383.1,1632815,3462.7,687.9,7.9216455880215,3462.7,1.25,1.7249179500126
"6",2006-12-31,171.8,0.89,0.2386,0.32716068214406,2205.5,5064.7,909.8,24.6,0.0023484711071227,0.0086754126110876,0.0048571484984303,4.809,0.6035205364627,21.780171415335,316.1,0.0089531507577772,84.182,847.4,522.9051,1163.5,0.38293,NA,10450.3,3.2122152890911,3.8717720721722,12.332192589096,8.98177911474,3.6853928621808,0.08,0.015,-75.6039,10474.9,0.80782672221454,2.91,18.577319587629,0.19,0.0336,0.21472138943451,0.028,0.7436,0.013959365806464,3253.3,9402.5,0.11405477266684,0.10237806566172,431.7,0.15224291155311,99.9,0.035230639018197,0.19500115821172,4.2632056223079,2.7225214269168,0.29884327831852,3.3158767103964,598.509,1.1445842880926,2835.6,0.16073067900286,0.1957379279075,135,54.06,1072.4,977700,2699.1,491.4,19.134106634107,2699.1,0.9,3.1956130449373
"7",2005-12-31,85.3,0.38,0.223,0.41016175071361,1549.8,4357.1,715.9,13.4,0.0016230620155039,0.0049176116554736,0.0030754400862959,3.7515,0.6457399103139,21.357631657245,250.3,0.011170054191104,80.182,577.7,366.6026,828,0.36541,NA,8242.6,3.1531310967446,2.7436921643033,14.267959148347,9.9548309178744,3.0249183456274,0.08,0.04,-102.7488,8256,0.78664708177457,5.01,16.576846307385,0.165,0.4227,0.14931498200644,0.03,0.7137,0.0024787129053728,2614.1,7178.3,0.15013303985623,0.13053536821705,336.1,0.12334397592572,-36.6,-0.013431685566443,0.23856590300506,4.631758936637,2.6697039571556,0.21200778010202,2.6343352049616,469.3515,1.2802730115034,2724.9,0.14024048161891,0.21686669247645,123.1,83.05,1077.7,347900,3004.2,437,16.426315789474,3004.2,0.9,3.1421503330162
"8",2004-12-31,84.7,0.47,0.1693,0.41019337921993,NA,3646.7,441.5,3.7,0.00048991049202902,0.0017060125414976,0.0010146159541503,0.0141,0.55522740696988,28.570431748801,216.2,0.011893749174045,76.23,535.6136,342.2196,751.8136,0.36107,NA,7548.7,3.0974108571663,3.4805883437846,14.093556555962,10.040654228157,3.9700746818134,0.165,0.12,116.9055,7552.4,0.81846601036554,4.2,18.016666666667,0.125,0.2831,0.31445756619966,0.036,0.6736,0.032248334110292,2437.1,6551.2,0.15282696299914,0.13256713097823,229.3,0.12059535079415,0.1,5.2592826338454e-05,0.33244657653729,4.5507085301473,1.7315413181091,0.28169430945619,3.445461239087,225.3141,0.65839034885374,1901.4,0.14042081649945,0.15928035565435,309.1,75.67,1001.2,628800,2168.8,229.3,28.570431748801,2168.8,0.85,3.0942313995411
"9",2003-12-31,83.6,0.74,0.2139,0.46825463743676,NA,3309.1,320,13.9,0.0025828749814182,0.0079770444763271,NA,1.6416,0.6919121084619,23.833147321429,201.8,0.017469022953484,71.896,541.6766,344.5009,743.4766,0.36401,NA,5367.7,2.2762817522582,3.0804591104735,9.9094175447551,7.2197291901464,3.6684663750683,0.12,0.095,224.6593,5381.6,0.83663231694418,3.08,15.983766233766,0.1,0.1957,0.20759137769447,0.033,0.6377,0.025958719893627,2358.1,4270.9,0.26006228195462,0.20638843466627,179.2,0.12247129579005,8.6,0.0058775287042099,0.40120535714286,3.3861095694918,1.986095610119,0.3702,2.9188764352105,119.8416,0.34787016413392,1463.2,0.14609258567219,0.14207563624832,284.3,49.23,1110.7,156200,1742.5,0,NA,1742.5,0.85,2.268802698145
"10",2002-12-31,82.1,0.85,0.2817,0.51187312473211,NA,3067.9,334.5,21.6,0.0052302774952782,0.017989506121429,NA,-41,0.6655,20.400277970813,194.4,0.022373620384249,65.68,274.2,180.7088,468.6,0.34096,NA,4108.2,NA,NA,14.98249452954,8.7669654289373,3.4215041225952,0.075,0.06,40.6088,4129.8,0.85328726490433,2.26,15.62389380531,NA,-0.1712,0.15206773038098,0.038,0.6322,0.028684116170671,2311.4,2935.6,0.4067992914566,0.28916654559543,143.9,0.11984675605897,6.8,0.0056633630382277,0.45642807505212,2.5778011942395,2.7200370627751,0.22836678604148,2.4449071375031,140.1,0.7752805884881,1200.7,0.078181521156009,0.12636108184053,284.3,35.31,1194.2,222779,1396.9,163.9,17.910921293472,1396.9,0.8,1.7773643679155
