"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,157.1,1.6,0.3933,0.2307,2189.6,14974.8,0,276.4,0.1059,0.0185,NA,0.8,35.6,0,0.0225,43.99,491,491.4,491,0,0,2334.5,0.91,4.75,4.75,0.44,491.4,2610.9,0,0.94,11.15,-0.37,NA,0.1595,0.024,0.7064,0.0699,2569.9,1954.2,0.336,0.2515,54.9,0,0.376,0.89,0.81,0,0,NA,0.1912,0.0251,76.8,10.48,656.7,1081585,NA,117,16.7,NA,1.2,0.92
"2",2010-12-31,130,1.46,0.4987,0.37378135352579,1984.8,13954.1,0,200.6,0.088327242305491,0.014375703198343,NA,0.60156406657309,31.673469387755,0,0.0144,15.6442,470.1,454.7465,470.1,0.03266,0.031073446327684,2070.5,0.69739634207956,4.4043820463731,4.4043820463731,0.25,454.7465,2271.1,0,0.66,12.69696969697,-0.265,NA,0.33461292386436,0.024,0.9221,0.075397195089615,2968.9,1086.4,1.0904823269514,0.52164149531064,34.3,0,0.45609795918367,0.54735993550988,1.2669387755102,0,0,NA,0.15317004075584,0.017281338170093,104,8.38,1184.7,1330707,NA,50.6,21.470355731225,NA,1.2,0.716548351475
"3",2009-12-31,86.5,0.78,0.499,0.41539153915392,1688.7,13689.3,0,203.2,0.080920712038549,0.014843710050916,NA,0.60120240480962,103.24409448819,0,0.0148,19.4058,455.6,455.6,455.6,0,0,2307.9,0.85942503910032,5.0656277436348,5.0656277436348,0.085,455.6,2511.1,0,0.39,24.820512820513,-0.145,NA,0.35320584926884,0.024,0.6566,0.077542314070113,2685.4,1311.2,0.91511592434411,0.47783839751503,12.7,0,1.5280125984252,0.77645526144371,12.146364057434,0,0,NA,0.16965815148581,0.007520577959377,160.3,9.68,1199.9,884636,NA,26.6,49.293233082707,NA,1.2,0.86931385446237
"4",2008-12-31,86.2,0.7,0.4371,0.47836500583026,1655.2,13683,0,237.7,0.11748134236149,0.017371921362274,NA,0.43925875085793,6.1186440677966,0,0.0068,3.4367,444.6,335.1617,444.6,0.24615,NA,1785.6,0.60829869864414,4.0161943319838,4.0161943319838,-0.01,NA,2023.3,0,0.06,98.166666666667,-0.03,NA,0.61682716675114,0.021,0.4528,0.078316158737119,2935.4,505.4,3.0033636723387,0.7502100528839,82.6,0,0.041606779661017,0.30534074432093,NA,NA,NA,NA,0.11417922940655,0.049903334944418,205.9,5.89,1517.9,1106784,NA,19.9,25.396984924623,NA,1.2,0.63764142321389
"5",2007-12-31,56.3,0.6,0.3362,0.4747394963089,1729,13078,0,327,0.11516517574135,0.025003823214559,NA,0.57108863771564,18.476121562952,0,0.045861987937652,58.552,311.8,220.3615,311.8,0.29326,NA,2512.4,0.84743818936149,8.0577293136626,8.0577293136626,0.045,NA,2839.4,0,1.19,13.36974789916,0.01,NA,0.45026178010471,0.029,0.5568,0.076724269766019,2964.7,1276.7,1.2240150387718,0.55036275269423,69.1,0,0.8473516642547,0.7384037015616,4.1058047917672,NA,NA,NA,0.074328442000877,0.039965297860035,190.5,15.91,1562.7,556209,NA,82.3,15.512758201701,NA,1.2,0.86259379651852
"6",2006-12-31,52.1,1.26,0.2315,0.44508978841937,936.3,8225.1,0,194.8,0.11163323782235,0.023683602630971,NA,0.76025917926566,11.88995215311,0,0.05451106639839,54.184,315.1,216.7888,315.1,0.312,NA,1550.2,1.0386599664992,4.9197080291971,4.9197080291971,0.07,NA,1745,0,1.26,13.428571428571,0.04,NA,0.25964593735815,NA,0.6017,0.043051148314306,1492.5,994,0.75553319919517,0.43037249283668,83.6,0,0.64813397129187,1.0616255473673,1.6985645933014,NA,NA,NA,0.14525212730318,0.089287621488839,155.6,16.92,751,989355,NA,71.8,13.844011142061,NA,1.1,1.0341966455284
"7",2005-12-31,46.9,1.24,0.1858,0.51877427708243,780.5,7466,0,196.6,0.086971908869719,0.026332708277525,NA,0.8,17.827889447236,0,0.033049115636671,46.9,301.7,213.489,301.7,0.29238,NA,2063.9,1.4480460253982,6.8409015578389,6.8409015578389,0.07,NA,2260.5,0,1.64,16.390243902439,0.04,NA,0.11702340468094,NA,0.4601,0.034061076881865,1425.3,1419.1,0.59291099992953,0.37221853572218,79.6,0,0.5891959798995,1.8181934657271,2.5468413496052,NA,NA,NA,0.14978527608223,0.10198590647021,96.2,26.88,841.4,179666,NA,89.9,15.78531701891,NA,1.05,1.3937357420309
"8",2004-12-31,46.6,0.58,0.1882,0.56453481635963,NA,7475.1,0,160.6,0.076142613313104,0.021484662412543,0,0.6163655685441,16.163817663818,0,0.040540540540541,44.736,NA,NA,NA,0.295,NA,1948.6,1.2446346448646,NA,NA,0.065,NA,2109.2,0,1.6,14.8,0.045,0,0.14225941422594,NA,0.414,0.033792190071036,1565.6,1134.7,0.8588173085397,0.46202351602503,70.2,0,0.63726495726496,1.5095117733138,2.4867411790489,0,NA,NA,NA,0.093388319808434,68.4,23.68,974.5,79073,NA,71.2,15.936797752809,0,0.95,1.221874637933
"9",2003-12-31,39.9,0.49,0.1731,0.5761845772685,NA,5953.1,0,176.2,0.091823440512794,NA,0,0.56614673599076,18.825320512821,0,0.03687374749499,36.708,NA,NA,NA,0.3,NA,1742.7,1.5623991393222,NA,NA,0.076,NA,1918.9,0,1.59,15.691823899371,0.055,0,0.10020283975659,NA,0.3859,0.010666711461255,1115.4,1174.7,0.63352345279646,0.38782635885143,62.4,0,0.58826923076923,2.1459627329193,2.4770158569501,0,NA,NA,NA,0.11399342345634,62.9,24.95,744.2,57319,NA,64.9,18.100154083205,0,0.9,1.4856766800867
"10",2002-12-31,39.6,0.12,0.2307,0.58561005898789,NA,5544.6,0,156.3,0.088041457781783,NA,0,0.1135,16.544570502431,0,0.034137931034483,34.848,245.8,170.3394,245.8,0.307,NA,1619,NA,6.586655817738,6.586655817738,0.075,170.3394,1775.3,0,1.58,16.082278481013,NA,0,0.16334164588529,NA,0.3825,0.010803304115716,1132.1,1020.8,0.73912617554859,0.4249985917873,61.7,0,0.56479740680713,1.9119685334332,2.2059427336575,0,0,0,0.15046320996378,0.11556471249298,82.5,25.41,754.5,51602,0,63.8,16,0,0.85,1.4300856814769
