"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,115.4,2.75,0.5707,0.1885,844,1403.5,101.9,109.1,0.0662,0.1204,0.0777,-11.95,0.8,10.22,62.4,0,0,156,141.74,218,0.0897,0.0897,1538.2,1.65,1.8,9.88,7.05,1.7,0.18,0.11,114.19,1647.3,0.262,0.48,26.63,0.55,NA,0.3421,NA,0.7117,0,930.9,1451.3,0.1351,0.119,142,0.1567,218.7,0.2414,0,1.72,0.57,0.1719,1.6,27.55,0.1944,906,0.1523,0.1682,58.6,12.78,196,2191620,856.5,57,25.46,856.5,2,1.58
"2",2010-12-31,101.9,2.81,0.806,0.25157232704402,583.1,909.5,50.3,19.4,0.014578793116405,0.034898363014931,0.021330401319406,114.9491,0.62034739454094,21.288930581613,71.6,0,0,57.7,57.7,129.3,0,0,1311.3,1.7260760826642,1.6577749683944,22.726169844021,10.141531322506,2.3588774959525,NA,0.12,-35.9491,1330.7,0.56052776250687,1.73,6.0462427745665,NA,0.3379,0.55977115326709,0.011,0.768,0,759.7,1134.7,0.17273288093769,0.14729089952656,53.3,0.095880554056485,271.8,0.48893685914733,0,1.9459783913565,NA,0.10379564669905,2.0411944594351,93.6491,1.623033892297,555.9,0.07595103330262,0.091407991768136,33,10.46,196,3462214,791,139.2,8.1515804597701,791,2,1.7079964061096
"3",2009-12-31,96.7,2.19,0.9781,0.30510585305106,446.4,724.8,39.5,166.7,0.074995501169696,0.42266734279919,0.2299944812362,30.8187,0.52397505367549,NA,70.4,0,0,5.6,2.24,76,0.6,1,2056.1,4.3222619297877,4.0072110699669,367.16071428572,27.053947368421,5.2132352941177,NA,0.07,2.3213,2222.8,0.4951710816777,1.09,19.587155963303,NA,-0.552,0.46397694524496,0.012,0.361,0,475.7,2026.8,0.096704164199724,0.08817707396077,-1.6,-0.0040567951318458,102.4,0.25963488843813,NA,4.5403225806452,NA,0.01419878296146,5.1389452332657,-0.0813,-0.036311938568531,394.4,0.0047088501156191,-0.003584229390681,27.1,21.35,196,2380630,513.1,35,57.908571428571,513.1,2.05,3.4601494396015
"4",2008-12-31,94,2.14,0.9708,0.33307024467245,422.5,724.3,82.3,161.8,0.15400723396155,0.18908495968213,0.22338809885407,-30.6412,0.32962505150391,NA,83,0,0,-8.9,-8.9,74.1,0,NA,888.8,1.8842484630062,1.8727349346818,NA,11.994601889339,1.038681780998,NA,-0.005,22.4412,1050.6,0.54314510561922,NA,NA,NA,0.3582,0.59171143514965,0.012,0.318,0,471.7,839.6,0.25131014768938,0.20083761660004,-42,-0.049082622414398,68.8,0.080402010050251,NA,1.9872189349112,NA,-0.010400841416384,0.98118499474115,-31.3412,NA,855.7,-0.018867924528302,-0.099408284023669,32.6,9.48,211,906340,474.6,-68.6,NA,474.6,2,1.6584056827151
"5",2007-12-31,92.4,1.52,0.8052,0.19807811531308,517.4,742.4,87.9,61.4,0.12218905472637,0.099160206718346,0.08270474137931,-18.4693,0.35767511177347,NA,82.5,0,0,-14.9,-14.9,67.6,0,NA,441.1,0.75556697499144,0.62691870380898,NA,6.5251479289941,0.71237080103359,NA,0.085,-1.8307,502.5,0.62648168103448,0.06,82.333333333333,NA,2e-04,0.8562091503268,0.01,0.3775,0,583.8,374.7,0.34107285828663,0.25432835820895,-14.3,-0.023094315245478,135.5,0.21883074935401,NA,0.72419791264012,NA,-0.02406330749354,0.60513565891473,-13.0693,NA,619.2,-0.025522439191504,-0.027638190954774,28.3,4.94,127.8,630614,703.6,9.7,38.628865979381,703.6,1.8,0.77882827030378
"6",2006-12-31,91.5,3,0.5026,0.20317114876418,512.6,756,97.8,88.4,0.085451909134848,0.14418528788126,0.11693121693122,-6.052,0.54118583366494,114.40506329114,83.7,0,0,8.2,8.1897,91.9,0.00126,NA,946.1,1.7049918904307,1.4640978025379,115.37804878049,10.294885745375,1.5431414124939,0.57,0.045,0.1417,1034.5,0.60886243386243,0.39,23.153846153846,-0.465,0.2014,0.35,0.01,0.3925,0,554.9,903.8,0.14461163974331,0.12634122764621,7.9,0.012885336812918,112.1,0.18284129832001,0,1.7631681623098,2.0071063735288,0.01337465340075,1.4741477736095,8.048,0.98269588286211,613.1,0.01475881780501,0.01541162699961,27.7,9.03,130.7,644196,646.2,-11.8,NA,646.2,1.7,1.6081144100731
"7",2005-12-31,91,2.18,0.5178,0.22271223814774,493.5,721.5,92.1,80.3,0.062151702786378,0.15822660098522,0.11129591129591,-16.6483,0.47894940131325,NA,79.1,0,0,-7.5,-7.5,71.6,0,NA,1211.7,2.1848178867652,2.1139218422889,NA,16.923184357542,2.3875862068965,NA,0.045,-3.8517,1292,0.61704781704782,NA,NA,NA,0.1269,0.41316474525846,0.01,0.3751,0,554.6,1150.6,0.12289240396315,0.1094427244582,-13.9,-0.027389162561576,128.6,0.25339901477832,NA,2.3315096251267,NA,-0.014778325123153,2.2671921182266,-3.6483,NA,507.5,-0.013523260007212,-0.028166160081054,20.5,12.49,141.4,474200,573.2,2.8,410.92857142857,573.2,1.55,2.0349661363994
"8",2004-12-31,90.4,2.72,0.7204,0.24246453900709,NA,744.7,76.7,96.1,0.077971602434077,0.18645712068296,0.12904525312206,24.5047,0.75513603553581,44.890756302521,59.6,0,0,43.146,43.1404,102.746,0.00013,NA,1136.4,1.9569485104185,2.2048894062864,26.338478653873,11.060284585288,2.5394413407821,0.205,0.025,1.5357,1232.5,0.58399355445146,0.08,144.375,-0.065,0.8507,0.34770889487871,0.01,0.3249,0,580.7,1068.4,0.15359415949083,0.13314401622718,23.8,0.053184357541899,161.5,0.3608938547486,0,2.0838697093817,2.1897929903669,0.0964156424581,2.3874860335195,41.6047,0.96440230961611,447.5,0.074290323781643,0.046420908913595,19.7,11.55,164.1,431700,515.4,23.8,44.890756302521,515.4,1.3,1.8210697399527
"9",2003-12-31,89.8,2.72,0.7523,0.15407695022944,NA,690.6,55.3,47.5,0.043076085970799,0.12179487179487,NA,68.0399,0.72311577827994,NA,41,0,0,52.6999,52.6999,93.6999,0,NA,1055.2,2.0327489886342,2.705641025641,20.022815991232,11.261487207881,4.3930058284763,0.105,0.025,-29.64,1102.7,0.6074428033594,0.87,12.609195402299,NA,-0.5772,0.38198403648803,NA,0.3261,0,519.1,1015.4,0.08597597006106,0.079169311689489,-5.4,-0.02248126561199,109.1,0.45420482930891,NA,2.1185061548091,NA,0.2194,4.2273105745212,82.3399,1.5624301882751,240.2,0.10152163359661,-0.011266430210724,14.5,10.97,87.3,154800,390,0,NA,390,1.2,1.9461701376633
"10",2002-12-31,43.6,2.52,0.7899,0.2827090815803,NA,914.2,57.2,25.9,0.026833816825528,0.093976777939042,NA,108.4,0.7027,26.791366906475,39,0,0,51.4,41.1663,90.4,0.1991,NA,939.3,NA,NA,18.274319066148,10.390486725664,3.4082002902758,-0.12,-0.07,22.9663,965.2,0.86851892364909,0.25,34.76,NA,-0.1162,0.63726298433636,NA,0.2742,0,753.7,744.8,0.29591836734694,0.22834645669291,27.8,0.10087082728592,42.3,0.15348330914369,0,1.3319027181688,NA,0.18650217706822,2.7024673439768,18.2,0.44210963055667,275.6,0.054618893458936,0.049713876967096,14.2,8.69,220.4,422721,238.3,NA,NA,238.3,1.05,1.2462518243333
