"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,169.5,1.77,0.3326,0.3282,7066.8,15949,302.1,906.9,0.0577,0.0874,0.0569,43.47,0.8,13.77,410.1,0.0271,332.22,1394,1198.54,1804,0.1399,0.1398,14811.1,1.54,1.34,10.63,8.21,1.43,0.13,0.075,1263.07,15718,0.0784,6.25,11.84,0.045,0.045,0.1659,0.022,0.855,0.6293,9612.3,12265.6,0.2815,0.2196,890.9,0.0859,673.9,0.0649,0.3844,1.74,1.06,0.1343,1.18,-64.53,-0.0538,10376.4,0.1247,0.1261,2436.8,73.97,3452.4,969787,11045.7,864.2,14.19,11045.7,1.1,1.49
"2",2010-12-31,167.2,1.67,0.3849,0.32704773689972,7069.7,15139.4,165.4,1745.4,0.11705452350614,0.20754851598173,0.11528858475237,145.7421,0.71447129124448,19.652680253468,348.7,0.0241,276.5523,1177.9,1104.3284,1526.6,0.06246,0.062459858702633,13165.6,1.502905217977,1.3095929654239,11.177179726632,8.6241320581685,1.5655441400304,0.155,0.07,1141.8863,14911,0.07705060966749,5.85,11.555555555556,0.045,0.085,0.24844323806482,0.03,0.8301,0.58219612402077,8760.1,11475.2,0.29941090351366,0.23042049493662,583.9,0.069432553272451,745.7,0.0886724695586,0.47362959410858,1.6231523261242,1.2679148550625,0.14006611491629,1.3645357686454,-37.5579,-0.034009747634686,8409.6,0.12606344288307,0.082591906304369,2156.6,67.6,3435.8,1692933,10053.2,834,13.759232613909,10053.2,1.1,1.4193517681215
"3",2009-12-31,80.6,1.32,0.3547,0.40744123018912,2011.5,4769.1,72.9,400.7,0.031969554325105,0.10722217762436,0.084020045710931,101.611,0.77530307301945,50.962979890311,200.1,0.0203,226.3592,493.9,398.9527,694,0.19224,0.19941456275156,12133.1,4.0526069675006,1.7417349736581,24.565904029156,17.482853025937,3.2466618500977,0.12,0.05,424.5417,12533.8,0.12075653687278,4.28,15.623831775701,0.07,-0.1739,0.16263094624764,0.033,0.8162,0.54408588622591,2993.9,11150.7,0.12403705596958,0.11034961464201,218.8,0.058548072034465,117.6,0.031468250782692,1.0345484917733,5.5434750186428,4.2469149908592,0.13216130154398,2.9837842177089,-25.589,-0.064140487159865,3737.1,0.13325517351949,0.10877454635844,1014.4,66.87,1383.1,1688436,6966.1,488.7,22.817065684469,6966.1,1.1,3.6922759677134
"4",2008-12-31,78.9,1.3,0.3335,0.49388342528184,1688,4879.2,140.8,211.6,0.035831611745182,0.047806244634223,0.043367765207411,-41.1283,0.52773613193403,15.637899375689,183,0.0251,106.8808,563.8,424.3328,746.8,0.24737,NA,5693.8,1.8228326290178,1.4773358241872,10.098971266406,7.6242635243707,1.2863856129411,0.01,0.015,507.6611,5905.4,0.11883095589441,2.55,20.2,0.11,0.006,0.40523477574642,0.025,0.7582,0.53375553369405,3123.6,4258.2,0.38683011601146,0.27893114776306,272.3,0.061520039763228,318.2,0.071890108897022,0.39251127432978,2.5226303317535,15.637899375689,0.12737788622294,0.96204419140572,-83.3283,-0.19637495022359,4426.2,0.13584735369445,0.16131516587678,1107.6,51.51,1647.2,1103866,3854.1,196.7,21.648195221149,3854.1,1.1,1.7706284480691
"5",2007-12-31,80.4,1.11,0.23,0.4654233933321,1728.5,4779.9,86.9,240.4,0.05955507109944,0.053615237075695,0.050293939203749,-6.5916,0.76521739130435,7.5213903743315,162.2,0.04064936603863,102.912,633.8,472.9289,796,0.25382,NA,3796.2,1.2683595055129,0.83649905248777,5.989586620385,4.7690954773869,0.84664793255721,0.085,0.065,554.8205,4036.6,0.11910291010272,4.2,8.1190476190476,0.095,0.1361,0.36650517218803,0.024,0.7628,0.47126508922781,2993,2531.7,0.59442271991152,0.37281375414953,336.6,0.075070252910478,543.3,0.12116954369062,0.30573975044563,1.4646803586925,0.88486945580371,0.14135331638342,0.5646326776395,-81.8916,-0.17315843025729,4483.8,0.15801165519546,0.19473531964131,1058.4,34.1,1504.9,709939,4538.2,318.3,7.9538171536287,4538.2,1.1,1.2484072493351
"6",2006-12-31,81.8,1.48,0.1753,0.39165882721856,1552,3935.4,80.5,176.6,0.035426989508315,0.043945652714876,0.044874726838441,-41.8844,0.8,13.710698314414,121.2,0.025448980103871,101.432,503.3,398.5532,624.5,0.20812,NA,4808.3,2.0248884022572,1.1090020065964,9.5535465924896,7.6994395516413,1.1965112228139,0.095,0.055,481.1376,4984.9,0.14214565228439,4.39,10.102505694761,0.095,0.2445,0.15495236383246,0.017,0.7915,0.41202927275499,2374.6,3985.7,0.25069623905462,0.20044534494172,290.7,0.072338625391927,530.8,0.13208580102523,0.34892328861369,2.5681056701031,1.4432314015172,0.12524262180859,0.99181306922809,-82.5844,-0.20721049705851,4018.6,0.16784014318201,0.18730670103093,955.2,44.35,999.2,1149500,4335.7,335.8,11.869267421084,4335.7,1.1,1.9539432423957
"7",2005-12-31,83.3,1.35,0.1702,0.42443435309114,1444.9,3545.1,68.4,657.8,0.12766122615328,0.20022524579186,0.18555188852219,-77.9265,0.8,14.927684441198,96.5,0.024456840869055,99.96,451.6,343.8979,548.1,0.23849,NA,4494.9,2.4262657886214,1.1709737925285,9.9532772364925,8.2008757525999,1.3681855538307,0.11,0.085,449.9244,5152.7,0.13175932977913,4.2,11.973809523809,0.09,0.071,0.13504522299615,0.018,0.7231,0.2991170911963,1852.6,4087.2,0.26069191622627,0.20678479243892,273.8,0.083340942988464,462.7,0.14083949715399,0.36508400292184,2.8287078690567,1.3570622219271,0.13746081027608,1.2440872979637,-106.0265,-0.3083080438769,3285.3,0.18562988016841,0.18949408263548,729.7,50.29,1065.5,284100,3838.6,266.8,15.319340329835,3838.6,0.9,2.0525414276609
"8",2004-12-31,82.6,1.12,0.2592,0.32360434204696,NA,2850.6,47.6,250,0.053653825517759,0.076266015863331,0.087700834911948,31.2656,0.8641975308642,16.505467800729,95,0.024166666666667,95.816,426.6388,312.7603,521.6388,0.26692,NA,4409.5,2.8345975829262,1.3451799877974,10.335441627479,8.4531678589221,1.4488729710193,0.13,0.085,328.8947,4659.5,0.1399354521855,3.7,12.972972972973,0.065,0.118,0.10980055758096,0.013,0.7031,0.32561565986108,1555.6,4075.2,0.14337946603848,0.12539972100011,246.9,0.08112637182099,405.6,0.13327199842282,0.38807614418793,3.3367722918202,1.2696513692869,0.14018491161201,1.3390287178813,-16.1344,-0.051587068416367,3043.4,0.20105447555978,0.20216163104888,685.7,48,584.3,270200,3278,259.5,15.704046242775,3278,0.95,2.5805826318121
"9",2003-12-31,81.3,0.92,0.2905,0.44635027082796,NA,2423.8,31.4,204.4,0.043590454458212,0.066101804540457,NA,61.9271,0.63339070567986,24.733292079208,86.5,0.023328473234743,91.056,377.6121,274.5051,464.1121,0.27305,NA,4484.7,3.3308823529412,1.4503266282905,11.876473238013,9.662967201243,1.6745827265599,0.14,0.09,267.678,4689.1,0.17051736941992,3.09,15.537216828479,0.065,0.1032,0.1889132020423,0.048,0.7197,0.26540968726793,1346.4,3996.9,0.17318421776877,0.14761894606641,161.6,0.060341286733132,400.5,0.14954632015235,0.56346534653465,4.6551362683438,1.7666637199434,0.141,1.4924386692058,6.8271,0.024870688285183,2678.1,0.20388080518048,0.18821337060331,601.7,48.01,692.2,99000,3092.2,240.5,16.619126819127,3092.2,1,3.0236652050555
"10",2002-12-31,86.8,0.86,0.312,0.42051010190257,NA,2418.2,37.2,121.7,0.032671140939597,0.046925004819742,NA,-31.5,0.6049,14.767533104463,71.2,0.029979741622663,90.272,316.7,222.4437,387.9,0.29762,NA,3603.3,NA,NA,11.377644458478,9.2892498066512,1.3893580104106,0.08,0.05,256.4437,3725,0.20461500289471,2.35,15.68085106383,NA,-0.0365,0.28125538886015,0.048,0.7052,0.22533289223389,1576,3011.1,0.23708943575437,0.19165100671141,203.9,0.078619625988047,537.4,0.20721033352612,0.44272682687592,3.0606830656638,1.8459416380579,0.12211297474455,1.161017929439,-34,-0.15284763276734,2593.5,0.14114450888325,0.20725757267737,537.3,36.85,713.9,491497,2743.8,NA,NA,2743.8,1,2.2863578680203
