"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,349.1,1.03,0.3004,0.2529,3969.3,7902.9,2184.5,15.6,0.0012,0.0053,0.002,-7.16,0.8,18.15,708,0,0,1075,652.22,1783,0.3932,0.3931,12904.4,2.44,4.81,12.01,7.24,4.37,0.085,0.105,-817.12,12920,0.8409,1.55,21.55,0.315,0.305,0.1798,0.028,0.9305,0,5297,11576.7,0.116,0.104,637.8,0.216,78.9,0.0267,0,2.92,2.14,0.364,3.92,1469.34,2.2528,2952.9,0.1231,0.1607,464.5,33.41,1343.3,2662037,2685.1,488.8,23.68,2685.1,1.15,2.43
"2",2010-12-31,347.7,0.92,0.35,0.26956714542633,2964.9,6017.5,2073.2,16.1,0.001268046027708,0.006166928410005,0.002675529705027,-13.154,0.8,19.206257242178,591.9,0,0,1021.3,619.4899,1613.2,0.39343,0.39316926167755,12680.6,3.136433341578,4.4042095026396,12.416136296877,7.860525663278,4.8571647450875,0.14,0.095,-848.6561,12696.7,0.88046530951392,2.16,14.787037037037,0.37,0.2109,0.22833270981419,0.028,0.9012,0,4043,11602.5,0.094307261366085,0.08617987351044,604.1,0.23139387903627,-127.9,-0.04899069215153,0,3.9132854396438,1.3718755172985,0.39119776305206,4.4442103650362,1468.146,2.3699270996836,2610.7,0.15322531313381,0.20375054807919,387.9,31.94,1094.2,5066457,2879.2,628.8,18.451812977099,2879.2,1.15,3.127959399867
"3",2009-12-31,346.1,0.35,0.3996,0.29991891648398,2331.2,4770.3,1780.2,13.2,0.00098261808166152,0.0061515518687669,0.0027671215646815,3.1438,0.71946946946947,23.789554237612,495.3,0,0,872.8,533.0364,1368.1,0.38928,0.38915507771415,13420.3,4.0462809419001,5.2324937616968,15.376145737855,9.8094437541115,6.2542175412434,0.185,0.13,-755.0074,13433.5,0.86520763893256,2.05,18.258536585366,0.44,-0.0783,0.26621119501378,0.03,0.8537,0,3316.7,12434.8,0.080314922636472,0.074343990769345,522.7,0.24359213347003,16.1,0.0075030291732687,0,5.3340768702814,1.2859218506818,0.40674806598938,5.7949482710411,1288.0438,2.4164273407234,2145.8,0.16071288208159,0.22421928620453,296.4,37.43,998.7,4621769,2564.8,612.4,20.305029392554,2564.8,1.15,4.0342052313883
"4",2008-12-31,343.6,0.51,0.4346,0.22675135668476,2507.8,4760.2,1755.9,196.3,0.01081959984567,0.084919536251947,0.041237763119197,4.835,0.44178554993097,32.856927142318,416.2,0,0,886.7,511.2092,1302.9,0.42347,NA,17946.7,5.8901506449178,8.8787908771583,20.239878200068,13.774426279837,7.7637567053123,0.26,0.15,-833.3258,18143,0.78013528843326,1.85,26.054054054054,0.44,0.831,0.34038386212299,0.038,0.8785,0,3046.9,17407.6,0.042245915577104,0.040533539105991,529.8,0.2291919017131,-38.5,-0.01665513064544,0,6.9413828853976,1.2637279670122,0.38358712580031,7.5305416161966,1344.535,2.630107426278,2311.6,0.16778008828645,0.21126086609778,238.8,48.2,735.4,5125533,2021.3,465.2,37.419604471195,2021.3,1.2,5.5941662555501
"5",2007-12-31,341.6,0.54,0.4536,0.37283358092408,1646.5,3622.7,1519.4,0.7,6.6584229049748e-05,0.00055772448410485,0.00019322604687112,51.2806,0.45855379188712,43.102169981917,295.3,0,0,381.5,236.3316,676.8,0.38052,NA,10512.3,4.0052960451116,4.7474596938084,27.555176933159,15.532358156028,8.3756672775078,0.335,0.245,-1039.049,10513,0.84953211692936,1.67,17.347305389222,0.35,0.6273,0.46891552829663,0.04,0.889,0,2624.6,9534.2,0.10266199576262,0.09310377627699,221.2,0.17624093697713,-67.1,-0.053461875547765,0,5.7905860917097,1.2866319397587,0.30395984383714,7.5963668233607,1275.3806,5.3965721177108,1255.1,0.090044814447916,0.13434558153659,102.1,28.97,978.8,4806816,2214.3,503.7,18.92833035537,2214.3,1.3,4.0044947244125
"6",2006-12-31,169,1.93,0.4619,0.087636733655558,1434.6,2379.1,850.9,42.9,0.0044692155432858,0.056218057921635,0.018032028918499,38.3944,0.43299415457891,60.071111111111,151.3,0,0,238.1,147.7696,389.4,0.37938,NA,9556.1,6.2478587773782,8.9610840210053,40.134817303654,24.540575243965,12.522736207574,0.255,0.315,-590.2248,9599,0.84758942457232,1.7,33.305882352941,0.31,0.1248,0.29339686861811,0.0509,0.9148,0,1529.5,9461.2,0.014564748657676,0.01435566204813,157.5,0.20639496789412,-96.6,-0.12658891364173,0,6.5950090617594,2.3557298474945,0.31201677368628,12.398375049142,737.9944,4.9942228146698,763.1,0.096613025171625,0.10978670012547,66.1,56.62,137.8,2874770,1066.4,183.3,51.615930169122,1066.4,1.25,6.1046807428135
"7",2005-12-31,168.5,1.49,0.4386,0.082624142774519,1110.3,1868.5,453.9,223.7,0.036694388399521,0.3307703681798,0.11972170189992,9.0002,0.36479708162335,40.570365358593,96.2,0,0,245.9,155.1481,342.1,0.36906,NA,5872.6,5.9523616460572,7.6287347362951,23.882065880439,17.166325635779,8.6834245157475,0.205,0.225,-211.5521,6096.3,0.73342253144233,1.32,26.55303030303,0.365,0.2271,0.30350309096261,0.0509,0.8802,0,986.6,5996.3,0.016676950786318,0.016403392221511,147.8,0.21854206712997,-65.1,-0.096259056631672,0,5.4006124470864,1.9790422126143,0.36359603726157,8.8663315096851,366.7002,2.3635488483057,676.3,0.15725536793027,0.13311717553814,48.7,35.05,100,2350400,769.8,177.8,33.724971878515,769.8,1,5.037015615963
"8",2004-12-31,145.8,0.14,0.3343,0.42060308010871,NA,1146.1,291.1,1.2,0.00018483434222079,0.0019828155981494,0.0010470290550563,-1.074,0.083757104397248,61.062376237624,73.7,0,0,182.2641,114.4892,255.9642,0.37185,NA,6491.1,8.4136098509397,10.725545274289,35.61369583651,25.359410683098,13.605323831482,0.175,0.095,-101.8368,6492.3,0.85873832998866,1.21,29.578512396694,0.25,0.4357,0.58264392404824,0.061,0.7842,0,771.5,6167.3,0.052697290548538,0.050059301018129,101,0.21169566128694,-4,-0.0083839865856215,0,13.775519320974,3.4892786421499,0.38202504715992,12.926640117376,216.326,1.8894879388368,477.1,0.14839821882372,0.22559749832477,36.1,35.79,325,2017500,605.2,101,61.062376237624,605.2,0.95,8.4020965445839
"9",2003-12-31,35.9,0.38,0.3346,0.44938749194068,NA,890.7,168.2,1.3,0.00061387354205034,0.0031048483401003,NA,1.0876,0.22713687985654,37,55.9,0,0,164.8132,104.2147,220.7132,0.36768,NA,2116.4,3.4185107413988,5.0546930976833,12.841207583181,9.5889162204918,6.4642638973732,0.225,0.095,-9.1729,2117.7,0.85584371842371,2.98,15.98322147651,0.12,-0.0956,0.48321519325933,0.07,0.8094,0,619.1,1838.9,0.15161237696449,0.13165226424895,49.7,0.15180207697007,3.9,0.011912034208919,0,5.3831967213115,1.6444444444444,0.5034,5.6166768478925,113.3876,1.0880193979137,327.4,0.16833251063027,0.14549180327869,70.5,47.63,278.8,416200,418.7,0,NA,418.7,0.8,3.4134429400387
"10",2002-12-31,25.9,0.4,0.4305,0.65858819003655,NA,740.2,92.1,1.7,0.0014693171996543,0.0065009560229446,NA,-37.6,0.2029,56.965034965035,54,0,0,56.6,35.1882,110.6,0.3783,NA,1155.3,NA,NA,20.411660777385,10.44575045208,4.4179732313575,0.09,-0.005,-2.9118,1157,0.85409348824642,1.74,13.5,NA,-0.2555,0.36296296296296,0.073,0.8916,0,518.2,814.6,0.42032899582617,0.29593777009507,14.3,0.054684512428298,-0.2,-0.00076481835564057,0,4.5892957746479,6.3294483294483,0.21644359464627,3.1151051625239,38.1,1.0827487153371,261.5,0.067904708606716,0.08056338028169,64.6,23.49,342.4,192330,289,22.1,36.859728506787,289,0.7,2.2294480895407
"11",2001-12-31,NA,0.01,0.5277,0.6566,NA,743.1,106.1,3.6,0.0053916429534222,0.010437808060307,NA,-4.3976,0.005,9,52.9,0,0,144.6486,89.2641,197.5486,0.38289,NA,664.1,NA,NA,4.5911263572548,3.3617044109652,1.9254856480139,0.01,NA,40.4617,667.7,0.83407347597901,0.59,20.084745762712,0.04,-0.0631,0.23182552504039,0.1,0.7714,0,529.445,317.7,1.1016682404784,0.52418750936049,35.3,0.10234850681357,18.095,0.052464482458684,0,1.7351174221737,9,0.25881153246158,0.92113656132212,48.8024,0.54671924482126,NA,0.16859937773706,0.19279082468596,64.1,11.85,350,9300,344.9,20.9,15.200956937799,261.1,0.65,1.2611319400504
"12",2000-12-31,NA,0.65,0.5644,0.42430086788814,NA,705.4,75.7,2.4,0.0036237354673109,0.0065952184666117,NA,8.8163,0.34549964564139,11.888392857143,45.9,0,0,112.19037,68.6987,158.0904,0.38766,NA,659.9,NA,NA,5.8819665181602,4.1741947975705,1.8134102775488,0.12,NA,26.8512,662.3,0.79968812021548,NA,11.063157894737,NA,0.2903,0.30227001194743,0.091,0.7347,NA,534.9,266.3,1.4870446864439,0.5979163521063,22.4,0.061555372355043,41.5,0.11404231931849,0,1.8846426043878,99.06994047619,0.188784422,0.73179444902446,41.8475,0.60914514753723,NA,0.12843269987998,0.1585279547063,59.7888,10.51,396,NA,363.9,36.8,7.2364130434783,385.8,NA,1.2326447050065
"13",1999-12-31,NA,0.55,0.5697,0.61347949654892,NA,671.4,67,1.2,0.0021656740660531,0.0035661218424963,NA,NA,0.144813059505,25.444444444444,41.6,0,0,84.2,51.0412,92.6412,0.39381,NA,552.9,NA,NA,6.5665083135392,5.9681870694289,1.6430906389302,0.105,NA,21.6398,554.1,0.85790884718499,NA,NA,NA,0.0486,0.31494079113127,0.075,0.6872,NA,491.4,251.9,1.1996824136562,0.5453889189677,NA,0.046062407132244,NA,0.059435364041605,0,1.3230042016807,2.4232804232804,0.25022288261516,0.74858841010401,NA,0.49763722238651,NA,0.10386894179894,0.08140756302521,58,NA,NA,NA,NA,15.5,16.251612903226,336.5,NA,1.1248477466504
