"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,12.4,0.87,0.3351,0.1736,245.6,474.9,6,14.4,0.0213,0.0227,0.0303,3.26,0.65,17.3,14.2,0.0064,3.97,51,36.87,65,0.2786,0.2794,661.8,2.34,1,12.95,10.13,1.04,0.145,0.04,41.8,676.2,0.2028,NA,NA,0.035,-0.005,0.2031,0.034,0.792,0.2946,282.8,624.6,0.0826,0.0763,36.1,0.057,83.1,0.1311,0.089,2.54,1.19,0.0806,0.99,-4.94,-0.1339,633.8,0.1304,0.147,148.7,51.29,51.6,31714,658.7,44.6,14,658.7,1.1,2.28
"2",2011-06-30,12.4,1.37,0.5759,0.17362045760431,245.6,474.9,6,14.4,0.029238578680203,0.022720100978227,0.030322173089071,2.3076,0.47751345719743,12.213296398892,14.2,0.008,3.5272,51.1,36.8656,65.3,0.27856,0.27944111776447,478.1,1.6905940594059,0.7339576297206,9.3561643835616,7.3215926493109,0.75433890817293,0.16,0.055,42.758,492.5,0.20277953253316,NA,NA,0.035,0.0955,0.23375038144644,0.034,0.7817,0.29458833438619,282.8,440.9,0.11703334089363,0.10477157360406,36.1,0.056958030924582,83.1,0.13111391606185,0.097706371191136,1.7951954397394,0.76333102493075,0.080624802776901,0.69564531397917,-5.8924,-0.1598345784326,633.8,0.13035920792079,0.14698697068404,148.7,34.17,51.6,50436,651.4,36.7,12.013623978202,651.4,1.1,1.657133243607
"3",2010-06-30,12.4,0.98,0.5683,0.32690960056062,192.1,446.3,4,33.6,0.068016194331984,0.058081244598098,0.075285682276496,0.7079,0.48389934893542,14.310714285714,14.4,0.011,4.4077,44.6,31.6535,59,0.29028,0.28934010152284,460.4,1.8284352660842,0.78903170522708,10.322869955157,7.8033898305085,0.79585133967156,0.19,0.05,41.3456,494,0.20882814250504,NA,NA,NA,-0.0518,0.25081683644052,0.0409,0.7401,0.27022182388528,251.8,400.7,0.23284252558023,0.18886639676113,28,0.048401037165082,81.9,0.14157303370787,0.15741785714286,2.0858927641853,0.7531954887218,0.077095937770095,0.69265341400173,-9.6921,-0.30619461219534,578.5,0.12570894360604,0.14575741801145,138.8,29.91,93.3,59661,583.5,31.1,12.88424437299,583.5,1.1,1.7309039943938
"4",2009-06-30,12.4,0.99,0.5522,0.34848484848485,176.3,433.7,5.2,9,0.025280898876405,0.014824575852413,0.020751671662439,-3.6039,0.30423759507425,13.284263959391,15.5,0.0095,2.4862,35.2,24.9202,50.7,0.29204,NA,347,1.3264525993884,0.59982713915298,9.8579545454545,6.8441814595661,0.57156975786526,0.15,0.03,38.824,356,0.25040350472677,NA,NA,-0.025,-0.136,0.47333109694733,0.029,0.7038,0.28176158635001,261.6,261.7,0.36033626289645,0.26488764044944,19.7,0.032449349365838,76.5,0.12600889474551,0.12620050761421,1.4844015882019,0.88561759729272,0.057980563333882,0.43106572228628,-13.9039,-0.55793528355326,607.1,0.095260672782875,0.11174134997164,140.8,20.09,94.3,61251,578.5,19.2,13.630208333333,578.5,1.05,1.3155949741316
"5",2008-06-30,12.3,0.23,0.2924,0.37636211232188,223.2,523,9.9,28.7,0.079966564502647,0.041146953405018,0.054875717017208,-0.6628,0.54719562243502,11.616580310881,17.1,0.046083853702052,10.332,39.2,25.4153,56.3,0.35165,NA,330.2,1.0030376670717,0.46990180731464,8.4234693877551,5.8650088809947,0.47340501792115,0.175,0.055,33.2781,358.9,0.22294455066922,1.18,16.813559322034,-0.03,0.1184,0.3129102844639,0.025,0.7571,0.28317399617591,329.2,224.2,0.60080285459411,0.37531345778768,19.3,0.027670250896057,88.9,0.12745519713262,0.53533678756477,1.0044802867383,0.66380458919319,0.056200716845878,0.32143369175627,-7.8628,-0.30937115980006,697.5,0.077203280680437,0.086469534050179,162.7,19.84,134.7,104004,702.7,19,11.8,702.7,1,1.0027940765577
"6",2007-06-30,12.2,0.89,0.2272,0.45171673819743,204.4,539.9,10.3,24.1,0.060858585858586,0.038795878943979,0.044637895906649,-4.0222,0.8,14.875816993464,15.2,0.045026362038664,10.248,29.4,20.9337,44.6,0.28797,NA,371.9,1.0665328362489,0.57462917181706,12.649659863946,8.3385650224215,0.5986799742434,0.13,0.06,29.8559,396,0.22652343026486,1.08,15.740740740741,-0.04,0.0491,0.29346713086218,0.024,0.7609,0.27801444711984,348.7,227.6,0.73989455184534,0.42525252525252,15.3,0.024629748873149,96.1,0.1547005795235,0.66980392156863,1.1135029354207,1.1442936148819,0.047327752736639,0.36638763683194,-8.9222,-0.42621336598173,621.2,0.060033501577287,0.074853228962818,143.4,17,168.4,91900,647.2,15.3,14.875816993464,647.2,1.15,1.0622317596566
"7",2006-06-30,12.2,1.23,0.2026,0.36992765020447,200.3,478.7,15.1,32.6,0.064388702350385,0.055263604000678,0.068101107165239,0.0669,0.7502467917078,18.598086124402,12,0.026364805762799,10.248,39.3,25.7407,51.3,0.34502,NA,473.7,1.6603575184017,0.80356234096692,12.053435114504,9.233918128655,0.80301746058654,0.105,0.035,22.5739,506.3,0.20284102778358,1.12,26.901785714286,-0.04,-0.1122,0.11629490890516,0.024,0.6845,0.15312304157092,285.3,388.7,0.30254695137638,0.23227335571795,20.9,0.035429733853195,98.6,0.1671469740634,0.49033492822967,1.9405891163255,1.7712462975621,0.066621461264621,0.65892524156637,3.1669,0.12302917431216,589.9,0.090223322818086,0.10434348477284,133.3,30.13,117.6,29100,589.5,27.1,14.343173431734,589.5,0.95,1.5926391947153
"8",2005-06-30,12.2,0.89,0.2148,0.37531127712558,NA,442.3,8.8,23.7,0.052019315188762,0.035574902431702,0.053583540583314,0,0.82867783985102,13.837944664032,11.9,0.030204962243797,10.248,43.6611,29.3935,55.5611,0.32678,NA,431.9,1.6779331779332,0.64830381266887,9.8921052800343,7.7734270104181,0.64830381266887,0.145,0.05,32.4935,455.6,0.2206647072123,NA,NA,-0.05,0.1512,0.12072471806249,0.0229,0.6055,0.15125480443138,257.4,350.1,0.30134247357898,0.23156277436348,25.3,0.037976583608526,93.2,0.13989792854999,0.40505928853755,1.9937357630979,0.95434101131253,0.065537496247373,0.52551786250375,-3.1,-0.10546545001913,666.2,0.11419390939238,0.14407744874715,166.8,27.81,105.5,12700,666.2,25.3,13.837944664032,666.2,0.9,1.6207755247243
"9",2004-06-30,12.2,0.87,0.2334,0.4010989010989,NA,442.7,7.4,17.5,0.038326763031099,0.03030303030303,NA,0,0.74550128534704,15.705882352941,11.5,0.029577464788732,10.248,49.434,34.1762,60.934,0.30865,NA,439.1,1.7185909980431,0.76034632034632,8.8825504713355,7.2061574818656,0.76034632034632,0.175,0.07,38.2762,456.6,0.23514795572622,NA,NA,-0.055,0.0039,0.1631067961165,0.025,0.5639,0.14321210752202,255.5,347.1,0.31547104580812,0.23981603153745,22.1,0.038268398268398,68.3,0.1182683982684,0.46371040723982,2.1229357798165,0.89747899159664,0.0856,0.60103896103896,-4.1,-0.11996654080509,577.5,0.13376201917808,0.13516819571865,156.6,28.4,109.5,9000,577.5,22.1,15.705882352941,577.5,0.8,1.6725274725275
"10",2003-06-30,12.2,0.71,0.2621,0.40434142752023,NA,422.5,7.9,11.5,0.025285839929639,0.020017406440383,NA,1.3,0.5967,19.268156424581,13.6,0.029712960278341,10.248,34.5,22.2808,48.1,0.35418,NA,443.3,NA,NA,12.849275362319,9.2162162162162,0.77162750217581,0.16,0.06,27.9808,454.8,0.26414201183432,NA,NA,NA,-0.0077,0.20762711864407,NA,0.5161,0.11834319526627,260.3,344.9,0.31864308495216,0.24164467897977,17.9,0.031157528285466,95.2,0.1657093124456,0.57251396648045,2.1303273625695,1.2042597765363,0.060052219321149,0.60034812880766,-5.7,-0.25582575842239,574.5,0.085596580868229,0.11056207535516,150.9,28.05,109.9,14047,579.8,17.9,19.268156424581,579.8,0.75,1.7030349596619
"11",2002-06-30,NA,0.52,0.2795,0.4258,NA,406,10,8.1,0.020159283225485,0.01411149825784,NA,0.0016,0.3268,13.210784313725,12.9,0.0378,10.1871,51.4526,35.1174,64.3526,0.31748,NA,393.7,NA,NA,7.6517027322234,6.1178569319655,0.68588850174216,0.12,NA,38.0158,401.8,0.27807881773399,NA,NA,-0.015,-0.0376,0.1965811965812,0,0.5877,0.089408866995074,302.648,269.5,0.49090909090909,0.32926829268293,20.4,0.035540069686411,118.162,0.20585714285714,0.49936764705882,1.5106502242152,1.1008986928105,0.061180189114983,0.46951219512195,-2.8984,-0.082534516891184,NA,0.11603390259311,0.11434977578475,148.7,21.38,132.3,4100,574,20.4,13.210784313725,574,0.75,1.3276149189818
"12",2001-06-30,NA,0.7,0.3328,0.32181291390729,NA,424.3,13.8,9,0.020823692734845,0.014995001666111,NA,-2.79,0.63100961538461,11.112449799197,13.7,0.03703650162631,10.248,67.76258,39.7285,81.4626,0.41371,NA,423.2,NA,NA,6.2453348145835,5.195023285538,0.70509830056648,0.11,NA,45.6803,432.2,0.26820645769503,NA,NA,NA,-0.0454,0.17792236930671,NA,0.5545,NA,318.7,276.7,0.561980484279,0.35978713558538,24.9,0.041486171276241,133.3,0.22209263578807,0.41156626506024,1.6068524970964,101.02227090179,0.066192141,0.46101299566811,-5.9518,-0.14981226449761,NA,0.12465805782303,0.14459930313589,144.048,21.91,155.5,NA,600.2,24.9,11.112449799197,592.6,NA,1.3188892279524
"13",2000-06-30,NA,0.7,0.3451,0.48596381784155,NA,424.2,22.8,10.4,0.024574669187146,0.016494845360825,NA,NA,0.30425963488844,8.7672131147541,13.6,0.038638743455497,10.332,73.8,45.4431,59.0431,0.38424,NA,412.8,NA,NA,5.5934959349593,6.9915042383962,0.65471847739889,0.11,NA,37.64,423.2,0.26426214049976,NA,NA,NA,0.0392,0.19261510750872,NA,0.523,NA,310.2,267.4,0.58264771877337,0.36814744801512,NA,0.046946867565424,NA,0.21712926249009,0.33875409836066,1.622572815534,0.79701937406855,0.11704996034893,0.42410785091198,NA,0.20245103061658,NA,0.14649609284333,0.17961165048544,149.2,NA,NA,NA,NA,29.6,9.0337837837838,630.5,NA,1.3200249532127
