"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,43.2,1.48,0.3855,0,573.6,769.1,29.9,211.1,0.3314,0.1805,0.2745,-7.25,0.8,12.18,52.8,0,0,64,52.43,117,0.1782,0.179,425.9,1.17,0.39,6.68,3.65,0.36,0.1,82.59,637,0.1185,1.19,12.79,0.095,0.135,0.1846,NA,0.8638,0.2154,362.5,637,0,0,52.3,0.0447,121.7,0.1041,0,1.11,1.22,0.0546,0.54,-30.15,-0.5751,1169.3,0.1446,0.0912,341.6,15.22,0,121453,1099.6,35.9,17.74,1099.6,1.05,1.11
"2",2010-12-31,47,1.24,0.3957,0,583.2,794.6,28.5,189.8,0.27447577729573,0.16380426339864,0.23886232066449,7.7933,0.6633813495072,31.720183486239,57.9,0,0,33.5,29.0489,91.4,0.13287,0.13492063492063,501.7,1.275292323335,0.40732321182106,14.976119402985,5.4890590809628,0.43298524208164,0.1,50.6556,691.5,0.14309086332746,1.36,11.514705882353,0.275,0.1924,0.36842105263158,NA,0.8872,0.22036244651397,393.4,691.5,0,0,21.8,0.01881418831449,123.7,0.10675757314232,0,1.1856995884774,3.1720183486238,0.028911711400708,0.59678950548028,-21.6067,-0.74380546705235,1158.7,0.073840505846467,0.037379972565158,373.8,15.66,0,274494,1231.7,53.2,12.998120300752,1231.7,1.05,1.1856995884774
"3",2009-12-31,40.9,1.06,0.4547,0.14380699088146,450.7,672.5,30.3,282.3,0.26919042624201,0.33368794326241,0.41977695167286,42.4988,0.54981306355839,21.816143497758,28.3,0,0,72.1,44.9947,100.4,0.37594,0.37535014005602,766.4,3.1396968455551,0.69552590979218,10.629680998613,7.6334661354582,0.90591016548463,0.11,0.496,1048.7,0.11940520446097,1.07,18.934579439252,0.8,0.0257,0.42409766454352,NA,0.878,0.034646840148699,244.1,973,0.077800616649537,0.072184609516544,44.6,0.052718676122931,140.5,0.1660756501182,0,2.1588639893499,1.9832857725234,0.085224586288416,1.1501182033097,44.4988,0.98897721624637,846,0.18432907005326,0.098957177723541,233.1,20.26,75.7,387300,1101.9,1.9,512.1052631579,1101.9,1,1.9922112462006
"4",2008-12-31,40.6,0.71,0.3837,0,384,529.5,34.7,220.4,0.20515684631853,0.26904296875,0.4162417374882,0.4333,0.39614281991139,17.727722772277,28,0,0,66,48.7549,94,0.26129,NA,853.9,5.2194376528117,1.0334019121384,12.937878787879,9.0840425531915,1.0423583984375,0.1433,41.6215,1074.3,0.15184135977337,1.51,16.867549668874,0.975,0.1596,0.34314948839531,NA,0.8842,0.052502360717658,163.6,1074.3,0,0,60.6,0.073974609375,50,0.06103515625,0,2.79765625,1.2371055668023,0.08056640625,1.3114013671875,7.1333,0.14631053415752,819.2,0.29801259168704,0.1578125,229,25.47,0,272203,826.3,55.5,19.356756756757,826.3,0.95,2.79765625
"5",2007-12-31,40.8,0.74,0.3766,0,365.3,505.5,31.5,195.5,0.25771157395202,0.27531333614984,0.38674579624134,-8.6281,0.50982474774296,18.638820638821,25.2,0,0,52.9,38.9005,78.1,0.26464,NA,563.1,3.3162544169611,0.68998897193971,10.644612476371,7.2099871959027,0.79298690325306,0.125,41.2286,758.6,0.15548961424332,1.6,11.95,NA,0.2279,0.29263399254801,NA,0.8842,0.057566765578635,169.8,758.6,0,0,40.7,0.057315871004084,57.8,0.081396986339952,0,2.0766493293184,1.4911056511056,0.074496549781721,1.0683002394029,-2.3281,-0.059846992166354,710.1,0.22909625441696,0.11141527511634,206,19.12,0,561189,816.1,63.2,12.003164556962,816.1,1.2,2.0766493293184
"6",2006-12-31,40.6,0.21,0.3202,0,291.5,415.6,19.4,158.6,0.20723899124526,0.27621037965866,0.38161693936477,-4.2483,0.52467207995003,18.09219858156,24.7,0,0,32,26.3187,56.7,0.17754,NA,606.7,4.5650865312265,0.90417287630402,18.959375,10.700176366843,1.056600487635,0.2,35.867,765.3,0.15928777670837,1,17.6,0.315,0.1244,0.18030002830456,NA,0.8183,0.068334937439846,132.9,765.3,0,0,42.3,0.073667711598746,25.2,0.043887147335423,0,2.6253859348199,0.90460992907801,0.055729710902125,1.3328108672936,-9.5483,-0.36279408200965,574.2,0.19803401053424,0.1451114922813,176.7,17.6,0,222923,671,38.6,19.826424870466,671,1.05,2.6253859348199
"7",2005-12-31,39.3,1.23,0.449,0,226.1,331.2,9.9,127.6,0.18199971473399,0.25782986461912,0.38526570048309,-1.6403,0.35634743875278,29.961538461538,25.9,0,0,24.9,20.0276,50.8,0.19568,NA,573.5,5.8223350253807,1.05345334313,23.032128514056,11.28937007874,1.158819963629,0.175,37.6679,701.1,0.21829710144927,1.06,16.641509433962,0.035,0.0575,0.29258715266329,NA,0.7797,0.024154589371981,98.5,701.1,0,0,23.4,0.047282279248333,16.4,0.033138007678319,0,3.1008403361344,1.7120879120879,0.050313194584765,1.4166498282481,-17.6403,-0.88080247087798,494.9,0.20332556345178,0.10349402919062,160.5,17.64,0,341083,544.4,42.8,16.380841121495,544.4,1,3.1008403361344
"8",2004-12-31,39.2,1.61,0.582,0,NA,312.5,25.7,93.9,0.17119416590702,0.19285274183611,0.30048,1.8395,0.553264604811,166.21212121212,30.2,0,0,0.9289,0.7138,31.1289,0.23156,NA,454.6,3.9155900086133,0.93366194290409,489.40132846731,14.603797308545,0.97407328047997,0.15,3.3743,548.5,0.26528,0.5,26.74,-0.32,-0.003,0.41441027994493,NA,0.6071,0.01664,116.1,548.5,0,0,3.3,0.0070709235054639,42.5,0.091064923934005,0,2.6119047619048,11.080808080808,0.0019903364045425,1.1752731947718,-2.6605,-3.7272381370935,466.7,0.0061481156899225,0.015714285714286,165.2,13.37,0,62024,486.9,20.3,27.019704433497,486.9,0.95,2.6119047619048
"9",2003-12-31,40.2,1.66,0.6017,0.00049776007964161,NA,313.3,29.3,92.1,0.34404183787822,0.19583244737402,NA,-0.5571,0.55176998504238,28.774193548387,30.1,0,0,39.2487,26.1687,69.3487,0.33326,NA,175.6,1.6139705882353,0.37337869445035,4.4740358147077,2.5321318300507,0.36552872606162,NA,27.5258,267.7,0.34216406000638,0.03,228.33333333333,-0.35,0.0657,0.38896551724138,NA,0.5187,0.016278327481647,108.8,267.6,0.00037369207772795,0.00037355248412402,9.3,0.019358867610325,26.5,0.055162364696087,0,1.3326693227092,NA,0.0817,0.55703580349709,-1.3571,-0.051861258052356,480.4,0.240520817125,0.046314741035857,161.7,6.85,0.1,9231,470.3,5,53.52,470.3,1.3,1.3325037332006
"10",2002-12-31,40.4,1.45,0.8281,0.00054824561403509,NA,295.5,20.2,79.5,0.2343059239611,0.17561298873426,NA,13.7,0.386,NA,34.3,0,0,10.1,10.1,44.4,0,NA,259.8,NA,NA,25.722772277228,5.8513513513513,0.57388999337309,0.15,24.2,339.3,0.37089678510998,NA,NA,NA,-0.0907,0.57303370786517,NA,0.4795,0.016243654822335,102.9,339.2,0.00029481132075472,0.00029472443265547,-5,-0.011044842058759,21.7,0.047934614535012,NA,1.8606692265496,NA,0.022310580958692,0.74928208526618,-14.1,-1.3960396039604,452.7,0.098153547133139,-0.027427317608338,155.5,8.5,0.1,138267,469.6,-9.7,NA,469.6,1.2,2.5247813411079
