"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,41.6,1.38,0.2972,0,493.2,597.2,38.2,320.4,0.1443,0.4988,0.5365,4.73,0.8,18.07,16.9,0.0045,9.98,138,109.94,155,0.2045,0.204,1900.3,11,2.68,13.75,12.25,2.96,0.17,83.91,2220.7,0.1391,4.28,12.53,0.23,0.18,0.19,NA,0.3346,0.0015,172.8,2220.7,0,0,122.9,0.1913,46,0.0716,0.0556,4.5,1.06,0.2151,3.46,26.03,0.2368,642.4,0.6362,0.2492,108.7,53.63,0,176363,708.5,179.6,12.36,708.5,0.95,4.5
"2",2010-12-31,41.5,1.48,0.4175,0,451.5,546.1,22.5,287.2,0.14871582435791,0.53974816763766,0.52591100531038,6.6445,0.5688622754491,17,14.4,0.0052,10.0422,120.5,102.4081,134.9,0.15014,0.15033657442034,1644,10.006086427267,2.6736054643031,13.643153526971,12.186805040771,3.0896448036083,0.15,87.6636,1931.2,0.13971800036623,2.71,17.258302583026,0.23,0.2664,0.23898931389194,NA,0.3654,0.0016480498077275,164.3,1931.2,0,0,113.6,0.21349370419094,42.7,0.080248073670363,0.0884,4.2772978959026,1.1333333333333,0.22646119150536,3.629392971246,14.7445,0.14397822223593,532.1,0.62329963481436,0.2516057585825,91.6,46.77,0,158896,614.9,108.6,17.782688766114,614.9,0.95,4.2772978959026
"3",2009-12-31,41.4,1.34,0.4611,0,350,412.6,25.5,200.1,0.099676214196762,0.47756563245823,0.48497333979641,4.8998,0.51507265235307,16.940928270042,15,0.005,10.0375,125.4,109.7049,140.4,0.12516,0.12481536189069,1807.4,12.057371581054,3.5797187561893,14.41307814992,12.873219373219,4.3136038186157,0.154,94.3052,2007.5,0.1202132816287,2.69,17.769516728624,0.19,0.018,0.26829847908745,NA,0.2726,0.0021812893843917,149.9,2007.5,0,0,118.5,0.28281622911694,23.9,0.057040572792363,0.084704641350211,5.7357142857143,1.1000602772755,0.29928400954654,4.791169451074,15.3998,0.14037458809387,419,0.73185414276184,0.33857142857143,78.5,47.8,0,151992,504.9,119.6,16.785117056856,504.9,0.95,5.7357142857143
"4",2008-12-31,41.3,1.25,0.4824,0,226.8,294.8,36.3,132.3,0.08331234256927,0.32236842105263,0.44877883310719,-0.125,0.3150912106136,18.316032295271,13.5,0.0063,10.0044,98.3,84.884,111.8,0.13648,NA,1455.7,15.404232804233,3.5863513180586,14.808748728383,13.020572450805,3.5470272904483,0.1875,62.209,1588,0.16417910447761,2.63,14.460076045627,0.165,0.2118,0.48830975428146,NA,0.2859,0.0030529172320217,94.5,1588,0,0,86.7,0.21125730994152,11.4,0.027777777777778,0.11539100346021,7.0017636684303,0.97685505574779,0.239522417154,3.869395711501,22.675,0.26712920840126,410.4,0.89824355555556,0.38227513227513,80.3,38.03,0,191744,405.9,109.7,14.475843208751,405.9,0.95,7.0017636684303
"5",2007-12-31,41.1,1.07,0.4205,0,207.8,271.6,32.4,116.2,0.11025714014612,0.344092389695,0.42783505154639,-3.5067,0.41854934601665,16.755166931638,10.8,0.0093595217762596,9.864,63.3,56.3921,74.1,0.10913,NA,937.7,10.236899563319,2.3460095071304,14.813586097946,12.654520917679,2.7767249037607,0.186,38.2987,1053.9,0.24153166421208,1.93,11.979274611399,0.14,0.2427,0.42140168488976,NA,0.3339,0.0033136966126657,91.6,1053.9,0,0,62.9,0.18625999407758,19.1,0.05655907610305,0.15682034976153,5.0717035611165,0.90081542643212,0.18744447734676,3.1208172934557,18.0933,0.32084895909588,337.7,0.6156339628821,0.30269489894129,68.9,23.12,0,174003,399.7,75.8,13.903693931398,399.7,1.1,5.0717035611165
"6",2006-12-31,40.9,1.37,0.3676,0,149.7,197.7,15.5,93.9,0.05967208947636,0.34752035529238,0.47496206373293,-2.0178,0.43525571273123,30.915520628684,6.1,0.0062379257752923,9.816,52.8,46.5363,58.9,0.11863,NA,1479.7,26.517921146953,4.6707702020202,28.024621212121,25.122241086587,5.4763138415988,0.2,39.1542,1573.6,0.19372787051088,1.47,22.993197278912,0.125,0.1879,0.29289099526066,NA,0.308,0.0045523520485584,55.8,1573.6,0,0,50.9,0.18837897853442,11.7,0.043301258327165,0.19284872298625,10.51169004676,1.5457760314342,0.19541080680977,5.8238341968912,7.3822,0.15863220005017,270.2,0.83398451612903,0.34001336005344,49.4,33.8,0,640704,316.8,60.2,26.139534883721,316.8,1,10.51169004676
"7",2005-12-31,40.7,1.89,0.3728,0,152.3,198.2,16.4,120.5,0.10990514410799,0.53271441202476,0.6079717457114,-0.0587,0.3862660944206,36.184818481848,4.9,0.0089091572418825,9.768,46.2,27.5638,51.1,0.40338,NA,975.9,30.688679245283,3.7621434078643,21.123376623377,19.097847358121,4.3143236074271,0.175,16.1226,1096.4,0.14732593340061,1.18,22.71186440678,0.095,0.1996,0.27038626609442,NA,0.1645,0.0045408678102926,31.8,1096.4,0,0,30.3,0.13395225464191,0.4,0.0017683465959328,0.32237623762376,7.198949441891,2.0677039132485,0.20424403183024,4.8470380194518,11.4413,0.41508328421156,226.2,0.86678754716981,0.198949441891,44.9,26.8,0,37231,259.4,37.6,29.159574468085,259.4,0.9,7.198949441891
"8",2004-12-31,40.3,1.24,0.5451,0,NA,227,12,168,0.19224167524888,0.78910286519493,0.74008810572687,0.3946,0.45496239222161,21.314634146342,3,0.011521843494959,9.672,42.4931,37.6646,45.4931,0.11363,NA,705.9,31.234513274336,3.315641146078,16.612116608163,15.516645608519,3.7829581993569,0.175,28.27,873.9,0.047136563876652,0.69,30.188405797101,0.115,0.0331,0.18393574297189,NA,0.1207,0.0039647577092511,22.6,873.9,0,0,41,0.21972132904609,2.8,0.015005359056806,0.23590243902439,4.5849947534103,1.2179790940766,0.22772282958199,4.6832797427653,9.3946,0.24942898924553,186.6,1.6665748371504,0.21511017838405,37,20.83,0,17896,212.9,40.8,21.419117647059,212.9,0.95,4.5849947534103
"9",2003-12-31,40,1.16,0.5452,0,NA,186.1,4.2,136.8,0.20035149384886,0.73985938345051,NA,0.1594,0.42553191489362,16.942928039702,2.5,0.013856812933025,9.6,52.055,39.1901,54.555,0.24714,NA,546,32.89156626506,2.9529475392104,10.488905964845,10.008248556503,3.041782729805,0.2,37.3307,682.8,0.037076840408383,0.95,18.231578947368,0.08,0.0851,0.40036150022594,NA,0.1442,0.0048361096184847,16.6,682.8,0,0,40.3,0.22451253481894,5.3,0.029526462395543,0.23821339950372,4.4511082138201,0.84714640198511,0.29,3.8038997214485,1.8594,0.047446717452636,179.5,2.3608510421687,0.26271186440678,28.3,17.32,0,7279,184.9,41.5,16.453012048193,184.9,0.95,4.4511082138201
"10",2002-12-31,39.1,1.15,0.6049,0,NA,183.6,2.1,140.7,0.14682249817385,0.87120743034056,NA,-13.1,0.4197,33.274305555556,2.2,0.0097923406031514,9.384,36.1,26.5902,38.3,0.26343,NA,817.6,NA,NA,22.648199445983,21.34725848564,5.0625386996904,0.2,26.6902,958.3,0.02723311546841,0.93,25.440860215054,NA,-0.0634,0.40164066269905,NA,0.1515,0.0049019607843137,14.1,958.3,0,0,28.8,0.17832817337461,5.3,0.0328173374613,0.32583333333333,6.1905684754522,1.6637152777778,0.22352941176471,5.933746130031,-0.1,-0.0037607873012654,161.5,1.8858281560284,0.18604651162791,31.4,23.66,0,51041,171.5,36.8,26.040760869565,171.5,0.9,57.985815602837
"11",2001-12-31,NA,1.21,0.5949,0,NA,152.4,2.1,105.2,0.11703192791189,0.61592505854801,NA,-0.1006,0.3562,41.809302325581,1.9,0,0,32.6935,23.996,34.5935,0.26603,NA,793.7,NA,NA,24.276996956582,22.943616575368,4.6469555035129,0.2167,23.8966,898.9,0.034120734908137,0.73,31.86301369863,NA,0.0311,0.44244105409154,0,0.1067,0.0059055118110236,11.783,898.9,0,0,21.5,0.12587822014052,3.027,0.017722482435597,0,7.682905982906,1.9293632822142,0.14049208545082,5.2628805620609,0.0994,0.0041423487397692,NA,2.0364973432063,0.18376068376068,34.5,23.26,0,27900,170.8,24.6,36.540650406504,165.1,1,76.287872358483
"12",2000-12-31,NA,0.95,0.663,0,NA,132.9,3.8,73.5,0.13894139886578,0.44599514563107,NA,0.2542,0.42986425339367,23.93665158371,3.3,0,0,29.07072,22.4885,32.3707,0.22642,NA,455.5,NA,NA,15.668686568479,14.071358313933,2.7639563106796,NA,21.9093,529,0.054176072234763,NA,18.294117647059,NA,0.018,0.50248756218905,NA,0.0832,NA,23.2,529,0,0,22.1,0.13410194174757,4.4,0.026699029126214,0,5.4705274043433,NA,0.136459512,3.2099514563107,0.5792,0.025755354502485,NA,0.96933308524138,0.22854188210962,34.4102,12.44,0,NA,164.8,24.1,21.95020746888,168.9,NA,5.4705274043433
"13",1999-12-31,NA,0.95,1.0746,0,NA,122.5,2.5,63.6,0.27473002159827,0.38592233009709,NA,NA,0.13260748185371,10.767441860465,2.3,0,0,32.4,21.6976,23.9976,0.33032,NA,167.9,NA,NA,5.1820987654321,6.9965236570008,1.0188106796117,0.3,21.4776,231.5,0.052244897959184,NA,10.7421875,NA,-0.3629,0.61446526332022,NA,0.0661,NA,26.8,231.5,0,0,NA,0.13046116504854,NA,0.0072815533980583,0,2.5608407079646,0.35891472868217,0.19660194174757,1.4047330097087,NA,0.0092175957265751,NA,0.80961313432836,0.23783185840708,32.8,NA,NA,NA,NA,21.5,10.767441860465,164.8,NA,2.5608407079646
