"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,28.1,1.65,0.6352,0.4416,409.5,4685.8,0,120.1,0.143,0.0256,NA,0.65,29.32,0,0,0,143,140.47,143,0.0204,0.0222,719.8,1.17,5.02,5.02,0.04,140.47,839.9,0,1.69,10.68,NA,0.3461,NA,0.2291,0,613.2,516.1,0.6274,0.3855,17.6,0,0,1.26,7.33,0,0,NA,0.2291,0.043,29.1,18.05,323.8,107582,NA,45.7,11.29,NA,1.1,1.15
"2",2010-12-31,17.3,1.63,0.7241,0.75452621678815,208.8,4483.9,0,80.3,0.095869149952245,0.017908517139098,NA,0.37978179809419,NA,0,0,0,182.8,182.8,182.8,0,NA,757.3,0.98312345839283,4.1427789934355,4.1427789934355,0.04,182.8,837.6,0,NA,NA,NA,0.45093945720251,NA,0.2157,0,770.3,195.8,3.2778345250255,0.76623686723973,-53.8,0,NA,0.93773946360153,NA,0,0,NA,0.23731013890692,-0.25766283524904,44.3,9.72,641.8,30727,NA,-44.3,NA,NA,1.1,0.98471667058547
"3",2009-12-31,11.1,1.34,0.7991,0.83829348013074,94,4403.5,0,48.4,0.06662078458362,0.010991256954695,NA,0.35977975222125,NA,0,0,0,141.5,141.5,141.5,0,NA,678.1,1.2724713829987,4.7922261484099,4.7922261484099,0.09,141.5,726.5,0,NA,NA,NA,0.39543873212215,NA,0.2417,0,532.9,239.2,2.0372073578595,0.67075017205781,-31.5,0,NA,2.5446808510638,NA,0,0,NA,0.26552824169638,-0.33510638297872,69.2,13.15,487.3,48110,NA,-31.5,NA,NA,1.15,1.2497849647342
"4",2008-12-31,11.1,1.16,0.6208,0.77018733850129,142.3,4388.9,0,52.8,0.090534979423868,0.012030349290255,NA,0.29639175257732,NA,0,0,0,83.2,83.2,83.2,0,NA,530.4,0.9364406779661,6.375,6.375,0.09,NA,583.2,0,NA,NA,NA,0.62659123055163,NA,0.2717,0,566.4,106.3,4.486359360301,0.81772976680384,-124.5,0,NA,0.74701335207308,NA,NA,NA,NA,0.14689265536723,-0.87491215741391,88.3,11.39,476.9,27203,NA,-49.1,NA,NA,1.15,0.94186046511628
"5",2007-12-31,10.6,0.89,0.5172,0.6590695803727,254.3,3556.5,0,74.4,0.13383702104695,0.020919443272881,NA,0.30935808197989,11.690909090909,0,0,0,109,54.5,109,0.6,NA,481.5,0.71705137751303,4.4174311926606,4.4174311926606,0.09,NA,555.9,0,-7.15,NA,NA,0.61797752808989,NA,0.2948,0,671.5,64.3,7.6454121306376,0.88433171433711,5.5,0,0,0.25285096342902,1.2989898989899,NA,NA,NA,0.081161578555473,0.021627998427055,97,5.98,491.6,5500,NA,-123.8,NA,NA,1,0.74527416543773
"6",2006-12-31,11.1,-0.02,0.2817,0.38053905893102,271.2,3379.7,0,61.6,0.15334826985312,0.018226469805012,NA,0.42598509052183,5.0887445887446,0,0.018885580603998,4.44,109.3,104.6854,109.3,0.04222,NA,340.1,0.9040404040404,3.1116193961574,3.1116193961574,0.09,NA,401.7,0,2.35,7.7191489361702,NA,0.33389687235841,NA,0.4596,0.0068645146018877,376.2,235.1,0.70863462356444,0.41473736619368,46.2,0,0.096103896103896,0.86688790560472,0.56541606541607,NA,NA,NA,0.2782704784689,0.17035398230088,87.3,18.14,166.6,38125,NA,31.8,7.3930817610063,NA,0.75,0.91754225673824
"7",2005-12-31,11,0.13,0.3139,0.42576590730558,219.3,3280.7,0,57.2,0.099064773120887,0.017435303441339,NA,0.40777317617075,14.108843537415,0,0.010607521697203,4.4,99.8,61.5856,99.8,0.38291,NA,520.2,1.6020942408377,5.2124248496994,5.2124248496994,0.085,NA,577.4,0,0.63,58.111111111111,NA,0.2029530575289,NA,0.4607,0.0070716615356479,324.7,414.8,0.39199614271938,0.28160720471077,29.4,0,0.14965986394558,1.8914728682171,1.6598639455782,NA,NA,NA,0.1896691777025,0.13406292749658,52,36.61,162.6,23003,NA,41.1,10.092457420925,NA,0.8,1.5119141136423
"8",2004-12-31,9.7,0,0,0.52710109622412,NA,2888.1,0,55.1,0.089856490541422,0.019078286762924,0,NA,18.888412017167,0,0.0059405940594059,2.328,NA,NA,NA,0.32956,NA,558.1,2.042078302232,NA,NA,0.09,NA,613.2,0,3.19,12.664576802508,0,0.16622691292876,NA,0.4376,0.0081022125272671,273.3,440.1,0.39331970006817,0.28228962818004,23.3,0,0.099914163090129,2.8338699291693,2.0987124463519,0,NA,NA,NA,0.15003219575016,28.4,40.4,173.1,21910,NA,33.8,13.020710059172,0,0.75,1.8672350791717
"9",2003-12-31,9.5,0,0,0.4683734939759,NA,2603.7,0,53.3,0.11328374070138,NA,0,NA,15,0,0.0071877807726864,2.28,NA,NA,NA,0.31784,NA,417.2,1.3160883280757,NA,NA,0.08,NA,470.5,0,NA,NA,0,0.27209768543831,NA,0.309,0.0089872105081231,317,315,0.49365079365079,0.33049946865037,21,0,0.10857142857143,2.2793053545586,1.875,0,NA,NA,NA,0.11898016997167,28.4,33.39,155.5,2100,NA,20.8,15.144230769231,0,0.8,1.4171686746988
"10",2002-12-31,9.4,0,0,0.54370629370629,NA,2535.5,0,65.9,0.16380810340542,NA,0,0,NA,0,0.0091410048622366,2.256,88.9,-3.2617,88.9,1.03669,NA,336.4,NA,3.7840269966254,3.7840269966254,NA,-3.2617,402.3,0,NA,NA,0,0.23737317919586,NA,0.3147,0.0093867087359495,258.4,246.8,0.63006482982172,0.38652746706438,-1.2,0,NA,1.8911877394636,NA,0,NA,0,-0.012622836687307,-0.0091954022988506,35.3,27,155.5,6373,0,19.3,12.787564766839,0,NA,1.3018575851393
